System,infeas_detected,opt_status,name,PMM_iter,SSN_iter,PMM_res,SSN_res,solving_time_sec,linesearch_fail
S,0,3,BGDBG1,341,1546,0.552948,2.69447e-08,4.31229,220
S,0,3,BGETAM,315,1921,0.969163,1.05476e-07,10.3962,266
S,0,3,BGINDY,188,2493,0.107884,5.06963e-07,132.8,161
S,0,3,BGPRTR,231,2114,0.0163146,3.09188e-07,0.304531,156
S,0,3,BOX1,321,3386,0.109554,6.96992e-08,6.68393,203
K,1,-2,CERIA3D,27,63,1e+20,1e+20,1.56916,0
S,0,3,CHEMCOM,186,2338,0.93501,0.000159719,6.62684,155
S,0,4,CPLEX1,570,19737,0.00303169,0.00467072,1800.87,137
K,0,4,CPLEX2,28415,943690,0.000329539,0.00014286,1800.05,1200
S,0,4,EX72A,44364,1464599,0.0179489,6.14125e-07,1800.02,16682
S,0,3,EX73A,307,3306,0.0404155,2.41347e-08,4.75452,188
S,0,3,GALENET,145,3501,0.823529,0.000552039,0.183873,69
S,0,3,GOSH,23,292,0.0186645,0.0812952,81.5357,25
K,0,3,GRAN,1096,30373,7.60005e-05,2.62597e-10,1678,525
S,0,3,GREENBEA,212,3636,0.927684,1.40618e-07,301.914,174
K,1,-2,ITEST2,6,8,1e+20,1e+20,0.0059125,0
K,0,3,ITEST6,238,802,0.883841,1.42257e-05,0.112518,53
S,0,4,KLEIN1,147398,5439800,0.00624944,1024,1800,4746
K,1,-2,KLEIN2,120,1523,1e+20,1e+20,4.40304,0
K,0,4,KLEIN3,9059,357719,6.2745e-05,4096,1800.03,41
S,0,3,MONDOU2,175,2050,0.000933427,0,6.93518,145
S,0,3,PANG,425,10526,0.000133799,2.68774e-09,40.2529,273
S,0,4,PILOT4I,3938,140496,0.00103411,6.959,1800.22,475
S,0,4,QUAL,12013,458820,9.50144e-05,0.0361911,1800.07,591
S,0,4,REACTOR,22174,739732,0.0106469,1.07704e-05,1800.13,6352
S,0,4,REFINERY,15212,474251,0.0146665,1.34725e-05,1800.1,5719

S,0,3,BGDBG1,341,1546,0.552948,2.69447e-08,4.26097,220
S,0,3,BGETAM,315,1921,0.969163,1.05476e-07,10.584,266
S,0,3,BGINDY,188,2493,0.107884,5.06963e-07,131.48,161
S,0,3,BGPRTR,231,2114,0.0163146,3.09188e-07,0.335714,156
S,0,3,BOX1,313,3314,0.109554,5.48238e-08,7.33389,243
K,1,-2,CERIA3D,20,56,1e+20,1e+20,1.52657,0
S,0,3,CHEMCOM,225,4846,0.93501,0.000648613,12.2906,279

S,0,3,BGDBG1,279,4035,0.552948,3.27073e-06,14.917,190

