System,agree,opt_status,diverged,name,abs_err,rel_err,obj_val,PMM_iter,SSN_iter,PMM_tol_achieved,SSN_tol_achieved,solving_time_sec,linesearch_fail
S,1,0,0,AUG2D,3.81256,2.25941e-06,1.68741e+06,81,112,9.54466e-07,4.15141e-08,16.279,0
S,1,0,0,AUG2DC,3.78265,2.08024e-06,1.81836e+06,56,57,8.7872e-07,3.9959e-10,8.55577,0
S,1,0,0,AUG2DCQP,8.39245,1.29152e-06,6.49813e+06,51,152,5.24946e-07,4.31455e-08,35.6271,0
S,1,0,0,AUG2DQP,9.48544,1.52083e-06,6.237e+06,50,112,6.17484e-07,1.10781e-08,27.5138,0
S,1,0,0,AUG3D,0.000808436,1.45909e-06,554.067,9,10,8.42983e-07,1.20039e-07,0.24614,0
S,1,0,0,AUG3DC,0.000441019,5.71815e-07,771.262,11,12,3.3711e-07,1.53767e-11,0.298199,0
S,1,0,0,AUG3DCQP,0.00193197,1.94488e-06,993.36,24,44,8.6416e-07,6.75716e-08,1.17112,0
S,1,0,0,AUG3DQP,0.00121305,1.79648e-06,675.236,24,36,7.96173e-07,3.13449e-13,1.25749,0
S,1,4,0,BOYD1,187692,0.00304027,-6.15475e+07,99,2214,0.000474692,0.000143468,1217.68,0
K,0,4,0,BOYD2,42.4383,1.99646,63.695,65,1660,6.03712e-05,0.000117378,1221.76,0
S,1,0,0,CONT-050,1.26058e-06,2.76209e-07,-4.56385,71,198,8.38851e-07,5.29757e-08,11.891,0
S,1,0,0,CONT-100,1.83074e-05,3.94183e-06,-4.64438,78,223,8.33387e-07,4.29582e-08,100.311,0
S,1,0,0,CONT-101,6.10626e-05,0.000312297,0.195588,124,342,9.9613e-07,2.97976e-08,173.189,0
S,1,0,0,CONT-200,0.00035427,7.562e-05,-4.68452,105,361,9.4328e-07,1.2201e-08,1047.53,0
S,0,4,0,CONT-201,0.233861,1.21497,-0.041378,41,377,0.070342,0.0823314,1306.51,0
S,0,4,0,CONT-300,0.192127,1.00321,-0.000614904,28,161,0.00122392,0.000172922,1219.79,0
S,0,3,0,CVXQP1L,1.08705e+08,0.999999,70.5582,1,104,0.998117,0,95.7938,0
S,0,4,0,CVXQP1M,49013.1,0.0450691,1.0385e+06,101,1119,0.018611,0.00239484,1242,0
