System,agree,opt_status,diverged,name,abs_err,rel_err,obj_val,PMM_iter,SSN_iter,PMM_tol_achieved,SSN_tol_achieved,solving_time_sec,linesearch_fail
S,1,0,0,25FV47,2.70115,0.000490954,5504.55,58,719,9.22323e-05,2.05999e-06,1.62064,0
S,1,0,0,80BAU3B,7.77786,7.87845e-06,987224,104,1309,5.1662e-05,7.60417e-08,8.05982,0
S,1,0,0,ADLITTLE,0.0102749,4.55662e-08,225495,39,98,3.37434e-06,0.00391837,0.00659621,0
S,1,0,0,AFIRO,1.17316e-05,2.52426e-08,-464.753,28,66,2.43375e-05,8.2343e-05,0.00132167,0
K,1,0,0,AGG,6231.68,0.000173142,-3.59855e+07,142,340,9.79726e-05,1.63437e-05,0.0441717,0
K,1,0,0,AGG2,4607.18,0.000227636,-2.02346e+07,1642,32547,8.81662e-05,2.21061e-06,1.9752,0
K,1,0,0,AGG3,3384.04,0.000328161,1.03155e+07,3774,67570,8.3268e-05,4.68678e-06,4.16506,0
S,1,0,0,BANDM,0.0283633,0.000178804,-158.6,58,354,8.39408e-05,1.17813e-06,0.250129,0
S,1,0,0,BEACONFD,90.0062,0.00267935,33682.5,73,186,8.08831e-05,2.14196e-06,0.0390299,0
S,1,0,0,BLEND,5.16718e-05,1.67699e-06,-30.8121,26,81,1.67823e-05,3.8058e-05,0.00769775,0
S,1,0,0,BNL1,0.0352653,1.78321e-05,1977.59,3914,50927,9.98895e-05,5.3377e-08,19.7909,0
S,0,0,0,BNL2,19.2968,0.0106539,1830.53,73,1381,4.66585e-05,2.74132e-05,5.08329,0
S,1,0,0,BOEING1,0.196551,0.000586347,-335.017,86,595,8.39703e-05,1.63333e-07,0.198747,0
K,1,0,0,BOEING2,4.81264e-07,1.52773e-09,-315.019,69,276,3.12853e-06,3.55655e-09,0.0355035,0
S,0,0,0,BORE3D,26.3206,0.019169,1399.4,50,193,1.90138e-05,1.19899e-05,0.0777644,0
S,1,0,0,BRANDY,0.0138318,9.10878e-06,1518.52,88,388,8.02123e-05,1.39102e-06,0.167294,0
S,1,0,0,CAPRI,0.0421609,1.56731e-05,2690.06,93,475,3.05086e-05,2.44382e-05,0.16775,0
S,0,0,0,CYCLE,0.675484,0.129245,-4.55091,81,926,8.38878e-05,3.7387e-07,4.62686,0
S,1,0,0,CZPROB,0.00258379,1.18241e-09,2.1852e+06,73,483,3.83153e-07,3.81427e-05,0.587739,0
S,1,0,0,D2Q06C,46.4643,0.000378422,122831,6696,87250,9.98458e-05,9.98926e-08,240.225,0
S,1,0,0,D6CUBE,0.000532297,1.6872e-06,315.492,51,393,5.19178e-05,1.44265e-06,2.33584,0
S,1,0,0,DEGEN2,0.00144709,1.0083e-06,-1435.18,19,70,3.5992e-05,5.29432e-09,0.106313,0
S,1,0,0,DEGEN3,0.000904317,9.15955e-07,-987.295,28,143,8.10099e-05,1.67259e-08,1.09759,0
S,0,3,1,DFL001,1.8123e+07,1.60859,-6.85664e+06,220,2011,8.89676,2.97986e-07,21.8936,0
S,0,0,0,E226,7.32356,0.39055,-11.4284,39,200,8.33421e-05,4.93398e-08,0.0747234,0
S,1,0,0,ETAMACRO,1.40739,0.00186233,-754.308,37,261,9.35562e-05,9.56227e-06,0.182126,0
S,1,3,0,FFFFF800,507.494,0.000913286,556187,12666,342199,0.00563266,1.12432e-07,70.0666,0
S,1,0,0,FINNIS,0.138012,7.98723e-07,172791,65,337,4.9802e-05,0.000191188,0.162438,0
S,1,0,0,FIT1D,0.00349223,3.81815e-07,-9146.38,30,166,2.04927e-05,1.30035e-05,0.0552357,0
S,1,0,0,FIT1P,0.0143508,1.56901e-06,9146.36,43,134,7.05904e-05,2.185e-05,4.82554,0
S,1,0,0,FIT2D,0.219795,3.21036e-06,-68464.1,31,249,4.8009e-05,9.23177e-09,1.00044,0
S,1,0,0,FIT2P,0.0100848,1.47301e-07,68464.3,47,199,7.61597e-05,1.60106e-05,562.99,0
S,1,0,0,FORPLAN,0.276643,0.000416494,-663.942,152255,1028069,4.3995e-05,8.86111e-08,144.59,0
