System,agree,opt_status,diverged,name,abs_err,rel_err,obj_val,PMM_iter,SSN_iter,PMM_tol_achieved,SSN_tol_achieved,solving_time_sec,linesearch_fail
S,1,0,0,AUG2D,178.222,0.000105619,1.68723e+06,31,51,4.51635e-05,1.01679e-05,0.522619,0
S,1,0,0,AUG2DC,308.403,0.000169604,1.81806e+06,30,31,7.2296e-05,2.9532e-09,0.318186,0
S,1,0,0,AUG2DCQP,773.633,0.000119055,6.49736e+06,40,106,9.75865e-05,1.80307e-05,1.73467,0
S,1,0,0,AUG2DQP,257.363,4.12638e-05,6.23675e+06,39,75,3.378e-05,1.71475e-08,1.29379,0
S,1,0,0,AUG3D,0.0691251,0.000124759,553.999,5,6,7.75242e-05,3.47998e-05,0.0129925,0
S,1,0,0,AUG3DC,0.0454678,5.89525e-05,771.217,6,7,3.49818e-05,1.33838e-07,0.0140983,0
S,1,0,0,AUG3DCQP,0.0558102,5.61831e-05,993.306,13,27,5.57387e-05,3.78692e-06,0.0534856,0
S,1,0,0,AUG3DQP,0.0657527,9.73772e-05,675.172,12,24,9.40669e-05,4.63839e-12,0.0540029,0
S,1,0,0,BOYD1,26016.3,0.000421418,-6.17092e+07,273,10042,9.53542e-05,0.000943253,317.229,22
K,0,0,0,BOYD2,40.7221,1.91572,61.9788,34,423,8.54161e-05,3.5017e-05,45.8028,0
S,1,0,0,CONT-050,0.0419712,0.00919645,-4.52188,48,109,9.56924e-05,7.78228e-06,0.574923,0
S,0,0,0,CONT-100,1.02541,0.220783,-3.61899,41,147,9.97447e-05,3.4528e-06,5.88422,0
S,0,0,0,CONT-101,0.0592851,0.303206,0.254812,55,247,8.29863e-05,1.39655e-05,10.243,0
S,0,0,0,CONT-200,1.65651,0.353586,-3.02837,44,318,5.68287e-05,2.57749e-07,82.1064,0
S,0,0,0,CONT-201,0.0532487,0.276641,0.245732,68,593,6.52565e-05,6.93948e-07,153.511,0
S,0,4,0,CONT-300,0.192036,1.00273,-0.000523736,27,169,0.00116595,4.05496e-05,1279.11,0
S,0,4,1,CVXQP1L,1.08439e+08,0.997558,265451,22,1160,1.29936,0.0270751,1630.5,26
S,0,4,0,CVXQP1M,70095.1,0.0644546,1.01742e+06,47,166,0.0360215,0.00639344,948.623,0
S,1,0,0,CVXQP1S,1.44051,0.000124282,11589.3,47,198,8.75214e-05,2.03324e-05,0.100056,0
S,0,4,1,CVXQP2L,8.11736e+07,0.991828,668855,25,861,1.52816,0.108326,641.688,15
S,1,4,0,CVXQP2M,0.00101577,1.23851e-09,820155,293,11402,0.00948793,0.00948795,935.712,75
S,1,0,0,CVXQP2S,0.151829,1.8696e-05,8120.79,35,98,7.7683e-05,1.42967e-05,0.0285726,0
S,0,4,1,CVXQP3L,1.14968e+08,0.993575,743482,15,477,1.07263,0.102089,612.796,5
S,0,4,0,CVXQP3M,255085,0.187173,1.10774e+06,170,6564,0.0155568,0.00393457,602.35,77
S,1,4,0,CVXQP3S,0.000202316,1.69395e-08,11943.4,44312,1914625,0.00305589,0.00305588,600.001,15832
S,1,0,0,DPKLO1,0.000166781,0.000450643,0.369929,6,8,7.8885e-05,1.52835e-05,0.00243425,0
S,1,0,0,DTOC3,0.619101,0.00263153,234.643,108,3256,4.49117e-05,4.49039e-05,14.4915,0
S,1,0,0,DUAL1,1.60971e-05,0.000459746,0.0349969,8,12,9.24584e-05,4.4282e-11,0.00762404,0
