System,agree,opt_status,diverged,name,abs_err,rel_err,obj_val,PMM_iter,SSN_iter,PMM_tol_achieved,SSN_tol_achieved,solving_time_sec,linesearch_fail
S,1,0,0,25FV47,2.27042,0.000412666,5504.12,49,727,5.91927e-05,3.82707e-06,1.61143,0
S,1,0,0,80BAU3B,3.06755,3.10722e-06,987229,64,1275,5.16453e-05,5.3586e-07,7.74716,0
S,1,0,0,ADLITTLE,0.00131483,5.83088e-09,225495,36,96,5.2871e-07,0.000616748,0.006695,0
S,1,0,0,AFIRO,3.63694e-05,7.82554e-08,-464.753,26,56,2.91007e-05,0.000174058,0.00142767,0
K,1,0,0,AGG,6158.77,0.000171116,-3.59856e+07,71,627,9.91998e-05,0.000768802,0.0528852,1
K,1,0,0,AGG2,4497.64,0.000222224,-2.02348e+07,112,2457,8.91176e-05,0.00122105,0.132764,0
K,1,0,0,AGG3,3360.01,0.000325831,1.03155e+07,142,3659,8.40935e-05,0.00136391,0.171204,0
S,1,0,0,BANDM,0.0292383,0.00018432,-158.599,48,360,8.46011e-05,8.20812e-06,0.24233,0
S,1,0,0,BEACONFD,90.0436,0.00268047,33682.5,56,615,8.20104e-05,4.21232e-05,0.0411043,0
S,1,0,0,BLEND,1.69977e-05,5.51656e-07,-30.8122,25,80,5.06895e-06,1.50777e-06,0.00718908,0
S,1,0,0,BNL1,3.65343,0.00184738,1981.28,79,1992,9.33666e-05,0.00016473,1.60829,14
S,0,0,0,BNL2,24.3192,0.0134269,1835.56,60,1326,6.13102e-05,0.000264734,4.60845,0
S,1,0,0,BOEING1,0.157476,0.000469778,-335.056,65,568,9.99705e-05,4.21016e-06,0.171549,0
K,1,0,0,BOEING2,1.51342e-08,4.80421e-11,-315.019,59,255,1.96985e-07,2.47325e-07,0.0304825,0
S,0,0,0,BORE3D,26.9062,0.0195955,1399.99,43,224,4.09766e-05,1.93554e-05,0.0693512,0
S,1,0,0,BRANDY,4.26346e-06,2.80766e-09,1518.51,64,467,5.49744e-05,2.98896e-05,0.145518,0
S,1,0,0,CAPRI,0.00452695,1.68287e-06,2690.02,67,751,8.01473e-05,0.000208895,0.168332,4
S,0,0,0,CYCLE,0.594666,0.113781,-4.63173,88,1757,5.25822e-05,0.000103564,8.07085,0
S,1,0,0,CZPROB,0.000433196,1.98241e-10,2.1852e+06,54,818,3.5586e-07,0.000107857,0.574909,7
S,1,0,0,D2Q06C,44.1769,0.000359793,122828,145,5083,9.63403e-05,0.000389918,22.2313,15
S,1,0,0,D6CUBE,0.000182801,5.79416e-07,315.492,48,419,2.33505e-05,9.88617e-06,2.4721,0
S,1,0,0,DEGEN2,0.00336736,2.3463e-06,-1435.17,15,62,6.02831e-05,1.21798e-08,0.0888482,0
S,1,0,0,DEGEN3,0.00698547,7.07537e-06,-987.287,21,124,7.05973e-05,3.21148e-08,0.96433,0
S,0,4,0,DFL001,5.36099e+07,4.75839,6.48763e+07,1090,45281,0.13882,0.21742,600.677,470
S,0,0,0,E226,7.33084,0.390938,-11.4211,34,193,8.69011e-05,9.82786e-08,0.0768747,0
S,1,0,0,ETAMACRO,1.34825,0.00178408,-754.367,33,264,4.09845e-05,5.79906e-07,0.175887,0
S,1,4,0,FFFFF800,26.9487,4.84969e-05,555707,20064,839705,0.00620474,0.0141635,600.017,3682
S,1,0,0,FINNIS,0.138062,7.99013e-07,172791,51,385,4.9805e-05,0.000314819,0.142225,0
S,1,0,0,FIT1D,0.00165907,1.8139e-07,-9146.38,24,176,2.49741e-05,3.55469e-06,0.0525567,0
S,1,0,0,FIT1P,0.00377361,4.1258e-07,9146.38,36,135,2.92242e-05,1.46968e-05,4.8039,0
S,1,0,0,FIT2D,0.290579,4.24424e-06,-68464,22,239,3.70205e-05,6.66179e-09,0.851921,0
S,1,0,0,FIT2P,0.00711336,1.03899e-07,68464.3,34,198,4.47248e-05,2.25794e-05,554.775,0
S,1,0,0,FORPLAN,0.000221746,3.33845e-07,-664.219,8918,358015,9.71922e-05,0.000215294,25.6803,2975
S,1,0,0,GANGES,0.628068,5.73126e-06,-109586,57,646,2.51208e-05,4.40091e-05,0.954967,0
S,1,0,0,GFRD-PNC,14784.2,0.00214194,6.91702e+06,48,481,4.28907e-05,0.000308784,0.257093,2
S,0,4,0,GREENBEA,1.87646e+06,0.0258956,-7.05859e+07,10662,392153,0.0244438,4.34705e-07,600.012,6379
S,1,4,0,GREENBEB,338.973,7.87915e-05,-4.30181e+06,9925,406272,0.000159695,3.4609e-07,600.045,4668
S,1,0,0,GROW15,0.00357534,3.34547e-11,-1.06871e+08,379,12798,6.30289e-05,0.000499873,5.35514,64
S,1,0,0,GROW22,0.002563,1.59357e-11,-1.60834e+08,1199,45580,8.07348e-05,0.000639783,29.1265,364
S,1,0,0,GROW7,0.000288494,6.03698e-12,-4.77878e+07,199,5457,5.38679e-05,0.0004423,1.01708,10
K,1,0,0,ISRAEL,4150.29,0.00462869,-892495,42,224,7.29414e-05,6.33378e-08,0.0269967,0
K,1,0,0,KB2,0.0107926,6.16754e-06,-1749.89,54,234,6.4107e-05,1.60387e-06,0.00466621,0
S,1,0,0,LOTFI,2.05095e-10,8.11783e-12,-25.2647,1461,59241,4.98451e-05,8.29972e-05,3.55651,299
S,0,0,0,MAROS,3105.91,0.0534913,-54957.8,708,28681,9.94846e-05,0.00109037,22.3119,238
S,1,0,0,MAROS-R7,2.03475e-05,1.35905e-11,1.49719e+06,71,1151,1.33849e-05,2.67865e-05,149.751,0
S,0,0,0,MODSZK1,596410,1860.18,596731,53,487,8.13973e-05,2.1844e-05,0.80243,0
S,1,0,0,NESM,28.384,2.01647e-06,1.40761e+07,59,1281,4.68112e-05,0.000557296,1.59884,0
S,0,4,1,PEROLD,3431.97,0.365852,-5948.79,38256,1799029,2.22512,0.0012401,600.002,17653
S,0,4,0,PILOT,124.243,0.222895,-433.162,1319,53887,0.748601,0.000454216,600.247,509
S,0,4,1,PILOT.JA,1776.68,0.290633,-4336.46,13744,585724,1.68689,0.003281,600.017,6087
S,1,0,0,PILOT.WE,5413,0.00199,-2.71469e+06,561,22139,9.28333e-05,0.00013402,9.70414,277
S,0,4,1,PILOT4,2.24379e+06,869.303,2.24121e+06,137843,5567074,5.34749e+13,5.51989e+13,1354.39,47291
S,0,0,0,PILOT87,6.77615,0.0224591,308.487,98,3102,8.43673e-05,5.73587e-06,143.594,0
S,0,4,1,PILOTNOV,1536.48,0.341648,-2960.79,15650,701752,4.29528,0.00276279,1369.93,7197
S,1,0,0,RECIPE,6.65566e-06,2.49635e-08,-266.616,31,77,3.68851e-06,1.10644e-05,0.00215775,0
K,1,0,0,SC105,3.17502e-09,6.08217e-11,-52.2021,55,187,6.02271e-07,8.71096e-07,0.0075335,0
K,1,0,0,SC205,2.9236e-08,5.60055e-10,-52.2021,80,706,4.15609e-06,1.64908e-05,0.0357157,0
K,1,0,0,SC50A,3.73573e-08,5.7851e-10,-64.5751,40,94,4.66367e-05,9.03178e-05,0.00190558,0
