System,infeas_detected,opt_status,name,PMM_iter,SSN_iter,PMM_res,SSN_res,solving_time_sec,linesearch_fails
S,0,1,BGDBG1,1000,40003,0.552948,5.68306e-05,1.52775,530
S,0,1,BGETAM,1000,39655,0.969163,0.00120979,2.88882,518
S,0,1,BGINDY,1000,40855,0.107884,0.00277313,53.3306,486
S,0,1,BGPRTR,1000,42231,0.0163146,0.000194822,0.231135,497
S,0,1,BOX1,1000,39572,0.109554,0.00013059,4.15168,502
K,1,-2,CERIA3D,26,61,1e+20,1e+20,0.123207,0
S,0,1,CHEMCOM,1000,39401,0.93501,0.00367929,2.51005,517
S,0,1,CPLEX1,1000,40221,0.00303169,0.0411173,72.6633,445
K,0,0,CPLEX2,30,110,1.11775e-07,4.30865e-09,0.013827,0
S,0,1,EX72A,1000,39831,0.0179489,8.73721e-05,2.87124,492
S,0,1,EX73A,1000,39315,0.0404155,5.64744e-05,2.78558,480
S,0,1,GALENET,1000,39415,0.823529,0.00359789,0.18909,513
S,0,1,GOSH,1000,30294,0.000497821,2.70533e-09,197.923,864
K,0,1,GRAN,1000,39277,7.59988e-05,0.00129626,17.6362,256
S,0,1,GREENBEA,1000,41464,0.927684,7.14757e-05,73.3961,548
K,1,-2,ITEST2,6,8,1e+20,1e+20,0.000111292,0
K,0,1,ITEST6,1000,35439,0.883841,0.0078125,0.133799,0
S,1,-2,KLEIN1,98,709,1e+20,1e+20,0.10331,1
K,1,-2,KLEIN2,62,744,1e+20,1e+20,0.118544,0
K,1,-2,KLEIN3,109,2084,1e+20,1e+20,0.491936,0
S,0,1,MONDOU2,1000,38753,0.000933427,2.8066e-05,5.3422,492
S,0,1,PANG,1000,42174,0.000131143,4.92381e-05,4.08621,466
S,0,1,PILOT4I,1000,42760,0.0010431,7.90467e-05,15.364,455
S,0,1,QUAL,1000,38045,8.53739e-05,0.001775,12.0213,2
S,0,1,REACTOR,1000,40710,0.0106469,0.000287065,5.57983,445
S,0,1,REFINERY,1000,40091,0.0146665,0.00010832,13.1053,524
S,0,1,VOL1,1000,38270,0.000148208,0.00159762,11.5431,24
S,0,1,WOODINFE,1000,36180,0.833333,0.00987388,0.765527,283

S,0,1,BGDBG1,1000,40003,0.552948,5.68306e-05,1.462,530
S,0,1,BGETAM,1000,39655,0.969163,0.00120979,2.90767,518
S,0,1,BGINDY,1000,40855,0.107884,0.00277313,52.9944,486
S,0,1,BGPRTR,1000,42231,0.0163146,0.000194822,0.232553,497
S,0,1,BOX1,1000,39572,0.109554,0.00013059,4.21026,502
K,1,-2,CERIA3D,21,54,1e+20,1e+20,0.124904,0
S,0,1,CHEMCOM,1000,39401,0.93501,0.00367929,2.61693,517
S,0,1,CPLEX1,1000,40221,0.00303169,0.0411173,73.1714,445
K,0,0,CPLEX2,30,110,1.11775e-07,4.30865e-09,0.0135352,0
S,0,1,EX72A,1000,39831,0.0179489,8.73721e-05,2.80967,492
S,0,1,EX73A,1000,39315,0.0404155,5.64744e-05,2.86273,480
S,0,1,GALENET,1000,39415,0.823529,0.00359789,0.157464,513
S,0,1,GOSH,1000,30294,0.000497821,2.70533e-09,197.964,864
K,0,1,GRAN,1000,39277,7.59988e-05,0.00129626,16.9878,256
S,0,1,GREENBEA,1000,41464,0.927684,7.14757e-05,76.6435,548
K,1,-2,ITEST2,5,7,1e+20,1e+20,0.000107292,0
K,0,1,ITEST6,1000,35439,0.883841,0.0078125,0.110953,0
S,1,-2,KLEIN1,97,704,1e+20,1e+20,0.0345265,1
K,1,-2,KLEIN2,62,744,1e+20,1e+20,0.114789,0
K,1,-2,KLEIN3,109,2084,1e+20,1e+20,0.515608,0
S,0,1,MONDOU2,1000,38753,0.000933427,2.8066e-05,6.64356,492
S,0,1,PANG,1000,42174,0.000131143,4.92381e-05,4.27858,466
S,0,1,PILOT4I,1000,42760,0.0010431,7.90467e-05,16.0254,455
S,0,1,QUAL,1000,38045,8.53739e-05,0.001775,12.0537,2
S,0,1,REACTOR,1000,40710,0.0106469,0.000287065,5.59066,445
S,0,1,REFINERY,1000,40091,0.0146665,0.00010832,13.9018,524
S,0,1,VOL1,1000,38270,0.000148208,0.00159762,13.3569,24
S,0,1,WOODINFE,1000,36180,0.833333,0.00987388,0.751922,283

1e-6
S,1,-2,BGDBG1,14,36,1e+20,1e+20,0.013826,0
S,1,-2,BGETAM,27,146,1e+20,1e+20,0.0806724,0
S,1,-2,BGINDY,22,225,1e+20,1e+20,1.26695,0
S,1,-2,BGPRTR,25,74,1e+20,1e+20,0.00128717,0
S,1,-2,BOX1,31,37,1e+20,1e+20,0.00581013,0
K,1,-2,CERIA3D,26,62,1e+20,1e+20,0.125948,0
S,1,-2,CHEMCOM,18,61,1e+20,1e+20,0.0279854,0
