System,agree,opt_status,diverged,name,abs_err,rel_err,obj_val,PMM_iter,SSN_iter,Krylov_iter,fact,PMM_tol_achieved,SSN_tol_achieved,solving_time_sec,linesearch_fail
S,1,0,0,25FV47,0.00668656,1.21533e-06,5501.85,118,3417,19516,895,9.49663e-07,1.77047e-05,2.38936,0
S,1,0,0,80BAU3B,4.39831,4.4552e-06,987228,61,1374,60563,1324,9.95701e-07,4.15655e-07,8.28446,0
S,1,0,0,ADLITTLE,0.000324419,1.4387e-09,225495,36,120,1024,78,9.37468e-08,3.03903e-06,0.00713829,0
S,1,0,0,AFIRO,5.49759e-07,1.18291e-09,-464.753,27,67,516,26,7.88077e-09,8.89853e-08,0.00126525,0
K,1,0,0,AGG,6207.86,0.00017248,-3.59856e+07,101,2455,0,348,1.08958e-07,5.4564e-05,0.119916,0
K,1,0,0,AGG2,1.81124e-05,8.94913e-13,-2.02393e+07,667,24929,0,944,1.42257e-08,2.02114e-05,0.787037,0
K,1,0,0,AGG3,8.91518e-05,8.64534e-12,1.03121e+07,923,35058,0,1181,1.3238e-07,0.000167626,1.14936,0
S,1,0,0,BANDM,1.55603e-09,9.80931e-12,-158.628,118,3255,4423,3255,3.73523e-07,9.34524e-06,1.69822,0
S,1,0,0,BEACONFD,0.27618,8.22147e-06,33592.8,1726,66606,5530,78,6.18954e-07,1.37246e-05,1.4225,0
S,1,0,0,BLEND,3.90205e-09,1.2664e-10,-30.8121,27,90,668,69,4.94583e-08,5.27172e-09,0.00733079,0
S,1,0,0,BNL1,0.384624,0.000194487,1978.01,148,4887,30204,1909,8.30056e-07,4.04976e-05,2.30331,1
S,1,0,0,BNL2,0.54479,0.000300783,1811.78,260,9653,115937,5002,9.48414e-07,6.73883e-05,17.2564,0
S,1,0,0,BOEING1,1.92013e-05,5.72808e-08,-335.214,93,1740,8789,609,4.65011e-07,4.65649e-06,0.221238,0
K,1,0,0,BOEING2,7.68716e-09,2.44022e-11,-315.019,60,276,0,268,1.42244e-08,1.53744e-07,0.0338693,0
S,1,0,0,BORE3D,8.65557e-05,6.30376e-08,1373.08,3916,154768,14605,417,6.62447e-07,1.48417e-05,2.50973,0
S,1,0,0,BRANDY,0.0143219,9.43157e-06,1518.52,74,1378,5751,367,9.08588e-07,4.68905e-06,0.183684,0
