name,ssn_solved,ssn_time,ssn_iters,ssn_status,ssn_obj,qpalm_solved,qpalm_time,qpalm_iters,qpalm_status,qpalm_obj,osqp_solved,osqp_time,osqp_iters,osqp_status,osqp_obj
AUG2D,1,0.727584334,70,0,1687409.4139730097,1,0.071537958,16,1,1677451.6548751993,1,0.035097583,50,1,1677511.3290552208
AUG2DC,1,0.36029225000000004,34,0,1818364.2599492187,1,0.076940833,16,1,1808267.7914470825,1,0.035578583,50,1,1808267.2039653806
AUG2DCQP,1,2.5425104590000003,185,0,6498130.370990974,1,0.37471025,47,1,6487968.499224074,1,1.285637,1700,1,6488037.006966587
AUG2DQP,1,1.632966,96,0,6237003.817543851,1,0.331461041,57,1,6227067.414828271,1,1.143268333,1525,1,6227112.320279438
AUG3D,1,0.018373333,8,0,554.0670634538062,1,0.012457875,10,1,-782.433172613789,1,0.006532291,50,1,-782.4322742195347
AUG3DC,1,0.019653834,9,0,771.2618390091297,1,0.014589,16,1,-1165.2379103693238,1,0.006505666,50,1,-1165.2375613543259
AUG3DCQP,1,0.080241084,44,0,993.3610887838086,1,0.04019275,35,1,-943.1378599380864,1,0.013674708,100,1,-943.137988596528
AUG3DQP,1,0.06814816600000001,31,0,675.2369719762592,1,0.044688833,35,1,-661.2623526416307,1,0.013849041,100,1,-661.2623283874609
BOYD1,0,180.222414791,5457,4,-61679516.128062904,1,3.116902666,156,1,-61735218.69934834,0,179.925302666,46593,8,-61735218.4216431
BOYD2,0,185.815509959,3532,4,61.6862084389418,1,75.331615416,5365,1,21.256245236508413,0,179.920909375,52237,8,24014.003768438048
CONT-050,1,1.5900113329999999,310,0,-4.563849601672487,1,0.025847083,11,1,-4.56385048122636,1,0.447649708,1775,1,-4.563851392513337
CONT-100,1,19.574263374999997,500,0,-4.644375988528896,1,0.653616916,33,1,-4.644415521097686,1,11.569318833,8625,1,-4.644399705259209
CONT-101,1,37.033128125000005,1094,0,0.19558010796666325,1,3.150130708,123,1,0.19529107611552288,1,15.858126875,10925,1,0.19552935040573538
CONT-200,0,189.477642834,751,4,-4.682187048060699,1,1.728526416,15,1,-4.685169773951925,0,179.7388875,24065,8,-4.683694092632572
CONT-201,0,185.586009125,741,4,0.19683721104038465,1,61.079845458,259,1,0.19279824182686078,0,179.654694916,22098,8,0.6649223055219579
CONT-300,0,183.367945625,285,4,-0.0006219381449944475,0,179.998818,160,-5,-0.09849199225872686,0,178.745006875,8198,8,1.5614793410738088
CVXQP1L,0,196.39990562500003,129,4,576264.2220636918,0,180.068083041,362,-5,108696971.20288813,1,54.77413275,8400,1,108704777.01418243
CVXQP1M,0,181.07137504099998,2276,4,1047800.7863807855,1,0.141425541,80,1,1087510.493655371,1,0.087966,625,1,1087511.554541954
CVXQP1S,1,0.266833167,636,0,11590.704242146228,1,0.001006833,37,1,11590.718060485195,1,0.001578625,425,1,11590.717496574516
CVXQP2L,0,185.30493058300002,123,4,593282.331010649,1,40.019722125,113,1,81842458.0463713,1,8.372447958,1650,1,81842458.26015085
CVXQP2M,1,39.702524125000004,1222,0,820155.3944649354,1,0.087778375,60,1,820155.4131144702,1,0.020709458,175,1,820155.4302829508
CVXQP2S,1,0.056775458,241,0,8120.936465957975,1,0.000804875,35,1,8120.940202582617,1,0.000261541,75,1,8120.9404799686345
CVXQP3L,0,207.987536166,129,4,507637.57884321053,1,138.967166208,257,1,115711106.85936986,1,86.247047708,12000,1,115711032.47000532
CVXQP3M,0,185.235927917,1880,4,1099151.0344992075,1,0.214828833,113,1,1362828.3891311693,1,0.45844175,3000,1,1362828.7028892862
CVXQP3S,1,1.656302917,2702,0,11943.420141747483,1,0.001223958,39,1,11943.432069999924,1,0.000467875,100,1,11943.431057830818
DPKLO1,1,0.0065930830000000005,19,0,0.3700960255313862,1,0.001364166,16,1,0.3700956934578646,1,0.000459458,50,1,0.37009621720634406
DTOC3,1,27.584399,5819,0,235.2553137267066,1,0.242777208,126,1,235.25594524888942,1,63.222241333,156025,1,235.2629517328577
DUAL1,1,0.026005167,34,0,0.03501290218137632,1,0.001466916,21,1,0.035012946828452435,1,0.000457875,50,1,0.0350129660096062
DUAL2,1,0.031701208,43,0,0.03373364644734964,1,0.001565125,13,1,0.03373367841103344,1,0.000494041,50,1,0.03373367619184395
DUAL3,1,0.047420000000000004,45,0,0.135755764013891,1,0.001592625,15,1,0.13575574835334817,1,0.000668958,50,1,0.13575583620789974
DUAL4,1,0.034152708,82,0,0.7460900304920357,1,0.000664708,15,1,0.746090432363693,1,0.00031575,50,1,0.7460908274281847
DUALC1,1,0.006811792,317,0,6151.713390603325,1,0.0004395,23,1,6138.272441608012,1,0.003283041,700,1,6155.206621109025
