name,ssn_solved,ssn_time,ssn_iters,ssn_status,ssn_obj,qpalm_solved,qpalm_time,qpalm_iters,qpalm_status,qpalm_obj,osqp_solved,osqp_time,osqp_iters,osqp_status,osqp_obj
AUG2D,1,0.7415866670000001,70,0,1687409.4139730097,1,0.072937166,16,1,1677451.6548751993,1,0.035193583,50,1,1677511.3290552208
AUG2DC,1,0.362138542,34,0,1818364.2599492187,1,0.077772333,16,1,1808267.7914470825,1,0.035372166,50,1,1808267.2039653806
AUG2DCQP,1,2.542985791,185,0,6498130.370990974,1,0.318931875,47,1,6487968.499224074,1,1.29932025,1700,1,6488037.006966587
AUG2DQP,1,1.760121625,96,0,6237003.817543851,1,0.341312458,57,1,6227067.414828271,1,1.156710125,1525,1,6227112.320279438
AUG3D,1,0.017087375000000002,8,0,554.0670634538062,1,0.010135375,10,1,-782.433172613789,1,0.006370666,50,1,-782.4322742195347
AUG3DC,1,0.018983667,9,0,771.2618390091297,1,0.015083875,16,1,-1165.2379103693238,1,0.0066515,50,1,-1165.2375613543259
AUG3DCQP,1,0.07772504200000001,44,0,993.3610887838086,1,0.040463041,35,1,-943.1378599380864,1,0.013767666,100,1,-943.137988596528
AUG3DQP,1,0.06775125,31,0,675.2369719762592,1,0.044755333,35,1,-661.2623526416307,1,0.013649375,100,1,-661.2623283874609
BOYD1,0,180.718551291,5257,4,-61677224.385689706,1,3.128923125,156,1,-61735218.69934834,0,179.922150208,46496,8,-61735218.40175485
BOYD2,0,183.344449583,3532,4,61.6862084389418,1,76.040707958,5365,1,21.256245236508413,0,179.92776325,51868,8,24706.052642989693
CONT-050,1,1.591180542,310,0,-4.563849601672487,1,0.0253985,11,1,-4.56385048122636,1,0.449678,1775,1,-4.563851392513337
CONT-100,1,19.740349708000004,500,0,-4.644375988528896,1,0.654891916,33,1,-4.644415521097686,1,11.5647925,8625,1,-4.644399705259209
CONT-101,1,37.623832875,1094,0,0.19558010796666325,1,3.142984,123,1,0.19529107611552288,1,15.903620583,10925,1,0.19552935040573538
CONT-200,0,188.384918958,751,4,-4.682187048060699,1,1.654054166,15,1,-4.685169773951925,0,179.740214375,23901,8,-4.683557617658447
CONT-201,0,187.007935167,741,4,0.19683721104038465,1,61.368096666,259,1,0.19279824182686078,0,179.648504166,21954,8,0.6714569455847715
CONT-300,0,184.194690125,285,4,-0.0006219381449944475,0,180.200429125,159,-5,-0.09848895326683278,0,178.751654291,8141,8,1.5868923887501096
CVXQP1L,0,197.285951167,129,4,576264.2220636918,0,180.498370541,360,-5,108696822.8214465,1,54.910570208,8400,1,108704777.01418243
CVXQP1M,0,181.08074687500002,2276,4,1047800.7863807855,1,0.143173333,80,1,1087510.493655371,1,0.088293708,625,1,1087511.554541954
CVXQP1S,1,0.264699916,636,0,11590.704242146228,1,0.001022125,37,1,11590.718060485195,1,0.001577333,425,1,11590.717496574516
CVXQP2L,0,185.4694365,123,4,593282.331010649,1,40.06955375,113,1,81842458.0463713,1,8.374780833,1650,1,81842458.26015085
CVXQP2M,1,39.888982250000005,1222,0,820155.3944649354,1,0.088607458,60,1,820155.4131144702,1,0.020699666,175,1,820155.4302829508
CVXQP2S,1,0.058127083,241,0,8120.936465957975,1,0.000801208,35,1,8120.940202582617,1,0.000259875,75,1,8120.9404799686345
CVXQP3L,0,210.83886566700002,129,4,507637.57884321053,1,139.999037166,257,1,115711106.85936986,1,86.797735,12000,1,115711032.47000532
CVXQP3M,0,828.42811525,1158,4,1097918.926303308,1,0.208361083,113,1,1362828.3891311693,1,0.45669525,3000,1,1362828.7028892862
CVXQP3S,1,1.521856042,2702,0,11943.420141747483,1,0.001239291,39,1,11943.432069999924,1,0.000464916,100,1,11943.431057830818
DPKLO1,1,0.005773333,19,0,0.3700960255313862,1,0.001327625,16,1,0.3700956934578646,1,0.000453375,50,1,0.37009621720634406
DTOC3,1,26.252317208,5819,0,235.2553137267066,1,0.235812541,126,1,235.25594524888942,1,64.487531583,156025,1,235.2629517328577
DUAL1,1,0.021571209,34,0,0.03501290218137632,1,0.001435166,21,1,0.035012946828452435,1,0.000414833,50,1,0.0350129660096062
DUAL2,1,0.030340875,43,0,0.03373364644734964,1,0.001090375,13,1,0.03373367841103344,1,0.000507708,50,1,0.03373367619184395
DUAL3,1,0.046928708,45,0,0.135755764013891,1,0.0019535,15,1,0.13575574835334817,1,0.000667083,50,1,0.13575583620789974
DUAL4,1,0.038803708,82,0,0.7460900304920357,1,0.0006605,15,1,0.746090432363693,1,0.000324375,50,1,0.7460908274281847
DUALC1,1,0.0073035,317,0,6151.713390603325,1,0.000449958,23,1,6138.272441608012,1,0.003274458,700,1,6155.206621109025
DUALC2,1,0.002289833,78,0,3551.396218223087,1,0.000304041,15,1,3550.8232574552844,1,0.00129,275,1,3551.3114210176377
DUALC5,1,0.008664708,330,0,427.23217616235695,1,0.000201875,8,1,426.5879814024128,1,0.000465916,75,1,427.2323132275329
DUALC8,1,0.09712462499999999,2277,0,18309.05091938283,1,0.000659875,16,1,18304.442542577093,1,0.000826958,75,1,18309.355283092387
