System,agree,opt_status,diverged,name,abs_err,rel_err,obj_val,PMM_iter,SSN_iter,Krylov_iter,fact,PMM_tol_achieved,SSN_tol_achieved,solving_time_sec,linesearch_fail
S,1,0,0,AUG2D,3.37935,2.00268e-06,1.68741e+06,57,83,1476,1,8.44612e-07,7.40104e-08,1.07468,0
S,1,0,0,AUG2DC,2.09192,1.15044e-06,1.81837e+06,36,37,485,1,4.82351e-07,3.94524e-09,0.407756,0
S,1,0,0,AUG2DCQP,14.9546,2.30137e-06,6.49812e+06,47,144,2426,27,9.38399e-07,7.15711e-06,1.93154,0
S,1,0,0,AUG2DQP,4.1298,6.62143e-07,6.23701e+06,48,109,1833,40,2.66082e-07,2.2113e-08,1.55455,0
S,1,0,0,AUG3D,0.000353242,6.37542e-07,554.067,6,7,30,1,3.84262e-07,1.82876e-07,0.00797642,0
S,1,0,0,AUG3DC,0.000217058,2.81432e-07,771.262,7,8,29,1,1.65677e-07,2.8975e-10,0.008791,0
S,1,0,0,AUG3DCQP,0.00111406,1.1215e-06,993.361,14,41,340,18,4.9731e-07,5.84566e-08,0.0535271,0
S,1,0,0,AUG3DQP,0.000658908,9.75817e-07,675.237,13,31,251,31,4.32741e-07,1.56911e-12,0.0642043,0
S,1,4,0,BOYD1,3382.91,5.47972e-05,-6.17318e+07,1673,13198,8766,642,5.21514e-05,0.000331476,180.008,1
K,0,4,0,BOYD2,35.9056,1.68914,57.1624,308,2394,0,991,1.68106e-05,0.000318682,180.73,0
S,1,0,0,CONT-050,1.22213e-06,2.67784e-07,-4.56385,49,164,1300,21,8.44515e-07,8.57545e-07,0.561227,0
S,1,0,0,CONT-100,1.36112e-05,2.93067e-06,-4.64438,58,225,2021,22,7.27698e-07,3.50256e-07,4.21283,0
S,1,0,0,CONT-101,6.10413e-05,0.000312188,0.195588,85,398,12244,124,9.44557e-07,3.76227e-08,17.4769,0
S,1,0,0,CONT-200,0.000385662,8.23207e-05,-4.68449,72,291,2065,34,9.73107e-07,6.07771e-08,24.1796,0
S,1,0,0,CONT-201,0.00201547,0.0104709,0.194499,152,752,19149,336,9.16629e-07,1.1685e-07,164.131,0
S,0,4,0,CONT-300,0.194093,1.01348,-0.00258064,39,281,7076,281,0.000865661,8.95978e-05,185.288,0
S,0,4,0,CVXQP1L,1.08701e+08,0.999964,3939.02,1,3,1500,3,0.831548,0.0174227,216.026,0
S,0,4,0,CVXQP1M,62913.2,0.0578506,1.0246e+06,75,414,186045,51,0.0290482,0.148734,185.375,5
S,1,0,0,CVXQP1S,0.000116825,1.00792e-08,11590.7,205,1291,639055,4,7.61892e-07,0.000221281,6.41677,0
S,0,4,0,CVXQP2L,8.18038e+07,0.999528,38665.9,4,8,4000,8,0.880248,0.0126562,209.934,0
S,1,4,0,CVXQP2M,0.0697929,8.50972e-08,820155,111,721,342889,49,8.8926e-06,0.0262998,182.092,7
S,1,0,0,CVXQP2S,0.00684944,8.43429e-07,8120.93,40,161,74179,4,7.23684e-07,1.35778e-05,0.578201,0
S,0,4,0,CVXQP3L,1.15705e+08,0.999948,5998.8,1,3,1500,3,0.84489,0.0123319,312.087,0
S,0,4,0,CVXQP3M,273451,0.200649,1.08938e+06,81,456,136930,49,0.021449,0.0456167,180.923,7
S,1,4,0,CVXQP3S,0.0229652,1.92283e-06,11943.4,3520,27844,13913212,5,1.8968e-06,2.02128e-05,180.043,0
S,1,0,0,DPKLO1,1.17757e-06,3.1818e-06,0.370095,7,11,76,1,3.05846e-07,8.85249e-08,0.00122996,0
S,1,0,0,DTOC3,0.0214278,9.10804e-05,235.241,414,3250,111127,1,9.45839e-07,1.15568e-06,38.2379,0
S,1,0,0,DUAL1,1.35807e-07,3.87876e-06,0.0350128,12,33,506,6,9.47024e-07,1.41393e-07,0.00936479,0
S,1,0,0,DUAL2,2.12301e-08,6.29343e-07,0.0337337,12,33,383,2,4.93945e-07,6.76653e-08,0.00750742,0
S,1,0,0,DUAL3,1.31023e-07,9.65139e-07,0.135756,20,41,877,3,8.03846e-07,1.07752e-07,0.0208207,0
S,1,0,0,DUAL4,1.27504e-06,1.70897e-06,0.74609,24,71,1485,2,9.36129e-07,1.64487e-08,0.0175427,0
K,0,0,0,DUALC1,132.011,0.021447,6023.24,53,258,0,79,6.46999e-07,1.53209e-05,0.00771975,0
K,1,0,0,DUALC2,0.000100194,2.82133e-08,3551.31,23,93,0,37,1.35101e-08,7.18981e-06,0.00260075,0
K,1,0,0,DUALC5,0.000679103,1.58954e-06,427.232,23,160,0,25,7.83935e-07,5.49722e-07,0.00462179,0
K,1,0,0,DUALC8,1.62109,8.85389e-05,18307.7,107,820,0,112,9.61872e-07,1.93915e-06,0.0393682,0
K,1,0,0,EXDATA,5.54596e-07,3.90991e-09,-141.843,44,259,0,241,6.82268e-07,1.05946e-07,112.919,0
S,1,0,0,GENHS28,6.68239e-08,7.20727e-08,0.927174,5,7,33,1,5.16782e-08,4.9575e-09,0.000127541,0
S,1,0,0,GOULDQP2,3.87529e-06,0.0210299,0.000188151,63,221,8902,3,9.17725e-07,5.78487e-11,0.243249,0
