System,agree,opt_status,diverged,name,abs_err,rel_err,obj_val,PMM_iter,SSN_iter,Krylov_iter,fact,PMM_tol_achieved,SSN_tol_achieved,solving_time_sec,linesearch_fail
S,1,0,0,AUG2D,3.37935,2.00268e-06,1.68741e+06,57,83,0,36,8.44612e-07,7.40032e-08,0.398353,0
S,1,0,0,AUG2DC,2.09192,1.15044e-06,1.81837e+06,36,37,0,37,4.82351e-07,1.03847e-09,0.289655,0
S,1,0,0,AUG2DCQP,14.9546,2.30137e-06,6.49812e+06,47,144,1620,75,9.384e-07,7.158e-06,1.65534,0
S,1,0,0,AUG2DQP,4.1298,6.62143e-07,6.23701e+06,48,109,1390,85,2.66082e-07,1.78019e-08,1.57158,0
S,1,0,0,AUG3D,0.000353242,6.37542e-07,554.067,6,7,0,7,3.84262e-07,1.82876e-07,0.0110492,0
S,1,0,0,AUG3DC,0.000217058,2.81432e-07,771.262,7,8,0,8,1.65677e-07,2.89785e-10,0.0124657,0
S,1,0,0,AUG3DCQP,0.00111406,1.1215e-06,993.361,14,41,327,25,4.9731e-07,5.84569e-08,0.0520562,0
S,1,0,0,AUG3DQP,0.000658908,9.75817e-07,675.237,13,31,251,31,4.32741e-07,1.56911e-12,0.0643507,0
S,1,4,0,BOYD1,3372.63,5.46306e-05,-6.17318e+07,1671,13188,2116,1700,0.000168102,0.000335606,180.012,0
K,0,4,0,BOYD2,35.9069,1.6892,57.1637,306,2378,0,981,1.74996e-05,6.74134e-05,180.328,0
S,1,0,0,CONT-050,1.22213e-06,2.67784e-07,-4.56385,49,164,305,61,8.44515e-07,8.57357e-07,0.358419,0
S,1,0,0,CONT-100,1.36112e-05,2.93067e-06,-4.64438,58,225,380,71,7.27687e-07,3.48655e-07,3.20792,0
S,1,0,0,CONT-101,6.10412e-05,0.000312188,0.195588,85,407,3996,229,9.44577e-07,1.62934e-08,9.9801,0
S,1,0,0,CONT-200,0.000385662,8.23207e-05,-4.68449,72,270,493,81,9.73062e-07,2.61746e-08,23.1488,0
S,1,0,0,CONT-201,0.00201547,0.0104709,0.194499,152,696,9319,510,9.16634e-07,7.46512e-08,135.975,0
S,0,4,0,CONT-300,0.194093,1.01348,-0.00258064,39,281,7076,281,0.000865661,8.95978e-05,181.755,0
S,0,4,0,CVXQP1L,1.08701e+08,0.999964,3939.02,1,3,1500,3,0.831548,0.0174227,215.884,0
