System,infeas_detected,opt_status,name,PMM_iter,SSN_iter,Krylov_iter,fact,PMM_res,SSN_res,solving_time_sec,linesearch_fail
S,1,-2,BGDBG1,28,50,858,48,1e+20,1e+20,0.0154072,0
S,1,-2,BGETAM,28,122,2674,122,1e+20,1e+20,0.0732926,0
S,1,-2,BGINDY,88,721,19424,699,1e+20,1e+20,3.55927,10
S,1,-2,BGPRTR,48,120,596,66,1e+20,1e+20,0.00165367,0
S,0,4,BOX1,272076,2360035,995864,397702,0.109554,2.45741e-05,60,125657
K,1,-2,CERIA3D,25,60,0,59,1e+20,1e+20,0.104015,0
S,1,-2,CHEMCOM,92,655,7466,249,1e+20,1e+20,0.144058,81
S,1,-2,CPLEX1,54,511,3627,178,1e+20,1e+20,17.0757,35
K,0,0,CPLEX2,33,79,0,77,2.43302e-07,4.86604e-07,0.0122551,0
S,0,4,EX72A,303543,2862961,1317344,443870,0.0179501,0.000939552,60.0001,140464
S,0,4,EX73A,319546,2826291,1663031,467296,0.0404159,3.37674e-05,60.0002,147871
S,1,-2,GALENET,8,13,35,13,1e+20,1e+20,0.000238084,0
S,0,4,GOSH,261,2051,252991,2045,1.00032,3676.14,60.1873,0
K,0,4,GRAN,8169,73936,0,11642,7.59981e-05,0.000532716,60.0037,3050
S,0,4,GREENBEA,1064,8501,304529,8501,0.927683,8.82917,60.0517,0
K,1,-2,ITEST2,6,9,0,9,1e+20,1e+20,0.000100625,0
K,1,-2,ITEST6,5,9,0,9,1e+20,1e+20,0.000106292,0
S,0,0,KLEIN1,378,2542,10919,484,9.67562e-07,1.20145e-05,0.0862579,1
K,1,-2,KLEIN2,180,1287,0,383,1e+20,1e+20,0.186516,0
K,1,-2,KLEIN3,114,539,0,411,1e+20,1e+20,0.400404,0
S,1,-2,MONDOU2,19,87,1799,54,1e+20,1e+20,0.0230188,0
S,0,4,PANG,55033,545901,2071098,80435,0.000131143,3.53089e-05,60.0011,24511
S,0,4,PILOT4I,33760,351087,871717,52339,0.00104347,5.67005e-05,60.0003,15224
S,0,4,QUAL,170495,1367714,1448753,23017,7.71431e-05,0.000245899,60.0002,5511
S,1,-2,REACTOR,104,611,19296,451,1e+20,1e+20,0.227685,0
S,1,-2,REFINERY,50,204,2459,194,1e+20,1e+20,0.0906342,0
S,0,4,VOL1,154303,1278649,1142083,95224,0.000151329,0.000436277,60.0003,28114
S,1,-2,WOODINFE,56,118,767,74,1e+20,1e+20,0.00221137,0

S,1,-2,BGDBG1,28,50,858,48,1e+20,1e+20,0.0149701,0
