System,agree,opt_status,diverged,name,abs_err,rel_err,obj_val,PMM_iter,SSN_iter,Krylov_iter,fact,PMM_tol_achieved,SSN_tol_achieved,solving_time_sec,linesearch_fail
S,1,0,0,AUG2D,3.21338,1.90432e-06,1.68741e+06,50,143,0,39,8.02587e-07,7.21389e-08,0.577866,0
S,1,0,0,AUG2DC,2.03346,1.11829e-06,1.81837e+06,37,53,0,38,4.68646e-07,1.09865e-09,0.376519,0
S,1,0,0,AUG2DCQP,6.97194,1.07291e-06,6.49813e+06,51,203,1917,85,4.35448e-07,6.10322e-07,2.12482,0
S,1,0,0,AUG2DQP,6.57694,1.0545e-06,6.23701e+06,50,154,1720,95,4.26645e-07,1.38933e-08,2.02731,0
S,1,0,0,AUG3D,0.0003817,6.88905e-07,554.067,6,7,0,7,4.1355e-07,2.08896e-07,0.0127556,0
S,1,0,0,AUG3DC,0.000273084,3.54074e-07,771.262,7,8,0,8,2.08652e-07,3.09192e-10,0.0139747,0
S,1,0,0,AUG3DCQP,0.000370011,3.72484e-07,993.362,14,35,316,24,1.75079e-07,9.31437e-07,0.0506198,0
S,1,0,0,AUG3DQP,0.000656261,9.71897e-07,675.237,13,28,242,28,4.30994e-07,1.56233e-12,0.0649311,0
S,1,4,0,BOYD1,29859,0.000483663,-6.17054e+07,342,2750,2172,1208,0.000140239,0.00055028,60.0618,26
std::bad_alloc,0,-1,0,BOYD2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
S,1,0,0,CONT-050,1.02568e-06,2.2474e-07,-4.56385,50,219,327,56,7.78725e-07,3.19157e-07,0.41038,0
S,1,0,0,CONT-100,2.24822e-05,4.84072e-06,-4.64438,66,340,435,73,9.33156e-07,3.5383e-07,4.1275,0
S,1,0,0,CONT-101,6.30608e-05,0.000322517,0.19559,89,494,3987,230,9.58178e-07,2.44828e-08,11.2273,0
S,1,0,0,CONT-200,0.000339895,7.25515e-05,-4.68454,79,417,533,87,9.00033e-07,2.23058e-08,31.684,0
S,0,4,0,CONT-201,0.215267,1.11837,-0.0227837,34,234,5962,234,0.00129376,5.48132e-05,62.0558,0
S,0,4,0,CONT-300,0.192073,1.00293,-0.000560772,19,108,2815,108,0.00114737,7.51728e-05,64.8456,0
S,0,4,0,CVXQP1L,1.0863e+08,0.999309,75114.2,4,13,6500,26,0.81386,1.50152e-07,63.7959,0
S,0,4,0,CVXQP1M,36673.9,0.0337228,1.05084e+06,287,2170,37986,350,0.0129911,0.270759,60.0578,0
S,1,0,0,CVXQP1S,0.0162093,1.39847e-06,11590.7,228,1636,11903,125,9.81045e-07,3.42925e-05,0.200827,0
S,0,4,0,CVXQP2L,8.17795e+07,0.999231,62923.4,5,15,7500,30,0.844002,1.90058e-07,68.374,0
S,1,0,0,CVXQP2M,0.0541724,6.60514e-08,820155,334,2554,73792,306,9.83447e-07,0.000255434,40.9118,0
S,1,0,0,CVXQP2S,0.00524226,6.45524e-07,8120.94,45,230,4912,55,5.54034e-07,1.43031e-05,0.0399149,0
S,0,4,0,CVXQP3L,1.15603e+08,0.999063,108364,4,11,5500,22,0.771824,1.41438e-07,64.7141,0
S,0,4,0,CVXQP3M,266221,0.195344,1.09661e+06,217,1621,27697,280,0.0212505,0.0142615,60.1884,1
S,1,0,0,CVXQP3S,0.012023,1.00666e-06,11943.4,791,6144,43719,714,9.99526e-07,2.35709e-05,1.00527,0
S,1,0,0,DPKLO1,2.85651e-07,7.7183e-07,0.370096,8,9,1,9,2.41351e-07,3.98926e-07,0.0016235,0
S,1,0,0,DTOC3,0.0183097,7.78267e-05,235.244,436,3448,6895,402,7.53362e-07,1.14021e-05,7.08314,0
S,1,0,0,DUAL1,9.18193e-08,2.62244e-06,0.0350129,12,23,313,16,6.32881e-07,3.57786e-07,0.00881588,0
S,1,0,0,DUAL2,1.28346e-08,3.80468e-07,0.0337337,13,33,197,15,8.7603e-07,9.44551e-07,0.00777213,0
S,1,0,0,DUAL3,1.32594e-07,9.76713e-07,0.135756,19,35,426,24,8.12406e-07,2.00508e-07,0.0230047,0
S,1,0,0,DUAL4,8.52703e-07,1.14289e-06,0.74609,23,58,630,27,6.28399e-07,5.02966e-07,0.0125573,0
S,0,0,0,DUALC1,163.046,0.026489,5992.2,62,361,1633,78,7.99109e-07,1.59589e-06,0.0104529,1
S,1,0,0,DUALC2,0.000269016,7.57511e-08,3551.31,23,106,401,37,1.26291e-08,1.77653e-06,0.00341529,0
S,1,0,0,DUALC5,0.000529929,1.24038e-06,427.232,22,138,421,21,6.10691e-07,2.92859e-06,0.00425471,0
S,1,0,0,DUALC8,1.66294,9.08244e-05,18307.7,100,768,2362,46,9.86513e-07,1.00131e-05,0.0390086,0
S,0,4,0,EXDATA,38.0343,0.268143,-103.809,4,26,134,26,0.0157375,0.000559395,77.7208,0
S,1,0,0,GENHS28,5.40933e-08,5.83422e-08,0.927174,5,6,0,6,6.93998e-08,8.09477e-08,0.000121541,0
S,1,0,0,GOULDQP2,3.893e-06,0.021126,0.000188168,62,227,275,54,9.4799e-07,1.19932e-11,0.0357703,0
S,1,0,0,GOULDQP3,3.02098e-06,1.46451e-06,2.06279,13,32,464,25,9.46812e-07,3.40951e-06,0.0203846,0
S,1,0,0,HS118,1.395e-06,2.09832e-09,664.82,21,77,203,38,7.15519e-07,7.49115e-06,0.000893459,0
S,1,0,0,HS21,1.15742e-09,1.15788e-11,-99.96,5,7,0,7,2.08922e-08,1.23138e-15,6.6416e-05,0
S,1,0,0,HS268,2.47005e-06,4.30992,-1.89694e-06,19,73,0,22,7.22279e-07,5.99626e-06,0.00040775,0
S,1,0,0,HS35,2.68184e-07,2.41365e-06,0.111111,5,7,2,7,9.02386e-08,1.39305e-07,8.7458e-05,0
S,1,0,0,HS35MOD,1.45151e-06,5.80606e-06,0.249999,7,21,22,16,5.21256e-07,1.79653e-06,0.000276375,0
S,1,0,0,HS51,4.48359e-06,5.04807e+09,-4.48359e-06,6,7,0,7,6.2266e-07,3.75577e-07,8.3542e-05,0
S,1,0,0,HS52,9.49313e-06,1.7822e-06,5.32664,10,12,0,11,6.75513e-07,2.85611e-07,9.7459e-05,0
S,1,0,0,HS53,2.35292e-06,5.74862e-07,4.09302,9,10,0,10,2.36136e-07,9.36572e-08,8.1292e-05,0
S,1,0,0,HS76,3.90992e-07,8.35128e-08,-4.68182,6,17,19,10,4.58537e-07,1.52689e-06,0.000170875,0
S,1,0,0,HUES-MOD,226.127,6.49329e-06,3.48245e+07,307,2211,147,393,9.14041e-07,1.0898e-06,2.23915,64
S,1,0,0,HUESTIS,2.27366e+06,6.52888e-06,3.48245e+11,7,27,27,17,4.64745e-07,1.60042e-06,0.0375616,0
S,1,0,0,KSIP,1.29418e-06,2.24764e-06,0.575797,55,193,125,74,6.73763e-07,4.99269e-09,0.290738,0
S,1,0,0,LASER,0.0684361,2.84014e-08,2.4096e+06,17,51,0,42,2.35535e-07,5.89778e-07,0.0530538,0
S,0,0,0,LISWET1,11.1197,0.307833,25.0027,109,423,397,180,9.87309e-07,3.14759e-11,1.26023,0
S,0,0,0,LISWET10,24.484,0.494767,25.0018,76,275,247,163,9.73937e-07,1.11646e-10,1.0006,0
S,0,0,0,LISWET11,24.5247,0.495209,24.9992,79,281,258,144,9.91314e-07,1.13061e-10,0.930001,0
S,0,0,0,LISWET12,1711.93,0.985608,24.9987,90,305,281,133,9.96364e-07,1.30884e-11,0.906003,0
S,1,0,0,LISWET2,0.000704289,2.81737e-05,24.9974,75,282,247,186,9.73732e-07,1.50952e-10,1.0074,0
S,1,0,0,LISWET3,0.000569506,2.27791e-05,25.0007,73,249,224,130,9.83157e-07,8.01786e-10,0.833984,0
S,1,0,0,LISWET4,0.000578998,2.31598e-05,24.9995,76,267,236,145,9.93806e-07,1.58105e-10,0.843727,0
S,1,0,0,LISWET5,0.000578838,2.31218e-05,25.0337,76,267,240,145,9.95444e-07,1.59908e-10,0.911986,0
S,1,0,0,LISWET6,0.000610858,2.44385e-05,24.9951,77,270,240,139,9.71847e-07,1.50392e-10,0.862893,0
