System,agree,opt_status,diverged,name,abs_err,rel_err,obj_val,PMM_iter,SSN_iter,Krylov_iter,fact,PMM_tol_achieved,SSN_tol_achieved,solving_time_sec,linesearch_fail
K,1,0,0,AUG2D,3.21338,1.90432e-06,1.68741e+06,50,143,0,51,8.02588e-07,7.2151e-08,0.614417,0
K,1,0,0,AUG2DC,2.03346,1.11829e-06,1.81837e+06,37,53,0,38,4.68646e-07,5.97368e-09,0.365846,0
K,1,0,0,AUG2DCQP,6.97194,1.07291e-06,6.49813e+06,51,203,0,89,4.35448e-07,6.11583e-07,0.962946,0
K,1,0,0,AUG2DQP,8.80563,1.41184e-06,6.237e+06,50,154,0,97,5.72875e-07,8.28007e-08,0.916394,0
K,1,0,0,AUG3D,0.0003817,6.88905e-07,554.067,6,7,0,7,4.1355e-07,2.08896e-07,0.0123922,0
K,1,0,0,AUG3DC,0.000273084,3.54074e-07,771.262,7,8,0,8,2.08652e-07,3.09252e-10,0.0130265,0
K,1,0,0,AUG3DCQP,0.000370011,3.72484e-07,993.362,14,35,0,24,1.75079e-07,9.31438e-07,0.0424133,0
K,1,0,0,AUG3DQP,0.000656261,9.71897e-07,675.237,13,28,0,28,4.30994e-07,2.01416e-12,0.0444204,0
K,1,4,0,BOYD1,90084.8,0.00145921,-6.16451e+07,430,3612,0,1336,0.000257583,7.60307e-05,60.0222,84
K,0,4,0,BOYD2,36.1268,1.69954,57.3835,94,674,0,171,2.7155e-05,0.00012051,60.0783,0
K,1,0,0,CONT-050,1.02568e-06,2.2474e-07,-4.56385,50,219,0,62,7.78728e-07,3.19129e-07,0.337713,0
K,1,0,0,CONT-100,2.24822e-05,4.84072e-06,-4.64438,66,340,0,85,9.33156e-07,3.53308e-07,3.39025,0
K,1,0,0,CONT-101,6.30608e-05,0.000322517,0.19559,89,496,0,256,9.58171e-07,1.98649e-08,8.83673,0
K,1,0,0,CONT-200,0.00036209,7.72891e-05,-4.68451,79,418,0,106,9.27789e-07,3.68951e-08,35.1361,0
K,0,4,0,CONT-201,0.20619,1.07121,-0.013707,30,207,0,207,0.00203922,0.00226841,62.1929,0
K,0,4,0,CONT-300,0.191766,1.00132,-0.000253616,12,54,0,54,0.00180617,0.000148222,62.6309,0
K,0,4,0,CVXQP1L,1.08511e+08,0.998215,194028,6,19,0,19,0.782167,1.17043e-06,66.5496,0
K,1,4,0,CVXQP1M,10722,0.00985922,1.07679e+06,4005,42309,0,5903,0.00281204,0.000250041,60.0038,1809
K,1,0,0,CVXQP1S,0.0158557,1.36796e-06,11590.7,188,1293,0,208,9.59785e-07,2.54199e-06,0.0317585,0
K,0,4,0,CVXQP2L,8.15868e+07,0.996877,255634,9,25,0,25,0.829123,1.6367e-06,62.123,0
K,1,0,0,CVXQP2M,0.0533067,6.49959e-08,820155,231,1719,0,283,9.67932e-07,0.000448893,2.37276,0
K,1,0,0,CVXQP2S,0.00501534,6.17581e-07,8120.94,45,230,0,62,5.29908e-07,2.79027e-06,0.00669963,0
K,0,4,0,CVXQP3L,1.15343e+08,0.996815,368586,7,18,0,18,0.74698,4.17697e-07,64.4238,0
K,0,4,0,CVXQP3M,224019,0.164378,1.13881e+06,3697,38244,0,5508,0.00748619,0.00175434,60.0027,1591
K,1,0,0,CVXQP3S,0.0118987,9.96256e-07,11943.4,419,3137,0,440,9.89389e-07,4.2307e-05,0.0746964,0
K,1,0,0,DPKLO1,2.85651e-07,7.7183e-07,0.370096,8,9,0,9,2.41351e-07,3.98926e-07,0.00130004,0
K,1,0,0,DTOC3,0.0172874,7.34812e-05,235.28,359,2842,0,360,9.7808e-07,1.61377e-05,4.16461,0
K,1,0,0,DUAL1,9.18193e-08,2.62244e-06,0.0350129,12,23,0,16,6.32881e-07,3.57848e-07,0.00343863,0
K,1,0,0,DUAL2,1.28346e-08,3.80468e-07,0.0337337,13,33,0,16,8.7603e-07,9.44551e-07,0.0046345,0
K,1,0,0,DUAL3,1.32595e-07,9.76715e-07,0.135756,19,35,0,24,8.12406e-07,2.09945e-07,0.00907958,0
K,1,0,0,DUAL4,8.52707e-07,1.1429e-06,0.74609,23,58,0,27,6.28399e-07,5.23736e-07,0.00443304,0
K,0,0,0,DUALC1,201.553,0.0327448,5953.7,58,323,0,82,9.87857e-07,1.33129e-05,0.00848046,0
K,1,0,0,DUALC2,0.000269011,7.57498e-08,3551.31,23,106,0,37,1.26301e-08,1.78144e-06,0.00274954,0
K,1,0,0,DUALC5,0.000529929,1.24038e-06,427.232,22,138,0,24,6.10691e-07,2.92857e-06,0.00375296,0
K,1,0,0,DUALC8,1.55142,8.47337e-05,18307.8,101,776,0,106,9.20543e-07,2.28825e-05,0.0380587,0
K,0,4,0,EXDATA,3.10862,0.0219159,-138.735,14,102,0,102,0.00261685,0.00519647,60.8213,0
K,1,0,0,GENHS28,5.40933e-08,5.83422e-08,0.927174,5,6,0,6,6.93998e-08,8.09477e-08,0.000137917,0
K,1,0,0,GOULDQP2,3.893e-06,0.021126,0.000188168,62,227,0,71,9.47996e-07,1.96837e-12,0.0270319,0
K,1,0,0,GOULDQP3,3.02115e-06,1.4646e-06,2.06279,13,32,0,25,9.46863e-07,3.41468e-06,0.00605796,0
K,1,0,0,HS118,1.39501e-06,2.09832e-09,664.82,21,77,0,41,7.15519e-07,7.49115e-06,0.000704667,0
K,1,0,0,HS21,1.15742e-09,1.15788e-11,-99.96,5,7,0,7,2.08922e-08,1.23138e-15,5.8667e-05,0
K,1,0,0,HS268,1.51178e-06,2.63786,-9.38671e-07,19,73,0,22,7.39381e-07,1.04447e-05,0.000340375,0
K,1,0,0,HS35,2.68183e-07,2.41365e-06,0.111111,5,7,0,7,9.02386e-08,1.39306e-07,7.8083e-05,0
K,1,0,0,HS35MOD,1.45151e-06,5.80606e-06,0.249999,7,21,0,16,5.21256e-07,1.79653e-06,0.000201083,0
K,1,0,0,HS51,4.48359e-06,5.04807e+09,-4.48359e-06,6,7,0,7,6.2266e-07,3.75577e-07,5.8458e-05,0
K,1,0,0,HS52,9.49313e-06,1.7822e-06,5.32664,10,12,0,11,6.75513e-07,2.85611e-07,7.0459e-05,0
K,1,0,0,HS53,2.35292e-06,5.74862e-07,4.09302,9,10,0,10,2.36136e-07,9.36578e-08,6.225e-05,0
K,1,0,0,HS76,3.90992e-07,8.35128e-08,-4.68182,6,17,0,10,4.58537e-07,1.52689e-06,0.000128542,0
K,1,0,0,HUES-MOD,226.127,6.49329e-06,3.48245e+07,523,4070,0,752,1.83261e-07,2.62841e-06,3.98325,106
K,1,0,0,HUESTIS,2.27414e+06,6.53027e-06,3.48245e+11,7,30,0,17,4.82778e-07,4.32827e-06,0.094195,0
K,1,0,0,KSIP,1.29418e-06,2.24764e-06,0.575797,55,193,0,76,6.73763e-07,4.99208e-09,0.0397393,0
K,1,0,0,LASER,0.0684361,2.84014e-08,2.4096e+06,17,51,0,42,2.35537e-07,5.90377e-07,0.053717,0
K,0,0,0,LISWET1,11.1197,0.307833,25.0027,109,423,0,220,9.87309e-07,3.14759e-11,1.40141,0
K,0,0,0,LISWET10,24.484,0.494767,25.0018,76,275,0,168,9.73937e-07,1.11646e-10,1.04023,0
K,0,0,0,LISWET11,24.5247,0.495209,24.9992,79,281,0,155,9.91314e-07,1.13061e-10,0.969688,0
K,0,0,0,LISWET12,1711.93,0.985608,24.9987,90,305,0,157,9.96364e-07,1.30884e-11,0.940443,0
K,1,0,0,LISWET2,0.000704289,2.81737e-05,24.9974,75,282,0,196,9.73732e-07,1.50952e-10,1.14615,0
K,1,0,0,LISWET3,0.000569506,2.27791e-05,25.0007,73,249,0,141,9.83157e-07,8.01787e-10,0.841877,0
K,1,0,0,LISWET4,0.000578998,2.31598e-05,24.9995,76,267,0,155,9.93806e-07,1.58105e-10,0.955579,0
K,1,0,0,LISWET5,0.000578838,2.31218e-05,25.0337,76,267,0,155,9.95444e-07,1.59908e-10,0.976308,0
K,1,0,0,LISWET6,0.000610858,2.44385e-05,24.9951,77,270,0,151,9.71847e-07,1.50392e-10,0.97967,0
K,0,0,0,LISWET7,473.839,0.949879,25.0022,77,275,0,161,9.73332e-07,1.44882e-10,0.989504,0
K,0,0,0,LISWET8,7119.7,0.996501,25.0021,76,275,0,151,9.93128e-07,1.1774e-10,0.965414,0
K,0,0,0,LISWET9,1938.25,0.987265,25.0017,74,257,0,142,9.80783e-07,1.35678e-10,0.890779,0
K,1,0,0,LOTSCHD,0.00331916,1.3839e-06,2398.41,14,67,0,20,5.06047e-07,5.4183e-07,0.0002475,0
K,1,0,0,MOSARQP1,6.02525e-06,6.32323e-09,-952.875,20,70,0,35,8.84038e-07,1.45115e-06,0.046346,0
K,1,0,0,MOSARQP2,0.000215516,1.3491e-07,-1597.48,15,41,0,26,6.5981e-07,8.30708e-07,0.0136412,0
K,0,0,0,POWELL20,7.81065e+09,0.149947,4.42789e+10,287,2230,0,1180,9.90442e-07,6.43412e-08,4.14568,0
K,1,0,0,PRIMAL1,2.99656e-08,8.55842e-07,-0.035013,3,10,0,10,9.12309e-07,4.38757e-06,0.0116208,0
K,1,0,0,PRIMAL2,1.8194e-11,5.39342e-10,-0.0337337,4,12,0,12,6.02361e-08,2.74802e-07,0.0192062,0
K,1,0,0,PRIMAL3,5.0018e-08,3.68441e-07,-0.135756,4,22,0,22,6.72673e-07,8.7825e-08,0.0992666,0
K,1,0,0,PRIMAL4,2.70273e-08,3.62252e-08,-0.746091,5,24,0,24,2.60521e-07,3.01936e-06,0.10915,0
K,1,0,0,PRIMALC1,0.00256606,4.1689e-07,-6155.25,485,3589,0,499,9.88369e-07,2.9996e-10,0.0677961,0
K,1,0,0,PRIMALC2,0.0156359,4.40285e-06,-3551.32,65,426,0,81,8.73803e-07,1.02277e-05,0.009646,0
K,1,0,0,PRIMALC5,0.0262199,6.13714e-05,-427.206,73,538,0,86,5.78204e-07,1.47343e-05,0.0174276,0
K,1,0,0,PRIMALC8,0.00103339,5.64405e-08,-18309.4,260,1959,0,281,9.75651e-07,4.89641e-09,0.111025,0
K,1,0,0,Q25FV47,177.081,1.28838e-05,1.37443e+07,1364,12786,0,2818,5.9713e-07,4.73828e-05,46.7992,391
K,1,0,0,QADLITTL,6.63177,1.3807e-05,480312,44,226,0,94,9.04857e-07,5.29311e-06,0.00791875,0
K,1,0,0,QAFIRO,0.000147703,9.28493e-05,-1.59063,13,79,0,20,5.84516e-07,6.41912e-06,0.00085925,0
K,1,0,0,QBANDM,0.000220933,1.35108e-08,16352.3,61,353,0,197,4.76483e-07,8.05184e-07,0.055515,0
K,1,0,0,QBEACONF,0.85751,5.20611e-06,164713,183,1260,0,231,6.75894e-07,1.40856e-06,0.081291,0
K,1,0,0,QBORE3D,0.014326,4.621e-06,3100.22,596,4582,0,755,3.89015e-07,1.14872e-06,0.242887,0
K,1,0,0,QBRANDY,0.0594843,2.09635e-06,28375.2,40,197,0,182,8.43815e-07,1.71949e-06,0.0576596,0
K,0,4,0,QCAPRI,838448,0.0125529,6.59548e+07,21759,226914,0,89684,2.71566e-05,1.84403e-05,60.0026,9700
K,1,0,0,QE226,7.06824e-05,3.32383e-07,212.654,51,266,0,257,4.26741e-08,8.26105e-08,0.131386,0
