System,agree,opt_status,diverged,name,abs_err,rel_err,obj_val,PMM_iter,SSN_iter,Krylov_iter,fact,PMM_tol_achieved,SSN_tol_achieved,solving_time_sec,linesearch_fail
M,1,0,0,AUG2D,3.21338,1.90432e-06,1.68741e+06,50,143,0,39,8.02587e-07,7.21431e-08,0.616543,0
M,1,0,0,AUG2DC,2.03346,1.11829e-06,1.81837e+06,37,53,0,38,4.68646e-07,9.80685e-10,0.338323,0
M,1,0,0,AUG2DCQP,6.97194,1.07291e-06,6.49813e+06,51,203,1869,85,4.35448e-07,6.12509e-07,2.2235,0
M,1,0,0,AUG2DQP,6.57694,1.0545e-06,6.23701e+06,50,154,1672,95,4.26645e-07,1.3445e-08,1.94842,0
M,1,0,0,AUG3D,0.0003817,6.88905e-07,554.067,6,7,0,7,4.1355e-07,2.08896e-07,0.0112444,0
M,1,0,0,AUG3DC,0.000273084,3.54074e-07,771.262,7,8,0,8,2.08652e-07,3.09195e-10,0.0127404,0
M,1,0,0,AUG3DCQP,0.000370011,3.72484e-07,993.362,14,35,311,24,1.75079e-07,9.31438e-07,0.0518919,0
M,1,0,0,AUG3DQP,0.000656261,9.71897e-07,675.237,13,28,243,28,4.30994e-07,9.67429e-13,0.0621013,0
M,1,4,0,BOYD1,41950.3,0.00067952,-6.16933e+07,319,2579,2230,1173,0.000152517,3.39261e-05,60.0123,37
std::bad_alloc,0,-1,0,BOYD2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
M,1,0,0,CONT-050,1.02568e-06,2.2474e-07,-4.56385,50,219,302,56,7.78728e-07,3.18985e-07,0.454595,0
M,1,0,0,CONT-100,2.24822e-05,4.84072e-06,-4.64438,66,340,412,73,9.33152e-07,3.53088e-07,4.06348,0
M,1,0,0,CONT-101,6.26084e-05,0.000320203,0.19559,89,494,4347,230,9.54244e-07,2.21175e-08,11.3619,0
M,1,0,0,CONT-200,0.000339895,7.25515e-05,-4.68454,79,417,501,87,9.00038e-07,1.92841e-08,29.0284,0
M,0,4,0,CONT-201,0.215354,1.11882,-0.0228711,34,232,6591,232,0.00129701,4.17205e-05,61.0626,0
M,0,4,0,CONT-300,0.192113,1.00314,-0.000600928,20,112,3212,112,0.00145065,0.000364022,65.9247,0
M,0,4,0,CVXQP1L,1.08579e+08,0.998846,125412,5,16,8000,32,0.795108,5.11532e-07,70.5826,0
M,0,4,0,CVXQP1M,32904.7,0.0302569,1.05461e+06,321,2447,39753,388,0.0108909,0.488476,60.0237,1
M,1,0,0,CVXQP1S,0.0156879,1.35349e-06,11590.7,225,1619,12287,121,9.49728e-07,3.37357e-05,0.219276,0
M,0,4,0,CVXQP2L,8.17473e+07,0.998838,95140.7,6,18,9000,36,0.824309,3.47712e-07,77.1592,0
M,1,0,0,CVXQP2M,0.0544688,6.64127e-08,820155,312,2375,69076,285,9.88701e-07,0.000651328,38.0148,0
M,1,0,0,CVXQP2S,0.00584255,7.19443e-07,8120.93,45,230,4634,54,6.17798e-07,4.01352e-06,0.0391539,0
