System,agree,opt_status,diverged,name,abs_err,rel_err,obj_val,PMM_iter,SSN_iter,Krylov_iter,fact,PMM_tol_achieved,SSN_tol_achieved,solving_time_sec,linesearch_fail
S,1,0,0,AUG2D,3.21338,1.90432e-06,1.68741e+06,50,143,47,39,8.02587e-07,7.2139e-08,0.537941,0
S,1,0,0,AUG2DC,2.03346,1.11829e-06,1.81837e+06,37,53,25,38,4.68645e-07,9.46852e-10,0.353999,0
S,1,0,0,AUG2DCQP,7.48843,1.1524e-06,6.49813e+06,50,214,2269,86,4.67988e-07,3.31159e-07,2.20418,0
S,1,0,0,AUG2DQP,12.773,2.04794e-06,6.237e+06,49,147,1925,95,8.33184e-07,1.39648e-08,2.18438,0
S,1,0,0,AUG3D,0.0003817,6.88905e-07,554.067,6,7,0,7,4.1355e-07,2.08896e-07,0.0110451,0
S,1,0,0,AUG3DC,0.000273084,3.54074e-07,771.262,7,8,0,8,2.08652e-07,3.09192e-10,0.0137882,0
S,1,0,0,AUG3DCQP,0.000370011,3.72484e-07,993.362,14,35,340,24,1.75079e-07,9.31438e-07,0.0491255,0
S,1,0,0,AUG3DQP,0.000656261,9.71897e-07,675.237,13,28,259,28,4.30994e-07,8.81844e-13,0.0610742,0
S,1,4,0,BOYD1,28990.7,0.000469597,-6.17062e+07,272,2598,2384,1146,0.000167443,0.000545615,60.1482,0
L,0,4,0,BOYD2,34.1808,1.608,55.4376,4,31,11,31,0.130172,0.00289986,61.0951,0
S,1,0,0,CONT-050,1.33679e-06,2.92908e-07,-4.56385,49,231,383,57,8.85638e-07,1.88442e-07,0.3666,0
S,1,0,0,CONT-100,1.9725e-05,4.24705e-06,-4.64438,62,344,514,70,8.75473e-07,1.09813e-07,3.80302,0
S,1,0,0,CONT-101,6.14972e-05,0.00031452,0.195589,86,545,4605,228,9.43343e-07,1.33379e-08,11.0603,0
S,1,0,0,CONT-200,0.000379437,8.0992e-05,-4.6845,77,470,745,80,9.58531e-07,5.98737e-09,27.4257,0
S,0,4,0,CONT-201,0.205023,1.06515,-0.0125396,31,235,6820,235,0.0025509,0.00282867,61.1238,0
S,0,4,0,CONT-300,0.192031,1.00271,-0.000518903,18,103,3111,103,0.000949479,0.000244141,60.8892,0
L,0,4,0,CVXQP1L,1.0842e+08,0.997379,284931,7,22,500,23,0.771421,6.03332e-07,61.0866,0
S,0,4,0,CVXQP1M,39853.2,0.0366462,1.04766e+06,250,2321,48519,309,0.0146906,0.0594907,60.0852,0
S,1,0,0,CVXQP1S,0.0165238,1.42561e-06,11590.7,221,1955,16067,121,9.99936e-07,1.764e-05,0.248883,0
L,0,4,0,CVXQP2L,8.14054e+07,0.994659,437105,11,31,500,32,0.819835,7.99142e-06,61.182,0
S,1,0,0,CVXQP2M,0.054259,6.6157e-08,820155,325,3078,103045,293,9.84979e-07,0.000391793,52.5901,0
S,1,0,0,CVXQP2S,0.00886074,1.0911e-06,8120.93,42,228,5410,55,9.37487e-07,3.95117e-06,0.0414817,0
L,0,4,0,CVXQP3L,1.15209e+08,0.995662,501919,8,21,500,22,0.751833,7.82961e-07,60.407,0
S,0,4,0,CVXQP3M,267370,0.196187,1.09546e+06,204,1864,36271,259,0.0212406,0.027545,60.0455,0
S,1,0,0,CVXQP3S,0.0120272,1.00701e-06,11943.4,763,7371,62978,680,9.99896e-07,1.08603e-05,1.32349,0
S,1,0,0,DPKLO1,2.85651e-07,7.7183e-07,0.370096,8,9,0,9,2.41351e-07,3.98926e-07,0.00162433,0
S,1,0,0,DTOC3,0.02312,9.82734e-05,235.239,362,3554,7157,321,9.25756e-07,1.90805e-05,7.34356,0
S,1,0,0,DUAL1,9.18193e-08,2.62244e-06,0.0350129,12,23,330,16,6.32881e-07,3.5784e-07,0.00895892,0
S,1,0,0,DUAL2,1.28346e-08,3.80468e-07,0.0337337,13,33,189,15,8.7603e-07,9.44551e-07,0.00652954,0
S,1,0,0,DUAL3,1.32595e-07,9.76715e-07,0.135756,19,35,459,24,8.12406e-07,2.09615e-07,0.0219962,0
S,1,0,0,DUAL4,8.52707e-07,1.1429e-06,0.74609,23,58,694,27,6.28399e-07,5.2322e-07,0.0120891,0
S,0,0,0,DUALC1,126.404,0.020536,6028.85,55,354,1861,72,6.19518e-07,6.71224e-06,0.010023,0
S,1,0,0,DUALC2,0.000296131,8.33864e-08,3551.31,23,108,449,37,1.24844e-08,1.98526e-07,0.00415242,0
S,1,0,0,DUALC5,0.000828236,1.93861e-06,427.232,21,139,423,22,9.56945e-07,3.62714e-06,0.00477679,0
S,1,0,0,DUALC8,1.53722,8.39582e-05,18307.8,92,867,2759,44,9.12141e-07,8.76847e-06,0.042339,0
S,0,4,0,EXDATA,45.6194,0.321618,-96.224,3,24,134,24,0.0204462,0.00324506,61.6188,0
S,1,0,0,GENHS28,5.40933e-08,5.83422e-08,0.927174,5,6,0,6,6.93998e-08,8.09477e-08,0.000103917,0
S,1,0,0,GOULDQP2,3.91564e-06,0.0212489,0.000188191,58,217,268,56,9.96621e-07,1.3267e-11,0.0338508,0
S,1,0,0,GOULDQP3,3.02102e-06,1.46454e-06,2.06279,13,32,514,25,9.46862e-07,3.41463e-06,0.0211915,0
S,1,0,0,HS118,1.395e-06,2.09832e-09,664.82,21,77,203,38,7.15519e-07,7.49115e-06,0.00086175,0
S,1,0,0,HS21,1.15742e-09,1.15788e-11,-99.96,5,7,0,7,2.08922e-08,1.23138e-15,6.2917e-05,0
S,1,0,0,HS268,1.22694e-06,2.14086,-6.53836e-07,19,71,0,21,7.72556e-07,3.58639e-06,0.000393167,0
S,1,0,0,HS35,2.68184e-07,2.41365e-06,0.111111,5,7,2,7,9.02386e-08,1.39305e-07,0.000435834,0
S,1,0,0,HS35MOD,1.45151e-06,5.80606e-06,0.249999,7,21,22,16,5.21256e-07,1.79653e-06,0.000276125,0
S,1,0,0,HS51,4.48359e-06,5.04807e+09,-4.48359e-06,6,7,0,7,6.2266e-07,3.75577e-07,6.9125e-05,0
S,1,0,0,HS52,9.49313e-06,1.7822e-06,5.32664,10,12,0,11,6.75513e-07,2.85611e-07,8.5834e-05,0
S,1,0,0,HS53,2.35292e-06,5.74862e-07,4.09302,9,10,0,10,2.36136e-07,9.36572e-08,7.1625e-05,0
S,1,0,0,HS76,3.90992e-07,8.35128e-08,-4.68182,6,17,19,10,4.58537e-07,1.52689e-06,0.000159458,0
S,1,4,0,HUES-MOD,226.127,6.49329e-06,3.48245e+07,6678,66310,164,509,4.03679e-05,6.58271e-06,60.0056,0
S,1,0,0,HUESTIS,2.27366e+06,6.52888e-06,3.48245e+11,7,27,27,17,4.64745e-07,4.11571e-07,0.0387412,0
S,1,0,0,KSIP,1.29418e-06,2.24763e-06,0.575797,57,207,196,76,6.73771e-07,6.87705e-10,0.223001,0
S,1,0,0,LASER,0.0684361,2.84014e-08,2.4096e+06,17,51,23,42,2.35536e-07,5.90639e-07,0.0583127,0
S,0,0,0,LISWET1,11.1197,0.307833,25.0027,109,423,413,180,9.87309e-07,3.14758e-11,1.25904,0
S,0,0,0,LISWET10,24.484,0.494767,25.0018,76,275,266,163,9.73937e-07,1.11646e-10,0.957268,0
S,0,0,0,LISWET11,24.5247,0.495209,24.9992,79,281,271,144,9.91314e-07,1.13061e-10,0.917422,0
S,0,0,0,LISWET12,1711.93,0.985608,24.9987,90,305,296,133,9.96364e-07,1.30884e-11,0.956383,0
S,1,0,0,LISWET2,0.000704289,2.81737e-05,24.9974,75,282,272,186,9.73732e-07,1.50952e-10,1.04641,0
S,1,0,0,LISWET3,0.000569506,2.27791e-05,25.0007,73,249,239,130,9.83157e-07,8.01786e-10,0.811329,0
S,1,0,0,LISWET4,0.000578998,2.31598e-05,24.9995,76,267,257,145,9.93806e-07,1.58105e-10,0.871956,0
S,1,0,0,LISWET5,0.000578838,2.31218e-05,25.0337,76,267,258,145,9.95444e-07,1.59908e-10,0.886197,0
S,1,0,0,LISWET6,0.000610858,2.44385e-05,24.9951,77,270,260,139,9.71847e-07,1.50392e-10,0.876606,0
S,0,0,0,LISWET7,473.839,0.949879,25.0022,77,275,266,149,9.73332e-07,1.44882e-10,0.899972,0
S,0,0,0,LISWET8,7119.7,0.996501,25.0021,76,275,266,143,9.93128e-07,1.1774e-10,0.903219,0
S,0,0,0,LISWET9,1938.25,0.987265,25.0017,74,257,247,133,9.80783e-07,1.35678e-10,0.828985,0
S,1,0,0,LOTSCHD,0.00331916,1.3839e-06,2398.41,14,67,290,20,5.06047e-07,5.4183e-07,0.000508375,0
S,1,0,0,MOSARQP1,6.02525e-06,6.32322e-09,-952.875,20,70,1086,35,8.84038e-07,1.45115e-06,0.138518,0
S,1,0,0,MOSARQP2,0.000215516,1.3491e-07,-1597.48,15,41,448,26,6.5981e-07,8.30706e-07,0.0206641,0
S,0,0,0,POWELL20,7.81331e+09,0.149998,4.42763e+10,221,2109,2098,976,9.92769e-07,1.67207e-08,3.9086,0
S,1,0,0,PRIMAL1,2.99656e-08,8.55842e-07,-0.035013,3,10,2,10,9.12309e-07,4.38757e-06,0.0049485,0
S,1,0,0,PRIMAL2,4.01522e-10,1.19027e-08,-0.0337337,3,12,3,12,5.91096e-08,8.71793e-07,0.00831667,0
S,1,0,0,PRIMAL3,1.36987e-07,1.00907e-06,-0.135756,3,22,12,22,8.75112e-07,9.56274e-08,0.0259249,0
S,1,0,0,PRIMAL4,3.00488e-08,4.0275e-08,-0.746091,4,24,15,24,3.11941e-07,3.35632e-06,0.0177302,0
S,1,0,0,PRIMALC1,0.00246254,4.00071e-07,-6155.25,193,1827,3614,62,9.53304e-07,1.19591e-05,0.051492,0
S,1,0,0,PRIMALC2,0.0135397,3.8126e-06,-3551.32,77,666,862,59,7.66373e-07,2.02835e-05,0.0161775,0
S,1,0,0,PRIMALC5,0.0589096,0.000137887,-427.291,64,567,2653,69,4.90199e-07,7.85324e-06,0.0300485,0
S,1,0,0,PRIMALC8,0.00101568,5.54731e-08,-18309.4,175,1576,6128,62,9.64139e-07,5.55937e-06,0.127077,0
S,1,4,0,Q25FV47,311.046,2.26306e-05,1.37441e+07,769,7612,73393,2247,1.09103e-05,9.53109e-05,60.0059,0
S,1,0,0,QADLITTL,4.96853,1.03442e-05,480314,42,232,2418,102,6.77665e-07,2.18401e-06,0.0186961,0
S,1,0,0,QAFIRO,0.000109721,6.89727e-05,-1.59067,13,91,1010,19,4.67379e-07,5.14284e-06,0.00201908,0
S,1,0,0,QBANDM,0.00022233,1.35962e-08,16352.3,71,522,3841,215,6.90745e-08,2.46458e-06,0.304862,0
S,1,0,0,QBEACONF,0.857489,5.20599e-06,164713,196,1726,6450,233,6.76206e-07,5.25476e-05,0.201884,0
S,1,0,0,QBORE3D,0.0143483,4.6282e-06,3100.22,598,5682,20840,335,2.35925e-07,5.2915e-06,0.529866,0
S,1,0,0,QBRANDY,0.070938,2.50001e-06,28375.2,39,202,4020,191,9.72703e-07,2.59989e-06,0.173012,0
S,1,4,0,QCAPRI,495253,0.00741472,6.6298e+07,9142,91289,636031,71982,2.50905e-05,0.000418666,60.0028,0
S,1,0,0,QE226,0.00013993,6.58018e-07,212.654,49,251,4082,238,1.26699e-07,1.00313e-07,0.264355,0
S,1,0,0,QETAMACR,0.594263,6.84947e-06,86759.8,2769,27435,65985,6264,9.96359e-07,9.89011e-06,15.2922,0
S,1,0,0,QFFFFF80,11.9695,1.37085e-05,873159,247,2403,37483,1297,9.09989e-07,0.000105241,4.48152,0
S,0,-2,1,QFORPLAN,1e+20,1.34109e+10,1e+20,151,1391,8382,305,1e+20,1e+20,0.461422,0
S,1,0,0,QGFRDXPN,5152.12,5.11171e-08,1.00791e+11,2282,22753,45090,4609,9.99724e-07,1.17089e-05,6.79116,0
