System,agree,opt_status,diverged,name,abs_err,rel_err,obj_val,PMM_iter,SSN_iter,Krylov_iter,fact,smw_count,PMM_tol_achieved,SSN_tol_achieved,solving_time_sec,linesearch_fail,Krylov_fail
S,1,0,0,AUG2D,3.21338,1.90432e-06,1.68741e+06,50,143,47,39,0,8.02587e-07,7.2139e-08,0.572155,0,0
S,1,0,0,AUG2DC,2.03346,1.11829e-06,1.81837e+06,37,53,25,38,0,4.68645e-07,9.46852e-10,0.336461,0,0
S,1,0,0,AUG2DCQP,7.48843,1.1524e-06,6.49813e+06,50,214,2269,86,0,4.67988e-07,3.31159e-07,2.16678,0,0
S,1,0,0,AUG2DQP,12.773,2.04794e-06,6.237e+06,49,147,1925,95,0,8.33184e-07,1.39648e-08,2.08939,0,0
S,1,0,0,AUG3D,0.0003817,6.88905e-07,554.067,6,7,0,7,0,4.1355e-07,2.08896e-07,0.0112211,0,0
S,1,0,0,AUG3DC,0.000273084,3.54074e-07,771.262,7,8,0,8,0,2.08652e-07,3.09192e-10,0.0117126,0,0
S,1,0,0,AUG3DCQP,0.000370011,3.72484e-07,993.362,14,35,340,24,0,1.75079e-07,9.31438e-07,0.0471193,0,0
S,1,0,0,AUG3DQP,0.000656261,9.71897e-07,675.237,13,28,259,28,0,4.30994e-07,8.81844e-13,0.0600606,0,0
S,1,4,0,BOYD1,28201.4,0.000456812,-6.1707e+07,278,2658,2391,1158,0,0.000117286,0.000585324,60.0577,0,0
L,0,4,0,BOYD2,34.1808,1.608,55.4376,4,31,11,31,0,0.130172,0.00289986,60.2166,0,1
S,1,0,0,CONT-050,1.33679e-06,2.92908e-07,-4.56385,49,231,383,57,0,8.85638e-07,1.88442e-07,0.395224,0,0
S,1,0,0,CONT-100,1.9725e-05,4.24705e-06,-4.64438,62,344,514,70,0,8.75473e-07,1.09813e-07,3.84204,0,0
S,1,0,0,CONT-101,6.14972e-05,0.00031452,0.195589,86,545,4605,228,0,9.43343e-07,1.33379e-08,11.3417,0,0
S,1,0,0,CONT-200,0.000379437,8.0992e-05,-4.6845,77,470,745,80,0,9.58531e-07,5.98737e-09,27.4345,0,0
S,0,4,0,CONT-201,0.205023,1.06515,-0.0125396,31,235,6820,235,0,0.0025509,0.00282867,60.6145,0,0
S,0,4,0,CONT-300,0.192031,1.00271,-0.000518903,18,103,3111,103,0,0.000949479,0.000244141,60.1649,0,0
L,0,4,0,CVXQP1L,1.08302e+08,0.996293,402918,8,24,500,25,0,0.776546,1.04852e-06,64.5297,0,1
S,0,4,0,CVXQP1M,39853.2,0.0366462,1.04766e+06,250,2321,48519,309,0,0.0146906,0.0594907,60.0907,0,0
S,1,0,0,CVXQP1S,0.0165238,1.42561e-06,11590.7,221,1955,16067,121,0,9.99936e-07,1.764e-05,0.250674,0,0
L,0,4,0,CVXQP2L,8.12838e+07,0.993174,558650,12,34,500,35,0,0.819927,7.16478e-06,63.9247,0,1
S,1,0,0,CVXQP2M,0.054259,6.6157e-08,820155,325,3078,103045,293,0,9.84979e-07,0.000391793,52.4881,0,0
S,1,0,0,CVXQP2S,0.00886074,1.0911e-06,8120.93,42,228,5410,55,0,9.37487e-07,3.95117e-06,0.0405559,0,0
L,0,4,0,CVXQP3L,1.15039e+08,0.994194,671841,9,23,500,24,0,0.756663,8.49716e-07,62.3587,0,1
S,0,4,0,CVXQP3M,267293,0.196131,1.09554e+06,205,1874,36448,260,0,0.0212543,0.0205685,60.0836,0,0
S,1,0,0,CVXQP3S,0.0120272,1.00701e-06,11943.4,763,7371,62978,680,0,9.99896e-07,1.08603e-05,1.31893,0,0
S,1,0,0,DPKLO1,2.85651e-07,7.7183e-07,0.370096,8,9,0,9,0,2.41351e-07,3.98926e-07,0.00176737,0,0
S,1,0,0,DTOC3,0.02312,9.82734e-05,235.239,362,3554,7157,321,0,9.25756e-07,1.90805e-05,7.80908,0,0
S,1,0,0,DUAL1,9.18193e-08,2.62244e-06,0.0350129,12,23,330,16,0,6.32881e-07,3.5784e-07,0.00917983,0,0
S,1,0,0,DUAL2,1.28346e-08,3.80468e-07,0.0337337,13,33,189,15,0,8.7603e-07,9.44551e-07,0.0063375,0,0
S,1,0,0,DUAL3,1.32595e-07,9.76715e-07,0.135756,19,35,459,24,0,8.12406e-07,2.09615e-07,0.0221358,0,0
S,1,0,0,DUAL4,8.52707e-07,1.1429e-06,0.74609,23,58,694,27,0,6.28399e-07,5.2322e-07,0.011287,0,0
S,0,0,0,DUALC1,117.175,0.0190366,6038.08,55,356,3811,4,352,5.74282e-07,4.86217e-06,0.0199386,0,0
S,1,0,0,DUALC2,0.000296145,8.33905e-08,3551.31,23,108,536,1,107,1.24849e-08,1.9644e-07,0.00503421,0,0
S,1,0,0,DUALC5,0.000828236,1.93861e-06,427.232,21,139,790,1,138,9.56945e-07,3.62736e-06,0.0191252,0,0
S,1,0,0,DUALC8,1.63778,8.94502e-05,18307.7,92,869,5365,1,868,9.71631e-07,7.87198e-06,0.0535779,0,0
S,0,4,0,EXDATA,36.3994,0.256617,-105.444,4,29,162,26,3,0.0153703,0.00568419,64.6079,0,0
S,1,0,0,GENHS28,5.40933e-08,5.83422e-08,0.927174,5,6,0,6,0,6.93998e-08,8.09477e-08,7.3458e-05,0,0
S,1,0,0,GOULDQP2,3.91564e-06,0.0212489,0.000188191,58,217,268,56,0,9.96621e-07,1.3267e-11,0.0335677,0,0
S,1,0,0,GOULDQP3,3.02102e-06,1.46454e-06,2.06279,13,32,514,25,0,9.46862e-07,3.41463e-06,0.0215996,0,0
S,1,0,0,HS118,1.395e-06,2.09832e-09,664.82,21,77,719,2,75,7.15519e-07,7.49115e-06,0.00200533,0,0
S,1,0,0,HS21,1.15742e-09,1.15788e-11,-99.96,5,7,0,1,6,2.08922e-08,1.23138e-15,4.8292e-05,0,0
S,1,0,0,HS268,9.8199e-07,1.71345,-4.08883e-07,19,81,30,1,80,7.40769e-07,1.26052e-05,0.000487541,0,0
S,1,0,0,HS35,2.68178e-07,2.4136e-06,0.111111,5,7,14,1,6,9.02382e-08,1.393e-07,7.6458e-05,0,0
S,1,0,0,HS35MOD,1.45152e-06,5.80606e-06,0.249999,7,21,48,1,20,5.21256e-07,1.79652e-06,0.0002165,0,0
S,1,0,0,HS51,4.48359e-06,5.04807e+09,-4.48359e-06,6,7,0,7,0,6.2266e-07,3.75577e-07,5.2875e-05,0,0
S,1,0,0,HS52,9.49313e-06,1.7822e-06,5.32664,10,12,0,11,0,6.75513e-07,2.85611e-07,7.1166e-05,0,0
S,1,0,0,HS53,2.35292e-06,5.74862e-07,4.09302,9,10,0,10,0,2.36136e-07,9.36572e-08,5.8334e-05,0,0
S,1,0,0,HS76,3.90992e-07,8.35128e-08,-4.68182,6,17,57,1,16,4.58537e-07,1.52689e-06,0.000176708,0,0
S,1,4,0,HUES-MOD,226.127,6.49329e-06,3.48245e+07,6445,63980,164,507,0,3.74737e-05,2.03554e-05,60.0022,0,0
S,1,0,0,HUESTIS,2.27366e+06,6.52888e-06,3.48245e+11,7,27,27,17,0,4.64745e-07,4.11571e-07,0.0396742,0,0
S,1,0,0,KSIP,1.29418e-06,2.24763e-06,0.575797,57,207,1303,16,188,6.73771e-07,6.86269e-10,0.208704,0,0
S,1,0,0,LASER,0.0684361,2.84014e-08,2.4096e+06,17,51,138,18,28,2.35536e-07,5.92213e-07,0.061532,0,0
S,0,0,0,LISWET1,11.1197,0.307833,25.0027,109,423,4653,66,320,9.87309e-07,3.14759e-11,3.57074,0,0
S,0,0,0,LISWET10,24.484,0.494767,25.0018,76,275,1800,62,146,9.73937e-07,1.11646e-10,1.82122,0,0
