System,agree,opt_status,diverged,name,abs_err,rel_err,obj_val,PMM_iter,SSN_iter,Krylov_iter,fact,smw_count,PMM_tol_achieved,SSN_tol_achieved,solving_time_sec,linesearch_fail,Krylov_fail
S,1,0,0,AUG2D,3.28551,1.94707e-06,1.68741e+06,23,48,13,4,0,8.20851e-07,2.07186e-08,0.144063,0,0
S,1,0,0,AUG2DC,3.98231,2.19005e-06,1.81836e+06,14,19,8,5,0,9.25516e-07,9.73396e-10,0.0932195,0,0
S,1,0,0,AUG2DCQP,7.74284,1.19155e-06,6.49813e+06,19,38,588,29,0,4.84018e-07,2.96008e-08,0.607059,0,0
S,1,0,0,AUG2DQP,6.20433,9.9476e-07,6.23701e+06,19,49,555,48,0,4.02197e-07,1.15876e-08,0.783718,0,0
S,1,0,0,AUG3D,0.000650171,1.17345e-06,554.067,7,8,0,1,0,6.52779e-07,6.43596e-14,0.00707621,0,0
S,1,0,0,AUG3DC,0.00122754,1.5916e-06,771.261,8,9,0,1,0,9.40057e-07,4.72622e-14,0.00604462,0,0
S,1,0,0,AUG3DCQP,0.00167518,1.68637e-06,993.36,29,39,430,13,0,7.48379e-07,2.05416e-13,0.0560216,0,0
S,1,0,0,AUG3DQP,0.00124358,1.84169e-06,675.236,26,39,415,22,0,8.16065e-07,2.33236e-13,0.0719587,0,0
S,1,4,1,BOYD1,5027.93,8.14435e-05,-6.17302e+07,187,1729,2871,1663,0,1.00005,5.64421e+08,60.1086,0,0
L,0,4,0,BOYD2,34.3551,1.61619,55.6118,4,31,11,31,0,0.0873967,1.46656e-07,60.2533,0,1
S,1,0,0,CONT-050,1.6486e-06,3.6123e-07,-4.56385,11,32,113,27,0,9.55143e-07,1.15567e-08,0.158028,0,0
S,1,0,0,CONT-100,8.55955e-06,1.84298e-06,-4.64439,9,40,120,29,0,5.966e-07,1.59872e-07,1.20729,0,0
S,1,4,0,CONT-101,5.32355e-09,2.72267e-08,0.195527,1368,11282,3589,1276,0,1.55811e-05,1.66491e-05,60.0366,0,0
S,1,0,0,CONT-200,2.16711e-08,4.62575e-09,-4.68488,17,95,139,34,0,6.2978e-07,7.09813e-07,9.35408,0,0
S,0,4,0,CONT-201,0.203346,1.05643,-0.0108626,24,226,7487,226,0,0.74458,2.91512,63.9279,0,0
S,0,4,0,CONT-300,0.192333,1.00428,-0.000820207,11,96,3151,96,0,0.0219843,0.0233589,63.649,0,0
L,0,4,0,CVXQP1L,7.37088e+07,0.678064,3.4996e+07,6,29,500,24,0,0.484716,0.130724,65.6275,0,1
S,0,4,0,CVXQP1M,28735.9,0.0264236,1.05878e+06,311,2967,39668,364,0,0.00882776,0.0403075,60.0313,0,0
S,1,0,0,CVXQP1S,0.0165174,1.42505e-06,11590.7,28619,284681,695580,2093,0,9.99255e-07,7.2617e-05,14.9209,0,0
L,0,4,0,CVXQP2L,4.84034e+07,0.591422,3.34391e+07,9,53,500,32,0,0.372713,0.240862,63.494,0,1
S,1,4,0,CVXQP2M,11.0709,1.34985e-05,820144,719,6985,91130,752,0,0.000195376,0.000509451,60.0563,0,0
S,1,0,0,CVXQP2S,0.00109341,1.34641e-07,8120.94,60,400,6174,39,0,5.41885e-07,0.000169058,0.0479283,0,0
L,0,4,0,CVXQP3L,6.42454e+07,0.555222,5.14657e+07,6,29,500,23,0,0.436723,1117.62,64.4543,0,1
S,0,4,0,CVXQP3M,247707,0.181759,1.11512e+06,275,2579,29345,363,0,0.0131005,11.0204,60.0234,0,0
S,1,0,0,CVXQP3S,0.0119571,1.00115e-06,11943.4,6394,62510,542779,2809,0,9.94274e-07,2.68778e-05,10.9791,0,0
S,1,0,0,DPKLO1,1.56895e-06,4.23929e-06,0.370095,5,11,0,2,0,4.52079e-07,2.2541e-07,0.00132146,0,0
S,1,0,0,DTOC3,0.0223698,9.50846e-05,235.285,1138,10867,26747,1139,0,4.47202e-07,1.00835e-05,23.497,0,0
S,1,0,0,DUAL1,1.21178e-07,3.46095e-06,0.0350128,10,15,210,9,0,8.21679e-07,1.56214e-11,0.00655596,0,0
S,1,0,0,DUAL2,4.47346e-08,1.32611e-06,0.0337336,9,43,229,4,0,8.96589e-07,1.44274e-07,0.00602504,0,0
S,1,0,0,DUAL3,1.37166e-07,1.01039e-06,0.135756,28,32,420,11,0,8.4226e-07,1.33427e-10,0.0177167,0,0
S,1,0,0,DUAL4,1.22566e-06,1.64278e-06,0.74609,41,116,1331,5,0,9.85704e-07,4.50883e-10,0.0167085,0,0
S,0,0,0,DUALC1,201.998,0.0328171,5953.25,21,132,872,5,125,9.90055e-07,1.0519e-05,0.00470371,0,0
S,1,0,0,DUALC2,0.0125336,3.52929e-06,3551.32,10,30,185,1,29,8.26783e-08,2.75696e-07,0.00163104,0,0
S,1,0,0,DUALC5,0.000849724,1.9889e-06,427.231,29,247,1232,1,246,9.8196e-07,8.89758e-10,0.00761663,0,0
S,1,0,0,DUALC8,1.46154,7.9825e-05,18307.9,65,546,2794,1,545,8.67186e-07,7.26393e-07,0.0286194,0,0
S,0,4,0,EXDATA,44.202,0.311625,-97.6414,4,26,151,24,2,0.0173155,8.59308e-10,62.7495,0,0
S,1,0,0,GENHS28,3.59338e-07,3.87563e-07,0.927173,4,6,0,2,0,6.01294e-07,7.84978e-07,7.5541e-05,0,0
S,1,0,0,GOULDQP2,3.10121e-06,0.0168292,0.000187377,25,78,178,62,0,2.34035e-07,7.36752e-10,0.0357937,0,0
S,1,0,0,GOULDQP3,2.96853e-06,1.43909e-06,2.06279,8,37,363,17,0,7.71555e-08,1.03196e-07,0.018937,0,0
S,1,0,0,HS118,2.4508e-08,3.68641e-11,664.82,12,83,718,3,80,2.26302e-07,1.31779e-06,0.00112288,0,0
S,1,0,0,HS21,7.30026e-08,7.30318e-10,-99.96,3,5,0,1,4,7.87947e-07,6.88223e-16,3.95e-05,0,0
S,1,0,0,HS268,1.68799e-06,2.94533,-1.11488e-06,21,162,59,1,161,9.016e-07,1.81673e-07,0.000847708,0,0
S,1,0,0,HS35,5.97909e-08,5.38118e-07,0.111111,4,9,23,1,8,6.84157e-08,1.06071e-07,8.5417e-05,0,0
S,1,0,0,HS35MOD,1.94045e-06,7.7618e-06,0.249998,5,38,100,1,37,7.79401e-07,3.72137e-07,0.000281375,0,0
S,1,0,0,HS51,3.68834e-06,4.15271e+09,-3.68834e-06,8,9,0,1,0,5.3746e-07,5.26025e-13,5.7125e-05,0,0
S,1,0,0,HS52,1.27833e-05,2.39987e-06,5.32663,8,11,0,2,0,9.10443e-07,2.91103e-07,5.4875e-05,0,0
S,1,0,0,HS53,3.59634e-06,8.78652e-07,4.09302,7,9,0,2,0,3.62451e-07,1.4345e-07,4.7458e-05,0,0
S,1,0,0,HS76,1.11403e-07,2.37949e-08,-4.68182,4,10,29,1,9,5.84135e-08,7.54297e-13,0.000119041,0,0
S,1,4,0,HUES-MOD,226.127,6.49329e-06,3.48245e+07,6685,44767,21585,29031,0,0.000430398,0.000635941,60.0086,0,0
S,1,0,0,HUESTIS,2.26518e+06,6.50453e-06,3.48245e+11,6,19,16,9,0,1.46999e-07,3.96057e-08,0.0268037,0,0
S,1,0,0,KSIP,1.64382e-06,2.85485e-06,0.575796,22,146,437,20,73,8.5149e-07,2.41076e-08,0.208042,0,0
S,1,0,0,LASER,0.103242,4.2846e-08,2.4096e+06,17,57,32,16,13,5.71602e-07,1.07663e-09,0.0403536,0,0
S,0,0,0,LISWET1,11.1196,0.307831,25.0028,48,269,1517,53,83,8.66019e-07,9.91652e-11,1.08264,0,0
S,0,0,0,LISWET10,24.4839,0.494767,25.0018,47,248,684,51,66,8.92811e-07,6.31898e-10,0.830232,0,0
S,0,0,0,LISWET11,24.5247,0.495209,24.9992,47,244,1091,43,78,9.36806e-07,7.67014e-10,0.947491,0,0
S,0,0,0,LISWET12,1711.93,0.985608,24.9987,47,231,4412,40,113,9.51818e-07,5.6619e-10,1.85902,0,0
S,1,0,0,LISWET2,0.00068357,2.73449e-05,24.9974,47,245,329,57,48,8.77218e-07,8.73415e-11,0.742692,0,0
S,1,0,0,LISWET3,0.000545931,2.18362e-05,25.0007,47,243,3114,47,100,8.73857e-07,9.9928e-10,1.55295,0,0
S,1,0,0,LISWET4,0.000553145,2.21257e-05,24.9996,47,240,608,46,52,8.73977e-07,8.902e-11,0.749138,0,0
S,1,0,0,LISWET5,0.000552218,2.20585e-05,25.0337,47,247,430,48,58,8.73033e-07,1.88141e-10,0.754228,0,0
S,1,0,0,LISWET6,0.000590528,2.36251e-05,24.9952,47,244,784,45,64,8.76687e-07,1.13205e-10,0.834969,0,0
S,0,0,0,LISWET7,473.839,0.949879,25.0022,47,242,789,49,51,8.77435e-07,9.79373e-11,0.837635,0,0
S,0,0,0,LISWET8,7119.7,0.996501,25.0022,47,245,500,47,57,8.75352e-07,7.36205e-10,0.761761,0,0
S,0,0,0,LISWET9,1938.25,0.987265,25.0017,47,242,1492,43,89,8.91507e-07,6.21255e-10,1.01725,0,0
S,1,0,0,LOTSCHD,0.00640878,2.67209e-06,2398.41,11,20,77,10,0,9.77539e-07,1.15677e-12,0.000224541,0,0
S,1,0,0,MOSARQP1,5.94591e-06,6.23996e-09,-952.875,32,47,654,9,12,9.87667e-07,4.80813e-12,0.0634036,0,0
S,1,0,0,MOSARQP2,0.000215646,1.34991e-07,-1597.48,15,28,325,12,8,8.09565e-07,1.97703e-10,0.0177853,0,0
S,0,0,0,POWELL20,7.78451e+09,0.149445,4.43051e+10,116,1062,4290,155,770,9.69529e-07,1.51506e-06,2.45434,0,0
S,1,0,0,PRIMAL1,6.27604e-10,1.79249e-08,-0.035013,3,12,51,3,9,2.27461e-08,9.4529e-08,0.00464354,0,0
S,1,0,0,PRIMAL2,2.14122e-08,6.34742e-07,-0.0337337,2,13,4,6,4,2.05569e-07,2.24899e-07,0.005646,0,0
S,1,0,0,PRIMAL3,4.01614e-10,2.95835e-09,-0.135756,4,24,16,8,13,8.47705e-08,1.16609e-09,0.0169075,0,0
