name,ssn_solved,ssn_time,ssn_iters,ssn_status,ssn_obj,ssn_peak_ram_mb,qpalm_solved,qpalm_time,qpalm_iters,qpalm_status,qpalm_obj,qpalm_peak_ram_mb,osqp_solved,osqp_time,osqp_iters,osqp_status,osqp_obj,osqp_peak_ram_mb
AUG2D,1,0.31011137552559376,115,0,1687408.545724622,132.96875,1,0.08959633391350508,16,1,1677451.6548751993,169.25,1,0.051676709204912186,50,1,1677511.3290552208,171.015625
AUG2DC,1,0.15076220780611038,45,0,1818365.2913654998,172.546875,1,0.08024387434124947,16,1,1808267.7914470825,193.3125,1,0.05066145770251751,50,1,1808267.2039653806,194.359375
AUG2DCQP,1,0.8823231253772974,245,0,6498127.072111276,212.1875,1,0.26263170782476664,47,1,6487968.499224074,212.703125,1,1.2216261252760887,1700,1,6488037.006966587,212.6875
AUG2DQP,1,1.0438202498480678,247,0,6237005.908219872,216.703125,1,0.3374184165149927,57,1,6227067.414828271,236.453125,1,1.1827870411798358,1525,1,6227112.320279438,236.5625
AUG3D,1,0.007217207923531532,8,0,554.0679743369687,235.109375,1,0.012709332630038261,10,1,-782.433172613789,236.765625,1,0.011612541042268276,50,1,-782.4322742195347,238.15625
AUG3DC,1,0.005908666178584099,7,0,771.2624318014314,238.5,1,0.016275208443403244,16,1,-1165.2379103693238,239.953125,1,0.010039749555289745,50,1,-1165.2375613543259,240.171875
AUG3DCQP,1,0.048628791235387325,37,0,993.3602739476955,240.203125,1,0.04229091666638851,35,1,-943.1378599380864,240.5,1,0.018733792006969452,100,1,-943.137988596528,241.375
AUG3DQP,1,0.06088100001215935,36,0,675.2363367643925,241.78125,1,0.0472704591229558,35,1,-661.2623526416307,241.75,1,0.017434915527701378,100,1,-661.2623283874609,242.40625
BOYD1,0,10.049589041620493,284,4,-56726536.0763385,468.21875,1,3.2132479585707188,156,1,-61735218.69934834,583.90625,0,10.009174666367471,2526,8,-61731933.861114554,585.640625
BOYD2,0,40.835606874898076,13,4,24.051094708945833,577.34375,0,10.003949332982302,609,-5,173.26003303020244,512.1875,0,10.019700082950294,2838,8,2776641.7010786086,536.640625
CONT-050,1,0.225811249576509,156,0,-4.563850049370797,545.65625,1,0.028366542421281338,11,1,-4.56385048122636,545.625,1,0.45752404164522886,1775,1,-4.563851392513337,546.96875
CONT-100,1,3.0901085417717695,411,0,-4.644372778159185,550.984375,1,0.6653627501800656,33,1,-4.644415521097686,552.640625,0,10.003886416554451,7420,8,-4.644491942757995,552.75
CONT-101,0,10.028933082707226,319,4,0.20249297288409962,554.078125,1,3.193116665817797,123,1,0.19529107611552288,554.09375,0,10.00252933241427,6782,8,0.19571503895399434,554.140625
CONT-200,1,7.17579900007695,132,0,-4.6845133231072555,557.65625,1,1.6513496255502105,15,1,-4.685169773951925,594.640625,0,10.00554145872593,1264,8,-3.7238685113253087,596.921875
CONT-201,0,13.379971167072654,63,4,-0.00047252190236750336,613.015625,0,10.236240666359663,29,-5,-0.07138071843069861,735.828125,0,10.005574916489422,1045,8,3.8899312995169666,735.8125
CONT-300,0,20.106681707315147,43,4,-0.0001003294459483583,868.84375,0,10.03471350017935,8,-5,-0.06070086862580997,1044.6875,0,10.017306208610535,245,8,5.188398321496312,1056.59375
CVXQP1L,0,16.170036832801998,6,4,47438.185585838735,1054.796875,0,10.435892666690052,16,-5,54252316.16931424,1055.890625,0,10.00279700011015,1112,8,108681590.26775521,1056.875
CVXQP1M,0,10.072308707982302,664,4,1063956.0409846732,1057.5625,1,0.1489066667854786,80,1,1087510.493655371,1057.9375,1,0.09449591673910618,625,1,1087511.554541954,1057.921875
CVXQP1S,1,0.049572333693504333,523,0,11590.717743408468,1057.96875,1,0.0010965829715132713,37,1,11590.718060485195,1057.96875,1,0.0018932903185486794,425,1,11590.717496574516,1057.96875
CVXQP2L,0,15.334975125268102,8,4,24621.841227888683,1096.75,0,10.598673291504383,24,-5,42788226.27817785,1096.71875,1,9.044402499683201,1650,1,81842458.26015085,1095.75
CVXQP2M,0,10.023854666389525,4427,4,820155.431015774,1096.21875,1,0.09240149985998869,60,1,820155.4131144702,1096.5625,1,0.025670832954347134,175,1,820155.4302829508,1096.515625
CVXQP2S,1,0.02743679191917181,687,0,8120.931992909049,1096.53125,1,0.0008724583312869072,35,1,8120.940202582617,1096.5625,1,0.0005441652610898018,75,1,8120.9404799686345,1096.5625
CVXQP3L,0,11.239925541915,4,4,5520.821409653813,1096.625,0,11.128411374986172,15,-5,65474713.614868864,1097.640625,0,10.00395420845598,914,8,115683032.4650523,1098.515625
CVXQP3M,0,10.391672040335834,302,4,983038.5261402067,1098.515625,1,0.21955225057899952,113,1,1362828.3891311693,1099.234375,1,0.4689291249960661,3000,1,1362828.7028892862,1099.21875
CVXQP3S,1,0.23300383239984512,2044,0,11943.432202276235,1099.25,1,0.0013398751616477966,39,1,11943.432069999924,1099.21875,1,0.0008131247013807297,100,1,11943.431057830818,1099.21875
DPKLO1,1,0.00217354204505682,19,0,0.3700962127879024,1099.265625,1,0.001545041799545288,16,1,0.3700956934578646,1099.265625,1,0.0008341670036315918,50,1,0.37009621720634406,1099.265625
DTOC3,0,10.018581166863441,3401,4,2131.057917008536,1099.3125,1,0.2625029170885682,126,1,235.25594524888942,1099.28125,0,10.001640416681767,24362,8,272.84642782199865,1098.28125
DUAL1,1,0.012890459038317204,16,0,0.03501285346566513,1097.3125,1,0.001347874291241169,21,1,0.035012946828452435,1097.3125,1,0.0022226665169000626,50,1,0.0350129660096062,1097.3125
DUAL2,1,0.008008167147636414,30,0,0.03373363477354318,1097.359375,1,0.0011508334428071976,13,1,0.03373367841103344,1097.359375,1,0.0022463323548436165,50,1,0.03373367619184395,1097.359375
DUAL3,1,0.02112649939954281,31,0,0.13575570431602885,1097.359375,1,0.0017395419999957085,15,1,0.13575574835334817,1097.359375,1,0.001280791126191616,50,1,0.13575583620789974,1097.359375
DUAL4,1,0.020553250797092915,123,0,0.7460896317791951,1097.359375,1,0.0007725004106760025,15,1,0.746090432363693,1097.359375,1,0.001196499913930893,50,1,0.7460908274281847,1097.390625
DUALC1,1,0.006122292019426823,201,0,6090.592180734146,1097.40625,1,0.0005443748086690903,23,1,6138.272441608012,1097.421875,1,0.00358370877802372,700,1,6155.206621109025,1097.421875
DUALC2,1,0.001988207921385765,83,0,3551.35784014616,1097.421875,1,0.00038029253482818604,15,1,3550.8232574552844,1097.421875,1,0.0015369998291134834,275,1,3551.3114210176377,1097.421875
DUALC5,1,0.009908292442560196,324,0,427.23160822136947,1097.453125,1,0.0003161253407597542,8,1,426.5879814024128,1097.453125,1,0.0007402496412396431,75,1,427.2323132275329,1097.453125
DUALC8,1,0.05773662496358156,1226,0,18307.869361570236,1097.46875,1,0.000823458656668663,16,1,18304.442542577093,1097.46875,1,0.001181500032544136,75,1,18309.355283092387,1097.46875
EXDATA,0,22.35985662508756,11,4,-56.9626817215852,1107.03125,1,5.555275708436966,260,1,-141.84343218931332,1197.34375,1,3.5215314999222755,1150,1,-141.84342941699765,1144.4375
GENHS28,1,0.00013812538236379623,8,0,0.9271737824928327,846.46875,1,7.120892405509949e-05,6,1,0.9271741307488796,845.484375,1,0.00018591620028018951,50,1,0.9271736946246533,845.484375
GOULDQP2,1,0.02855524979531765,161,0,0.00018807818122301652,845.515625,1,0.0070158326998353004,39,1,0.00018426838465668575,845.515625,1,0.039086874574422836,2175,1,0.00018427067682943185,845.515625
GOULDQP3,1,0.022397208958864212,40,0,2.0627869645759347,845.53125,1,0.005171624943614006,33,1,-29647.83721752834,845.53125,1,0.0014892080798745155,50,1,-29647.837216027085,845.53125
