System,agree,opt_status,diverged,name,abs_err,rel_err,obj_val,PMM_iter,SSN_iter,Krylov_iter,fact,smw_count,PMM_tol_achieved,SSN_tol_achieved,solving_time_sec,linesearch_fail,Krylov_fail
S,1,0,0,AUG2D,3.25428,1.92856e-06,1.68741e+06,23,115,18,4,0,8.12958e-07,2.94307e-10,0.299156,0,0
S,1,0,0,AUG2DC,2.80863,1.54459e-06,1.81837e+06,24,45,18,4,0,6.50375e-07,3.00427e-10,0.144011,0,0
S,1,0,0,AUG2DCQP,7.72789,1.18925e-06,6.49813e+06,19,245,593,29,0,4.83075e-07,1.08568e-08,0.843873,0,0
S,1,0,0,AUG2DQP,6.19178,9.92748e-07,6.23701e+06,19,247,558,48,0,4.01375e-07,1.14953e-08,1.00365,0,0
S,1,0,0,AUG3D,0.000244337,4.40988e-07,554.068,7,8,0,1,0,3.57895e-07,5.90861e-14,0.00558583,0,0
S,1,0,0,AUG3DC,8.19857e-06,1.06301e-08,771.262,6,7,0,1,0,4.05473e-07,3.86802e-14,0.00542054,0,0
S,1,0,0,AUG3DCQP,0.00187605,1.88859e-06,993.36,28,37,420,13,0,8.38306e-07,2.34834e-13,0.0527218,0,0
S,1,0,0,AUG3DQP,0.00133324,1.97447e-06,675.236,25,36,384,21,0,8.78328e-07,2.56006e-13,0.0635415,0,0
S,0,4,0,BOYD1,5.00868e+06,0.0811317,-5.67265e+07,18,284,490,283,0,0.999006,468193,10.4496,0,0
L,0,4,0,BOYD2,2.79433,0.131456,24.0511,1,13,11,13,0,0.539745,1.01599e-05,32.7702,0,1
S,1,0,0,CONT-050,8.50629e-07,1.86384e-07,-4.56385,20,156,134,33,0,6.77086e-07,5.24264e-09,0.22969,0,0
S,1,0,0,CONT-100,2.51218e-05,5.40906e-06,-4.64437,26,411,244,50,0,9.68366e-07,4.38452e-08,3.04042,0,0
S,0,4,0,CONT-101,0.0246142,0.125886,0.220141,15,219,4417,208,0,0.000506211,5.76283e-08,10.2144,0,0
S,1,0,0,CONT-200,0.000362577,7.73931e-05,-4.68451,58,132,132,23,0,9.35347e-07,1.0819e-07,7.48632,0,0

S,1,0,0,AUG2D,3.25428,1.92856e-06,1.68741e+06,23,115,18,4,0,8.12958e-07,2.94307e-10,0.297883,0,0
S,1,0,0,AUG2DC,2.80863,1.54459e-06,1.81837e+06,24,45,18,4,0,6.50375e-07,3.00427e-10,0.144267,0,0
S,0,4,0,CONT-201,0.192956,1.00245,-0.000472522,5,63,2015,63,0,0.0621676,0.0677287,13.95,0,0
S,1,0,0,AUG2DCQP,7.72789,1.18925e-06,6.49813e+06,19,245,593,29,0,4.83075e-07,1.08568e-08,0.830749,0,0
S,1,0,0,AUG2DQP,6.19178,9.92748e-07,6.23701e+06,19,247,558,48,0,4.01375e-07,1.14953e-08,1.01443,0,0
S,1,0,0,AUG3D,0.000244337,4.40988e-07,554.068,7,8,0,1,0,3.57895e-07,5.90861e-14,0.00634446,0,0
S,1,0,0,AUG3DC,8.19857e-06,1.06301e-08,771.262,6,7,0,1,0,4.05473e-07,3.86802e-14,0.00506771,0,0
S,1,0,0,AUG3DCQP,0.00187605,1.88859e-06,993.36,28,37,420,13,0,8.38306e-07,2.34834e-13,0.0502062,0,0
S,1,0,0,AUG3DQP,0.00133324,1.97447e-06,675.236,25,36,384,21,0,8.78328e-07,2.56006e-13,0.0649365,0,0
S,0,4,0,BOYD1,5.00868e+06,0.0811317,-5.67265e+07,18,284,490,283,0,0.999006,468193,10.5451,0,0
S,0,4,0,CONT-300,0.191613,1.00052,-0.000100329,4,43,1329,43,0,0.00847736,0.00888349,23.8017,0,0
L,0,4,0,CVXQP1L,1.08657e+08,0.999564,47438.2,2,6,500,7,0,0.851654,1.81968e-07,17.4154,0,1
L,0,4,0,BOYD2,2.79433,0.131456,24.0511,1,13,11,13,0,0.539745,1.01599e-05,33.395,0,1
S,1,0,0,CONT-050,8.50629e-07,1.86384e-07,-4.56385,20,156,134,33,0,6.77086e-07,5.24264e-09,0.263916,0,0
S,1,0,0,CONT-100,2.51218e-05,5.40906e-06,-4.64437,26,411,244,50,0,9.68366e-07,4.38452e-08,3.09734,0,0
S,0,4,0,CVXQP1M,25529,0.0234747,1.06198e+06,37,622,6319,84,0,0.00757445,0.392951,10.0843,41,0
S,1,0,0,CVXQP1S,0.000256592,2.21377e-08,11590.7,37,523,2056,45,0,7.29339e-07,0.000211826,0.0521185,64,0
S,0,4,0,CONT-101,0.237337,1.21383,-0.0418093,14,199,4301,193,0,0.064052,0.0693883,10.3634,0,0
S,1,0,0,CONT-200,0.000362577,7.73931e-05,-4.68451,58,132,132,23,0,9.35347e-07,1.0819e-07,8.24634,0,0
L,0,4,0,CVXQP2L,8.18178e+07,0.999699,24621.8,2,8,500,9,0,0.875091,1.86316e-07,18.306,0,1
S,1,4,0,CVXQP2M,0.00101577,1.23851e-09,820155,235,4097,8595,172,0,4.29094e-05,0.126905,10.0184,6423,0
S,1,0,0,CVXQP2S,0.00850709,1.04755e-06,8120.93,43,687,2309,21,0,9.00777e-07,4.21959e-08,0.0280525,0,0
S,0,4,0,CONT-201,0.192956,1.00245,-0.000472522,5,63,2015,63,0,0.0621676,0.0677287,14.2158,0,0
L,0,4,0,CVXQP3L,1.15706e+08,0.999952,5520.82,1,4,500,5,0,0.843528,1.08862e-08,13.1353,0,1
S,0,4,0,CONT-300,0.191558,1.00024,-4.57332e-05,3,23,676,23,0,0.00270089,0.000759314,10.1414,0,0
S,0,4,0,CVXQP3M,411865,0.302214,950963,18,262,6934,44,0,0.080594,1.69785e-05,10.4301,0,0
S,1,0,0,CVXQP3S,0.000202276,1.69362e-08,11943.4,140,2044,9436,121,0,6.56337e-07,0.000189305,0.25544,3283,0
S,1,0,0,DPKLO1,7.2121e-09,1.94871e-08,0.370096,8,19,0,2,0,3.94583e-07,5.00017e-07,0.00209921,0,0
L,0,4,0,CVXQP1L,1.08657e+08,0.999564,47438.2,2,6,500,7,0,0.851654,1.81968e-07,18.5003,0,1
S,0,4,0,DTOC3,3593.08,15.2726,3828.34,133,2641,10325,8,0,0.251677,333.047,10.0231,0,0
S,1,0,0,DUAL1,1.12534e-07,3.21408e-06,0.0350129,10,16,229,10,0,7.6738e-07,1.11188e-11,0.00728067,0,0
S,1,0,0,DUAL2,4.12265e-08,1.22212e-06,0.0337336,9,30,177,4,0,9.15852e-07,9.47844e-08,0.00469133,0,0
S,1,0,0,DUAL3,1.35684e-07,9.99471e-07,0.135756,28,31,419,9,0,8.32189e-07,1.25638e-10,0.0158973,0,0
S,1,0,0,DUAL4,1.20822e-06,1.6194e-06,0.74609,41,123,1423,5,0,9.76939e-07,2.50736e-10,0.0178298,0,0
S,0,0,0,DUALC1,64.6586,0.0105046,6090.59,15,201,940,5,178,3.16995e-07,6.91764e-05,0.00618337,0,0
S,1,0,0,DUALC2,0.0501401,1.41188e-05,3551.36,10,83,162,1,82,7.59061e-08,3.89419e-08,0.0019075,0,0
S,1,0,0,DUALC5,0.000721779,1.68943e-06,427.232,23,324,1635,1,323,8.33263e-07,7.48136e-10,0.0105465,0,0
S,1,0,0,DUALC8,1.48964,8.13594e-05,18307.9,64,1226,5357,1,1225,8.83878e-07,1.39305e-08,0.0590729,0,0
S,0,4,0,CVXQP1M,27198.9,0.0250103,1.06031e+06,35,597,6224,81,0,0.00821252,1.39154,10.0941,28,0
S,1,0,0,CVXQP1S,0.000256592,2.21377e-08,11590.7,37,523,2056,45,0,7.29339e-07,0.000211826,0.0541064,64,0
L,0,4,0,CVXQP2L,8.18404e+07,0.999974,2106.75,1,4,500,5,0,0.901999,5.2453e-09,10.208,0,1
S,0,4,0,EXDATA,84.8807,0.598412,-56.9627,1,11,66,10,1,0.188682,4.5668e-10,25.3197,0,0
S,1,0,0,GENHS28,9.24928e-08,9.97578e-08,0.927174,6,8,0,2,0,6.84331e-07,9.19568e-07,7.6291e-05,0,0
S,1,0,0,GOULDQP2,3.80284e-06,0.0206367,0.000188078,25,161,133,26,0,9.49444e-07,1.33037e-09,0.0254753,0,0
S,1,0,0,GOULDQP3,2.96458e-06,1.43717e-06,2.06279,8,40,391,19,0,7.02178e-08,1.49342e-08,0.0213197,0,0
S,1,0,0,HS118,2.89003e-09,4.34709e-12,664.82,11,143,850,7,68,2.96281e-07,1.753e-07,0.00183363,0,0
S,1,0,0,HS21,2.32021e-09,2.32113e-11,-99.96,4,6,0,1,5,7.43787e-07,6.15607e-15,3.7417e-05,0,0
S,1,0,0,HS268,1.83361e-06,3.19942,-1.26051e-06,32,530,85,1,529,9.82335e-07,4.05013e-08,0.00205858,0,0
S,1,0,0,HS35,2.09265e-07,1.88338e-06,0.111111,5,11,26,1,10,4.83093e-08,3.9832e-07,9.3375e-05,0,0
S,1,0,0,HS35MOD,3.62928e-07,1.45171e-06,0.25,6,37,86,1,36,5.40766e-07,4.8459e-06,0.000231875,0,0
S,1,0,0,HS51,2.60035e-06,2.92773e+09,2.60035e-06,9,10,0,1,0,3.33571e-07,4.03855e-13,5.4042e-05,0,0
S,1,0,0,HS52,6.56046e-06,1.23163e-06,5.32664,8,15,0,2,0,4.64225e-07,2.6719e-07,6.0042e-05,0,0
S,1,0,0,HS53,9.4403e-06,2.30644e-06,4.09301,6,10,0,2,0,9.34942e-07,1.75686e-06,4.35e-05,0,0
S,1,0,0,HS76,3.29351e-07,7.03468e-08,-4.68182,4,10,29,1,9,3.28191e-07,3.42926e-13,0.000113583,0,0
S,1,4,0,CVXQP2M,0.00101577,1.23851e-09,820155,232,4037,8593,171,0,3.34226e-05,0.0988479,10.007,6228,0
S,1,0,0,CVXQP2S,0.00850709,1.04755e-06,8120.93,43,687,2309,21,0,9.00777e-07,4.21959e-08,0.0271131,0,0
S,1,4,0,HUES-MOD,226.127,6.49329e-06,3.48245e+07,455,6963,354,532,0,9.32141e-05,3.60289e-05,10.0245,27835,0
S,1,0,0,HUESTIS,2.28494e+06,6.56125e-06,3.48245e+11,5,13,13,9,0,8.88063e-07,5.86425e-07,0.0400601,0,0
S,1,0,0,KSIP,1.64472e-06,2.85642e-06,0.575796,22,260,788,21,121,8.52247e-07,8.45233e-10,0.225082,0,0
S,1,0,0,LASER,0.0896674,3.72125e-08,2.4096e+06,17,84,31,15,14,4.31455e-07,2.94454e-10,0.0523355,0,0
S,0,0,0,LISWET1,11.1196,0.307832,25.0028,43,313,2318,73,95,8.77013e-07,7.7314e-10,1.64266,0,0
S,0,0,0,LISWET10,24.4839,0.494767,25.0019,43,302,925,61,87,7.79744e-07,3.48583e-10,1.25341,0,0
