System,agree,opt_status,diverged,name,abs_err,rel_err,obj_val,PMM_iter,SSN_iter,Krylov_iter,fact,smw_count,PMM_tol_achieved,SSN_tol_achieved,solving_time_sec,linesearch_fail,Krylov_fail
S,1,0,0,AUG2D,3.25428,1.92856e-06,1.68741e+06,23,115,18,4,0,8.12958e-07,2.94307e-10,0.294919,0,0
S,1,0,0,AUG2DC,2.80863,1.54459e-06,1.81837e+06,24,45,18,4,0,6.50375e-07,3.00427e-10,0.14346,0,0
S,1,0,0,AUG2DCQP,7.72789,1.18925e-06,6.49813e+06,19,245,593,29,0,4.83075e-07,1.08568e-08,0.86896,0,0
S,1,0,0,AUG2DQP,6.19178,9.92748e-07,6.23701e+06,19,247,558,48,0,4.01375e-07,1.14953e-08,0.956551,0,0
S,1,0,0,AUG3D,0.000244337,4.40988e-07,554.068,7,8,0,1,0,3.57895e-07,5.90861e-14,0.00532538,0,0
S,1,0,0,AUG3DC,8.19857e-06,1.06301e-08,771.262,6,7,0,1,0,4.05473e-07,3.86802e-14,0.00498725,0,0
S,1,0,0,AUG3DCQP,0.00187605,1.88859e-06,993.36,28,37,420,13,0,8.38306e-07,2.34834e-13,0.0516708,0,0
S,1,0,0,AUG3DQP,0.00133324,1.97447e-06,675.236,25,36,384,21,0,8.78328e-07,2.56006e-13,0.0604925,0,0
S,1,4,0,BOYD1,1615.07,2.61613e-05,-6.17336e+07,11898,119833,6360,12751,0,0.00139783,0.00112105,1800.11,47164793,0
L,0,4,0,BOYD2,20.5505,0.966772,41.8072,7904,126665,11,8269,0,0.00291984,0.00025941,1800.05,0,1
S,1,0,0,CONT-050,8.50629e-07,1.86384e-07,-4.56385,20,156,134,33,0,6.77086e-07,5.24264e-09,0.231782,0,0
S,1,0,0,CONT-100,2.51218e-05,5.40906e-06,-4.64437,26,411,244,50,0,9.68366e-07,4.38452e-08,2.94426,0,0
S,1,0,0,CONT-101,5.89421e-05,0.000301452,0.195586,85,484,4495,215,0,9.84637e-07,2.73796e-07,10.7912,0,0
S,1,0,0,CONT-200,0.000362577,7.73931e-05,-4.68451,58,132,132,23,0,9.35347e-07,1.0819e-07,7.30403,0,0
S,1,0,0,CONT-201,0.000811667,0.00421682,0.193295,283,1116,15119,670,0,9.98077e-07,3.26509e-07,210.12,0,0
S,0,4,0,CONT-300,0.746114,3.89591,0.937627,67,1303,33198,1303,0,0.998618,722.772,2582.4,0,0
L,0,4,0,CVXQP1L,5.83724e+06,0.0536981,1.02868e+08,184,2347,500,318,0,0.0187505,8.03237,2330.14,14601,1
S,1,4,0,CVXQP1M,606.997,0.000558152,1.0869e+06,2827,27094,171993,2884,0,0.000129907,0.568918,1800.13,3461530,0
S,1,0,0,CVXQP1S,0.000256592,2.21377e-08,11590.7,37,523,2056,45,0,7.29339e-07,0.000211826,0.0441341,64,0
L,1,4,0,CVXQP2L,247.554,3.02476e-06,8.18422e+07,755,7786,500,825,0,0.000130092,0.000544056,1800.48,270974,1
S,1,4,0,CVXQP2M,0.00101577,1.23851e-09,820155,79639,1389774,102105,45100,0,4.39655e-05,0.130027,1800.02,1000158396,0
S,1,0,0,CVXQP2S,0.00850709,1.04755e-06,8120.93,43,687,2309,21,0,9.00777e-07,4.21959e-08,0.0273673,0,0
L,0,4,0,CVXQP3L,1.00139e+07,0.0865425,1.05697e+08,213,2192,500,337,0,0.0577005,0.0279966,1827.15,20011,1
S,0,4,0,CVXQP3M,203348,0.14921,1.15948e+06,9605,66899,589931,9755,0,0.00579943,0.0881407,1800.02,41620390,0
S,1,0,0,CVXQP3S,0.000202276,1.69362e-08,11943.4,140,2044,9436,121,0,6.56337e-07,0.000189305,0.238736,3283,0
S,1,0,0,DPKLO1,7.2121e-09,1.94871e-08,0.370096,8,19,0,2,0,3.94583e-07,5.00017e-07,0.000725625,0,0
S,1,0,0,DTOC3,0.000185934,7.90328e-07,235.262,3034,60681,211667,8,0,8.49976e-07,2.43191e-05,141.435,0,0
S,1,0,0,DUAL1,1.12534e-07,3.21408e-06,0.0350129,10,16,229,10,0,7.6738e-07,1.11188e-11,0.00849421,0,0
S,1,0,0,DUAL2,4.12265e-08,1.22212e-06,0.0337336,9,30,177,4,0,9.15852e-07,9.47844e-08,0.00498283,0,0
S,1,0,0,DUAL3,1.35684e-07,9.99471e-07,0.135756,28,31,419,9,0,8.32189e-07,1.25638e-10,0.0165272,0,0
S,1,0,0,DUAL4,1.20822e-06,1.6194e-06,0.74609,41,123,1423,5,0,9.76939e-07,2.50736e-10,0.0175068,0,0
S,0,0,0,DUALC1,64.6586,0.0105046,6090.59,15,201,478,42,0,3.17001e-07,2.02898e-05,0.00521487,0,0
S,1,0,0,DUALC2,0.0501401,1.41188e-05,3551.36,10,83,133,24,0,7.59058e-08,1.09595e-07,0.00184096,0,0
S,1,0,0,DUALC5,0.000721779,1.68943e-06,427.232,23,325,981,3,0,8.33263e-07,7.85519e-10,0.00860654,0,0
S,1,0,0,DUALC8,1.48964,8.13594e-05,18307.9,64,1226,3249,7,0,8.83878e-07,1.14613e-08,0.0547632,0,0
S,1,4,0,EXDATA,4.63647e-07,3.26872e-09,-141.843,55,848,1966,827,0,2.52674e-05,0.000124724,1831.42,149,0
S,1,0,0,GENHS28,9.24928e-08,9.97578e-08,0.927174,6,8,0,2,0,6.84331e-07,9.19568e-07,8.5625e-05,0,0
