System,agree,opt_status,diverged,name,abs_err,rel_err,obj_val,PMM_iter,SSN_iter,Krylov_iter,fact,smw_count,PMM_tol_achieved,SSN_tol_achieved,solving_time_sec,linesearch_fail,Krylov_fail
S,1,0,0,AUG2D,0.719105,4.26159e-07,1.68741e+06,14,143,15,11,0,1.7034e-07,2.37956e-09,0.343198,0,0
S,1,0,0,AUG2DC,1.01331,5.57265e-07,1.81837e+06,14,126,15,11,0,2.29486e-07,2.29321e-09,0.25061,0,0
S,1,0,0,AUG2DCQP,14.6202,2.2499e-06,6.49812e+06,21,282,1054,47,0,9.17318e-07,9.80774e-09,1.2248,0,0
S,1,0,0,AUG2DQP,11.7706,1.88722e-06,6.237e+06,21,278,832,62,0,7.67415e-07,1.02007e-08,1.24633,0,0
S,1,0,0,AUG3D,7.51585e-07,1.35649e-09,554.068,6,10,0,7,0,1.01594e-07,4.0085e-07,0.0118731,0,0
S,1,0,0,AUG3DC,7.66787e-05,9.94197e-08,771.262,5,7,0,6,0,7.96214e-07,3.00275e-06,0.00946329,0,0
S,1,0,0,AUG3DCQP,0.000315655,3.17765e-07,993.362,7,24,193,19,0,1.39678e-07,3.46394e-07,0.0374691,0,0
S,1,0,0,AUG3DQP,8.78345e-05,1.30079e-07,675.238,7,20,162,20,0,5.86193e-08,6.37563e-12,0.0393052,0,0
S,1,4,0,BOYD1,1850.75,2.99788e-05,-6.17334e+07,9743,124999,18417,9598,0,3.35959e-05,0.000175656,1800.23,22443494,0
L,0,4,0,BOYD2,28.4677,1.33923,49.7245,7382,147547,11,7884,0,3.95307e-06,1.40363e-06,1800.17,0,1
S,1,0,0,CONT-050,4.53194e-07,9.93008e-08,-4.56385,18,227,261,52,0,5.13385e-07,4.01744e-09,0.360646,0,0
S,1,0,0,CONT-100,1.68917e-05,3.63701e-06,-4.64438,21,261,367,68,0,8.04433e-07,2.11343e-08,3.32651,0,0
S,1,0,0,CONT-101,6.11477e-05,0.000312732,0.195588,108,2087,4161,194,0,9.74107e-07,1.21675e-08,12.6146,0,0
S,1,0,0,CONT-200,0.000339332,7.24315e-05,-4.68454,44,714,406,48,0,9.20393e-07,2.87729e-08,19.9887,0,0
S,1,0,0,CONT-201,0.000700061,0.00363699,0.193183,59,1050,10298,483,0,9.96395e-07,1.43237e-07,145.809,0,0
S,1,0,0,CONT-300,0.00526002,0.0274657,0.196772,58,1011,14807,680,0,9.05721e-07,7.64851e-07,720.048,0,0
L,0,4,0,CVXQP1L,9.18376e+06,0.0844835,9.9521e+07,412,5808,500,664,0,0.0807691,0.0210346,1800.89,18940,1
S,1,4,0,CVXQP1M,9913.47,0.00911574,1.0776e+06,8573,120572,1516618,5779,0,0.00251218,0.00206056,1800.13,10126165,0
S,1,0,0,CVXQP1S,0.0164234,1.41695e-06,11590.7,196,3759,8588,86,0,9.93879e-07,1.85685e-06,0.202246,0,0
L,1,4,0,CVXQP2L,193663,0.0023663,8.16488e+07,712,9000,500,925,0,0.0408705,0.0125777,1801.41,137751,1
S,1,0,0,CVXQP2M,0.0550801,6.71582e-08,820155,4781,87609,1664619,4480,0,9.99627e-07,2.01773e-06,882.033,0,0
S,1,0,0,CVXQP2S,0.00462053,5.68965e-07,8120.94,18,254,1117,26,0,4.83575e-07,1.87121e-06,0.014403,0,0
L,0,4,0,CVXQP3L,1.24674e+07,0.107746,1.03244e+08,345,6807,500,637,0,0.0909715,0.000601527,1800.59,163,1
S,0,4,0,CVXQP3M,223217,0.16379,1.13961e+06,8244,92876,1123322,6167,0,0.00732406,0.348013,2168.67,12345720,0
S,1,0,0,CVXQP3S,0.0120238,1.00673e-06,11943.4,2643,51604,110099,980,0,9.99638e-07,1.00458e-06,3.33094,0,0
S,1,0,0,DPKLO1,3.95698e-08,1.06918e-07,0.370096,6,16,0,7,0,4.64033e-07,5.84344e-07,0.000996042,0,0
S,1,0,0,DTOC3,0.0536242,0.000227933,235.209,369,5966,12111,355,0,9.5643e-07,4.13372e-06,11.5153,0,0
S,1,0,0,DUAL1,2.29548e-10,6.55608e-09,0.035013,7,19,210,15,0,2.81309e-07,3.0033e-07,0.00809563,0,0
S,1,0,0,DUAL2,1.20096e-10,3.56012e-09,0.0337337,11,129,573,14,0,1.64349e-07,1.76219e-07,0.0154123,0,0
S,1,0,0,DUAL3,2.98672e-08,2.20007e-07,0.135756,8,19,202,14,0,1.62123e-07,4.177e-08,0.0116176,0,0
S,1,0,0,DUAL4,1.6119e-07,2.16046e-07,0.746091,9,61,497,13,0,9.55974e-08,6.90636e-08,0.00796508,0,0
S,0,0,0,DUALC1,137.234,0.0222954,6018.02,28,453,893,8,150,6.72593e-07,3.92134e-07,0.00999917,0,0
S,1,0,0,DUALC2,0.0115042,3.23944e-06,3551.32,9,50,206,3,47,1.93782e-08,3.23138e-07,0.00144458,0,0
S,1,0,0,DUALC5,0.000433308,1.01422e-06,427.232,12,213,1263,1,212,4.9799e-07,8.1602e-07,0.00675292,0,0
S,1,0,0,DUALC8,1.63273,8.91745e-05,18307.7,42,774,5163,2,772,9.67792e-07,7.43664e-05,0.0397477,0,0
S,1,4,0,EXDATA,0.910902,0.00642188,-140.933,12,204,902,155,49,0.00152685,1.74791e-07,2042.32,0,0
S,1,0,0,GENHS28,3.75661e-08,4.05167e-08,0.927174,6,9,0,7,0,2.09892e-07,3.46959e-07,8.6667e-05,0,0
S,1,0,0,GOULDQP2,3.74023e-06,0.020297,0.000188016,13,55,207,53,0,7.55159e-07,9.34769e-10,0.0247291,0,0
S,1,0,0,GOULDQP3,2.64661e-06,1.28303e-06,2.06279,6,37,389,25,0,4.76732e-07,2.47709e-06,0.0208914,0,0
S,1,0,0,HS118,1.70251e-07,2.56086e-10,664.82,11,147,524,9,106,8.15679e-07,7.15271e-07,0.00120004,0,0
