System,agree,opt_status,diverged,name,abs_err,rel_err,obj_val,PMM_iter,SSN_iter,Krylov_iter,fact,smw_count,PMM_tol_achieved,SSN_tol_achieved,solving_time_sec,linesearch_fail,Krylov_fail
L,1,0,0,AUG2D,0.956683,5.66953e-07,1.68741e+06,17,181,0,17,0,2.30561e-07,8.32078e-09,0.397455,0,0
L,1,0,0,AUG2DC,1.37234,7.54708e-07,1.81837e+06,17,168,0,17,0,3.13654e-07,8.44754e-09,0.307338,0,0
L,1,0,0,AUG2DCQP,8.24918,1.26947e-06,6.49813e+06,31,457,0,59,0,5.15919e-07,3.31852e-08,0.892946,0,0
L,1,0,0,AUG2DQP,12.6167,2.02287e-06,6.237e+06,29,416,0,58,0,8.2293e-07,3.19254e-08,0.784509,0,0
L,1,0,0,AUG3D,5.28301e-05,9.53495e-08,554.068,7,10,0,7,0,9.05284e-07,3.63075e-06,0.0122653,0,0
L,1,0,0,AUG3DC,0.000135924,1.76235e-07,771.263,6,8,0,6,0,1.31269e-07,3.96286e-07,0.00999912,0,0
L,1,0,0,AUG3DCQP,0.000593369,5.97334e-07,993.363,8,49,0,19,0,2.66677e-07,1.4098e-07,0.0352005,0,0
L,1,0,0,AUG3DQP,0.000359294,5.321e-07,675.238,8,24,0,24,0,2.35342e-07,1.78549e-11,0.0318185,0,0
L,1,4,0,BOYD1,11663,0.00018892,-6.17236e+07,12046,71145,0,14136,0,7.08138e-05,5.90615e-05,800.082,46302427,0
L,0,4,0,BOYD2,46.7998,2.20164,68.0566,408,6881,0,4920,0,0.00112874,0.023705,800.544,369,0
L,1,0,0,CONT-050,1.73728e-06,3.80661e-07,-4.56385,17,132,0,51,0,9.82266e-07,6.2746e-07,0.25122,0,0
L,1,0,0,CONT-100,7.46396e-07,1.60709e-07,-4.6444,22,221,0,85,0,1.68959e-07,8.17109e-08,2.58255,0,0
L,1,0,0,CONT-101,2.79821e-05,0.000143111,0.195555,34,469,0,242,0,6.50268e-07,1.06257e-07,6.89349,0,0
L,1,0,0,CONT-200,1.1395e-06,2.4323e-07,-4.68487,29,329,0,97,0,6.41479e-08,7.21222e-08,24.9475,0,0
L,1,0,0,CONT-201,0.000682634,0.00354646,0.193166,43,657,0,526,0,9.88792e-07,2.14648e-07,123.964,0,0
L,1,0,0,CONT-300,0.00341522,0.0178329,0.194928,48,694,0,654,0,9.2271e-07,3.69895e-08,580.573,0,0
L,0,4,0,CVXQP1L,2.7685e+07,0.25468,8.10198e+07,140,2695,0,295,0,0.140593,0.000618833,803.695,0,0
L,1,4,0,CVXQP1M,8224.81,0.00756297,1.07929e+06,68642,1372720,0,68714,0,0.00189829,1.63574e-05,800,0,0
L,1,0,0,CVXQP1S,0.0156962,1.3542e-06,11590.7,177,3323,0,193,0,9.50263e-07,5.67692e-06,0.0468458,0,0
L,0,4,0,CVXQP2L,1.84222e+07,0.225094,6.34202e+07,200,3891,0,414,0,0.12722,0.00198264,803.198,74,0
L,1,0,0,CVXQP2M,0.0550785,6.71562e-08,820155,2216,37147,0,2254,0,9.99796e-07,9.84694e-07,21.066,0,0
L,1,0,0,CVXQP2S,0.00594782,7.32405e-07,8120.93,26,381,0,41,0,6.26989e-07,2.02032e-06,0.00594238,0,0
L,0,4,0,CVXQP3L,1.78116e+07,0.153932,9.78995e+07,134,2548,0,288,0,0.066636,0.000993101,801.721,81,0
L,0,4,0,CVXQP3M,222500,0.163264,1.14033e+06,63665,1273167,0,63818,0,0.00721652,5.03468e-05,800.001,0,0
L,1,0,0,CVXQP3S,0.0119668,1.00196e-06,11943.4,2467,48833,0,2484,0,9.95024e-07,4.89033e-06,0.709591,0,0
L,1,0,0,DPKLO1,4.61223e-09,1.24623e-08,0.370096,8,17,0,8,0,2.72316e-07,3.69578e-07,0.00112146,0,0
L,1,0,0,DTOC3,0.0479413,0.000203778,235.215,387,6135,0,387,0,8.83659e-07,4.06381e-07,7.26138,0,0
L,1,0,0,DUAL1,2.72793e-09,7.79121e-08,0.035013,8,22,0,18,0,1.12038e-07,1.20668e-07,0.00317133,0,0
L,1,0,0,DUAL2,3.17088e-10,9.39975e-09,0.0337337,8,55,0,10,0,5.04253e-08,5.40116e-08,0.00374592,0,0
L,1,0,0,DUAL3,1.04758e-07,7.71665e-07,0.135756,9,17,0,16,0,5.92127e-07,1.62304e-08,0.004876,0,0
L,1,0,0,DUAL4,9.35346e-07,1.25366e-06,0.74609,10,55,0,15,0,5.15969e-07,9.86412e-07,0.00275971,0,0
L,0,0,0,DUALC1,171.027,0.0277856,5984.22,40,621,0,65,0,8.38232e-07,2.57708e-06,0.00857375,0,0
L,1,0,0,DUALC2,0.0162183,4.56684e-06,3551.32,11,79,0,21,0,3.1192e-08,1.37574e-07,0.00137417,0,0
L,1,0,0,DUALC5,0.000490951,1.14914e-06,427.232,13,209,0,15,0,5.67008e-07,1.54046e-05,0.00468104,0,0
L,1,0,0,DUALC8,1.65003,9.01195e-05,18307.7,70,1309,0,73,0,9.79809e-07,6.12046e-05,0.0561422,0,0
L,1,0,0,EXDATA,0.000254684,1.79553e-06,-141.843,26,388,0,263,0,3.26479e-07,4.71238e-07,122.994,5,0
L,1,0,0,GENHS28,2.91993e-09,3.14928e-09,0.927174,8,11,0,8,0,2.38396e-08,3.87694e-08,7.5541e-05,0,0
L,1,0,0,GOULDQP2,0.000449011,2.43663,0.000633286,17,130,0,32,0,5.86893e-07,2.41413e-11,0.0121488,0,0
L,1,0,0,GOULDQP3,0.000448778,0.000217559,2.06323,8,48,0,27,0,5.39756e-08,5.45244e-07,0.00710338,0,0
L,1,0,0,HS118,9.28893e-08,1.39721e-10,664.82,12,152,0,44,0,1.63894e-07,7.99204e-07,0.000839,0,0
L,1,0,0,HS21,8.06966e-08,8.07289e-10,-99.96,8,9,0,9,0,8.70992e-07,1.32355e-13,3.4209e-05,0,0
L,1,0,0,HS268,5.04299e-07,0.879938,1.07741e-06,12,163,0,14,0,2.60545e-07,1.52287e-05,0.000418084,0,0
