System,agree,opt_status,diverged,name,abs_err,rel_err,obj_val,PMM_iter,SSN_iter,Krylov_iter,fact,smw_count,PMM_tol_achieved,SSN_tol_achieved,solving_time_sec,linesearch_fail,Krylov_fail
S,1,0,0,AUG2D,3.9734,2.35473e-06,1.68741e+06,15,127,7,12,0,9.95242e-07,2.31255e-09,0.277304,0,0
S,1,0,0,AUG2DC,0.751194,4.13114e-07,1.81837e+06,16,131,8,12,0,1.68036e-07,2.29727e-09,0.268333,0,0
S,1,0,0,AUG2DCQP,10.1491,1.56185e-06,6.49812e+06,29,416,958,50,0,6.3562e-07,5.592e-09,1.55446,0,0
S,1,0,0,AUG2DQP,7.94554,1.27393e-06,6.237e+06,29,417,872,54,0,5.16444e-07,5.51676e-09,1.39838,0,0
S,1,0,0,AUG3D,5.28301e-05,9.53495e-08,554.068,7,10,0,7,0,9.05284e-07,3.63075e-06,0.0113328,0,0
S,1,0,0,AUG3DC,0.000135924,1.76235e-07,771.263,6,8,0,6,0,1.31269e-07,3.96286e-07,0.0100643,0,0
S,1,0,0,AUG3DCQP,0.000593369,5.97334e-07,993.363,8,49,326,19,0,2.66677e-07,1.40978e-07,0.0494301,0,0
S,1,0,0,AUG3DQP,0.000359294,5.321e-07,675.238,8,24,194,24,0,2.35342e-07,1.66829e-11,0.0460653,0,0
S,1,4,0,BOYD1,2485.73,4.02643e-05,-6.17327e+07,8125,72816,2417,10000,0,2.40892e-05,4.39113e-05,800.037,17075190,0
S,0,4,0,BOYD2,45.588,2.14464,66.8448,619,10540,19588,4655,4421,0.000515639,0.0108281,801.329,0,6
S,1,0,0,CONT-050,2.68341e-07,5.87971e-08,-4.56385,19,207,248,47,0,3.97239e-07,5.18508e-09,0.353929,0,0
S,1,0,0,CONT-100,2.29673e-05,4.94517e-06,-4.64437,21,274,336,79,0,9.24357e-07,6.99343e-08,3.87462,0,0
S,1,0,0,CONT-101,6.10712e-05,0.000312341,0.195588,91,1718,4308,217,0,9.7967e-07,2.24765e-07,13.5436,0,0
S,1,0,0,CONT-200,0.000371973,7.93988e-05,-4.6845,47,767,482,82,0,9.66916e-07,5.2819e-08,29.6206,0,0
S,1,0,0,CONT-201,0.000821741,0.00426915,0.191662,191,3694,9758,527,0,9.22298e-07,4.01423e-08,170.556,0,0
S,1,0,0,CONT-300,0.00473052,0.0247009,0.196243,145,2763,13083,704,0,9.85749e-07,1.12267e-07,738.599,0,0
S,0,4,0,CVXQP1L,1.01161e+08,0.930607,7.54339e+06,12,136,13674,44,0,0.748775,0.00175455,839.292,0,12
S,0,4,0,CVXQP1M,37100.5,0.034115,1.05041e+06,2352,46922,249291,132,0,0.0132602,0.000244857,1187.66,0,0
S,1,0,0,CVXQP1S,0.0164626,1.42033e-06,11590.7,355,6507,14150,190,0,9.96345e-07,8.16374e-07,0.360626,0,0
S,0,4,0,CVXQP2L,8.1181e+07,0.991918,661427,7,37,8957,32,0,0.808091,0.000434499,1771.04,0,13
S,1,4,0,CVXQP2M,0.0646772,7.88597e-08,820155,7835,132076,1057077,7516,0,1.17088e-06,1.27411e-06,800.021,437189,0
S,1,0,0,CVXQP2S,0.00540842,6.65984e-07,8120.94,26,367,1268,29,0,5.69975e-07,4.57926e-06,0.0167988,0,0
S,0,4,0,CVXQP3L,1.09511e+08,0.946418,6.20008e+06,11,133,15077,44,0,0.781713,0.000547929,957.809,0,13
S,0,4,0,CVXQP3M,226446,0.166159,1.13638e+06,4202,57243,497432,2737,0,0.00797881,0.00367396,800.066,2081092,0
S,1,0,0,CVXQP3S,0.0120256,1.00688e-06,11943.4,4842,90683,165226,2785,0,9.99863e-07,1.37814e-06,5.33883,2680,0
S,1,0,0,DPKLO1,4.61223e-09,1.24623e-08,0.370096,8,17,0,8,0,2.72316e-07,3.69578e-07,0.00188121,0,0
S,1,0,0,DTOC3,0.049926,0.000212214,235.213,410,6407,12812,397,0,9.01746e-07,2.04731e-06,13.2665,0,0
S,1,0,0,DUAL1,2.72793e-09,7.79121e-08,0.035013,8,22,255,18,0,1.11814e-07,1.20428e-07,0.0125336,0,0
S,1,0,0,DUAL2,3.17087e-10,9.39971e-09,0.0337337,8,55,283,10,0,5.03729e-08,5.39556e-08,0.00915387,0,0
S,1,0,0,DUAL3,1.04759e-07,7.71673e-07,0.135756,9,36,208,16,0,5.92127e-07,5.49517e-07,0.015347,0,0
