System,agree,opt_status,diverged,name,abs_err,rel_err,obj_val,pmm_iter,ssn_iter,krylov_iter,fact,smw_count,pmm_tol_achieved,ssn_tol_achieved,solving_time_sec,linesearch_fail,krylov_fail
S,1,0,0,AUG2D,0.553114,3.27788e-07,1.68741e+06,15,148,7,12,0,1.28264e-07,2.38153e-09,0.300085,0,0
S,1,0,0,AUG2DC,0.765392,4.20922e-07,1.81837e+06,15,130,8,12,0,1.71364e-07,2.24407e-09,0.266876,0,0
S,1,0,0,AUG2DCQP,10.1987,1.56948e-06,6.49812e+06,28,420,1042,54,0,6.38747e-07,5.63877e-09,1.61781,0,0
S,1,0,0,AUG2DQP,7.98439,1.28016e-06,6.237e+06,28,420,926,59,0,5.18993e-07,5.52776e-09,1.52238,0,0
S,1,0,0,AUG3D,3.60537e-07,6.50709e-10,554.068,6,10,0,7,0,1.33024e-07,5.21764e-07,0.0125539,0,0
S,1,0,0,AUG3DC,8.48554e-05,1.10021e-07,771.262,5,7,0,6,0,6.54606e-07,2.4674e-06,0.0098615,0,0
S,1,0,0,AUG3DCQP,0.00211767,2.13182e-06,993.36,7,25,201,20,0,9.45133e-07,5.9531e-07,0.0378564,0,0
S,1,0,0,AUG3DQP,0.000360188,5.33424e-07,675.237,7,20,163,20,0,2.37772e-07,4.90546e-12,0.0383366,0,0
S,0,4,0,BOYD1,2.44981e+06,0.0396826,-5.92854e+07,18,288,674,288,0,0.013365,89.1715,10.1749,0,0
L,0,4,0,BOYD2,2.79433,0.131456,24.0511,1,13,50,13,0,0.539745,2.96252e-06,73.0175,0,6
S,1,0,0,CONT-050,2.69879e-07,5.91341e-08,-4.56385,18,202,235,42,0,3.97669e-07,5.61044e-09,0.308345,0,0
S,1,0,0,CONT-100,2.29775e-05,4.94737e-06,-4.64437,20,272,334,77,0,9.24553e-07,7.45727e-08,3.61127,0,0
S,1,4,0,CONT-101,0.00118635,0.00606744,0.194341,33,539,3703,218,0,3.12849e-05,8.2366e-09,10.0775,0,0
S,0,4,0,CONT-200,4.28961,0.915629,-0.395268,10,58,186,39,0,0.000343005,7.72201e-10,10.3876,0,0
S,0,4,0,CONT-201,0.192882,1.00207,-0.000399034,6,64,1764,64,0,0.00403235,0.00438201,12.9374,0,0
S,0,4,0,CONT-300,0.19158,1.00035,-6.71854e-05,4,31,856,31,0,0.0022172,9.24062e-05,12.5118,0,0
L,0,4,0,CVXQP1L,1.08701e+08,0.999967,3625.81,1,3,1500,6,0,0.830178,0.00411037,10.4725,0,3
S,0,4,0,CVXQP1M,105199,0.0967337,982313,44,779,8794,62,0,0.0596987,0.00041263,10.1589,0,0
S,1,0,0,CVXQP1S,0.0163214,1.40814e-06,11590.7,390,7453,10354,126,0,9.87801e-07,9.94069e-06,0.296673,85,0
L,0,4,0,CVXQP2L,8.18404e+07,0.999974,2106.75,1,4,2000,8,0,0.901999,4.48842e-09,12.8346,0,4
S,1,4,0,CVXQP2M,1125.47,0.00137226,819030,106,2019,16870,63,0,0.010495,0.000199328,10.0348,0,0
S,1,0,0,CVXQP2S,0.00815327,1.00398e-06,8120.93,22,312,1403,30,0,8.58269e-07,1.35039e-05,0.0177965,0,0
L,0,4,0,CVXQP3L,1.15706e+08,0.999952,5520.82,1,4,2000,8,0,0.843528,5.14367e-09,16.3168,0,4
S,0,4,0,CVXQP3M,333790,0.244924,1.02904e+06,24,379,6193,53,0,0.0728826,0.000299626,10.0936,0,0
S,1,0,0,CVXQP3S,0.0120238,1.00673e-06,11943.4,5116,97593,152728,2003,0,9.99726e-07,2.69415e-06,5.35775,0,0
S,1,0,0,DPKLO1,8.24112e-08,2.22675e-07,0.370096,6,16,0,7,0,5.38979e-07,6.32859e-07,0.001042,0,0
S,1,4,0,DTOC3,0.615662,0.00261691,235.878,309,4889,9777,289,0,1.86138e-05,0.000264971,10.0246,0,0
S,1,0,0,DUAL1,2.71063e-09,7.74178e-08,0.035013,7,18,210,14,0,1.48816e-07,1.58688e-07,0.00898821,0,0
S,1,0,0,DUAL2,6.5632e-10,1.94559e-08,0.0337337,7,66,328,10,0,1.92339e-08,4.12575e-09,0.00919117,0,0
S,1,0,0,DUAL3,1.10151e-07,8.11389e-07,0.135756,8,34,197,14,0,6.43007e-07,7.2627e-07,0.0136785,0,0
S,1,0,0,DUAL4,9.1285e-07,1.22351e-06,0.74609,9,61,430,14,0,4.94611e-07,4.94802e-07,0.00865479,0,0
S,0,0,0,DUALC1,198.907,0.0323151,5956.34,49,773,1184,15,580,9.74934e-07,2.77528e-05,0.0144846,127,0
S,1,0,0,DUALC2,0.0212608,5.98676e-06,3551.33,10,66,202,3,63,4.10123e-08,9.78325e-07,0.00169671,0,0
