System,agree,opt_status,diverged,name,abs_err,rel_err,obj_val,pmm_iter,ssn_iter,krylov_iter,fact,smw_count,pmm_tol_achieved,ssn_tol_achieved,solving_time_sec,linesearch_fail,krylov_fail
S,1,0,0,AUG2D,0.553114,3.27788e-07,1.68741e+06,15,148,7,12,0,1.28264e-07,2.38153e-09,0.280084,0,0
S,1,0,0,AUG2DC,0.765392,4.20922e-07,1.81837e+06,15,130,8,12,0,1.71364e-07,2.24407e-09,0.24916,0,0
S,1,0,0,AUG2DCQP,10.1987,1.56948e-06,6.49812e+06,28,420,1042,54,0,6.38747e-07,5.63877e-09,1.42712,0,0
S,1,0,0,AUG2DQP,7.98439,1.28016e-06,6.237e+06,28,420,926,59,0,5.18993e-07,5.52776e-09,1.41566,0,0
S,1,0,0,AUG3D,3.60537e-07,6.50709e-10,554.068,6,10,0,7,0,1.33024e-07,5.21764e-07,0.011674,0,0
S,1,0,0,AUG3DC,8.48554e-05,1.10021e-07,771.262,5,7,0,6,0,6.54606e-07,2.4674e-06,0.00991254,0,0
S,1,0,0,AUG3DCQP,0.00211767,2.13182e-06,993.36,7,25,201,20,0,9.45133e-07,5.9531e-07,0.0363641,0,0
S,1,0,0,AUG3DQP,0.000360188,5.33424e-07,675.237,7,20,163,20,0,2.37772e-07,4.90546e-12,0.0379425,0,0
S,0,4,0,BOYD1,7.202e+06,0.11666,-6.89372e+07,1,10,73,10,0,0.539949,1.97977e-05,39.3215,0,0
S,0,4,0,BOYD2,2.79433,0.131456,24.0511,1,13,80,13,0,0.539745,2.82269e-06,18.7301,0,0
S,1,0,0,CONT-050,2.69879e-07,5.91341e-08,-4.56385,18,202,261,42,0,3.97689e-07,6.7485e-09,0.318275,0,0
S,1,0,0,CONT-100,2.29775e-05,4.94737e-06,-4.64437,20,272,369,77,0,9.24558e-07,8.60731e-08,3.28436,0,0
S,0,4,0,CONT-101,0.529827,2.70973,0.725355,20,298,3677,211,0,0.000782988,8.99596e-09,10.0793,0,0
S,0,4,0,CONT-200,4.47554,0.955316,-0.20934,9,54,177,36,0,0.000324179,1.56736e-10,10.1965,0,0
S,0,4,0,CONT-201,0.192882,1.00207,-0.000399034,6,64,1764,64,0,0.00403235,0.00438201,14.4444,0,0
S,0,4,0,CONT-300,0.19158,1.00035,-6.71854e-05,4,31,856,31,0,0.0022172,9.24062e-05,14.7538,0,0
L,0,4,0,CVXQP1L,1.08681e+08,0.999778,24181.9,2,6,3000,12,0,0.861237,5.70466e-08,18.2043,0,6
S,0,4,0,CVXQP1M,60814,0.0559203,1.0267e+06,390,7699,46305,93,0,0.0273243,0.000203847,10.0031,0,0
S,1,0,0,CVXQP1S,0.0164409,1.41845e-06,11590.7,376,7161,10201,122,0,9.94982e-07,1.90384e-06,0.172179,0,0
