System,agree,opt_status,diverged,name,abs_err,rel_err,obj_val,pmm_iter,ssn_iter,krylov_iter,fact,smw_count,pmm_tol_achieved,ssn_tol_achieved,solving_time_sec,linesearch_fail,krylov_fail
S,1,0,0,AUG2D,0.553114,3.27788e-07,1.68741e+06,15,148,6,12,0,1.28264e-07,2.21323e-09,0.32932,0,0
S,1,0,0,AUG2DC,0.765392,4.20922e-07,1.81837e+06,15,130,7,12,0,1.71364e-07,2.31851e-09,0.302494,0,0
S,1,0,0,AUG2DCQP,10.1987,1.56948e-06,6.49812e+06,28,420,1041,54,0,6.38747e-07,5.75e-09,1.71913,0,0
S,1,0,0,AUG2DQP,7.98439,1.28016e-06,6.237e+06,28,420,924,59,0,5.18993e-07,6.09738e-09,1.66525,0,0
S,1,0,0,AUG3D,3.60537e-07,6.50709e-10,554.068,6,10,0,7,0,1.33024e-07,5.21764e-07,0.0125188,0,0
S,1,0,0,AUG3DC,8.48554e-05,1.10021e-07,771.262,5,7,0,6,0,6.54607e-07,2.4674e-06,0.0110922,0,0
S,1,0,0,AUG3DCQP,0.00211767,2.13182e-06,993.36,7,25,201,20,0,9.45133e-07,5.9531e-07,0.0525233,0,0
S,1,0,0,AUG3DQP,0.000360188,5.33424e-07,675.237,7,20,163,20,0,2.37772e-07,4.58816e-12,0.0540489,0,0
S,0,4,0,BOYD1,7.202e+06,0.11666,-6.89372e+07,1,10,73,10,0,0.539949,1.97977e-05,39.3855,0,0
S,0,4,0,BOYD2,2.79433,0.131456,24.0511,1,13,80,13,0,0.539745,2.82269e-06,18.7445,0,0
S,1,0,0,CONT-050,2.69879e-07,5.91341e-08,-4.56385,18,202,261,42,0,3.97689e-07,6.7485e-09,0.321081,0,0
S,1,0,0,CONT-100,2.29775e-05,4.94737e-06,-4.64437,20,272,369,77,0,9.24558e-07,8.60731e-08,3.34793,0,0
S,0,4,0,CONT-101,0.0509489,0.260572,0.144578,16,218,3648,202,0,0.000836614,5.44314e-08,10.058,0,0
S,0,4,0,CONT-200,4.47554,0.955316,-0.20934,9,54,177,36,0,0.000324179,1.56736e-10,10.2215,0,0
S,0,4,0,CONT-201,0.192882,1.00207,-0.000399034,6,64,1764,64,0,0.00403235,0.00438201,14.7908,0,0
S,0,4,0,CONT-300,0.19158,1.00035,-6.71854e-05,4,31,856,31,0,0.0022172,9.24062e-05,14.9322,0,0
L,0,4,0,CVXQP1L,1.08681e+08,0.999778,24181.9,2,6,3000,12,0,0.861237,5.70466e-08,18.3794,0,6
S,0,4,0,CVXQP1M,61320.4,0.0563859,1.02619e+06,380,7499,45238,92,0,0.0277372,0.000204586,10.0023,0,0
S,1,0,0,CVXQP1S,0.0164409,1.41845e-06,11590.7,376,7161,10201,122,0,9.94982e-07,1.90384e-06,0.177926,0,0
L,0,4,0,CVXQP2L,8.18294e+07,0.99984,13055.9,2,7,3500,14,0,0.880002,4.36227e-08,15.855,0,7
S,1,4,0,CVXQP2M,2.66743,3.25234e-06,820153,444,8584,73050,125,0,4.74398e-05,4.71779e-05,10.004,100,0
S,1,0,0,CVXQP2S,0.00555713,6.84296e-07,8120.93,23,348,1461,30,0,5.85023e-07,3.00418e-06,0.0131293,0,0
L,0,4,0,CVXQP3L,1.15706e+08,0.999952,5520.82,1,4,2000,8,0,0.843528,5.14367e-09,12.5309,0,4
S,0,4,0,CVXQP3M,276504,0.20289,1.08632e+06,349,6879,41473,135,0,0.0244966,0.000270809,10.0076,0,0
S,1,0,0,CVXQP3S,0.0120259,1.00691e-06,11943.4,4996,95241,151168,1996,0,9.99859e-07,4.16153e-06,2.6406,0,0
S,1,0,0,DPKLO1,8.24112e-08,2.22675e-07,0.370096,6,16,1,7,0,5.38979e-07,6.32859e-07,0.00124079,0,0
S,1,4,0,DTOC3,0.202438,0.000860477,235.465,279,4381,8760,261,0,5.25999e-05,0.000248203,10.0094,0,0
S,1,0,0,DUAL1,2.71062e-09,7.74176e-08,0.035013,7,18,208,14,0,1.48958e-07,1.5884e-07,0.00635,0,0
S,1,0,0,DUAL2,6.5632e-10,1.94559e-08,0.0337337,7,66,329,10,0,1.92339e-08,4.12668e-09,0.011734,0,0
S,1,0,0,DUAL3,1.1015e-07,8.11385e-07,0.135756,8,34,198,14,0,6.43007e-07,7.26591e-07,0.0134567,0,0
S,1,0,0,DUAL4,9.12856e-07,1.22352e-06,0.74609,9,61,431,14,0,4.9461e-07,5.0777e-07,0.0107712,0,0
S,0,0,0,DUALC1,204,0.0331425,5951.25,735,14492,42706,17,14338,9.99859e-07,1.60093e-06,0.26001,2884,0
S,1,0,0,DUALC2,0.0212609,5.98677e-06,3551.33,10,66,205,3,63,4.101e-08,9.75289e-07,0.00169142,0,0
