System,agree,opt_status,diverged,name,abs_err,rel_err,obj_val,pmm_iter,ssn_iter,krylov_iter,fact,smw_count,pmm_tol_achieved,ssn_tol_achieved,solving_time_sec,linesearch_fail,krylov_fail
S,1,0,0,CONT-050,8.33417e-07,1.82613e-07,-4.56385,21,269,367,45,0,6.90273e-07,1.73226e-07,0.403105,0,0
S,1,0,0,CONT-100,2.29775e-05,4.94737e-06,-4.64437,20,272,369,77,0,9.24451e-07,8.08512e-08,3.28174,0,0
S,1,0,0,CONT-101,4.42763e-05,0.000226445,0.195572,57,927,4058,240,0,8.26253e-07,1.83915e-07,12.6762,0,0
S,1,0,0,CONT-200,0.000296287,6.32433e-05,-4.68458,42,646,619,81,0,9.90714e-07,1.11613e-06,30.1158,0,0
S,1,0,0,CONT-201,0.0006527,0.00339094,0.193136,66,1116,9004,503,0,9.38007e-07,6.38873e-07,162.839,0,0
S,1,0,0,DTOC3,0.0261244,0.000111044,235.289,446,7052,14102,392,0,8.80259e-07,1.04707e-06,16.4108,0,0
S,1,0,0,DUAL1,6.64918e-09,1.89906e-07,0.035013,7,20,228,15,0,1.63675e-07,1.73347e-07,0.00887725,0,0
S,1,0,0,DUAL2,6.56319e-10,1.94559e-08,0.0337337,7,66,329,10,0,1.92339e-08,4.13537e-09,0.010568,0,0
S,1,0,0,DUAL3,1.10151e-07,8.11388e-07,0.135756,8,34,198,14,0,6.43007e-07,7.21046e-07,0.013397,0,0
S,1,0,0,DUAL4,9.12853e-07,1.22351e-06,0.74609,9,61,431,14,0,4.94611e-07,5.00685e-07,0.008512,0,0
S,0,0,0,DUALC1,156.567,0.0254363,5998.68,29,344,974,15,227,7.67374e-07,3.16454e-05,0.00766804,54,0
S,1,0,0,DUALC5,0.000590535,1.38223e-06,427.232,11,201,609,7,0,7.25858e-07,4.81994e-05,0.005384,0,0
S,1,0,0,DUALC8,1.55916,8.51566e-05,18307.8,44,846,4834,2,844,9.24204e-07,0.000362078,0.043172,0,0
S,1,0,0,GENHS28,2.02699e-08,2.1862e-08,0.927174,7,9,2,8,0,5.08239e-07,8.33598e-07,0.000102542,0,0
S,1,0,0,LASER,0.0442307,1.8356e-08,2.4096e+06,8,48,79,19,19,3.92553e-07,7.9627e-08,0.0491373,0,0
S,1,0,0,LOTSCHD,0.00055445,2.31173e-07,2398.42,7,87,300,12,0,2.88965e-07,1.46461e-05,0.000576459,0,0
S,1,0,0,PRIMAL2,8.74321e-08,2.59183e-06,-0.0337336,3,13,20,7,6,7.33017e-07,4.34183e-06,0.0134273,0,0
S,1,0,0,QBORE3D,8.76799,0.0028282,3108.97,80536,1604501,495205,769,3094,9.75502e-07,6.48546e-06,65.8386,5567129,2
S,1,0,0,QETAMACR,0.59114,6.81348e-06,86759.8,19946,88672,479965,3427,91034,9.99863e-07,4.65044e-07,42.77,139042452,1
