System,agree,opt_status,diverged,name,abs_err,rel_err,obj_val,pmm_iter,ssn_iter,krylov_iter,fact,smw_count,pmm_tol_achieved,ssn_tol_achieved,solving_time_sec,linesearch_fail,krylov_fail
S,1,0,0,CONT-050,2.69879e-07,5.91341e-08,-4.56385,18,202,235,42,0,3.97669e-07,5.61044e-09,0.290522,0,0
S,1,0,0,CONT-100,2.29775e-05,4.94737e-06,-4.64437,20,272,334,77,0,9.24553e-07,7.45727e-08,3.62927,0,0
S,1,0,0,CONT-101,2.07089e-05,0.000105913,0.195548,59,928,4313,246,0,5.43548e-07,9.45636e-08,12.081,0,0
S,1,0,0,CONT-200,0.000372303,7.9469e-05,-4.6845,43,657,419,68,0,9.63539e-07,2.99659e-07,24.1469,0,0
S,1,0,0,CVXQP1S,0.0162497,1.40196e-06,11590.7,95,1582,6058,58,0,9.83441e-07,3.81072e-05,0.067123,221,0
S,1,0,0,CVXQP2S,0.00583594,7.18629e-07,8120.93,22,324,1241,26,0,6.14051e-07,1.00319e-05,0.0119717,0,0
S,1,0,0,CVXQP3S,0.0120295,1.00721e-06,11943.4,28276,465183,774596,28279,0,9.99969e-07,4.15965e-06,14.0925,952363,0
S,1,0,0,DTOC3,0.0252481,0.000107319,235.288,441,7122,14243,378,0,8.41599e-07,2.33481e-05,13.6656,0,0
S,1,0,0,DUAL1,2.71063e-09,7.74178e-08,0.035013,7,18,210,14,0,1.48816e-07,1.58688e-07,0.00828354,0,0
S,1,0,0,DUAL2,6.5632e-10,1.94559e-08,0.0337337,7,66,328,10,0,1.92339e-08,4.12575e-09,0.00985163,0,0
S,1,0,0,DUAL3,1.02605e-07,7.55803e-07,0.135756,8,36,212,17,0,5.98171e-07,6.48464e-07,0.0167651,0,0
S,0,0,0,DUALC1,156.567,0.0254363,5998.68,29,344,974,15,227,7.67374e-07,3.16454e-05,0.00796987,54,0
S,1,0,0,GENHS28,2.02699e-08,2.1862e-08,0.927174,7,9,0,8,0,5.0824e-07,8.33598e-07,9.1833e-05,0,0
S,1,0,0,KSIP,1.5261e-06,2.65041e-06,0.575796,27,364,1146,25,230,7.94338e-07,2.40077e-07,0.0443058,0,0
S,1,0,0,LASER,0.0442307,1.8356e-08,2.4096e+06,8,48,54,19,19,3.92546e-07,7.95862e-08,0.0402797,0,0
S,1,0,0,LOTSCHD,0.00055445,2.31173e-07,2398.42,7,87,300,12,0,2.88964e-07,1.46461e-05,0.0004845,0,0
S,1,0,0,PRIMAL1,6.5305e-09,1.86517e-07,-0.035013,3,10,7,7,3,4.2638e-07,1.46761e-05,0.00309267,0,0
S,1,0,0,PRIMAL2,1.62051e-08,4.80383e-07,-0.0337337,3,12,17,7,5,2.21175e-07,1.58187e-05,0.00518958,0,0
