System,agree,opt_status,diverged,name,abs_err,rel_err,obj_val,pmm_iter,ssn_iter,krylov_iter,fact,smw_count,pmm_tol_achieved,ssn_tol_achieved,solving_time_sec,linesearch_fail,krylov_fail
S,1,0,0,AUG2D,0.451702,2.67689e-07,1.68741e+06,8,14,0,9,0,1.03368e-07,2.38517e-06,0.0752176,0,0
S,1,0,0,AUG2DC,0.617117,3.3938e-07,1.81837e+06,8,14,0,9,0,1.36605e-07,2.98779e-06,0.0725867,0,0
S,1,0,0,AUG2DCQP,2.55532,3.93239e-07,6.49813e+06,10,47,529,39,0,1.57038e-07,0.000304064,0.644657,0,0
S,1,0,0,AUG2DQP,2.60512,4.17687e-07,6.23701e+06,10,40,465,40,0,1.95128e-07,0.000532388,0.599122,0,0
S,1,0,0,AUG3D,7.41787e-06,1.3388e-08,554.068,3,4,0,4,0,3.0026e-08,1.05407e-07,0.00637929,0,0
S,1,0,0,AUG3DC,1.17125e-05,1.51861e-08,771.262,3,4,0,4,0,1.04221e-08,9.23765e-09,0.00779133,0,0
S,1,0,0,AUG3DCQP,3.34483e-06,3.36718e-09,993.362,22,462,639,28,0,2.44731e-09,1.90073e-08,0.162157,0,0
S,1,0,0,AUG3DQP,2.56999e-05,3.80605e-08,675.238,4,13,106,13,0,5.22927e-07,3.25293e-06,0.0367121,0,0
S,0,4,0,BOYD1,2.46057e+06,0.0398568,-5.92747e+07,1,26,69,14,0,0.560783,0.305795,57.014,0,0
S,0,4,0,BOYD2,22.5984,1.06311,43.8551,41,1923,1107,77,17,0.324304,0.303131,30.2892,0,0
S,1,4,0,CONT-050,4.32467e-09,9.47593e-10,-4.56385,12960,216440,695,97,0,0.000192515,0.000236993,30.0006,0,0
S,1,4,0,CONT-100,3.12365e-08,6.72563e-09,-4.6444,2751,34958,924,114,0,0.000383304,0.000477609,30.0031,0,0
S,1,0,0,CONT-101,5.32355e-09,2.72266e-08,0.195527,88,3218,6345,246,0,6.09872e-07,6.78476e-10,25.0903,0,0
S,0,4,0,CONT-200,2.9222,0.623751,-1.76268,7,92,1263,91,0,0.0441885,0.0469397,31.4109,0,0
S,0,4,0,CONT-201,0.196625,1.02151,-0.00414118,4,154,3567,154,0,0.0125672,0.0141249,35.8132,0,0
S,0,4,0,CONT-300,0.191695,1.00095,-0.000182349,2,72,1671,72,0,0.00562333,0.0059347,35.4675,0,0
L,0,4,0,CVXQP1L,1.04702e+08,0.96318,4.00246e+06,3,12,200,13,0,0.826664,0.00203436,31.8143,0,1
L,1,0,0,CVXQP1M,3.33393,3.06565e-06,1.08751e+06,114,4910,1800,174,0,9.86981e-07,2.24048e-05,4.39461,0,1
