name,ssn_solved,ssn_status,pmm_iter,ssn_iter,ssn_obj,pmm_tol_achieved,ssn_time,ssn_avg_ram_mb,qpalm_solved,qpalm_status,qpalm_iter,qpalm_inner_iter,qpalm_obj,qpalm_tol_achieved,qpalm_time,qpalm_avg_ram_mb,osqp_solved,osqp_status,osqp_iter,osqp_obj,osqp_tol_achieved,osqp_time,osqp_avg_ram_mb
AUG2D,1,0,8,14,1687411.3482983606,1.0336752761985672e-07,0.067650334,120.046875,1,1,8,16,1677451.6548751993,2.8454170770575438e-05,0.154532124,155.203125,1,1,50,1677511.1745486164,2.9319448313636087e-07,0.049288082999999996,127.375
AUG2DC,1,0,8,14,1818367.4828828045,1.366050574880262e-07,0.065457083,125.953125,1,1,8,16,1808267.7914470825,8.509711865167802e-07,0.079569582,152.4375,1,1,50,1808266.9324042788,5.313173903065405e-07,0.048942291,132.203125
AUG2DCQP,1,0,10,47,6498132.244677747,1.570384211441643e-07,0.5813025,136.1875,1,1,12,47,6487968.499224074,6.415143845561744e-05,0.26059203999999997,153.5859375,1,1,1700,6488037.006966587,1.8189096872234245e-05,1.215240125,132.109375
AUG2DQP,1,0,10,40,6237009.494879583,1.9512837541832396e-07,0.558650375,139.03125,1,1,13,57,6227067.414828271,7.5845803274576795e-06,0.31583833099999997,149.8515625,1,1,1525,6227112.320279438,1.061233946307863e-06,1.100279083,128.546875
AUG3D,1,0,3,4,554.0677374178663,3.0025988780374707e-08,0.005550416000000001,104.203125,1,1,5,10,-782.433172613789,9.466943013958229e-07,0.010995583000000001,109.0,1,1,50,-782.432273614739,1.7737145086016426e-09,0.009216749,104.921875
AUG3DC,1,0,3,4,771.2624517124605,1.0422075427301124e-08,0.00548225,104.46875,1,1,8,16,-1165.2379103693238,5.990728066951334e-07,0.015338165,111.265625,1,1,50,-1165.2375610458416,1.5837138267471573e-09,0.00933025,105.546875
AUG3DCQP,1,0,22,462,993.3621466551722,2.4473069709917323e-09,0.13768525,106.265625,1,1,13,35,-943.1378599380864,5.664030136180054e-07,0.040998457,109.6875,1,1,100,-943.137988596528,1.9815509451071023e-06,0.016452541,105.546875
AUG3DQP,1,0,4,13,675.2376443001276,5.22926959440573e-07,0.019210249999999998,105.75,1,1,13,35,-661.2623526416307,2.7401470849125826e-06,0.045009749,109.84375,1,1,100,-661.2623283874609,3.238372515936622e-07,0.016463208,104.9375
BOYD1,0,4,1,14,-59274652.64002496,0.35072001884133186,84.155580042,375.328125,1,1,57,156,-61735218.69934834,0.1806306120235271,3.157856749,383.4946120689655,0,8,7760,-61734321.16392018,111.08218219406602,30.007458541,319.03330291970804
BOYD2,0,4,11,166,43.77724625360098,0.0013303302836071961,37.536289708,477.109375,0,-5,707,2055,64.80351917928684,1.3024228397111386,30.003619373,471.0489316727605,0,8,8699,1004559.3421794587,1003.1138267309668,30.009572583,283.0514385880077
