problem,nc,n_display,alpha1,alpha2,ssn_status,ssn_solved,pmm_iter,ssn_iter,pmm_tol_achieved,ssn_time,ssn_obj,ssn_avg_ram_mb,qpalm_status,qpalm_solved,qpalm_iter,qpalm_inner_iter,qpalm_tol_achieved,qpalm_time,qpalm_obj,qpalm_avg_ram_mb,osqp_status,osqp_solved,osqp_iter,osqp_tol_achieved,osqp_time,osqp_obj,osqp_avg_ram_mb
convdiff,6,12675,0.01,0,0,1,1,2,6.863650621097134e-07,0.020555792,12271.846302323564,67.328125,1,1,2,4,9.560786130467277e-08,0.028877083,-1.8795882644204625e-09,84.953125,,,,,,,
convdiff,6,12675,0.0001,0,0,1,1,2,5.369228687740607e-07,0.022395709,12271.846301886548,68.4375,1,1,3,139,8.013426277984982e-08,0.505059582,-0.0001704554302270584,84.29296875,,,,,,,
convdiff,6,12675,1e-06,0,0,1,1,2,5.489110775802702e-07,0.022392333,12271.846301846652,70.203125,1,1,3,140,8.261025387153496e-08,0.470267291,-0.0001859715358534885,85.45982142857143,,,,,,,
convdiff,6,12675,0.0,0,0,1,1,2,5.490321705901158e-07,0.022516333,12271.84630184622,70.3125,1,1,3,140,8.273170037290373e-08,0.456944582,-0.00018615123626408053,84.046875,,,,,,,
convdiff,7,49923,0.01,0,0,1,1,2,3.2593200435829777e-07,0.115064791,12271.846302268952,121.5234375,1,1,3,5,9.616270601249817e-08,0.190686873,-7.198237438380544e-10,175.03645833333334,,,,,,,
convdiff,7,49923,0.0001,0,0,1,1,2,2.507411187087062e-07,0.12340250000000001,12271.846302362019,127.5078125,1,1,3,5,9.614581731519127e-08,0.190373582,-7.936379758210853e-07,180.78645833333334,,,,,,,
convdiff,7,49923,1e-06,0,0,1,1,2,2.5073406079358594e-07,0.124065916,12271.846302361071,127.765625,1,1,3,5,9.614309605999325e-08,0.18993754,-1.5223194595292895e-06,182.796875,,,,,,,
convdiff,7,49923,0.0,0,0,1,1,2,2.507307139002954e-07,0.125531125,12271.846302361058,126.9609375,1,1,3,5,9.614300835443053e-08,0.19134774799999998,-1.5324895564979126e-06,182.36458333333334,,,,,,,
convdiff,8,198147,0.01,0,0,1,1,2,1.6609023282796139e-07,1.36874775,12271.84630228844,384.9177989130435,1,1,3,5,9.68167740929221e-08,1.313524832,-6.130761474444056e-10,574.7698863636364,,,,,,,
convdiff,8,198147,0.0001,0,0,1,1,2,1.660902328281782e-07,1.3699081659999999,12271.846302288439,390.60190217391306,1,1,3,5,9.681622511566285e-08,1.32281054,-6.130761549105975e-10,600.0703125,,,,,,,
convdiff,8,198147,1e-06,0,0,1,1,2,1.2779773893642957e-07,1.4089238339999999,12271.846302380136,394.328125,1,1,3,5,9.681618360608465e-08,1.3094252069999999,-6.5033015694028205e-09,574.6647727272727,,,,,,,
convdiff,8,198147,0.0,0,0,1,1,2,1.2779607143297305e-07,1.403946208,12271.846302380136,416.8743489583333,1,1,3,5,9.681609164756956e-08,1.312195623,-6.809115117403178e-09,575.7592329545455,,,,,,,
convdiff,9,789507,0.01,0,0,1,1,2,9.934779972075912e-08,8.220401959,12271.846302302918,1017.5107491134752,1,1,4,6,9.731482629099695e-08,13.37361004,-5.940078708228811e-10,1491.9965122767858,,,,,,,
convdiff,9,789507,0.0001,0,0,1,1,2,9.934779972075914e-08,8.12793025,12271.846302302918,1380.6665917266187,1,1,4,6,9.731415632901804e-08,13.299147499,-5.940078702896199e-10,1540.795543721973,,,,,,,
convdiff,9,789507,1e-06,0,0,1,1,2,8.798375420492768e-08,8.36578175,12271.84630239235,1412.024256993007,1,1,4,6,9.731586436594493e-08,13.315115373,-6.106408378260379e-10,1513.0733816964287,,,,,,,
convdiff,9,789507,0.0,0,0,1,1,2,8.798375278814869e-08,8.298664666999999,12271.84630239235,1432.723666958042,1,1,4,6,9.731677678186004e-08,13.209300291,-6.186506710111844e-10,1754.1779983108108,,,,,,,
convdiff,10,3151875,0.01,0,0,1,1,2,9.690565434951016e-08,111.171247791,12271.846302331285,1029.941196949602,1,1,5,7,1.01547226087464e-07,98.655651166,-6.118047282536368e-10,1394.7034920933736,,,,,,,
convdiff,10,3151875,0.0001,0,0,1,1,2,9.690565434951017e-08,110.332710459,12271.846302331285,2123.0783005617977,1,1,5,7,1.0154722834295346e-07,98.894878999,-6.118047457177472e-10,1603.6922831632653,,,,,,,
convdiff,10,3151875,1e-06,0,0,1,1,2,8.610534080432388e-08,115.435885667,12271.846302415179,2059.187236118219,1,1,5,7,1.0154722794629632e-07,116.84365729,-6.11805337443225e-10,1439.5675632911393,,,,,,,
convdiff,10,3151875,0.0,0,0,1,1,2,8.610534058315645e-08,127.503686917,12271.846302415179,1831.7346064814815,1,1,5,7,1.015472279227925e-07,106.46454012299999,-6.119018951712511e-10,1680.2492742725237,,,,,,,
