problem,nc,n_display,alpha1,alpha2,ssn_status,ssn_solved,pmm_iter,ssn_iter,pmm_tol_achieved,ssn_time,ssn_obj,ssn_avg_ram_mb,qpalm_status,qpalm_solved,qpalm_iter,qpalm_inner_iter,qpalm_tol_achieved,qpalm_time,qpalm_obj,qpalm_avg_ram_mb,osqp_status,osqp_solved,osqp_iter,osqp_tol_achieved,osqp_time,osqp_obj,osqp_avg_ram_mb
poisson,6,12675,0.01,0,0,1,12,40,7.575811068847021e-07,0.419169666,0.20432594313839259,79.82366071428571,1,1,11,22,8.87333616501673e-07,0.113988458,0.07937508851771319,87.21875,,,,,,,
poisson,6,12675,0.0001,0,0,1,7,25,4.6134686497753335e-07,0.259909084,0.2043960405891923,80.96484375,1,1,11,24,8.873336028814645e-07,0.13602424899999999,0.07937508851771327,85.3046875,,,,,,,
poisson,6,12675,1e-06,0,0,1,7,9,4.692486842964385e-07,0.09525025,0.20439259514771568,73.484375,1,1,53,71,1.6015750745758402e-06,0.196125915,0.07937445964203399,84.21875,,,,,,,
poisson,6,12675,0.0,0,0,1,7,9,4.692060533135144e-07,0.095294792,0.20439255792548117,74.984375,1,1,11,26,8.896498439741349e-07,0.153889582,0.0793743850918347,84.984375,,,,,,,
poisson,7,49923,0.01,0,0,1,20,380,3.0519258778974346e-07,22.571789292000002,0.2119789073309037,193.16990291262135,1,1,16,32,5.079991352380234e-07,1.267620998,0.0869739682160431,178.94157608695653,,,,,,,
poisson,7,49923,0.0001,0,0,1,12,30,4.5783585210415786e-07,1.891528209,0.21197023448948282,156.95496323529412,1,1,25,91,3.0607482869099855e-08,3.267128207,0.08697397268175258,184.06117584745763,,,,,,,
poisson,7,49923,1e-06,0,0,1,12,14,5.415930753401707e-07,0.856028291,0.211961825493083,160.58958333333334,1,1,41,135,5.324462690416474e-07,6.524444624,0.08697387972473869,192.08849789915968,,,,,,,
poisson,7,49923,0.0,0,0,1,12,14,5.418071439250102e-07,0.862420542,0.21196173996601114,145.31354166666668,1,1,22,59,1.538068029285292e-06,2.9572089150000003,0.08697379260526582,186.86747685185185,,,,,,,
poisson,8,198147,0.01,0,4,0,32,872,5.394227684464254e-06,613.110825666,0.21579182000096425,502.83884662828945,1,1,40,77,1.9723780767108686e-06,15.680695414999999,0.09082683463879258,641.6290683962264,,,,,,,
poisson,8,198147,0.0001,0,0,1,15,36,8.473070151762717e-07,26.016622541,0.21670852326272044,531.4083190639269,1,1,80,464,3.5129664329719985e-08,156.02452733200002,0.09082681731331349,630.4907056145676,,,,,,,
poisson,8,198147,1e-06,0,0,1,17,25,4.049408339312286e-07,17.944177958,0.2158022841087197,523.0212458745874,1,1,214,605,7.828581619417759e-07,197.85943070599998,0.09082685309703088,631.4588833009273,,,,,,,
poisson,8,198147,0.0,0,0,1,17,25,4.043160987980406e-07,17.982002916000003,0.2158021807331656,544.090974506579,1,1,40,83,1.972375927121366e-06,19.731876499000002,0.09082679577024104,667.0489864864865,,,,,,,
poisson,9,789507,0.01,0,4,0,22,182,5.939481617482644e-05,757.2182159580001,0.21899840783827923,1259.523719879518,1,1,48,101,2.775737695126137e-07,303.264202623,0.09276659436896238,1597.0964349278331,,,,,,,
poisson,9,789507,0.0001,0,0,1,22,63,2.8431551359157477e-07,259.43497741699997,0.2177382639402205,1330.293345277524,-5,0,51,147,0.00010823988437319365,600.95477279,0.09277128654833097,1510.9287386632493,,,,,,,
poisson,9,789507,1e-06,0,0,1,22,37,2.9254495959882454e-07,145.260644958,0.21772794413969115,1646.860081466395,1,1,49,110,8.979511595657122e-07,388.065022832,0.09276665313625987,1597.5902126239512,,,,,,,
poisson,9,789507,0.0,0,4,0,3,5,0.02267087096637587,972.23678325,0.2063435906614441,1361.8319349315068,-5,0,49,138,4.343357475369467e-05,601.169300291,0.09276658166009176,1562.1673761657903,,,,,,,
