problem,nc,n_display,alpha1,alpha2,ssn_status,ssn_solved,pmm_iter,ssn_iter,pmm_tol_achieved,ssn_time,ssn_obj,ssn_avg_ram_mb,qpalm_status,qpalm_solved,qpalm_iter,qpalm_inner_iter,qpalm_tol_achieved,qpalm_time,qpalm_obj,qpalm_avg_ram_mb,osqp_status,osqp_solved,osqp_iter,osqp_tol_achieved,osqp_time,osqp_obj,osqp_avg_ram_mb
convdiff,6,12675,0.01,0.0001,0,1,1,2,6.863650583328209e-07,0.027912334,12271.84630232352,84.578125,1,1,2,4,9.560714624138282e-08,0.030923374,-1.879588251455408e-09,86.28125,,,,,,,
convdiff,6,12675,0.0001,0.0001,0,1,1,2,5.366506594786329e-07,0.029754459,12271.846301886795,84.90625,1,1,2,102,1.5000001148300517e-07,0.35921058100000003,-0.00014363418728021894,86.390625,,,,,,,
convdiff,6,12675,1e-06,0.0001,0,1,1,2,5.486327906019357e-07,0.030196999999999998,12271.846301846927,85.5625,1,1,3,196,6.70566747538432e-08,0.650379999,-0.00016723866467633242,85.109375,,,,,,,
convdiff,6,12675,0.0,0.0001,0,1,1,2,5.487538220409804e-07,0.030107334000000003,12271.846301846495,84.109375,1,1,3,193,6.709060872173021e-08,0.635865708,-0.0001673906162845104,87.4502840909091,,,,,,,
convdiff,7,49923,0.01,0.0001,0,1,1,2,3.259300581103517e-07,0.170536042,12271.846302268894,177.1875,1,1,3,5,9.616297184436069e-08,0.197200582,-7.198237414740393e-10,173.22395833333334,,,,,,,
convdiff,7,49923,0.0001,0.0001,0,1,1,2,2.5073619550424665e-07,0.18365404200000002,12271.84630236196,179.84375,1,1,3,5,9.61470778563523e-08,0.207442541,-7.265318915366653e-07,177.51041666666666,,,,,,,
convdiff,7,49923,1e-06,0.0001,0,1,1,2,2.507398290674058e-07,0.175834833,12271.846302361013,192.703125,1,1,3,5,9.614351292350841e-08,0.19609479,-1.3935437767063394e-06,171.609375,,,,,,,
convdiff,7,49923,0.0,0.0001,0,1,1,2,2.507344521457428e-07,0.187128,12271.846302361,189.19270833333334,1,1,3,5,9.614366068971836e-08,0.20439654000000002,-1.402853160476866e-06,177.45833333333334,,,,,,,
convdiff,8,198147,0.01,0.0001,0,1,1,2,1.6609093872372447e-07,1.262816875,12271.846302288383,478.2096354166667,1,1,3,5,9.68167740929221e-08,1.362281833,-6.130761474444045e-10,602.279375,,,,,,,
convdiff,8,198147,0.0001,0.0001,0,1,1,2,1.6609093872350766e-07,1.2296974580000002,12271.84630228838,546.767578125,1,1,3,5,9.681622511566285e-08,1.364907915,-6.130761549105975e-10,528.06375,,,,,,,
convdiff,8,198147,1e-06,0.0001,0,1,1,2,1.277960317078155e-07,1.3748495840000001,12271.846302380078,520.0709134615385,1,1,3,5,9.681564282320245e-08,1.332815957,-6.371176157327481e-09,577.08984375,,,,,,,
convdiff,8,198147,0.0,0.0001,0,1,1,2,1.2779399203543886e-07,1.3679520840000001,12271.846302380078,578.3076923076923,1,1,3,5,9.681623089652963e-08,1.3968675410000002,-6.670129911921998e-09,443.395625,,,,,,,
convdiff,9,789507,0.01,0.0001,0,1,1,2,9.935490881694679e-08,11.960540083,12271.846302302862,781.7500685307018,1,1,4,6,9.731482629099695e-08,14.571915081999999,-5.940078708229039e-10,993.3932584269663,,,,,,,
convdiff,9,789507,0.0001,0.0001,0,1,1,2,9.93549088169468e-08,11.334253541,12271.846302302862,1064.1307681074766,1,1,4,6,9.731415632901804e-08,14.265206332,-5.940078702896117e-10,1036.663134578544,,,,,,,
convdiff,9,789507,1e-06,0.0001,0,1,1,2,8.799088926100475e-08,11.85238525,12271.846302392294,1086.676478794643,1,1,4,6,9.731579688596979e-08,14.553667541,-6.105461491282336e-10,1037.86405664794,,,,,,,
convdiff,9,789507,0.0,0.0001,0,1,1,2,8.799088766456853e-08,12.374879584,12271.846302392294,1063.7211538461538,1,1,4,6,9.731460116174321e-08,13.897629749,-6.185103805358726e-10,1364.7197342519685,,,,,,,
convdiff,10,3151875,0.01,0.0001,0,1,1,2,9.691211950712458e-08,109.610785417,12271.846302331234,733.2890854779412,1,1,5,7,1.0154722616020171e-07,102.118502499,-6.118047285532048e-10,1150.9209775899087,,,,,,,
convdiff,10,3151875,0.0001,0.0001,0,1,1,2,9.691211974397896e-08,108.2044175,12271.846302331234,1018.9819591645885,1,1,5,7,1.0154722833341568e-07,100.285657873,-6.118047455910861e-10,1208.3662709994305,,,,,,,
convdiff,10,3151875,1e-06,0.0001,0,1,1,2,8.611190613408585e-08,108.384859625,12271.846302415128,916.9754693408968,1,1,5,7,1.0154722794908222e-07,104.493289166,-6.11805336721318e-10,1286.2536446509648,,,,,,,
convdiff,10,3151875,0.0,0.0001,0,1,1,2,8.611190613799841e-08,110.017628917,12271.846302415128,1006.3539207559681,1,1,5,7,1.0154722801916785e-07,103.504964707,-6.119017551429999e-10,1117.7278153636885,,,,,,,
