problem,nc,n_display,alpha1,alpha2,ssn_status,ssn_solved,pmm_iter,ssn_iter,pmm_tol_achieved,ssn_time,ssn_obj,ssn_avg_ram_mb,qpalm_status,qpalm_solved,qpalm_iter,qpalm_inner_iter,qpalm_tol_achieved,qpalm_time,qpalm_obj,qpalm_avg_ram_mb,osqp_status,osqp_solved,osqp_iter,osqp_tol_achieved,osqp_time,osqp_obj,osqp_avg_ram_mb
poisson,6,12675,0.01,1e-06,0,1,12,41,7.57517608162583e-07,0.54277825,0.20432594725619402,112.5296875,1,1,11,22,8.873336233412811e-07,0.11313891599999999,0.0793750885177131,84.21875,,,,,,,
poisson,6,12675,0.0001,1e-06,0,1,7,24,4.5057616346105915e-07,0.3398365,0.20439602907421195,109.07552083333333,1,1,11,24,8.873336008083073e-07,0.13463029,0.0793750885177132,84.0,,,,,,,
poisson,6,12675,1e-06,1e-06,0,1,8,10,1.7280894845855036e-07,0.12954316600000002,0.20437467279880278,103.3984375,1,1,55,73,1.7583576279658146e-06,0.197205957,0.07937448738964802,85.27604166666667,,,,,,,
poisson,6,12675,0.0,1e-06,0,1,8,10,1.7281174205848097e-07,0.125899042,0.2043746356349072,93.234375,1,1,11,26,8.895121287608241e-07,0.154151416,0.07937440983878387,86.1875,,,,,,,
poisson,7,49923,0.01,1e-06,0,1,20,379,2.919410324501316e-07,29.2044445,0.21197888622478106,285.06857965225566,1,1,16,32,5.080146685492451e-07,1.261140374,0.08697396821604225,187.67116477272728,,,,,,,
poisson,7,49923,0.0001,1e-06,0,1,12,34,4.4544968072789534e-07,2.862693041,0.2119701340366833,304.9912860576923,1,1,25,91,2.703836826299925e-08,3.2943537899999997,0.08697397268693004,184.18359375,,,,,,,
poisson,7,49923,1e-06,1e-06,0,1,13,17,6.701597379466149e-07,1.3539812500000001,0.2119728294015918,259.785625,1,1,44,124,9.49690601959487e-07,5.651357497999999,0.08697390262413973,190.52169296116506,,,,,,,
poisson,7,49923,0.0,1e-06,0,1,13,17,6.701561860222922e-07,1.340324875,0.21197274425684703,252.94466145833334,1,1,24,67,6.84135886478492e-07,3.356470248,0.08697383585694018,185.6890368852459,,,,,,,
poisson,8,198147,0.01,1e-06,4,0,34,956,4.054655583599685e-05,610.835709375,0.21589720723740236,740.5800847808596,1,1,40,77,1.9723780757534266e-06,15.674834415,0.09082683463878827,626.0715212264151,,,,,,,
poisson,8,198147,0.0001,1e-06,0,1,15,38,8.3499431788322e-07,23.966356291,0.2166955077284165,831.2738629331683,1,1,80,470,3.85976705919354e-08,153.901886539,0.09082681731328895,638.9348587312284,,,,,,,
poisson,8,198147,1e-06,1e-06,0,1,21,39,7.519128549066232e-09,20.606987792,0.2158269130283138,795.365930316092,1,1,733,1703,1.3700481644807308e-06,431.901792832,0.09082686765351936,477.52024045975514,,,,,,,
poisson,8,198147,0.0,1e-06,4,0,62,936,0.010164583467678671,605.0558321660001,0.21582679462711607,809.1074088592709,1,1,40,85,1.9723759203035595e-06,19.788783457,0.09082680839935005,645.3513513513514,,,,,,,
poisson,9,789507,0.01,1e-06,4,0,21,135,8.297316730129903e-05,775.785767541,0.21867137020659366,1457.267170080559,1,1,48,101,2.7757377307594555e-07,303.034671582,0.09276659436895501,1553.3093988316386,,,,,,,
poisson,9,789507,0.0001,1e-06,0,1,22,81,2.6021995475639516e-07,467.838536459,0.2177381825644834,1441.422820197416,-5,0,51,147,0.00034661273555065076,601.242618457,0.09277127938055517,1515.5641067231418,,,,,,,
poisson,9,789507,1e-06,1e-06,0,1,22,56,2.625935500727884e-07,269.159680958,0.21772958023971345,1459.5798241157734,1,1,49,110,8.050005492051802e-07,379.301242916,0.09276666577957932,1573.8809115682138,,,,,,,
poisson,9,789507,0.0,1e-06,0,1,22,63,2.644900380494167e-07,289.17013616599996,0.2177294907527016,1494.4332570556826,1,1,48,108,2.7766759289988703e-07,360.62138012400004,0.09276659665818364,1580.9590445250121,,,,,,,
