problem,nc,n_display,alpha1,alpha2,ssn_status,ssn_solved,pmm_iter,ssn_iter,pmm_tol_achieved,ssn_time,ssn_obj,ssn_avg_ram_mb,qpalm_status,qpalm_solved,qpalm_iter,qpalm_inner_iter,qpalm_tol_achieved,qpalm_time,qpalm_obj,qpalm_avg_ram_mb,osqp_status,osqp_solved,osqp_iter,osqp_tol_achieved,osqp_time,osqp_obj,osqp_avg_ram_mb
poisson,6,12675,0.01,1e-06,0,1,12,41,7.57517608162583e-07,0.546161792,0.20432594725619402,114.7515625,1,1,11,22,8.873336233412811e-07,0.114326706,0.0793750885177131,84.828125,,,,,,,
poisson,6,12675,0.0001,1e-06,0,1,7,24,4.5057616346105915e-07,0.347587625,0.20439602907421195,106.89322916666667,1,1,11,24,8.873336008083073e-07,0.135846083,0.0793750885177132,85.5,,,,,,,
poisson,6,12675,1e-06,1e-06,0,1,8,10,1.7280894845855036e-07,0.129002375,0.20437467279880278,94.0,1,1,55,73,1.7583576279658146e-06,0.197729082,0.07937448738964802,84.234375,,,,,,,
poisson,6,12675,0.0,1e-06,0,1,8,10,1.7281174205848097e-07,0.12841412500000002,0.2043746356349072,100.4453125,1,1,11,26,8.895121287608241e-07,0.153567832,0.07937440983878387,84.21875,,,,,,,
poisson,7,49923,0.01,1e-06,0,1,20,379,2.919410324501316e-07,29.335186042,0.21197888622478106,291.16936800373134,1,1,16,32,5.080146685492451e-07,1.2756909570000001,0.08697396821604225,188.00747282608697,,,,,,,
poisson,7,49923,0.0001,1e-06,0,1,12,34,4.4544968072789534e-07,2.827025083,0.2119701340366833,287.46476715686276,1,1,25,91,2.703836826299925e-08,3.30512279,0.08697397268693004,188.41692708333332,,,,,,,
poisson,7,49923,1e-06,1e-06,0,1,13,17,6.701597379466149e-07,1.336292708,0.2119728294015918,252.044921875,1,1,44,124,9.49690601959487e-07,5.67484454,0.08697390262413973,188.73513349514562,,,,,,,
poisson,7,49923,0.0,1e-06,0,1,13,17,6.701561860222922e-07,1.348923709,0.21197274425684703,275.480625,1,1,24,67,6.84135886478492e-07,3.3821666649999997,0.08697383585694018,194.72054303278688,,,,,,,
poisson,8,198147,0.01,1e-06,4,0,24,469,1.0854583163577268e-05,306.4641125,0.21568459867392287,660.9201742627346,1,1,40,77,1.9723780757534266e-06,15.918052581,0.09082683463878827,529.3005926724138,,,,,,,
poisson,8,198147,0.0001,1e-06,0,1,15,38,8.3499431788322e-07,24.168917625,0.2166955077284165,632.6330935251799,1,1,80,470,3.85976705919354e-08,157.243864249,0.09082681731328895,399.2672067613,,,,,,,
poisson,8,198147,1e-06,1e-06,0,1,21,39,7.519128549066232e-09,21.030569916,0.2158269130283138,742.1030464385475,-5,0,494,1127,4.478359501854424e-05,300.602856916,0.09082687143355023,485.53780089975504,,,,,,,
poisson,8,198147,0.0,1e-06,4,0,34,497,0.004735560740308163,310.701765625,0.21582679064019628,700.0176573822464,1,1,40,85,1.9723759203035595e-06,20.306254166000002,0.09082680839935005,605.9706068840579,,,,,,,
