System,infeas_detected,opt_status,name,pmm_iter,ssn_iter,krylov_iter,fact,pmm_res,ssn_res,solving_time_sec,linesearch_fail
S,1,-2,BGDBG1,48,350,3947,125,1e+20,1e+20,0.0639502,0,0
S,1,-2,BGETAM,48,366,10912,136,1e+20,1e+20,0.193869,0,0
S,1,-2,BGINDY,47,1124,57650,615,1e+20,1e+20,9.27523,0,1
S,1,-2,BGPRTR,23,365,1171,25,1e+20,1e+20,0.00307138,0,0
S,1,-2,BOX1,4,10,242,10,1e+20,1e+20,0.00147533,0,0
S,1,-2,CERIA3D,2,20,29,20,1e+20,1e+20,0.0354917,0,0
S,1,-2,CHEMCOM,39,759,27546,271,1e+20,1e+20,0.264152,0,0
S,1,-2,CPLEX1,137,3867,48047,1931,1e+20,1e+20,8.26265,0,0
S,0,0,CPLEX2,15,58,348,36,5.09909e-08,1.00711e-05,0.009889,0,0
S,1,-2,EX72A,7,28,1247,28,1e+20,1e+20,0.00680404,0,0
S,1,-2,EX73A,5,21,929,21,1e+20,1e+20,0.00466463,0,0
S,1,-2,GALENET,38,187,375,4,1e+20,1e+20,0.00135267,0,0
S,0,4,GOSH,119,4782,240,3884,0.000497582,9.31879e-05,60.1201,0,1
S,1,-2,GRAN,24,249,100,248,1e+20,1e+20,0.83784,0,1
S,1,-2,GREENBEA,59,2538,100,2501,1e+20,1e+20,15.2672,0,1
S,1,-2,ITEST2,2,5,8,5,1e+20,1e+20,9.2792e-05,0,0
S,1,-2,ITEST6,35,170,265,3,1e+20,1e+20,0.000933667,0,0
S,0,0,KLEIN1,31,309,2473,88,8.72783e-07,8.91265e-06,0.0270575,0,2
S,1,-2,KLEIN2,26,255,4081,72,1e+20,1e+20,0.157511,0,8
S,0,0,KLEIN3,30,478,8930,147,8.80944e-07,1.85042e-07,0.298707,0,17
S,1,-2,MONDOU2,4,49,1241,49,1e+20,1e+20,0.0173317,0,0
S,1,-2,PANG,42,648,20485,278,1e+20,1e+20,0.363115,0,3
S,1,-2,PILOT4I,54,1331,40560,669,1e+20,1e+20,1.70483,0,0
S,1,-2,QUAL,46,452,6302,354,1e+20,1e+20,0.185654,0,0
S,1,-2,REACTOR,34,399,25209,231,1e+20,1e+20,0.194159,0,0
S,1,-2,REFINERY,20,185,2707,167,1e+20,1e+20,0.0754193,0,0
S,1,-2,VOL1,33,280,4384,238,1e+20,1e+20,0.127882,0,0
S,1,-2,WOODINFE,7,55,209,53,1e+20,1e+20,0.00132429,0,0
