problem,nc,n_display,alpha1,alpha2,ssn_status,ssn_solved,pmm_iter,ssn_iter,pmm_tol_achieved,ssn_time,ssn_obj,qpalm_status,qpalm_solved,qpalm_iter,qpalm_inner_iter,qpalm_tol_achieved,qpalm_time,qpalm_obj,osqp_status,osqp_solved,osqp_iter,osqp_tol_achieved,osqp_time,osqp_obj
convdiff,6,12675,0.01,0.01,0,1,8,9,7.966072714000068e-11,0.10027366600000001,0.012271846303085077,1,1,5,7,2.2979395512386242e-11,0.032855581,-4.2091910390343764e-16,,,,,,
convdiff,6,12675,0.0001,0.01,0,1,5,6,9.288388115729224e-13,0.072422375,0.012271846303085058,1,1,5,7,2.297934954379292e-11,0.029666915000000002,-4.175512818951406e-16,,,,,,
convdiff,6,12675,1e-06,0.01,0,1,128,1787,1.178289835638375e-13,3.316724917,0.012271846299605607,1,1,5,7,2.2959453771720823e-11,0.029533122999999998,-3.474609391489579e-12,,,,,,
convdiff,6,12675,0.0,0.01,0,1,12,13,7.503216150356828e-11,0.16534695900000002,0.012271846295198459,1,1,5,7,2.823177120768369e-11,0.029944582,-8.016433162004458e-12,,,,,,
convdiff,7,49923,0.01,0.01,0,1,5,6,5.5345878265226386e-14,0.434409833,0.01227184630308508,1,1,6,8,1.9314642220436793e-11,0.194903125,-1.6753987866070672e-16,,,,,,
convdiff,7,49923,0.0001,0.01,0,1,4,5,1.0741238995394264e-11,0.350691666,0.012271846303084043,1,1,6,8,1.931465677307102e-11,0.19403004100000001,-1.6603790937249696e-16,,,,,,
convdiff,7,49923,1e-06,0.01,0,1,1,2,9.964201122191235e-11,0.14476725,0.012271846303014507,1,1,6,8,1.9314628398304152e-11,0.19422862300000002,-1.6603776630075708e-16,,,,,,
convdiff,7,49923,0.0,0.01,0,1,1,2,7.66477674654366e-11,0.170386625,0.012271846303020608,1,1,6,8,1.931334666529662e-11,0.19365579,-1.276961562058444e-13,,,,,,
convdiff,8,198147,0.01,0.01,0,1,5,6,1.5287071392489013e-14,3.718587125,0.012271846303084998,1,1,6,8,1.7479292086281277e-11,1.3438536650000001,-3.207687689692847e-16,,,,,,
convdiff,8,198147,0.0001,0.01,0,1,4,5,2.6733164584306585e-12,3.080141542,0.01227184630308476,1,1,6,8,1.7479288552184738e-11,1.340006248,-3.203902258115701e-16,,,,,,
convdiff,8,198147,1e-06,0.01,0,1,1,2,4.6576268830050154e-11,1.218773125,0.0122718463030251,1,1,6,8,1.7479322977948636e-11,1.353655206,-3.20390160725153e-16,,,,,,
convdiff,8,198147,0.0,0.01,0,1,1,2,3.582945503831743e-11,1.398647,0.012271846303032002,1,1,6,8,1.74792382774509e-11,1.335761208,-2.0654665005565266e-15,,,,,,
convdiff,9,789507,0.01,0.01,0,1,4,5,6.678160365858169e-11,27.690124542000003,0.012271846302419695,1,1,7,9,3.065892592734738e-11,13.598470957,-8.985772259377706e-16,,,,,,
convdiff,9,789507,0.0001,0.01,0,1,1,2,7.439361692122671e-11,10.834997042000001,0.012271846303030076,1,1,7,9,3.0658924459951466e-11,14.259413791,-8.98482100958898e-16,,,,,,
convdiff,9,789507,1e-06,0.01,0,1,1,2,2.2425377371639584e-11,10.724470499999999,0.01227184630303002,1,1,7,9,3.065892706862821e-11,14.029888833,-8.984821256651673e-16,,,,,,
convdiff,9,789507,0.0,0.01,0,1,1,2,1.725324530149231e-11,11.511678834000001,0.012271846303036337,1,1,7,9,3.0658923192810217e-11,13.449842749,-9.1400846596867e-16,,,,,,
convdiff,10,3151875,0.01,0.01,0,1,4,5,1.6695386527123734e-11,262.866659125,0.012271846302917607,-5,0,337,503,2.504629941193775e-10,600.680886374,-4.208838352831678e-15,,,,,,
convdiff,10,3151875,0.0001,0.01,0,1,1,2,1.859676887189884e-11,100.742051458,0.012271846303031943,-5,0,333,497,2.5050556215772014e-10,600.3561418740001,-4.209490867795253e-15,,,,,,
convdiff,10,3151875,1e-06,0.01,0,1,1,2,1.092643287410745e-11,106.10744466599999,0.012271846303031929,-5,0,337,503,2.504632388377675e-10,602.613662082,-4.208782967888898e-15,,,,,,
convdiff,10,3151875,0.0,0.01,0,1,1,2,9.396752141697215e-12,105.837783458,0.01227184630303791,-5,0,55,85,2.5346226122236006e-10,633.375530915,4.258498175753228e-15,,,,,,
