name,ssn_solved,ssn_status,pmm_iter,ssn_iter,ssn_obj,pmm_tol_achieved,ssn_time,qpalm_solved,qpalm_status,qpalm_iter,qpalm_inner_iter,qpalm_obj,qpalm_tol_achieved,qpalm_time,osqp_solved,osqp_status,osqp_iter,osqp_obj,osqp_tol_achieved,osqp_time
AUG2D,1,0,15,104,1687409.60786934,5.43699504529354e-07,0.153324917,1,1,8,16,1687351.6548751993,2.8454170770575438e-05,0.08976004,1,1,50,1687411.1745486164,2.9319448313636087e-07,0.053287707999999996
AUG2DC,1,0,15,133,1818364.867003532,7.498609153611113e-07,0.164850375,1,1,8,16,1818367.7914470825,8.509711865167802e-07,0.08361924899999999,1,1,50,1818366.9324042788,5.313173903065405e-07,0.051614583
AUG2DCQP,1,0,51,783,6498120.061210761,9.247915104077173e-07,1.606152709,1,1,12,47,6498068.499224074,6.415143845561744e-05,0.260005123,1,1,1700,6498137.006966587,1.8189096872234245e-05,1.294018624
AUG2DQP,1,0,51,761,6237000.923170397,7.284512335536851e-07,1.534157833,1,1,13,57,6236967.414828271,7.5845803274576795e-06,0.32096408200000004,1,1,1525,6237012.320279438,1.061233946307863e-06,1.167238457
AUG3D,1,0,4,4,554.0676128133789,1.0633497837807434e-07,0.005935917000000001,1,1,5,10,554.066827386211,9.466943013958229e-07,0.011073207,1,1,50,554.067726385261,1.7737145086016426e-09,0.010045916
AUG3DC,1,0,4,4,771.2622030800094,1.817017398756938e-07,0.006007001,1,1,8,16,771.2620896306762,5.990728066951334e-07,0.016345832,1,1,50,771.2624389541584,1.5837138267471573e-09,0.009288416
AUG3DCQP,1,0,6,28,993.3618443806376,1.3497901322568597e-07,0.023110791999999998,1,1,13,35,993.3621400619136,5.664030136180054e-07,0.041119748,1,1,100,993.362011403472,1.9815509451071023e-06,0.017154791
AUG3DQP,1,0,6,12,675.2375579661784,7.370340454989862e-08,0.023514084,1,1,13,35,675.2376473583693,2.7401470849125826e-06,0.045169624000000005,1,1,100,675.2376716125391,3.238372515936622e-07,0.017023249
BOYD1,0,4,1,19,-61721590.805745155,0.0019355684310265785,113.22109374899999,1,1,57,156,-61735218.69934834,0.1806306120235271,3.45106929,0,8,15401,-61734987.761855505,56.14388283809816,60.008449875
BOYD2,0,4,1,50,-1.2181303972142867,0.9979763804974174,226.30188870799998,0,-5,1329,3944,21.25383378199504,0.06189307742395794,60.010295623000005,0,8,17112,356263.7810815961,597.73903625227,60.010621582999995
