name,ssn_solved,ssn_status,pmm_iter,ssn_iter,ssn_obj,pmm_tol_achieved,ssn_time,qpalm_solved,qpalm_status,qpalm_iter,qpalm_inner_iter,qpalm_obj,qpalm_tol_achieved,qpalm_time,osqp_solved,osqp_status,osqp_iter,osqp_obj,osqp_tol_achieved,osqp_time
AUG2D,1,0,15,15,1687410.0474387878,4.322818103474794e-07,0.10151937400000001,1,1,8,16,1687351.6548751993,2.8454170770575438e-05,0.11039958100000001,1,1,50,1687411.1745486164,2.9319448313636087e-07,0.053769207
AUG2DC,1,0,15,15,1818365.519487291,5.968948357804038e-07,0.110473,1,1,8,16,1818367.7914470825,8.509711865167802e-07,0.086926665,1,1,50,1818366.9324042788,5.313173903065405e-07,0.052409791
AUG2DCQP,1,0,21,170,6498124.375664862,6.530460138954214e-07,0.99534475,1,1,12,47,6498068.499224074,6.415143845561744e-05,0.35644554100000003,1,1,1700,6498137.006966587,1.8189096872234245e-05,1.319160458
AUG2DQP,1,0,20,82,6236999.63058048,8.132606176742404e-07,1.0499875840000001,1,1,13,57,6236967.414828271,7.5845803274576795e-06,0.316517791,1,1,1525,6237012.320279438,1.061233946307863e-06,1.177536624
AUG3D,1,0,4,4,554.0676128133789,1.0633497837807434e-07,0.006564709,1,1,5,10,554.066827386211,9.466943013958229e-07,0.011183248,1,1,50,554.067726385261,1.7737145086016426e-09,0.009442915999999999
AUG3DC,1,0,4,4,771.2622030800094,1.817017398756938e-07,0.005915375,1,1,8,16,771.2620896306762,5.990728066951334e-07,0.015433582,1,1,50,771.2624389541584,1.5837138267471573e-09,0.009302291
AUG3DCQP,1,0,11,25,993.3621473057501,3.503135107304839e-08,0.027007333,1,1,13,35,993.3621400619136,5.664030136180054e-07,0.041361874,1,1,100,993.362011403472,1.9815509451071023e-06,0.017244541
AUG3DQP,1,0,6,12,675.2375579661784,7.370340454989862e-08,0.021526292,1,1,13,35,675.2376473583693,2.7401470849125826e-06,0.045376874,1,1,100,675.2376716125391,3.238372515936622e-07,0.016943207
BOYD1,0,4,1,19,-61721590.805745155,0.0019355684310265785,113.336596458,1,1,57,156,-61735218.69934834,0.1806306120235271,3.3858057489999998,0,8,15435,-61734989.106416576,55.978652578333424,60.005071040999994
BOYD2,0,4,1,50,-1.2181303972142867,0.9979763804974174,226.584541167,0,-5,1318,3922,21.248441919528723,0.10159172552608328,60.010133874,0,8,17223,353245.3933526847,595.2053614248075,60.009496749
CONT-050,1,0,6,25,-4.563854482725102,6.426723135079336e-07,0.11416370799999999,1,1,4,11,-4.56385048122636,7.842794096102335e-08,0.026993581000000003,1,1,1775,-4.563851392513337,1.7054763307651508e-06,0.47090504099999997
CONT-100,1,0,9,41,-4.644415827420413,8.647841947890813e-07,1.782746583,1,1,6,33,-4.644415521097686,2.0250124919268808e-07,0.710178706,1,1,8625,-4.644399705259209,4.6931381986922944e-07,11.842045999
CONT-101,1,0,12,148,0.1953990077135379,7.047478011749996e-07,8.267305791,1,1,6,123,0.19529107611552288,3.0681724424076485e-06,3.365571123,1,1,10925,0.19552935040573538,6.893371354408539e-07,16.251187125
CONT-200,1,0,13,50,-4.684927369391209,6.752594856722573e-07,15.929788583,1,1,5,15,-4.685169773951925,3.576763681920993e-06,1.76828804,0,8,7045,-3.174956640283509,0.01610656322711755,60.005233291
CONT-201,0,4,4,200,-0.049086384911028846,0.3140029114438643,76.14345075,0,-5,5,237,-0.06684948894848301,0.37847124087960793,60.013172749,0,8,7083,1.8073416244911262,0.01662404366609292,60.007045291000004
CONT-300,0,4,2,100,-0.03756443910945766,0.1566546093210209,88.57162895799999,0,-5,2,45,-0.0999150082417476,0.03513126365813165,61.399451623000004,0,8,2512,7.066916278453743,0.3359180277249734,60.016471874000004
CVXQP1L,0,4,7,25,13805249.838988408,0.7069414897371581,66.14676458299999,0,-5,38,136,108653798.55678344,21344.410809853405,60.853940749,1,1,8400,108704777.01418243,0.007739011209907165,56.171134208
CVXQP1M,1,0,357,16343,1087508.2798806266,9.828723561621312e-07,34.911923874,1,1,24,80,1087510.493655371,4.380016277314255e-06,0.140862583,1,1,625,1087511.554541954,0.0004862286546283133,0.092615083
CVXQP1S,1,0,36,402,11590.709738682683,7.190924888945969e-07,0.03827975,1,1,13,37,11590.718060485195,1.6596443610794598e-06,0.001050624,1,1,425,11590.717496574516,0.0008509395608603309,0.0017684579999999999
CVXQP2L,0,4,10,174,13067438.007665597,0.6088056308360128,65.385839917,1,1,30,113,81842458.0463713,3.2332649758278393e-06,40.56357554,1,1,1650,81842458.26015085,6.960729992354149e-05,9.231631916
CVXQP2M,1,0,110,4941,820155.3940424512,9.408012048391698e-07,3.341980458,1,1,18,60,820155.4131144702,6.176776024359544e-06,0.087142415,1,1,175,820155.4302829508,9.86869331481476e-05,0.023994166
CVXQP2S,1,0,15,123,8120.935452754875,7.262266388029401e-07,0.013994791999999999,1,1,13,35,8120.940202582617,2.9894142578729133e-06,0.000845207,1,1,75,8120.9404799686345,2.417171244380056e-05,0.000380083
CVXQP3L,0,4,7,24,22696278.155314866,0.7302753549452543,64.863683541,0,-5,26,98,115458702.70602618,168264.8997980395,61.156693206,0,2,7977,115710645.784182,0.061831610186779504,60.006183625
CVXQP3M,0,4,509,24046,1227332.6855541738,0.0043438937145449915,60.011318749,1,1,28,113,1362828.3891311693,7.10070703294005e-07,0.211734415,1,1,3000,1362828.7028892862,0.00825832462459175,0.470876666
CVXQP3S,1,0,106,1520,11943.4241512046,9.394387373154588e-07,0.152233917,1,1,13,39,11943.432069999924,4.6227034311563386e-07,0.001308832,1,1,100,11943.431057830818,0.0005429048965229752,0.000638916
DPKLO1,0,-2,20,401,1e+20,1e+20,0.091571792,0,-3,10,40,0.0,11.86178311202819,0.002932499,0,3,425,1e+30,1.264812104424721,0.004292124
DTOC3,1,0,21,317,235.22937088135367,4.886350499113808e-07,0.41534675,1,1,63,126,235.25594524888942,3.182060531791293e-07,0.271678499,1,1,350,235.26226608649705,3.169136064684608e-09,0.158696166
DUAL1,1,0,11,19,0.03501296581629674,5.867106908491024e-07,0.0074958329999999995,1,1,5,21,0.035012946828452435,5.92393485573422e-07,0.001338708,1,1,50,0.0350129660096062,1.1735757621239687e-07,0.000692833
DUAL2,1,0,12,27,0.033733676043261475,2.607212274530921e-07,0.006641375000000001,1,1,5,13,0.03373367841103344,5.526352853634779e-08,0.001181249,1,1,50,0.03373367619184395,8.551843232637011e-08,0.000835082
DUAL3,1,0,7,10,0.13575579644771374,2.4770651076733205e-07,0.009609666999999999,1,1,5,15,0.13575574835334817,9.67961809123614e-07,0.0016009569999999999,1,1,50,0.13575583620789974,2.2753632223728123e-07,0.001177
DUAL4,1,0,12,32,0.7460908441888332,7.155543475157526e-07,0.007286375,1,1,6,15,0.746090432363693,5.948457377901318e-07,0.0007191649999999999,1,1,50,0.7460908274281847,2.7668418488829187e-07,0.000533666
DUALC1,1,0,23,352,6151.602001804815,3.047280971273078e-07,0.009338458,1,1,4,23,6138.272441608012,3.272041525947667,0.000558957,1,1,700,6155.206621109025,0.2467804240673979,0.003348125
DUALC2,1,0,9,47,3551.3076066062,7.202265449745313e-09,0.001461833,1,1,3,15,3550.8232574552844,0.06332185420299345,0.000383333,1,1,275,3551.3114210176377,0.0074792586293513635,0.001324375
DUALC5,1,0,7,63,427.23221080694503,4.7377288896510207e-07,0.001810416,1,1,3,8,426.5879814024128,0.0004881111785337967,0.00029770700000000003,1,1,75,427.2323132275329,3.1711021341462787e-06,0.000633249
DUALC8,1,0,16,428,18309.321857557432,2.3690218342586888e-07,0.014902625000000001,1,1,4,16,18304.442542577093,0.0003570508417570405,0.000826748,1,1,75,18309.355283092387,0.010200102129238305,0.0011587910000000002
EXDATA,0,4,5,173,-130.3105766441674,0.8530877195999076,81.16751049999999,1,1,7,260,-141.84343218931332,3.644195818191382e-06,5.746359415,1,1,1150,-141.84342941699765,1.2244061563748687e-05,3.5685589569999996
GENHS28,1,0,3,3,0.9271718627392114,6.435426753159668e-07,0.000108791,1,1,3,6,0.9271741307488796,3.227389637108796e-07,3.8749e-05,1,1,50,0.9271736960999132,3.5902230077766717e-09,4.1208e-05
GOULDQP2,1,0,10,96,0.00018447060614432392,3.565114329919587e-09,0.047589125,1,1,8,39,0.00018426838465668575,2.51165804509807e-05,0.006940457000000001,1,1,2175,0.00018427067682943185,3.3626324349000924e-05,0.043220124
GOULDQP3,1,0,9,35,2.062784088535409,8.53663776750049e-07,0.026192291000000003,1,1,9,33,2.062782471661194,8.692746439309974e-06,0.005188083,1,1,50,2.0627839729168045,1.6314600638861325e-08,0.001299749
HS118,1,0,10,50,664.8204498337432,6.898278598809386e-07,0.000593458,1,1,8,31,664.8204414358344,1.2980326753009308e-05,0.000290666,1,1,675,664.8204396149034,1.8258031726503532e-06,0.000346083
HS21,1,0,2,3,-99.95999999996307,3.0766100778123473e-10,5.9666999999999996e-05,1,1,3,7,-99.96000000004973,1.2434472960245361e-09,2.2124e-05,1,1,75,-99.96000003048587,7.621471061431369e-07,2.6791e-05
HS268,1,0,3,5,-7.275957614183426e-12,6.38821080059897e-07,0.000145791,1,1,5,7,0.00039487403955718037,0.006628919754078942,3.0458e-05,1,1,250,0.00020592053442669567,0.005304771692429691,9.275e-05
HS35,1,0,3,5,0.11111127151550804,7.367273088459671e-07,0.00011654200000000001,1,1,3,7,0.11111109400180652,7.699187213620706e-08,2.5874000000000003e-05,1,1,50,0.1111111111302936,8.632054319351658e-11,2.2124e-05
HS35MOD,1,0,10,29,0.2500000154580295,1.2270838194856052e-08,0.000303458,1,1,2,5,0.2500026530917534,2.653084714032694e-06,1.9789e-05,1,1,50,0.2499999993060129,7.3020942625845456e-09,2.6832000000000003e-05
HS51,1,0,4,4,3.8191672047105385e-13,7.583550187817423e-08,9.283300000000001e-05,1,1,0,1,3.2862601528904634e-14,1.199999934421039e-06,1.8707e-05,1,1,50,-8.881784197001252e-16,2.089423086999933e-08,2.7499000000000002e-05
HS52,1,0,5,5,5.326645582045653,2.459283786356637e-07,9.425e-05,1,1,3,6,5.326646623262625,1.0628607886873243e-07,2.6373e-05,1,1,50,5.326647564548833,3.23211434597046e-11,2.7706999999999997e-05
HS53,1,0,5,5,4.093023005713466,3.803697330666921e-08,9.887499999999999e-05,1,1,3,6,4.09302301968218,3.7216970211696554e-08,2.3998e-05,1,1,25,4.093025861479692,4.239780164513428e-06,2.7583e-05
