problem,nc,n_display,alpha1,alpha2,ssn_status,ssn_solved,pmm_iter,ssn_iter,pmm_tol_achieved,ssn_time,ssn_obj,qpalm_status,qpalm_solved,qpalm_iter,qpalm_inner_iter,qpalm_tol_achieved,qpalm_time,qpalm_obj,osqp_status,osqp_solved,osqp_iter,osqp_tol_achieved,osqp_time,osqp_obj
poisson,6,12675,0.01,0.01,0,1,4,6,1.290669790193088e-07,1.93464925,0.19382892886330783,1,1,8,21,3.6817070304921855e-07,2.2932688310000002,0.1938211195205387,,,,,,
poisson,6,12675,0.0001,0.01,0,1,3,5,3.502796039414351e-07,1.491754125,0.18892538088101385,1,1,8,37,1.6361398737389117e-06,2.816388708,0.18888411526866297,,,,,,
poisson,6,12675,1e-06,0.01,0,1,3,4,3.500934304696139e-07,1.206656583,0.18886740915102618,1,1,8,33,1.0019512251532915e-06,2.941850165,0.18884906127044052,,,,,,
poisson,6,12675,0.0,0.01,0,1,3,4,3.500915499289688e-07,1.17918975,0.18886682254232,1,1,8,33,9.97390341275871e-07,2.959452373,0.1888485970567615,,,,,,
poisson,7,49923,0.01,0.01,0,1,7,11,2.027234961388155e-08,33.33062375,0.20377619474636405,1,1,9,25,5.347766992923969e-07,27.884895373,0.20375467810276304,,,,,,
poisson,7,49923,0.0001,0.01,0,1,6,9,8.00749351929746e-07,36.824452459,0.19908806209760982,1,1,9,36,2.0160670029591386e-07,50.75153945700001,0.19884230007837408,,,,,,
poisson,7,49923,1e-06,0.01,0,1,6,9,8.003189792903042e-07,37.550070292,0.1990286370595052,1,1,9,36,7.054288804993833e-07,50.842993791,0.19878566356917715,,,,,,
poisson,7,49923,0.0,0.01,0,1,6,9,8.003146319694859e-07,37.095482749999995,0.19902803575342926,1,1,9,36,7.152075390060328e-07,50.68152304,0.19878148592265454,,,,,,
poisson,8,198147,0.01,0.01,0,1,8,14,4.3726723170015665e-07,787.180709208,0.20839978399615539,1,1,13,37,8.94648551403795e-07,401.498128873,0.20889647016636315,,,,,,
poisson,8,198147,0.0001,0.01,0,1,8,11,3.6213562420457656e-07,729.511188334,0.20362153788219384,1,1,13,47,9.60571523308659e-07,654.501923874,0.2039655529636425,,,,,,
poisson,8,198147,1e-06,0.01,4,0,7,10,1.2061033527783539e-06,4307.760897584,0.20267038100868137,1,1,13,42,1.0104123093702703e-06,606.224928624,0.2039061285481817,,,,,,
poisson,8,198147,0.0,0.01,0,1,8,11,3.615656981860374e-07,2190.1419273340002,0.20356293799321246,1,1,13,42,1.0109562737672395e-06,610.253603791,0.2039055233865495,,,,,,
poisson,9,789507,0.01,0.01,-99,0,-1,-1,nan,inf,nan,-5,0,16,36,0.00696025808379557,3695.45890254,0.18072272037460327,,,,,,
poisson,9,789507,0.0001,0.01,-99,0,-1,-1,nan,inf,nan,,,,,,,,,,,,,
