table,choice,nc,n_display,alpha2,y_lower,y_upper,u_lower,u_upper,ssn_status,ssn_solved,pmm_iter,ssn_iter,pmm_tol_achieved,ssn_time,ssn_obj,qpalm_status,qpalm_solved,qpalm_iter,qpalm_inner_iter,qpalm_tol_achieved,qpalm_time,qpalm_obj,osqp_status,osqp_solved,osqp_iter,osqp_tol_achieved,osqp_time,osqp_obj
poisson_control,poisson,6,8450,1.0,-inf,inf,0.0,0.01,0,1,10,31,2.2177579841027906e-07,6.805592667,0.012195210730345574,1,1,7,18,8.988152556886233e-08,0.19348241500000002,0.012196824368175868,,,,,,
poisson_control,poisson,6,8450,0.1,-inf,inf,0.0,0.1,0,1,9,57,9.450335756383681e-07,9.675040542000001,0.012092112504048517,1,1,7,33,8.518440548502184e-08,0.26733620700000005,0.012100363136459165,,,,,,
poisson_control,poisson,6,8450,0.01,-inf,inf,0.0,1.0,0,1,9,36,3.7775470887673155e-07,5.571165166999999,0.011312634362271135,1,1,6,29,1.3145519752078024e-06,0.249404957,0.011310565790670739,,,,,,
poisson_control,poisson,6,8450,0.001,-inf,inf,0.0,3.0,0,1,9,113,6.178270602610475e-07,22.871431708,0.008969297123769301,1,1,7,117,1.3922943340563602e-08,0.714297832,0.008969568348577591,,,,,,
poisson_control,poisson,6,8450,0.0001,-inf,inf,0.0,20.0,0,1,6,51,4.908408216829497e-07,4.495138041000001,0.0062576427564197176,1,1,6,70,1.0897713779554757e-05,0.46266324799999997,0.006441194141372473,,,,,,
poisson_control,poisson,6,8450,1e-05,-inf,inf,0.0,100.0,0,1,6,32,1.6711492229475837e-07,2.642417958,0.005252616248194496,1,1,6,62,1.2799897885886134e-05,0.43895837299999996,0.005798724694892628,,,,,,
poisson_control,poisson,6,8450,1e-06,-inf,inf,0.0,300.0,0,1,6,27,1.8008835920947495e-07,2.098483208,0.005091096782642385,1,1,6,63,1.3043885174087081e-05,0.42616854,0.0057206382238655,,,,,,
poisson_control,poisson,7,33282,1.0,-inf,inf,0.0,0.01,0,1,13,83,5.943725805476238e-07,331.823321667,0.012222578826944462,1,1,8,19,4.2585947275123555e-07,2.83430804,0.012234153090047184,,,,,,
poisson_control,poisson,7,33282,0.1,-inf,inf,0.0,0.1,0,1,13,144,5.453667376381564e-07,504.743770292,0.01212827523845713,1,1,8,41,4.0656297531882987e-07,2.952786332,0.012138400254691342,,,,,,
poisson_control,poisson,7,33282,0.01,-inf,inf,0.0,1.0,0,1,12,70,7.993810891006499e-07,231.040669875,0.011338405711333792,1,1,8,76,1.6689112086861778e-07,3.700132124,0.01135926652366004,,,,,,
poisson_control,poisson,7,33282,0.001,-inf,inf,0.0,3.0,0,1,11,260,6.100354200964315e-07,459.99455824999995,0.009014170423267355,1,1,8,191,2.1123727262530927e-07,7.952282123,0.009036284268990747,,,,,,
poisson_control,poisson,7,33282,0.0001,-inf,inf,0.0,20.0,0,1,5,10,3.5025968713857013e-07,10.093508625,0.006661841680993895,1,1,11,333,1.6725985151523432e-06,12.705978373,0.006834468875438976,,,,,,
poisson_control,poisson,7,33282,1e-05,-inf,inf,0.0,100.0,0,1,7,66,3.106774252297734e-07,61.394430875,0.006084096957810386,1,1,9,209,1.0784864768122417e-06,8.734711457,0.006592180434809676,,,,,,
poisson_control,poisson,7,33282,1e-06,-inf,inf,0.0,300.0,0,1,7,77,3.613042558660516e-07,70.06426399899999,0.006013111446910559,1,1,9,195,1.0592177497576107e-06,8.369692999,0.006551004327427219,,,,,,
