System,agree,opt_status,diverged,name,abs_err,rel_err,obj_val,pmm_iter,ssn_iter,krylov_iter,fact,smw_count,pmm_tol_achieved,ssn_tol_achieved,solving_time_sec,linesearch_fail,krylov_fail
S,1,0,0,25FV47,0.000632702,1.14998e-07,5501.85,37,1003,42560,640,366,8.35862e-07,2.27793e-05,2.99232,0,0
S,1,0,0,80BAU3B,9.02313,9.13982e-06,987223,54,1320,112898,1011,310,6.87274e-07,2.06718e-09,11.7751,0,0
S,1,0,0,ADLITTLE,3.33609e-05,1.47945e-10,225495,24,167,1316,64,125,3.94335e-08,2.52037e-05,0.00866238,0,0
S,1,0,0,AFIRO,4.46235e-07,9.60154e-10,-464.753,3,13,121,10,3,1.30725e-07,1.43662e-06,0.000429291,0,0
S,1,0,0,AGG,0.000379801,1.05524e-11,-3.59918e+07,25,316,5527,134,194,3.2998e-07,6.31335e-08,0.0404521,0,0
S,1,0,0,AGG2,0.0670255,3.31166e-09,-2.02393e+07,10,197,985,89,109,1.05607e-08,1.26781e-08,0.0279072,0,0
S,1,0,0,AGG3,3241.53,0.000314342,1.03154e+07,8,143,857,68,75,9.28073e-07,1.45126e-08,0.0208882,0,0
S,0,-2,0,BANDM,1e+20,6.30406e+17,1e+20,17,301,4534,300,0,1e+20,1e+20,0.217833,0,0
S,1,0,0,BEACONFD,2.44363e-07,7.27434e-12,33592.5,14,55,1358,21,47,1.40928e-09,3.79277e-09,0.020783,0,0
S,1,0,0,BLEND,8.97727e-08,2.91355e-09,-30.8121,8,72,429,37,44,1.69355e-08,1.64656e-11,0.00518446,0,0
S,1,0,0,BNL1,2.84932,0.00144078,1974.78,81,2028,58880,1095,724,6.7698e-07,5.77032e-08,2.11814,0,0
S,1,0,0,BNL2,0.000460322,2.54148e-07,1811.24,60,1658,99972,1232,426,3.29909e-08,1.42878e-05,8.81299,0,0
S,1,0,0,BOEING1,0.00011664,3.47958e-07,-335.213,19,489,12348,296,193,3.13412e-07,1.54333e-11,0.17031,0,0
S,0,-2,0,BOEING2,1e+20,3.17441e+17,1e+20,15,195,3280,124,72,1e+20,1e+20,0.0268905,0,0
S,1,0,0,BORE3D,1.78956e-06,1.30332e-09,1373.08,9,64,2550,43,23,2.59916e-08,3.78147e-06,0.0270084,0,0
S,1,0,0,BRANDY,0.000124351,8.18899e-08,1518.51,13,281,4036,129,156,9.55533e-08,6.88743e-12,0.0931307,0,0
S,1,0,0,CAPRI,0.179028,6.65527e-05,2689.83,17,321,5215,192,131,1.33918e-07,1.06626e-06,0.0976822,0,0
S,1,0,0,CYCLE,0.00146397,0.000280111,-5.22493,133,3039,275843,2381,690,2.19219e-08,1.21308e-09,25.4162,0,32
S,1,0,0,CZPROB,0.00295305,1.35139e-09,2.1852e+06,46,1119,55248,566,567,2.67203e-08,9.21633e-06,1.99399,0,0
S,1,0,0,D2Q06C,0.0772436,6.291e-07,122784,49,1576,95898,1198,387,6.7175e-07,7.78278e-10,19.1899,0,0
S,0,-2,0,D6CUBE,1e+20,3.16966e+17,1e+20,34,407,25983,407,0,1e+20,1e+20,3.16729,0,0
S,1,0,0,DEGEN2,6.42694e-09,4.47815e-12,-1435.18,22,109,5752,85,24,9.71174e-07,0.000130357,0.180876,0,0
S,1,0,0,DEGEN3,2.3888e-07,2.41955e-10,-987.294,19,302,20131,220,84,7.48683e-07,1.47164e-05,3.0436,0,2
L,0,4,0,DFL001,4.81611e+15,4.27476e+08,-4.81611e+15,7,178,100,179,0,1,1.89947e+06,67.2959,0,1
S,0,0,0,E226,7.113,0.379321,-11.6389,22,362,9899,195,176,5.46718e-09,1.02002e-11,0.145885,0,0
S,1,0,0,ETAMACRO,1.12469e-05,1.48825e-08,-755.715,29,451,13783,238,223,1.22643e-08,1.01332e-05,0.299916,0,0
S,1,0,0,FFFFF800,50.1559,9.02605e-05,555629,16,481,19177,288,193,9.40999e-07,2.31126e-09,0.67785,0,0
S,1,0,0,FINNIS,1.9797,1.14572e-05,172789,27,326,14143,216,111,6.08276e-07,2.71228e-08,0.192286,0,0
S,1,0,0,FIT1D,0.00254245,2.77973e-07,-9146.38,24,602,4428,250,369,3.83531e-07,9.26924e-06,0.206524,0,0
S,1,0,0,FIT1P,9.95571e-05,1.08849e-08,9146.38,17,145,1737,140,0,9.01967e-08,6.92714e-10,0.184255,0,0
S,1,0,0,FIT2D,0.00107453,1.56948e-08,-68464.3,62,2035,57407,1349,700,4.08637e-07,0.000296514,13.4237,0,0
L,1,0,0,FIT2P,0.000226527,3.30869e-09,68464.3,38,317,100,318,0,2.2648e-07,2.3113e-09,0.78534,0,1
S,1,0,0,FORPLAN,0.185742,0.00027964,-664.404,57,906,32291,298,617,3.73816e-07,4.80315e-07,0.43111,0,2
S,1,0,0,GANGES,2.55761,2.33387e-05,-109584,21,402,6597,203,201,1.81689e-07,1.10046e-06,0.648006,0,0
S,1,0,0,GFRD-PNC,4.02825e-05,5.83615e-12,6.90224e+06,20,448,7465,214,246,2.08069e-09,1.56512e-09,0.206146,0,0
L,1,0,0,GREENBEA,88.6581,1.2235e-06,-7.24625e+07,151,5679,100,5138,0,2.89889e-09,6.48249e-05,39.8019,0,1
L,0,-2,0,GREENBEB,1e+20,2.32442e+13,1e+20,127,3858,200,2904,0,1e+20,1e+20,20.684,0,1
S,1,0,0,GROW15,0.00357753,3.34752e-11,-1.06871e+08,15,337,3903,337,0,2.42708e-07,1.51773e-05,0.309618,0,0
S,1,0,0,GROW22,0.00256264,1.59334e-11,-1.60834e+08,21,662,7352,662,0,8.00084e-10,1.24341e-09,0.947568,0,0
S,1,0,0,GROW7,0.000161976,3.38948e-12,-4.77878e+07,8,155,1964,155,0,1.41696e-07,3.71729e-09,0.073451,0,0
S,1,0,0,ISRAEL,3.90387,4.35386e-06,-896649,17,380,2438,203,182,8.33296e-07,9.71829e-05,0.0497228,0,0
S,1,0,0,KB2,3.63577e-08,2.0777e-11,-1749.9,29,162,476,44,187,6.99078e-09,4.00323e-10,0.00448187,0,0
S,1,4,0,LOTFI,1.20004e-10,4.74985e-12,-25.2647,18699,933449,9774588,189,13884,7.50207e-05,0.000181027,60.0003,0,0
S,1,0,0,MAROS,0.0143466,2.47084e-07,-58063.7,66,1525,93523,905,557,7.96142e-07,8.41239e-08,3.72896,0,0
S,1,0,0,MAROS-R7,0.0744115,4.97009e-08,1.49719e+06,36,804,13412,799,0,7.52518e-07,3.55674e-11,28.2181,0,0
S,0,0,0,MODSZK1,297.113,0.926684,23.5067,7,132,3762,132,0,9.88067e-07,6.72494e-09,0.271235,0,0
S,1,0,0,NESM,36.688,2.60641e-06,1.4076e+07,151,3885,123701,2200,1698,4.67723e-07,1.08635e-08,8.53704,0,0
S,1,0,0,PEROLD,0.708997,7.55799e-05,-9380.05,42,1119,46894,591,535,6.67234e-08,5.99043e-07,3.18175,0,2
S,0,4,0,PILOT,18.8998,0.0339067,-538.505,74,2557,156708,1543,1014,0.000777399,6.26118,60.1224,0,0
S,1,0,0,PILOT.JA,5.37108,0.000878613,-6107.76,66,2067,88795,972,823,2.45844e-07,2.77954e-05,9.45974,0,12
S,1,0,0,PILOT.WE,12.0535,4.43127e-06,-2.72011e+06,109,4002,122722,1144,1442,3.55654e-07,0.000186107,6.62994,0,0
S,1,0,0,PILOT4,0.0150419,5.82762e-06,-2581.12,40,927,35273,474,473,7.39242e-07,1.71029e-06,1.65102,0,0
S,0,4,0,PILOT87,43.6409,0.144645,345.352,33,1150,88031,940,211,0.012623,0.170349,62.1617,0,1
S,1,0,0,PILOTNOV,1.68429e-08,3.74514e-12,-4497.28,33,1132,50648,736,396,1.5587e-07,9.26539e-10,5.40076,0,0
S,1,0,0,RECIPE,4.22682e-07,1.58536e-09,-266.616,3,28,250,12,16,4.20124e-08,1.97157e-13,0.00123212,0,0
S,1,0,0,SC105,6.70469e-08,1.28437e-09,-52.2021,8,65,440,38,28,8.95992e-07,1.79185e-06,0.00401796,0,0
S,1,0,0,SC205,5.05174e-09,9.67728e-11,-52.2021,11,153,1753,74,82,1.35909e-07,2.38256e-07,0.0173072,0,0
S,1,0,0,SC50A,4.64578e-09,7.19439e-11,-64.5751,4,40,129,21,22,2.04748e-07,3.95282e-07,0.00127733,0,0
S,1,0,0,SC50B,5.61644e-09,8.02349e-11,-70,3,24,69,15,9,1.05689e-08,6.15854e-12,0.000833458,0,0
S,1,0,0,SCAGR25,13.0869,8.8704e-07,-1.47534e+07,32,795,12769,384,417,2.18018e-08,1.86522e-10,0.259408,0,0
S,1,0,0,SCAGR7,26.2836,1.12738e-05,-2.33142e+06,28,556,3319,208,373,1.48603e-07,0.000498819,0.037296,0,0
S,1,0,0,SCFXM1,9.65541e-06,5.24273e-10,18416.8,16,353,8039,173,187,7.88196e-08,4.53667e-06,0.178744,0,0
S,1,0,0,SCFXM2,2.7679e-05,7.55015e-10,36660.3,24,451,13729,260,195,5.81227e-07,2.98914e-05,0.565792,0,0
S,1,0,0,SCFXM3,2.28766e-06,4.16685e-11,54901.3,28,516,19117,296,232,2.59486e-10,1.16655e-11,1.09549,0,0
S,1,0,0,SCORPION,3.38132e-08,1.80037e-11,1878.12,33,107,3552,74,35,1.68545e-11,1.76163e-09,0.0483004,0,0
S,1,0,0,SCRS8,0.00303232,3.35322e-06,904.297,58,928,35435,470,471,3.96368e-10,2.5698e-06,0.716866,0,0
S,0,-2,0,SCSD1,1e+20,1.15385e+19,1e+20,4,26,1396,26,0,1e+20,1e+20,0.0103598,0,0
S,0,-2,0,SCSD6,1e+20,1.9802e+18,1e+20,2,40,2287,40,0,1e+20,1e+20,0.0321619,0,0
S,1,0,0,SCSD8,6.31239e-08,6.97502e-11,905,14,192,8168,192,0,9.60497e-07,7.75765e-06,0.290087,0,0
S,1,0,0,SCTAP1,9.12538e-07,6.46159e-10,1412.25,21,294,10624,186,111,1.33308e-09,6.45385e-07,0.0971349,0,0
S,1,0,0,SCTAP2,1.4142e-08,8.19915e-12,1724.81,10,149,7331,116,34,2.09563e-09,1.70093e-07,0.23288,0,0
S,1,0,0,SCTAP3,4.73287e-06,3.32364e-09,1424,10,143,8000,103,40,7.46366e-08,7.14132e-07,0.327499,0,0
S,1,0,0,SEBA,0.000577681,3.67678e-08,15711.6,16,193,4364,99,99,1.66418e-07,5.81305e-11,0.148468,0,0
S,1,0,0,SHARE1B,2.23823e-07,2.92238e-12,-76589.3,42,685,2789,236,524,3.3422e-08,3.6846e-06,0.0527295,0,0
S,1,0,0,SHARE2B,8.16133e-08,1.96312e-10,-415.732,22,199,1435,59,233,3.25268e-07,0.000111953,0.0128983,0,0
S,1,0,0,SHELL,0.241218,1.99548e-10,1.20883e+09,31,498,26866,226,288,5.6303e-07,3.86917e-05,0.559722,0,0
S,1,0,0,SHIP04L,2.96466e-05,1.65316e-11,1.79332e+06,32,331,19642,189,144,1.87107e-12,3.27331e-08,0.352065,0,0
S,1,0,0,SHIP04S,4.3497e-05,2.41822e-11,1.79871e+06,33,296,17194,161,139,2.56757e-12,3.78855e-10,0.238452,0,0
S,1,0,0,SHIP08L,1.14962e-05,6.02196e-12,1.90906e+06,41,683,63371,357,324,5.64588e-10,4.57995e-06,2.20256,0,3
S,0,-2,0,SHIP08S,1e+20,5.20807e+13,1e+20,32,381,29625,211,166,1e+20,1e+20,0.659897,0,0
L,1,0,0,SHIP12L,1.88814e-05,1.28428e-11,1.47019e+06,67,1875,20240,1757,91,5.7038e-09,4.48649e-05,3.7342,0,2
S,0,-2,0,SHIP12S,1e+20,6.71485e+13,1e+20,45,773,54476,419,351,1e+20,1e+20,1.70453,0,0
S,1,0,0,SIERRA,0.000357185,2.32023e-11,1.53944e+07,28,305,25491,157,151,3.98777e-11,4.03012e-06,0.52036,0,0
S,1,0,0,STAIR,1.47854e-08,5.88433e-11,-251.267,33,460,7352,261,214,3.27209e-07,3.44459e-06,0.45243,0,0
S,1,0,0,STANDATA,1.57798e-05,1.25465e-08,1257.7,6,47,2032,38,9,2.17106e-07,1.86644e-06,0.0321711,0,0
S,1,0,0,STANDMPS,1.11285e-07,7.91493e-11,1406.02,13,134,6024,87,47,2.64804e-07,7.11741e-05,0.117749,0,0
S,1,0,0,STOCFOR1,0.686152,1.66817e-05,-41131.3,5,78,289,32,51,9.85494e-07,2.02174e-11,0.0053115,0,0
S,1,0,0,STOCFOR2,0.000792869,2.03172e-08,-39024.4,29,815,22886,531,286,1.18644e-07,2.99824e-05,2.12251,0,0
S,1,0,0,TUFF,0.000137998,0.000472356,0.292286,25,494,15457,272,230,5.12417e-07,6.05026e-07,0.42676,0,1
S,1,0,0,VTP.BASE,0.000642033,4.94513e-09,129831,20,149,5569,87,70,9.26998e-08,1.09356e-05,0.0324616,0,0
S,1,0,0,WOOD1P,3.88976e-11,2.69579e-11,1.4429,25,120,3364,76,47,3.834e-08,3.94103e-07,0.449295,0,3
S,0,-2,0,WOODW,1e+20,7.66591e+19,1e+20,74,1600,107947,1323,280,1e+20,1e+20,15.3787,0,0
