name,ssn_solved,ssn_status,pmm_iter,ssn_iter,ssn_obj,pmm_tol_achieved,ssn_time,ssn_avg_ram_mb,qpalm_solved,qpalm_status,qpalm_iter,qpalm_inner_iter,qpalm_obj,qpalm_tol_achieved,qpalm_time,qpalm_avg_ram_mb,osqp_solved,osqp_status,osqp_iter,osqp_obj,osqp_tol_achieved,osqp_time,osqp_avg_ram_mb
AUG2D,1,0,18,179,1687410.1552572371,4.049718064632981e-07,0.299572875,127.421875,1,1,8,16,1677451.6548751993,2.8454170770575438e-05,0.077720957,154.8125,,,,,,,
AUG2DC,1,0,18,160,1818365.6688246734,5.618847420119089e-07,0.2262955,126.328125,1,1,8,16,1808267.7914470825,8.509711865167802e-07,0.07936441600000001,150.1875,,,,,,,
AUG2DCQP,1,0,46,736,6498122.070287898,7.982103960324082e-07,1.519919333,140.640625,1,1,12,47,6487968.499224074,6.415143845561744e-05,0.259171582,149.51953125,,,,,,,
AUG2DQP,1,0,42,632,6236999.56767448,8.173711620824036e-07,1.485129166,141.421875,1,1,13,57,6227067.414828271,7.5845803274576795e-06,0.31781945699999997,153.5546875,,,,,,,
AUG3D,1,0,6,10,554.0676068332914,8.357389134483672e-07,0.011729208,106.09375,1,1,5,10,-782.433172613789,9.466943013958229e-07,0.010921415,107.28125,,,,,,,
AUG3DC,1,0,6,9,771.2624210495946,1.1012590686628282e-08,0.011302040999999999,104.53125,1,1,8,16,-1165.2379103693238,5.990728066951334e-07,0.015286748999999999,109.75,,,,,,,
AUG3DCQP,1,0,9,35,993.362031995603,5.107271028643178e-08,0.040896791,106.109375,1,1,13,35,-943.1378599380864,5.664030136180054e-07,0.040785249,108.34375,,,,,,,
AUG3DQP,1,0,8,22,675.2369055403346,5.036847903489044e-07,0.040649292000000004,105.171875,1,1,13,35,-661.2623526416307,2.7401470849125826e-06,0.044769666,109.046875,,,,,,,
BOYD1,0,4,1,10,-68937224.55904973,1.5214081273571614,58.602313375,371.796875,1,1,57,156,-61735218.69934834,0.1806306120235271,3.159609666,380.67914870689657,,,,,,,
BOYD2,0,4,3,31,45.9946942898831,0.14294268934852522,31.171314458,372.4375,0,-5,710,2062,64.36187411704641,1.293754932434052,30.002436458,419.5062003968254,,,,,,,
CONT-050,1,0,25,315,-4.563849328165391,9.408577688985917e-07,0.253230208,113.25,1,1,4,11,-4.56385048122636,7.842794096102335e-08,0.025875291,111.359375,,,,,,,
CONT-100,1,0,26,306,-4.644389545347773,5.674589802567963e-07,2.265264667,160.34375,1,1,6,33,-4.644415521097686,2.0250124919268808e-07,0.650531331,143.7159090909091,,,,,,,
CONT-101,1,0,92,1412,0.19558690878344043,9.520633765262475e-07,12.503106208,165.796875,1,1,6,123,0.19529107611552288,3.0681724424076485e-06,3.099222624,145.52373798076923,,,,,,,
CONT-200,1,0,59,907,-4.684529647642705,9.371310473222088e-07,23.785913958000002,311.828125,1,1,5,15,-4.685169773951925,3.576763681920993e-06,1.651296915,276.50948660714283,,,,,,,
CONT-201,0,4,11,154,-0.0006159985284939709,0.0014168548632511354,31.040802125,302.53125,0,-5,2,82,-0.09492265412722345,0.1469448144853057,30.008063956,244.37162747524752,,,,,,,
CONT-300,0,4,7,68,-0.00019135091238929654,0.0014052683963905667,30.239629833,298.25,0,-5,2,23,-0.06747134895820052,0.2307562404807349,30.178483165,443.14663461538464,,,,,,,
CVXQP1L,0,4,4,12,131474.07814009098,0.798919170269029,33.658953792,211.171875,0,-5,14,50,100103528.1180217,106799.17826357439,30.348261332,169.13400268554688,,,,,,,
CVXQP1M,0,4,1085,13779,1069224.5435169367,0.005125166712080434,30.003220542,58.625,1,1,24,80,1087510.493655371,4.380016277314255e-06,0.141850332,103.0,,,,,,,
CVXQP1S,1,0,583,9381,11590.701477958819,9.998643701470723e-07,0.27254845899999997,101.515625,1,1,13,37,11590.718060485195,1.6596443610794598e-06,0.001087081,100.046875,,,,,,,
CVXQP2L,0,4,5,18,151165.58981991556,0.8253860462057542,36.743950041999994,226.828125,0,-5,18,78,80913365.16535884,338071.2675649586,30.675543582,171.32353118955513,,,,,,,
CVXQP2M,0,4,3125,45067,820155.1312052659,5.339989805829102e-06,30.004257417,75.765625,1,1,18,60,820155.4131144702,6.176776024359544e-06,0.087360999,103.859375,,,,,,,
CVXQP2S,1,0,32,514,8120.934204221453,6.651693350087298e-07,0.013230667000000002,101.34375,1,1,13,35,8120.940202582617,2.9894142578729133e-06,0.000854874,100.53125,,,,,,,
CVXQP3L,0,4,4,13,205020.5947099866,0.7614885446632768,37.546341667,207.75,0,-5,12,40,106279539.13785043,289305.83801890846,30.838309999,179.13512620192307,,,,,,,
CVXQP3M,0,4,1374,14151,1126859.8829289256,0.010050539939757052,30.006857417,90.125,1,1,28,113,1362828.3891311693,7.10070703294005e-07,0.21361354,104.203125,,,,,,,
CVXQP3S,1,0,25942,407568,11943.419972366282,9.996996861515925e-07,9.374450125,78.84375,1,1,13,39,11943.432069999924,4.6227034311563386e-07,0.001335999,100.640625,,,,,,,
DPKLO1,1,0,7,18,0.37009620584647057,4.5993800212279556e-07,0.00142725,101.0625,1,1,8,16,0.3700956934578646,2.4540032244170693e-06,0.001443498,99.9375,,,,,,,
DTOC3,1,0,450,6614,235.2172534526379,8.813055969565585e-07,11.301719375000001,124.265625,1,1,63,126,235.25594524888942,3.182060531791293e-07,0.246728166,141.984375,,,,,,,
DUAL1,1,0,7,22,0.03501287249321497,6.123727309401187e-07,0.006094542,101.359375,1,1,5,21,0.035012946828452435,5.92393485573422e-07,0.00138054,101.359375,,,,,,,
DUAL2,1,0,8,60,0.03373367468231666,3.5445743400096376e-08,0.008598417,103.171875,1,1,5,13,0.03373367841103344,5.526352853634779e-08,0.001103332,101.328125,,,,,,,
DUAL3,1,0,10,74,0.13575571493754646,7.507817007915693e-07,0.014954041999999999,103.03125,1,1,5,15,0.13575574835334817,9.67961809123614e-07,0.001681498,101.65625,,,,,,,
DUAL4,1,0,12,138,0.7460894506529636,8.561336811607576e-07,0.008477124999999999,101.046875,1,1,6,15,0.746090432363693,5.948457377901318e-07,0.000691415,100.921875,,,,,,,
DUALC1,1,0,3213,63383,5951.243195032965,9.99885175789591e-07,1.1213858749999999,101.859375,1,1,4,23,6138.272441608012,3.272041525947667,0.00054704,100.59375,,,,,,,
DUALC2,1,0,12,72,3551.341009318203,6.457038046909249e-08,0.001909291,101.328125,1,1,3,15,3550.8232574552844,0.06332185420299345,0.000370207,100.8125,,,,,,,
DUALC5,1,0,13,229,427.23173709953653,6.848454357694028e-07,0.006706666,101.6875,1,1,3,8,426.5879814024128,0.0004881111785337967,0.000316249,100.6875,,,,,,,
DUALC8,1,0,53,1006,18307.823483528795,9.111191581816604e-07,0.044460917,102.4375,1,1,4,16,18304.442542577093,0.0003570508417570405,0.000832166,101.0,,,,,,,
EXDATA,0,4,6,74,-125.90526649868896,0.008399197225763636,31.499824125,374.078125,1,1,7,260,-141.84343218931332,3.644195818191382e-06,5.5356651249999995,356.69929534313724,,,,,,,
GENHS28,1,0,7,9,0.9271738851976474,9.848681867294526e-07,0.000110042,101.796875,1,1,3,6,0.9271741307488796,3.227389637108796e-07,4.4622999999999996e-05,99.59375,,,,,,,
GOULDQP2,1,0,20,157,0.0006310564231918774,8.049994671619743e-07,0.0533685,103.78125,1,1,8,39,0.00018426838465668575,2.51165804509807e-05,0.0068864980000000004,101.28125,,,,,,,
GOULDQP3,1,0,8,56,2.0632328198698815,3.605919471556233e-07,0.018692666,104.0,1,1,9,33,-29647.83721752834,8.692746439309974e-06,0.005136748,101.15625,,,,,,,
HS118,1,0,13,163,664.8204501247171,1.0139724982493392e-09,0.0012065410000000002,102.15625,1,1,8,31,664.8204414358344,1.2980326753009308e-05,0.000138665,100.75,,,,,,,
HS21,1,0,4,6,-99.96000000133141,3.88934634470811e-08,6.65e-05,100.921875,1,1,3,7,0.03999999995026208,1.2434472960245361e-09,4.4248e-05,100.0,,,,,,,
HS268,1,0,17,131,-1.2374730431474745e-06,5.418963121583937e-07,0.000632167,101.359375,1,1,5,7,-14462.99960512596,0.006628919754078942,2.7082e-05,99.234375,,,,,,,
HS35,1,0,5,11,0.1111109379894355,2.0913726256782476e-07,0.00011899999999999999,100.96875,1,1,3,7,-8.888888905998193,7.699187213620706e-08,2.5416000000000002e-05,99.8125,,,,,,,
HS35MOD,1,0,6,35,0.2500007798815318,5.528545570341972e-07,0.0002635,101.6875,1,1,2,5,-8.749997346908247,2.653084714032694e-06,2.1581e-05,100.953125,,,,,,,
HS51,1,0,6,10,-4.586907866865886e-07,2.3973348161090114e-07,8.85e-05,101.5,1,1,0,1,-5.999999999999967,1.199999934421039e-06,2.1081000000000004e-05,101.59375,,,,,,,
HS52,1,0,7,14,5.326644661910249,2.322555877237195e-07,9.3e-05,102.421875,1,1,3,6,-0.6733533767373755,1.0628607886873243e-07,2.6666e-05,100.515625,,,,,,,
HS53,1,0,6,11,4.093019964331196,5.066684131954389e-07,8.570800000000001e-05,100.515625,1,1,3,6,-1.9069769803178196,3.7216970211696554e-08,2.4166e-05,101.71875,,,,,,,
HS76,1,0,7,25,-4.6818181626474376,7.987860138801676e-07,0.000252334,101.375,1,1,4,11,-4.6818181901781415,1.8232286684204177e-08,2.9749000000000003e-05,100.140625,,,,,,,
HUES-MOD,1,0,21,227,34824463.873344764,9.801819188597706e-07,0.118686333,114.6875,1,1,8,20,34824463.77527447,0.005057961706321813,0.022943915,119.828125,,,,,,,
HUESTIS,1,0,6,27,348244637033.05444,6.383580724541795e-08,0.023827208,111.375,1,1,21,44,348244638718.7173,0.006443815615589654,0.038041164,121.78125,,,,,,,
KSIP,1,0,42,534,0.5757965455691499,7.258500974079412e-07,0.051229209,109.953125,1,1,8,31,0.575797289323914,1.752831657486631e-06,0.004828082,101.9375,,,,,,,
LASER,1,0,10,64,2409601.3897270476,7.925370309185618e-08,0.046094958,109.671875,1,1,15,68,2409601.325399873,0.00013482811169295047,0.017519833000000002,104.4375,,,,,,,
LISWET1,1,0,25,172,25.00285563213083,7.811560880526457e-07,0.617636542,143.078125,1,1,245,1708,-2500.1553386984506,1.022727959843918e-06,4.244597832,132.58421266233765,,,,,,,
LISWET10,1,0,23,151,25.00186421996932,8.103264437235698e-07,0.430037625,140.109375,1,1,40,209,-2500.9475559784087,2.022948080083225e-06,0.584910707,131.875,,,,,,,
LISWET11,1,0,23,148,24.999262788481246,8.522444583404696e-07,0.507361625,142.71875,1,1,26,147,-2500.749545531532,1.8871541964376854e-06,0.415498749,130.58258928571428,,,,,,,
LISWET12,1,0,24,149,24.998728018311795,7.931220751544529e-07,0.658778042,139.171875,1,1,175,1701,-2474.07076413204,1.1014314702130688e-06,4.055500457,136.0325168918919,,,,,,,
LISWET2,1,0,23,154,24.997409237777674,7.951474118222757e-07,0.467936958,142.5,1,1,35,159,-1666.9921263687343,1.1151948283708783e-06,0.440632166,128.1875,,,,,,,
LISWET3,1,0,23,155,25.00069104068882,7.917499734497033e-07,0.43948837500000004,141.609375,1,1,35,158,-1000.258856440592,1.1387214737558093e-06,0.425514873,132.71651785714286,,,,,,,
LISWET4,1,0,23,155,24.99957593208967,7.926497500575584e-07,0.45338958300000004,141.296875,1,1,34,153,-714.5159808836387,8.190943407866564e-07,0.42223274899999996,131.39732142857142,,,,,,,
LISWET5,1,0,23,157,25.03371777335815,7.908986662021666e-07,0.471271459,141.0,1,1,26,126,-15976.16589247832,2.280410738483724e-06,0.368842332,129.15104166666666,,,,,,,
LISWET6,1,0,23,159,24.99517432963603,7.946000804867162e-07,0.44782491599999996,142.78125,1,1,37,168,-2162.224350426666,1.2721850906142943e-06,0.46576824899999997,132.599609375,,,,,,,
LISWET7,1,0,23,154,25.0022240772023,7.953917412017281e-07,0.490888917,143.6875,1,1,42,199,-2500.2572754359853,1.1797280182765744e-06,0.549138499,129.5,,,,,,,
LISWET8,1,0,23,155,25.002180060809224,7.936740137629628e-07,0.42994683400000006,142.421875,1,1,34,157,-2500.257240275201,1.1730390148759751e-06,0.44288087400000004,130.349609375,,,,,,,
LISWET9,1,0,23,150,25.001733140287342,8.111431199519286e-07,0.435208416,140.625,1,1,165,1757,-2457.538346494665,1.911732372909935e-06,4.146991874,133.15375,,,,,,,
LOTSCHD,1,0,8,87,2398.4148714319904,1.5578528811781543e-07,0.00048075,103.15625,1,1,12,28,2398.4157529392673,9.031201145975063e-05,9.9165e-05,99.03125,,,,,,,
MOSARQP1,1,0,10,78,-952.8754382733907,4.464457657568411e-07,0.050123292,107.859375,1,1,6,32,-952.8754420096203,2.402688714375767e-06,0.012717582,105.796875,,,,,,,
MOSARQP2,1,0,9,53,-1597.4822004656144,1.1658454246737546e-07,0.014620416,104.328125,1,1,4,26,-1597.4821192242548,1.5854472007470477e-07,0.005058583,102.09375,,,,,,,
POWELL20,1,0,102,1785,44320373500.08824,9.560354065488508e-07,2.570354542,131.515625,1,1,7261,14571,52089333761.32368,0.00549095710630354,17.347424708,125.27788765822785,,,,,,,
PRIMAL1,1,0,4,11,-0.03501297163878493,2.71578639416477e-07,0.0027733330000000002,102.015625,1,1,3,20,-0.03501296589708461,3.6269811320988055e-08,0.003201915,100.703125,,,,,,,
PRIMAL2,1,0,3,12,-0.033733580856159295,8.035448357257557e-07,0.004737334,103.484375,1,1,4,24,-0.03373366688588175,3.581849705724949e-08,0.006442748999999999,101.890625,,,,,,,
PRIMAL3,1,0,5,27,-0.13575583087232945,3.9818192676399633e-07,0.019287916,110.0625,1,1,3,40,-0.13575583686436157,1.237023011801952e-09,0.018667582000000002,105.015625,,,,,,,
