name,ssn_solved,ssn_time,ssn_status,ssn_obj,qpalm_solved,qpalm_time,qpalm_status,qpalm_obj
AUG2D,1,0.733028208,0,1687409.4139730097,1,0.071492291,1,1677451.6548751993
AUG2DC,1,0.356336375,0,1818364.2599492187,1,0.078302625,1,1808267.7914470825
AUG2DCQP,1,2.547235666,0,6498130.370990974,1,0.28619,1,6487968.499224074
AUG2DQP,1,1.7520197080000002,0,6237003.817543851,1,0.316106,1,6227067.414828271
AUG3D,1,0.017269125,0,554.0670634538062,1,0.01066975,1,-782.433172613789
AUG3DC,1,0.01986175,0,771.2618390091297,1,0.015386291,1,-1165.2379103693238
AUG3DCQP,1,0.080984333,0,993.3610887838086,1,0.040429416,1,-943.1378599380864
AUG3DQP,1,0.06796216699999999,0,675.2369719762592,1,0.044862083,1,-661.2623526416307
BOYD1,0,600.6985482919999,4,-61718422.11342797,1,3.286974916,1,-61735218.69934834
BOYD2,0,606.010211958,4,61.02613828058989,1,75.149352458,1,21.256245236508413
CONT-050,1,1.5717630420000002,0,-4.563849601672487,1,0.025654916,1,-4.56385048122636
CONT-100,1,19.332249208,0,-4.644375988528896,1,0.649962166,1,-4.644415521097686
CONT-101,1,36.951667209,0,0.19558010796666325,1,3.121309666,1,0.19529107611552288
CONT-200,1,266.32964012499997,0,-4.684570306829996,1,1.640126541,1,-4.685169773951925
