problem,nc,n_display,alpha1,alpha2,ssn_status,ssn_solved,pmm_iter,ssn_iter,pmm_tol_achieved,ssn_time,ssn_obj,qpalm_status,qpalm_solved,qpalm_iter,qpalm_inner_iter,qpalm_tol_achieved,qpalm_time,qpalm_obj,osqp_status,osqp_solved,osqp_iter,osqp_tol_achieved,osqp_time,osqp_obj
convdiff,6,12675,0.01,0.01,0,1,37,64,6.836633833566547e-13,0.7077759170000001,0.012271846303085084,1,1,5,7,2.2979395512386242e-11,0.031592832,-4.2091910390343764e-16,,,,,,
convdiff,6,12675,0.0001,0.01,0,1,6,6,4.784190913820474e-11,0.073364583,0.012271846303084524,1,1,5,7,2.297934954379292e-11,0.039068374,-4.175512818951406e-16,,,,,,
convdiff,6,12675,1e-06,0.01,0,1,47,143,1.191645540396261e-13,0.723780167,0.012271846299605614,1,1,5,7,2.2959453771720823e-11,0.033027249,-3.474609391489579e-12,,,,,,
convdiff,6,12675,0.0,0.01,0,1,4,4,6.511933975883533e-11,0.059425291000000005,0.012271846295057051,1,1,5,7,2.823177120768369e-11,0.031452957,-8.016433162004458e-12,,,,,,
convdiff,7,49923,0.01,0.01,0,1,6,6,1.3711894612863841e-11,0.446393125,0.01227184630308472,1,1,6,8,1.9314642220436793e-11,0.19966362399999998,-1.6753987866070672e-16,,,,,,
convdiff,7,49923,0.0001,0.01,0,1,5,5,9.795575465843946e-11,0.39427291600000003,0.012271846303084182,1,1,6,8,1.931465677307102e-11,0.213554123,-1.6603790937249696e-16,,,,,,
convdiff,7,49923,1e-06,0.01,0,1,2,2,1.9351864857118007e-11,0.156471333,0.012271846303085003,1,1,6,8,1.9314628398304152e-11,0.20441279,-1.6603776630075708e-16,,,,,,
convdiff,7,49923,0.0,0.01,0,1,66,740,2.4594548142311347e-14,6.502655583,0.012271846302955056,1,1,6,8,1.931334666529662e-11,0.198389707,-1.276961562058444e-13,,,,,,
convdiff,8,198147,0.01,0.01,0,1,6,6,3.790531858570312e-12,3.9197971670000005,0.012271846303084966,1,1,6,8,1.7479292086281277e-11,1.509861707,-3.207687689692847e-16,,,,,,
convdiff,8,198147,0.0001,0.01,0,1,5,5,3.605726073416035e-11,3.1937578330000003,0.012271846303084857,1,1,6,8,1.7479288552184738e-11,1.515245915,-3.203902258115701e-16,,,,,,
convdiff,8,198147,1e-06,0.01,0,1,2,2,3.2129226750504555e-12,1.34124175,0.012271846303084945,1,1,6,8,1.7479322977948636e-11,1.595686749,-3.20390160725153e-16,,,,,,
convdiff,8,198147,0.0,0.01,0,1,2,2,7.145322125760269e-12,1.547503459,0.012271846303083254,1,1,6,8,1.74792382774509e-11,1.509971707,-2.0654665005565266e-15,,,,,,
convdiff,9,789507,0.01,0.01,0,1,5,5,6.678153556015494e-11,28.347967167,0.012271846302419646,1,1,7,9,3.065892592734738e-11,14.046311499,-8.985772259377706e-16,,,,,,
convdiff,9,789507,0.0001,0.01,0,1,2,2,7.439408697360031e-11,11.273568792,0.012271846303084854,1,1,7,9,3.0658924459951466e-11,14.070626374,-8.98482100958898e-16,,,,,,
convdiff,9,789507,1e-06,0.01,0,1,2,2,7.513586370987706e-13,11.687781458,0.012271846303084796,1,1,7,9,3.065892706862821e-11,14.311497415,-8.984821256651673e-16,,,,,,
convdiff,9,789507,0.0,0.01,0,1,2,2,4.3523683325951934e-13,12.108222916,0.012271846303084782,1,1,7,9,3.0658923192810217e-11,14.011879539999999,-9.1400846596867e-16,,,,,,
convdiff,10,3151875,0.01,0.01,0,1,5,5,1.6695393775739376e-11,306.096153541,0.012271846302917432,-5,0,1993,2987,2.337030845652101e-10,3602.230262874,-3.9274144162344155e-15,,,,,,
convdiff,10,3151875,0.0001,0.01,0,1,2,2,1.8596884248473563e-11,118.485025083,0.01227184630308402,-5,0,1993,2987,2.3370032792003067e-10,3602.5644670829997,-3.9273086262036966e-15,,,,,,
convdiff,10,3151875,1e-06,0.01,0,1,2,2,1.8620174809561993e-13,118.66473783400001,0.012271846303084005,-5,0,1977,2963,2.3385530998270247e-10,3602.249634083,-3.929922129524553e-15,,,,,,
convdiff,10,3151875,0.0,0.01,0,1,2,2,1.3061747742932948e-13,121.012822458,0.012271846303084004,-5,0,167,280,2.5226777326165964e-10,3645.314051082,-2.6612891311418107e-15,,,,,,
