agree,name,abs_agree,abs_err,rel_agree,rel_err,opt_status,obj_val,PMM_iter,SSN_iter,PMM_tol_achieved,SSN_tol_achieved,solving_time_sec
1,AUG2D,0,3.53069,1,2.09238e-06,0,1.68741e+06,75,969,8.83028e-07,1.54308e-07,157.284
1,AUG2DC,0,3.35516,1,1.84515e-06,0,1.81836e+06,76,973,7.78501e-07,6.94639e-07,158.641
0,AUG2DCQP,0,38100.4,0,0.00589786,2,6.46003e+06,86,1009,0.0048133,0.000287745,159.168
0,AUG2DQP,0,43002.8,0,0.00694265,2,6.19401e+06,85,1011,0.00565752,1.67976e-07,158.273
1,AUG3D,0,0.000194687,1,3.51378e-07,0,554.068,8,23,2.37482e-07,1.09915e-07,0.477141
1,AUG3DC,1,5.05572e-05,1,6.55512e-08,0,771.262,8,19,8.27194e-08,2.39575e-08,0.404413
1,AUG3DCQP,0,0.000712996,1,7.17761e-07,0,993.361,20,213,6.90226e-07,9.4406e-07,6.4165
1,AUG3DQP,0,0.000326665,1,4.83778e-07,0,675.237,19,141,4.70069e-07,1.80481e-08,4.76097
0,BOYD1,0,1.2347e+07,0,0.249998,2,-4.93882e+07,68,1004,21.3455,12258,722.817
0,BOYD2,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
0,CONT-050,0,0.198962,0,0.0455823,2,-4.36489,84,1000,0.000190014,0.000811023,50.5611
0,CONT-100,0,0.809432,0,0.211066,2,-3.83497,94,1002,0.000147993,3.41024e-05,398.958
0,CONT-101,0,0.746872,0,0.792522,1,0.9424,100,986,0.00111912,1.00603e-07,356.22
0,CONT-200,0,2.49469,0,1.13903,2,-2.19018,87,1010,0.000282756,0.00639592,2753.31
0,CONT-201,0,0.303631,0,2.73177,2,-0.111148,82,1001,0.0125034,1.67084e-07,10513.6
0,CONT-300,0,0.242994,0,4.71999,2,-0.0514819,79,1010,0.0919025,0.166623,11431.3
0,DPKLO1,0,1055.77,0,0.99965,0,1056.14,14,69,3.56366e-07,6.14147e-09,0.256553
0,DTOC3,0,171.402,0,2.684,2,63.8606,71,1003,11.1442,14.7238,67.0624
1,DUAL1,1,1.0017e-07,1,2.86094e-06,0,0.0350129,17,60,7.489e-07,6.91165e-09,0.37388
1,DUAL2,1,2.90645e-08,1,8.61588e-07,0,0.0337336,16,71,7.49272e-07,7.74569e-09,0.575795
1,DUAL3,1,1.39931e-07,1,1.03075e-06,0,0.135756,33,119,9.29599e-07,2.11746e-09,1.42064
1,DUAL4,1,8.00319e-07,1,1.07268e-06,0,0.74609,41,229,9.24615e-07,7.63957e-09,1.11849
0,DUALC1,0,123502,0,1.05245,2,-117347,78,1001,0.0416328,79171.5,1.04585
1,DUALC2,0,0.112499,1,3.16771e-05,2,3551.42,84,1014,0.019542,18664.7,1.51268
0,DUALC5,0,13.0588,0,0.0315297,2,414.174,78,1008,0.00776047,6.92699e-05,1.25714
0,DUALC8,0,4313.43,0,0.308192,2,13995.9,79,1002,0.0582853,782.449,2.78352
0,CVXQP1M,0,127312,0,0.132589,2,960200,72,1014,0.285624,0.0038589,1363.56
0,CVXQP1S,0,290.85,0,0.0257392,2,11299.9,76,1012,0.0134763,1.36443e-05,5.21823
0,CVXQP2M,0,36657.1,0,0.0467864,2,783498,72,1002,0.119757,0.00260162,507.114
1,CVXQP2S,0,0.110762,1,1.36392e-05,2,8120.83,74,1000,5.41054e-05,2.87241e-06,3.59052
0,CVXQP3M,0,322175,0,0.309589,2,1.04065e+06,72,1013,0.122296,0.00346778,1737.66
0,CVXQP3S,0,58.8995,0,0.00495598,2,11884.5,74,1011,0.00448593,8.38107e-06,6.42669
1,GENHS28,1,1.29975e-08,1,1.40185e-08,0,0.927174,8,14,2.71716e-07,1.4547e-07,0.006535
1,GOULDQP2,1,4.16827e-06,0,0.0221195,0,0.000188444,86,302,8.97638e-07,1.90848e-09,1.82524
1,GOULDQP3,1,2.94344e-06,1,1.42692e-06,0,2.06279,21,194,6.36659e-07,1.33564e-07,2.09261
1,HS118,1,1.6032e-07,1,2.41148e-10,0,664.82,34,316,3.10194e-07,9.42483e-07,0.044021
1,HS21,1,7.12177e-09,1,7.12462e-11,0,-99.96,7,18,4.60329e-07,5.15248e-07,0.0031502
0,HS268,0,0.0137929,0,1.00004,0,-0.0137924,5,28,6.42529e-07,7.85238e-07,0.0040092
1,HS35,1,8.58906e-07,1,7.73022e-06,0,0.11111,9,11,5.47117e-08,4.97549e-07,0.0020996
1,HS35MOD,1,2.34443e-07,1,9.37769e-07,0,0.25,10,20,3.95364e-07,5.77653e-06,0.0031524
1,HS51,1,1.57545e-06,0,1,0,1.57545e-06,10,23,2.97845e-07,6.25218e-09,0.0045884
1,HS52,1,4.06642e-06,1,7.63412e-07,0,5.32664,15,45,2.85533e-07,7.18131e-09,0.0078909
1,HS53,1,2.4653e-06,1,6.02318e-07,0,4.09302,12,32,2.47649e-07,5.4025e-09,0.0058348
1,HS76,1,4.25938e-07,1,9.0977e-08,0,-4.68182,11,28,3.67302e-07,1.24246e-06,0.0051268
1,HUES-MOD,0,226.129,1,6.4934e-06,2,3.48245e+07,70,1000,0.0026466,0.0950015,86.5354
0,HUESTIS,0,2.69025e+09,0,0.00778527,2,3.45557e+11,68,1001,270.67,3.2715e-05,53.1919
1,KSIP,1,1.29415e-06,1,2.24759e-06,1,0.575797,100,132,3.35159e-06,6.63296e-06,4.0598
1,LASER,0,71.9881,1,2.98764e-05,1,2.40953e+06,100,314,784.981,0.000206366,4.96099
0,LISWET1,0,11.1198,0,0.444744,1,25.0026,100,178,0.000353372,1.3435e-07,11.3412
0,LISWET10,0,24.4839,0,0.979279,1,25.0019,100,176,0.000120266,2.66119e-06,11.0142
0,LISWET11,0,24.5246,0,0.981012,1,24.9993,100,165,3.05613e-06,9.79021e-08,9.81514
0,LISWET12,0,1711.93,0,68.4807,1,24.9987,100,165,4.04891e-06,1.04717e-08,9.66127
1,LISWET2,0,0.000611622,1,2.44673e-05,1,24.9975,100,175,0.000118516,2.65719e-06,10.8796
1,LISWET3,0,0.000474081,1,1.89627e-05,1,25.0007,100,168,0.000118172,2.61865e-06,9.68802
1,LISWET4,0,0.00048146,1,1.92587e-05,1,24.9996,100,171,0.000118333,2.63038e-06,10.1733
1,LISWET5,0,0.00048037,1,1.91889e-05,1,25.0338,100,177,6.49438e-05,7.3049e-07,11.2322
1,LISWET6,0,0.000518666,1,2.07506e-05,1,24.9952,100,173,0.000118542,1.11786e-05,11.0149
0,LISWET7,0,473.839,0,18.9518,1,25.0023,100,189,0.000118491,2.66286e-06,11.8407
0,LISWET8,0,7119.7,0,284.762,1,25.0022,100,177,0.000118448,2.65873e-06,11.403
