agree,opt_status,diverged,name,abs_err,rel_err,obj_val,PMM_iter,SSN_iter,PMM_tol_achieved,SSN_tol_achieved,solving_time_sec
1,0,0,AUG2D,173.085,0.000102585,1.68724e+06,42,125,7.13476e-05,8.39838e-05,17.284
1,0,0,AUG2DC,260.25,0.000143144,1.81811e+06,42,65,9.67428e-05,4.48203e-08,8.67026
1,0,0,AUG2DCQP,277.485,4.2704e-05,6.49786e+06,58,185,6.23389e-05,4.37773e-05,26.921
1,0,0,AUG2DQP,222.047,3.56028e-05,6.23679e+06,58,187,5.23898e-05,6.50787e-07,32.2409
1,0,0,AUG3D,0.0622021,0.000112277,554.006,8,6,9.24286e-05,0.000610706,0.254332
1,0,0,AUG3DC,0.00555832,7.20673e-06,771.268,11,7,4.75144e-05,0.000381677,0.175538
1,0,0,AUG3DCQP,0.00505737,5.09119e-06,993.357,19,25,8.24992e-05,0.00102916,2.04607
1,0,0,AUG3DQP,0.010373,1.53618e-05,675.248,16,18,3.74266e-05,0.000159303,3.38596
0,2,0,BOYD1,4.20398e+07,2.13449,-1.96955e+07,64,504,1.50821,4.93152e-05,5084.43
0,-1,0,BOYD2,-1,-1,-1,-1,-1,-1,-1,-1
1,0,0,CONT-050,0.0240116,0.00528908,-4.53984,55,216,8.66714e-05,9.16885e-05,12.4286
0,0,0,CONT-100,0.827913,0.216931,-3.81648,55,230,9.5639e-05,4.03531e-05,99.2797
0,0,0,CONT-101,0.106527,0.352675,0.302054,71,263,7.97562e-05,6.11059e-05,332.622
0,0,0,CONT-200,1.31321,0.389483,-3.37167,63,345,9.9967e-05,9.35614e-05,1544.92
0,2,0,CONT-201,0.25008,4.34193,-0.0575965,56,504,0.148561,1.05179e-06,9178.13
0,3,0,CVXQP1M,182034,0.201036,905478,100,303,0.27677,8.41936e-05,395.775
1,2,0,CVXQP1S,5.81642,0.000502069,11584.9,96,505,0.0025274,8.85357e-05,2.61687
0,3,0,CVXQP2M,113535,0.160674,706620,100,280,0.324329,5.20765e-05,138.318
1,0,0,CVXQP2S,0.0418423,5.15243e-06,8120.9,46,190,8.65902e-05,5.53433e-05,0.659806
0,3,0,CVXQP3M,350802,0.346633,1.01203e+06,100,345,0.260181,9.73225e-05,588.349
1,3,0,CVXQP3S,5.43214,0.000455029,11938,100,369,0.0012828,3.1788e-05,2.4819
1,0,0,DPKLO1,1.8514e-06,5.00252e-06,0.370094,17,11,4.82073e-05,6.23525e-05,0.0522624
0,2,0,DTOC3,179.046,3.18491,56.2169,31,505,0.397241,0.887445,31.1441
1,0,0,DUAL1,4.33336e-07,1.23766e-05,0.0350125,18,19,2.49657e-05,1.19061e-10,0.146026
1,0,0,DUAL2,6.40708e-07,1.89935e-05,0.033733,20,13,6.04177e-05,0.000310554,0.130668
1,0,0,DUAL3,2.52738e-06,1.86174e-05,0.135753,15,10,5.50388e-05,6.21494e-05,0.139539
1,0,0,DUAL4,3.0424e-05,4.07796e-05,0.74606,20,13,8.71854e-05,3.48034e-09,0.0744098
0,2,0,DUALC1,2.80833e+06,1.0022,-2.80218e+06,65,507,2.25441,0.317812,0.428585
0,2,0,DUALC2,57229.3,1.06616,-53678,45,514,0.25679,7.26501,0.283842
1,2,0,DUALC5,0.306448,0.0007178,426.926,93,508,0.00081677,6.60102e-05,0.454422
0,3,0,DUALC8,16356.1,8.37375,1953.26,100,295,0.306482,0.133138,0.755835
1,0,0,GENHS28,1.29976e-07,1.40185e-07,0.927174,18,10,1.70052e-05,5.79067e-06,0.005018
1,0,0,GOULDQP2,4.47444e-05,0.195373,0.00022902,23,20,9.43779e-05,6.54156e-05,0.348489
1,0,0,GOULDQP3,0.00301902,0.00146571,2.05976,13,19,5.60967e-05,0.00236582,0.655569
1,0,0,HS118,4.06126e-07,6.10881e-10,664.82,35,175,6.09578e-06,0.000400427,0.0242884
1,0,0,HS21,5.29677e-07,5.29889e-09,-99.96,17,7,5.73167e-05,5.0283e-15,0.0032973
0,0,0,HS268,2.15566,1,2.15566,4,10,9.95973e-05,0.0207197,0.0035964
1,0,0,HS35,0.000395737,0.00357437,0.110715,12,8,8.31545e-05,7.73252e-05,0.0033896
1,0,0,HS35MOD,9.69516e-07,3.87805e-06,0.250001,31,96,3.85669e-05,0.000654205,0.0111464
1,0,0,HS51,0.00025155,1,0.00025155,13,8,7.60622e-05,0.000183128,0.0034471
1,0,0,HS52,0.000450775,8.46191e-05,5.3271,14,9,5.32923e-05,9.82349e-05,0.0026072
1,0,0,HS53,0.000364377,8.9016e-05,4.09339,15,10,7.03093e-05,0.000175694,0.0028015
1,0,0,HS76,1.53264e-06,3.2736e-07,-4.68182,27,56,5.47318e-05,0.000405502,0.0061311
1,0,0,HUES-MOD,226.227,6.4962e-06,3.48245e+07,9,18,5.16166e-05,0.00418625,1.58984
1,3,0,HUESTIS,1.67005e+09,0.00481871,3.46577e+11,100,215,498.51,7.07154e-05,5.1249
1,0,0,KSIP,2.81396e-05,4.8873e-05,0.57577,22,17,4.33064e-05,0.000180362,3.10232
1,0,0,LASER,0.0539756,2.24002e-08,2.4096e+06,22,74,2.77905e-05,7.54928e-06,2.56712
0,0,0,LISWET1,11.1232,0.444944,24.9992,32,22,9.97334e-05,0.000523685,16.8458
0,0,0,LISWET10,24.4856,0.97942,25.0001,29,24,6.436e-05,0.00466763,16.6964
0,0,0,LISWET11,24.5263,0.981147,24.9976,29,24,6.4683e-05,0.0131333,16.5809
0,0,0,LISWET12,1711.93,68.4856,24.9969,35,26,6.10243e-05,0.0644079,17.3774
1,0,0,LISWET2,0.00241128,9.64681e-05,24.9957,29,24,6.43226e-05,0.000400386,16.7861
1,0,0,LISWET3,0.00167096,6.68395e-05,24.9995,33,29,3.91442e-05,0.000142439,17.1289
1,0,0,LISWET4,0.00167725,6.70943e-05,24.9984,33,29,3.91196e-05,0.00097147,17.0594
1,0,0,LISWET5,0.00167599,6.69524e-05,25.0326,33,29,3.91117e-05,0.000139327,17.916
1,0,0,LISWET6,0.00171651,6.86768e-05,24.994,33,29,3.91502e-05,0.0024661,16.9018
0,0,0,LISWET7,473.84,18.9532,25.0005,29,24,6.44048e-05,0.0047223,16.4729
0,0,0,LISWET8,7119.7,284.782,25.0006,29,24,6.44548e-05,0.00752142,16.7829
0,0,0,LISWET9,1938.25,77.5298,25.0001,35,26,6.02668e-05,0.0619748,16.9321
1,0,0,LOTSCHD,2.39609e-05,9.99032e-09,2398.42,26,40,5.92057e-05,0.00011351,0.0085342
1,0,0,MOSARQP1,0.000411169,4.31503e-07,-952.876,15,22,9.86525e-05,1.69995e-10,0.887885
1,0,0,MOSARQP2,0.000418769,2.62143e-07,-1597.48,17,21,9.60561e-05,0.0052559,0.352597
0,2,1,POWELL20,9.3546e+09,0.218898,4.2735e+10,27,520,7496.56,2.2301e+07,20.8913
1,0,0,PRIMAL1,7.69418e-07,2.19757e-05,-0.0350122,11,10,9.1074e-06,0.000206487,0.0792183
1,0,0,PRIMAL2,6.70498e-06,0.000198802,-0.033727,2,11,9.60757e-05,0.000503684,0.124948
1,0,0,PRIMAL3,1.09052e-06,8.03289e-06,-0.135757,3,22,1.31809e-05,0.000289719,0.376949
1,0,0,PRIMAL4,2.41986e-07,3.24338e-07,-0.746091,15,32,1.23444e-05,0.0014125,0.353848
0,2,0,PRIMALC1,724.291,0.105282,-6879.54,46,503,1.36296,0.0557041,0.263982
0,2,0,PRIMALC2,3348.78,0.485324,-6900.09,46,508,1.48497,0.017219,0.238828
0,2,0,PRIMALC5,3490.99,0.890963,-3918.23,41,505,1.41597,0.00644712,0.348516
0,2,0,PRIMALC8,4525.04,0.198167,-22834.5,61,520,5.12804,0.00261041,0.638908
0,2,1,Q25FV47,318487,0.0237217,1.3426e+07,19,505,363.424,48908.2,199.744
1,0,0,QADLITTL,0.000531553,1.10667e-09,480319,22,111,1.26624e-05,0.0177517,0.180417
1,0,0,QAFIRO,2.9921e-05,1.88093e-05,-1.59075,21,25,7.05085e-05,0.00109768,0.016767
1,0,0,QBANDM,0.0453319,2.77219e-06,16352.4,55,195,8.07576e-05,1.22843e-06,2.09478
1,0,0,QBEACONF,31.773,0.000192863,164744,69,415,8.35264e-05,1.04436e-05,3.2579
1,0,0,QBORE3D,24.4472,0.00782398,3124.65,34,146,8.50786e-05,0.000519738,1.05633
1,3,0,QBRANDY,0.011618,4.09443e-07,28375.1,100,374,0.000109527,1.75699e-05,2.47846
0,2,1,QCAPRI,1.44072e+07,0.27502,5.23861e+07,34,504,37542.7,0.333362,5.5514
1,0,0,QE226,1.51801e-05,7.13842e-08,212.653,33,260,9.92917e-05,0.00138731,2.53752
0,2,0,QETAMACR,6765.78,0.084578,79994.6,87,506,0.0325371,0.355848,14.4653
