agree,opt_status,diverged,name,abs_err,rel_err,obj_val,PMM_iter,SSN_iter,PMM_tol_achieved,SSN_tol_achieved,solving_time_sec
1,0,0,AUG2D,173.085,0.000102574,1.68724e+06,42,125,7.13476e-05,8.39838e-05,21.8385
1,0,0,AUG2DC,260.25,0.000143123,1.81811e+06,42,65,9.67428e-05,3.64661e-08,11.3697
1,0,0,AUG2DCQP,277.485,4.27022e-05,6.49786e+06,58,185,6.23389e-05,4.37804e-05,33.5855
1,0,0,AUG2DQP,222.047,3.56016e-05,6.23679e+06,58,187,5.23898e-05,6.00529e-07,37.582
1,0,0,AUG3D,0.0622021,0.000112264,554.006,8,6,9.24286e-05,0.000610706,0.183235
1,0,0,AUG3DC,0.00555832,7.20678e-06,771.268,11,7,4.75144e-05,0.000381677,0.221616
1,0,0,AUG3DCQP,0.00505737,5.09117e-06,993.357,19,25,8.24992e-05,0.00102916,2.03497
1,0,0,AUG3DQP,0.010373,1.5362e-05,675.248,16,18,3.74266e-05,0.000159303,3.02334
0,2,0,BOYD1,3.64693e+07,0.590737,-2.52659e+07,39,509,0.297522,0.000315443,11908.5
0,0,0,BOYD2,111.796,5.25933,133.053,38,448,8.25196e-05,1.6649,9957.75
1,0,0,CONT-050,0.0240116,0.00526125,-4.53984,55,216,8.66714e-05,9.16885e-05,13.5537
0,0,0,CONT-100,0.827913,0.178261,-3.81648,55,230,9.5639e-05,4.03531e-05,98.8843
0,0,0,CONT-101,0.106527,0.544818,0.302054,71,263,7.97562e-05,6.11054e-05,412.029
0,0,0,CONT-200,1.31321,0.280308,-3.37167,63,345,9.9967e-05,9.35612e-05,1658.25
0,2,0,CONT-201,0.25008,1.29923,-0.0575965,56,504,0.148561,9.85086e-11,9379.91
0,3,0,CVXQP1M,89428,0.0822318,998084,100,431,0.0671381,9.2146e-05,46.9606
1,0,0,CVXQP1S,0.0382545,3.30044e-06,11590.7,80,424,2.61551e-05,2.04609e-05,1.23464
0,3,0,CVXQP2M,10762.2,0.0131221,809393,100,451,0.0535308,5.68759e-05,43.2254
1,0,0,CVXQP2S,0.0418864,5.15783e-06,8120.9,46,189,8.87423e-05,9.96719e-05,0.529457
0,3,0,CVXQP3M,305387,0.224084,1.05744e+06,100,262,0.0673968,3.3049e-05,31.7221
1,3,0,CVXQP3S,1.97222,0.00016513,11941.5,100,337,0.000486705,5.52568e-05,1.03798
1,0,0,DPKLO1,1.8514e-06,5.00249e-06,0.370094,17,11,4.82073e-05,6.23525e-05,0.0607569
0,2,0,DTOC3,179.046,0.761046,56.2169,31,505,0.397245,0.887457,47.7272
1,0,0,DUAL1,4.33336e-07,1.23764e-05,0.0350125,18,19,2.49657e-05,1.17033e-10,0.154871
