System,agree,opt_status,diverged,name,abs_err,rel_err,obj_val,PMM_iter,SSN_iter,PMM_tol_achieved,SSN_tol_achieved,solving_time_sec
S,1,0,0,AUG2D,263.47,0.000156139,1.68715e+06,44,200,6.67761e-05,1.12466e-07,30.7777
S,1,0,0,AUG2DC,393.267,0.000216275,1.81797e+06,44,184,9.21934e-05,5.9273e-09,26.9336
S,1,0,0,AUG2DCQP,264.449,4.06961e-05,6.49787e+06,65,340,5.26116e-05,4.96545e-07,66.3003
S,1,0,0,AUG2DQP,339.766,5.44758e-05,6.23667e+06,65,320,7.10592e-05,1.62755e-07,74.3654
S,1,0,0,AUG3D,0.101764,0.000183667,553.966,12,9,9.17503e-05,0.000619955,0.236022
S,1,0,0,AUG3DC,0.0402756,5.22203e-05,771.303,8,7,7.21291e-05,0.00199943,0.179349
S,1,0,0,AUG3DCQP,0.00304391,3.06425e-06,993.365,17,22,4.87857e-05,5.11264e-05,0.582139
S,1,0,0,AUG3DQP,0.0539688,7.99257e-05,675.184,14,16,7.71941e-05,0.000511061,0.454889
S,0,3,0,BOYD1,3.04719e+07,0.49359,-3.12633e+07,120,1906,0.112353,0.000152225,1528.8
K,0,0,0,BOYD2,111.925,5.26536,133.181,28,214,9.74211e-05,0.0269268,406.875
S,1,0,0,CONT-050,0.0264284,0.0057908,-4.53742,55,758,9.10891e-05,0.000208225,42.2116
S,0,0,0,CONT-100,0.8258,0.177806,-3.8186,55,434,9.58513e-05,7.84884e-07,190.431
S,0,0,0,CONT-101,0.106449,0.544421,0.301976,71,410,7.97431e-05,8.10782e-07,178.605
S,0,0,0,CONT-200,1.31222,0.280098,-3.37265,63,550,9.93171e-05,9.92988e-07,1724.12
S,1,0,0,CONT-201,0.00908177,0.0471821,0.183402,84,1089,7.48869e-05,9.81742e-07,3272.55
S,0,3,0,CVXQP1M,302248,0.277927,785263,120,1134,0.545958,1.37299e-05,1437.26
S,1,0,0,CVXQP1S,0.548702,4.73398e-05,11590.2,79,1435,4.71139e-05,1.66628e-05,7.2638
S,0,2,0,CVXQP2M,52600.7,0.0641351,767555,114,2017,0.167093,5.68893e-05,891.413
S,1,0,0,CVXQP2S,0.0585261,7.20681e-06,8120.88,50,392,7.96739e-05,9.53452e-07,1.83803
S,0,2,0,CVXQP3M,261936,0.1922,1.10089e+06,90,2003,1.24968,3.71247,2176.89
S,1,2,0,CVXQP3S,2.15807,0.000180691,11941.3,99,2006,0.000286345,4.53638e-05,11.8415
S,1,0,0,DPKLO1,7.30521e-05,0.000197387,0.370169,12,9,9.43558e-05,0.000331105,0.0452352
S,0,2,0,DTOC3,117.254,0.498397,118.008,77,2008,284.122,295.728,383.169
S,1,0,0,DUAL1,1.10119e-08,3.1451e-07,0.035013,25,24,3.4492e-05,9.878e-05,0.211108
S,1,0,0,DUAL2,2.36917e-08,7.02316e-07,0.0337337,26,22,3.18041e-05,4.71985e-05,0.23577
S,1,0,0,DUAL3,1.02823e-05,7.57409e-05,0.135746,10,7,9.0624e-05,0.000563918,0.149635
S,1,0,0,DUAL4,0.000125419,0.000168102,0.745965,17,12,9.4128e-05,0.00124812,0.0973541
K,0,3,0,DUALC1,339074,55.0869,-332919,120,1501,0.135646,3.81735e-07,1.38907
K,0,3,0,DUALC2,37831.1,10.6527,-34279.8,120,1940,0.168474,0.00345575,1.93767
K,0,3,0,DUALC5,97.0031,0.22705,330.229,120,709,0.0722563,7.40847e-07,0.988873
K,0,3,0,DUALC8,9906.77,0.541077,8402.59,120,398,0.108854,0.0891712,0.796822
S,1,0,0,GENHS28,4.49704e-08,4.85027e-08,0.927174,14,8,1.8341e-05,0.000143561,0.0051102
S,1,0,0,GOULDQP2,4.50704e-05,0.244582,0.000229346,25,16,8.80417e-05,1.39243e-05,0.216259
S,1,0,0,GOULDQP3,0.000134858,6.53768e-05,2.06265,15,18,6.39036e-05,9.62784e-05,0.331572
S,1,0,0,HS118,1.30435e-07,1.96196e-10,664.82,47,374,9.95372e-05,0.000328081,0.17032
S,1,0,0,HS21,2.62989e-08,2.63094e-10,-99.96,26,17,8.32137e-05,9.03372e-05,0.0048518
K,0,0,0,HS268,2.17378,3.79297e+06,2.17378,4,10,9.95646e-05,0.0122767,0.0025715
S,1,0,0,HS35,2.52552e-05,0.000227297,0.111136,26,13,3.90359e-05,0.00147901,0.0050249
S,1,2,0,HS35MOD,1.18158e-08,4.72633e-08,0.25,101,2015,0.822932,10.3482,1.50897
S,1,0,0,HS51,0.000175818,1.97954e+11,0.000175818,14,8,3.63031e-05,0.000229733,0.0034041
S,1,0,0,HS52,0.0012947,0.00024306,5.32535,17,11,9.33632e-05,0.00016568,0.003991
S,1,0,0,HS53,0.000552963,0.000135099,4.09247,14,9,5.43781e-05,0.000200328,0.0038647
K,1,0,0,HS76,1.74787e-07,3.73333e-08,-4.68182,39,429,7.79694e-05,0.000482185,0.16579
S,1,0,0,HUES-MOD,226.117,6.493e-06,3.48245e+07,23,37,5.6528e-05,2.04091e-05,1.95422
S,0,3,0,HUESTIS,5.29749e+09,0.0152119,3.42949e+11,120,551,32.267,0.101475,14.3722
S,1,0,0,KSIP,6.59306e-05,0.000114503,0.575732,23,14,8.57303e-05,0.00154965,3.09112
K,1,0,0,LASER,0.0540162,2.24171e-08,2.4096e+06,21,66,4.81919e-05,0.00056484,1.24742
K,0,0,0,LISWET1,11.1214,0.30788,25.001,43,39,2.82628e-05,0.0213729,4.66868
S,0,0,0,LISWET10,24.4844,0.494777,25.0013,46,47,9.27348e-05,0.00101109,5.2763
S,0,0,0,LISWET11,24.5252,0.495219,24.9987,46,46,1.18562e-05,0.0022061,5.28623
S,0,0,0,LISWET12,1711.93,0.985608,24.9972,37,32,4.31416e-05,0.0063442,3.37823
S,1,0,0,LISWET2,0.00121996,4.88023e-05,24.9969,46,48,1.17072e-05,0.00244643,5.42334
S,1,0,0,LISWET3,0.00108155,4.326e-05,25.0001,46,49,1.17013e-05,0.00186345,5.73982
S,1,0,0,LISWET4,0.0010883,4.35317e-05,24.999,46,47,1.16853e-05,0.00149111,5.36403
S,1,0,0,LISWET5,0.00108786,4.34547e-05,25.0332,46,49,1.16965e-05,0.00175915,5.5998
S,1,0,0,LISWET6,0.00112665,4.50737e-05,24.9946,46,49,1.17065e-05,0.00225654,5.46377
S,0,0,0,LISWET7,473.839,0.94988,25.0017,46,48,3.1722e-05,0.00291262,5.6049
S,0,0,0,LISWET8,7119.7,0.996501,25.0017,46,48,1.17052e-05,0.00273272,5.65908
S,0,0,0,LISWET9,1938.25,0.987265,25.0016,51,53,2.45368e-05,0.00333894,6.23175
S,1,0,0,LOTSCHD,2.37321e-05,9.8949e-09,2398.42,26,41,8.15795e-05,0.000119719,0.0131101
K,1,0,0,MOSARQP1,1.66006e-05,1.74216e-08,-952.875,32,33,6.64376e-05,0.00144556,0.969868
S,1,0,0,MOSARQP2,0.000172169,1.07775e-07,-1597.48,28,30,2.68516e-05,0.00357415,0.476536
K,0,1,0,POWELL20,7.52306e+09,0.144426,4.45665e+10,120,1422,7497.06,0.00933033,198.457
S,1,0,0,PRIMAL1,5.53285e-06,0.000158023,-0.0350074,3,7,8.8793e-05,0.00369522,0.0519795
S,1,0,0,PRIMAL2,1.88412e-05,0.000558528,-0.0337525,2,6,8.46393e-05,0.00697704,0.081032
S,1,0,0,PRIMAL3,1.72727e-05,0.000127233,-0.135773,2,16,6.91228e-05,0.0044625,0.442855
S,1,0,0,PRIMAL4,1.82461e-06,2.44557e-06,-0.746093,9,21,6.74647e-05,0.00268102,0.565639
S,1,0,0,PRIMALC1,0.00197107,3.20226e-07,-6155.25,63,901,8.91802e-05,0.00701221,1.05709
S,1,0,0,PRIMALC2,0.0024498,6.89831e-07,-3551.31,66,665,4.59563e-05,0.00385822,0.480029
S,1,0,0,PRIMALC5,0.000709082,1.65971e-06,-427.232,59,285,1.29767e-05,1.3956e-05,0.344632
S,1,0,0,PRIMALC8,0.00428983,2.34296e-07,-18309.4,65,705,3.72059e-05,0.125546,1.8161
S,0,2,1,Q25FV47,149515,0.0108782,1.3894e+07,69,2005,45935.5,4.61225e+08,678.475
S,0,3,0,QADLITTL,18044.5,0.0375677,462274,120,610,2.36457,0.0220169,0.997978
S,1,0,0,QAFIRO,2.11657e-05,1.33052e-05,-1.59076,31,46,9.85542e-05,0.00118756,0.0347353
S,1,3,0,QBANDM,0.0581939,3.55875e-06,16352.4,120,923,0.00024235,8.58263e-07,11.8438
S,1,0,0,QBEACONF,31.8772,0.000193533,164744,101,1962,5.08677e-05,8.81972e-07,6.76906
S,1,0,0,QBORE3D,25.1307,0.00810615,3125.33,32,135,6.08932e-05,0.0209326,2.04454
S,1,2,0,QBRANDY,0.025888,9.12347e-07,28375.1,112,2006,0.000117453,9.42966e-05,12.3682
K,0,2,1,QCAPRI,1.2531e+07,0.187609,5.42623e+07,107,2018,150367,0.503031,18.4442
S,1,0,0,QE226,0.000579226,2.7238e-06,212.654,66,349,3.63289e-05,0.206147,5.25661
S,0,3,0,QETAMACR,23037.3,0.265528,63723.1,120,678,0.164972,0.335447,17.2872
S,0,3,0,QFFFFF80,35270.8,0.040395,837877,120,1251,0.0147452,0.456685,50.6155
S,0,3,0,QFORPLAN,8.23297e+08,0.110411,6.63333e+09,120,1840,2620.86,0.328018,18.2751
S,1,3,0,QGFRDXPN,4.31861e+08,0.00428473,1.00359e+11,120,868,46.1576,0.14551,25.3012
S,0,2,0,QGROW15,1.19564e+07,0.117573,-8.97372e+07,97,2017,0.337898,0.000122252,37.6857
S,0,3,0,QGROW22,1.23351e+08,0.824382,-2.62775e+07,120,1734,0.447279,4.20901e-07,43.0992
S,0,2,0,QGROW7,1.27306e+06,0.0297453,-4.15257e+07,97,2014,0.0719448,0.00981176,18.9954
K,1,3,0,QISRAEL,151787,0.00598816,2.51961e+07,120,570,11.7192,0.342925,2.75643
S,1,0,0,QPCBLEND,2.89936e-07,3.69697e-05,-0.00784283,45,58,8.82918e-05,0.000307823,0.100271
K,1,0,0,QPCBOEI1,2.13473,1.85566e-07,1.15039e+07,86,237,2.11592e-05,0.0136261,0.96841
S,0,3,0,QPCBOEI2,856381,0.104795,7.31558e+06,120,787,4.00965,0.0778805,0.895441
K,1,0,0,QPCSTAIR,0.0239147,3.85449e-09,6.20439e+06,35,138,1.72742e-05,1.20335e-05,0.902336
K,1,2,1,QPILOTNO,31030.4,0.00656229,4.75962e+06,71,2003,3.03575e+06,3.18917e+07,149.32
S,1,0,0,QPTEST,0.000117034,2.67698e-05,4.37176,13,6,8.77075e-05,0.00319353,0.0045059
K,1,0,0,QRECIPE,1.71318e-05,6.42566e-08,-266.616,41,163,6.51189e-05,4.603e-07,0.430176
K,1,0,0,QSC205,6.65251e-07,0.000114423,-0.00581329,36,66,6.42333e-05,0.000471257,0.367911
K,1,0,0,QSCAGR25,2.44258,1.21077e-08,2.01738e+08,30,287,4.18531e-05,0.049706,3.75267
S,1,3,0,QSCAGR7,31141.7,0.00115915,2.68348e+07,120,804,21.3948,0.162114,1.92371
K,1,0,0,QSCFXM1,0.310143,1.83705e-08,1.68827e+07,59,1225,4.38725e-05,0.0116926,12.9236
K,1,2,1,QSCFXM2,111.014,3.99674e-06,2.77763e+07,71,2013,816.891,359804,39.6883
Preconditioner setup failed.,0,-1,0,QSCFXM3,-1,-1,-1,-1,-1,-1,-1,-1
S,1,3,0,QSCORPIO,0.274204,0.000145814,1880.24,120,504,0.00388741,0.338922,3.40922
K,1,0,0,QSCRS8,0.000328556,3.63221e-07,904.56,42,462,1.13669e-05,0.0397063,13.7838
S,1,0,0,QSCSD1,0.00139991,0.000161528,8.66807,30,69,4.58191e-05,6.68591e-06,1.59187
S,1,0,0,QSCSD6,0.0166243,0.000327198,50.7916,88,339,8.08848e-05,9.12451e-07,11.454
S,1,0,0,QSCSD8,0.000268087,2.84968e-07,940.763,73,342,9.1674e-05,3.04749e-07,26.992
S,0,3,0,QSCTAP1,1853.23,1.30891,-437.371,120,848,18.9381,0.448886,20.0337
K,1,0,0,QSCTAP2,0.000531638,3.06415e-07,1735.03,24,82,4.32535e-05,0.00435485,3.49637
S,0,3,0,QSCTAP3,2972.48,2.06601,-1533.73,120,957,12.5908,15.0791,126.098
S,0,3,0,QSEBA,8.11959e+07,0.996492,285852,120,1481,262.21,0.100288,115.06
S,0,2,0,QSHARE1B,13337.1,0.0185217,733415,90,2005,0.000512434,0.000366564,6.39318
S,0,3,0,QSHARE2B,2743.28,0.234394,8960.41,120,1288,8.11891,4.16333,1.78936
S,0,3,0,QSHELL,1.24587e+12,0.792217,3.26767e+11,120,818,3458.92,0.000644245,62.0866
S,1,3,0,QSHIP04L,1581.82,0.000653641,2.41843e+06,120,637,0.0460797,0.213579,35.8561
S,1,3,0,QSHIP04S,4132.91,0.0017043,2.42086e+06,120,616,0.0460644,0.0676778,22.5841
S,0,3,0,QSHIP08L,71485.4,0.0300859,2.30456e+06,120,673,0.102202,0.170062,151.605
S,1,3,0,QSHIP08S,20268.1,0.00849555,2.36546e+06,120,615,0.0787813,0.184692,61.566
S,0,2,1,QSHIP12L,2.48597e+08,82.3476,2.51616e+08,75,2007,1.03557e+06,1.2878e+10,642.498
S,0,3,0,QSHIP12S,133422,0.0436453,2.92354e+06,120,906,1.51779,0.837296,132.122
S,0,3,1,QSIERRA,8.79442e+08,37.0284,9.03192e+08,120,1732,2185.26,1.31718e+07,145.405
S,1,3,0,QSTAIR,54874.8,0.00687184,7.93058e+06,120,924,2301.73,0.173718,19.8272
S,1,0,0,QSTANDAT,0.036759,5.73299e-06,6411.8,26,96,9.76779e-05,0.0591201,4.44951
S,0,0,0,S268,2.17382,3.79305e+06,2.17382,4,10,9.95714e-05,0.0120825,0.0024786
K,1,2,1,STADAT1,93273.8,0.00326968,-2.84336e+07,68,2011,547.676,2.79064e+06,157.225
K,0,2,1,STADAT2,25.2927,0.775214,-7.33401,75,2002,0.0179975,307923,54.8061
K,0,2,1,STADAT3,17.8712,0.499482,-17.9083,75,2010,0.389117,26032.8,146.017
S,1,0,0,STCQP1,1.18442,7.63438e-06,155142,35,264,9.11976e-05,1.56229e-05,5016.55
S,1,0,0,STCQP2,0.100712,4.51071e-06,22327.2,40,345,7.86339e-05,2.68666e-05,1456.22
S,1,0,0,TAME,2.50005e-11,inf,2.50005e-11,15,8,2.32788e-05,0.000212431,0.0036295
S,0,2,0,UBH1,35.9873,32.2466,37.1033,111,2013,11.7252,17.8366,400.235
S,0,0,0,VALUES,0.0853127,0.0610851,-1.31131,21,40,6.17901e-05,9.96679e-06,0.281552
K,0,1,0,YAO,180.4,0.912475,17.3041,120,1891,0.180332,0.218491,65.145
S,1,0,0,ZECEVIC2,9.57542e-05,2.32131e-05,-4.1249,14,6,4.78766e-05,0.000163698,0.0054811
