agree,opt_status,diverged,name,abs_err,rel_err,obj_val,PMM_iter,SSN_iter,PMM_tol_achieved,SSN_tol_achieved,solving_time_sec
1,0,0,AUG2DQP,52.1187,8.35636e-06,6.23696e+06,35,96,5.26866e-05,4.03208e-07,30.843
1,0,0,CONT-050,0.0185979,0.00407504,-4.54525,33,104,8.12463e-05,4.16035e-05,6.89931
1,0,0,DPKLO1,5.03263e-08,1.35982e-07,0.370096,17,13,2.67255e-05,6.89396e-06,0.0757025
0,2,0,DUALC1,2.99764e+06,487.006,-2.99149e+06,47,517,676.526,15.4521,1.56935
1,0,0,GOULDQP3,0.000546597,0.00026498,2.06224,13,21,6.08813e-05,6.0865e-05,0.915856
0,0,0,HS268,25.1266,4.38428e+07,25.1266,18,152,3.7893e-05,0.931118,0.0211962
0,0,0,LISWET1,11.1223,0.307905,25.0001,26,23,7.28227e-05,0.0317609,17.8454
1,0,0,LISWET2,0.00150438,6.01797e-05,24.9966,25,25,2.94008e-05,0.0170183,18.6711
0,2,1,POWELL20,9.3546e+09,0.179587,4.2735e+10,27,520,7496.56,2.2301e+07,26.1582
1,0,0,PRIMAL1,1.01197e-06,2.89028e-05,-0.035012,7,9,9.15993e-06,0.000192564,0.0848277
0,2,0,PRIMALC1,6916.72,1.12371,-13072,35,511,22.8172,9.15725e-05,0.363407
1,0,0,QAFIRO,1.60241e-05,1.00731e-05,-1.5908,19,34,7.35601e-05,0.000721223,0.039566
0,2,0,QFORPLAN,8.23304e+08,0.110412,6.63333e+09,39,510,991.512,0.117909,6.12167
0,3,0,QGROW15,9.95643e+07,0.979062,-2.1293e+06,100,436,0.445472,0.000202936,9.17124
0,2,0,QPCBOEI2,997443,0.122057,7.17452e+06,96,507,2932.73,0.734142,1.04167
1,0,0,QPCSTAIR,2.34273,3.77592e-07,6.20439e+06,58,278,8.83995e-05,0.000354965,3.20653
1,2,0,QPILOTNO,38666.9,0.00817726,4.68992e+06,45,508,600.928,9.97487,52.0167
1,3,0,QSCORPIO,12.7552,0.00678285,1867.75,100,474,0.00406928,0.271866,3.89922
0,2,0,QSCRS8,191.959,0.212212,712.601,49,504,0.0193512,0.489472,13.1314
1,0,0,QSCSD1,0.00027485,3.17135e-05,8.66694,23,66,5.97765e-05,0.000202849,1.4033
0,2,0,QSCTAP1,1437.79,1.01549,-21.932,80,504,18.4575,203.582,10.5019
0,2,0,QSHARE1B,13703.8,0.019031,733782,66,501,0.000512126,8.7961e-05,1.86784
1,3,0,QSTANDAT,12.8842,0.00200943,6398.95,100,368,0.00664165,0.110845,16.7258
0,0,0,S268,25.1266,4.38428e+07,25.1266,18,152,3.7893e-05,0.931118,0.0252615
0,2,1,STADAT1,6.164e+06,0.216077,-2.23629e+07,17,510,10.0496,1.63403e+08,59.0763
1,0,0,TAME,2.5001e-11,inf,2.5001e-11,16,10,8.77041e-05,2.47533e-11,0.0151522
0,0,0,VALUES,0.0852983,0.0610748,-1.31132,17,51,5.48107e-05,0.000500662,0.348323
0,2,0,YAO,191.015,0.966164,6.6896,40,524,2.19476,271.807,9.68072


1,0,0,AUG2DQP,52.1187,8.35636e-06,6.23696e+06,35,96,5.26866e-05,4.03208e-07,30.6212
1,0,0,CONT-050,0.0185979,0.00407504,-4.54525,33,104,8.12463e-05,4.16035e-05,6.87359
1,0,0,DPKLO1,5.03263e-08,1.35982e-07,0.370096,17,13,2.67255e-05,6.89396e-06,0.115822
0,2,0,DUALC1,6.88143e+06,1117.98,-6.87528e+06,51,625,1012.07,80.0454,1.57254
1,0,0,GOULDQP3,0.000546597,0.00026498,2.06224,13,21,6.08813e-05,6.0865e-05,0.869961
