preferred_sys,name,ratio,solving_time_sec_KKT,solving_time_sec_Schur
Schur!,AUG2D,1.2635,21.838,17.284
Schur!,AUG2DC,1.3113,11.37,8.6703
Schur!,AUG2DCQP,1.2476,33.586,26.921
Schur!,AUG2DQP,1.1657,37.582,32.241
KKT!,AUG3D,0.72046,0.18324,0.25433
Schur!,AUG3DC,1.2625,0.22162,0.17554
KKT,AUG3DCQP,0.99457,2.035,2.0461
KKT!,AUG3DQP,0.8929,3.0233,3.386
Schur!,BOYD1,2.3422,11908,5084.4
Schur!,BOYD2,-9957.8,9957.8,-1
Schur,CONT-050,1.0905,13.554,12.429
KKT,CONT-100,0.99602,98.884,99.28
Schur!,CONT-101,1.2387,412.03,332.62
Schur,CONT-200,1.0734,1658.2,1544.9
Schur,CONT-201,1.022,9379.9,9178.1
KKT!,CVXQP1M,0.11865,46.961,395.77
KKT!,CVXQP1S,0.4718,1.2346,2.6169
KKT!,CVXQP2M,0.31251,43.225,138.32
KKT!,CVXQP2S,0.80244,0.52946,0.65981
KKT!,CVXQP3M,0.053917,31.722,588.35
KKT!,CVXQP3S,0.41822,1.038,2.4819
Schur!,DPKLO1,1.1625,0.060757,0.052262
Schur!,DTOC3,1.5325,47.727,31.144
Schur,DUAL1,1.0606,0.15487,0.14603
KKT,DUAL2,0.97973,0.12802,0.13067
Schur,DUAL3,1.0587,0.14773,0.13954
Schur,DUAL4,1.0001,0.074415,0.07441
KKT,DUALC1,0.99997,0.42857,0.42858
Schur,DUALC2,1.0887,0.30901,0.28384
KKT!,DUALC5,0.88451,0.40194,0.45442
KKT!,DUALC8,0.7273,0.54972,0.75584
Schur!,GENHS28,1.2776,0.0064112,0.005018
Schur!,GOULDQP2,1.3441,0.46841,0.34849
Schur!,GOULDQP3,1.1657,0.76421,0.65557
Schur!,HS118,1.1886,0.02887,0.024288
KKT,HS21,0.91135,0.003005,0.0032973
KKT!,HS268,0.79001,0.0028412,0.0035964
Schur!,HS35,1.144,0.0038776,0.0033896
Schur!,HS35MOD,1.1442,0.012754,0.011146
Schur!,HS51,1.5095,0.0052033,0.0034471
Schur!,HS52,1.212,0.00316,0.0026072
Schur!,HS53,1.7719,0.004964,0.0028015
Schur!,HS76,1.4368,0.008809,0.0061311
Schur!,HUES-MOD,3.3695,5.357,1.5898
Schur!,HUESTIS,9.4188,48.271,5.1249
KKT!,KSIP,0.5017,1.5564,3.1023
KKT,LASER,0.98579,2.5307,2.5671
Schur,LISWET1,1.0336,17.412,16.846
Schur,LISWET10,1.0605,17.707,16.696
Schur,LISWET11,1.0723,17.78,16.581
Schur,LISWET12,1.071,18.611,17.377
Schur,LISWET2,1.0642,17.864,16.786
Schur,LISWET3,1.0701,18.329,17.129
Schur,LISWET4,1.0789,18.406,17.059
Schur,LISWET5,1.0366,18.572,17.916
Schur!,LISWET6,1.1026,18.636,16.902
Schur,LISWET7,1.0849,17.871,16.473
Schur,LISWET8,1.0652,17.877,16.783
Schur,LISWET9,1.09,18.456,16.932
Schur!,LOTSCHD,1.4667,0.012517,0.0085342
Schur!,MOSARQP1,1.348,1.1969,0.88789
Schur!,MOSARQP2,1.5896,0.56048,0.3526
Schur!,POWELL20,1.5758,32.921,20.891
Schur!,PRIMAL1,1.562,0.12374,0.079218
Schur!,PRIMAL2,1.8839,0.23539,0.12495
Schur!,PRIMAL3,2.3356,0.88039,0.37695
Schur!,PRIMAL4,2.7919,0.98791,0.35385
Schur!,PRIMALC1,3.0584,0.80736,0.26398
Schur!,PRIMALC2,2.2411,0.53523,0.23883
Schur!,PRIMALC5,2.5493,0.88849,0.34852
Schur!,PRIMALC8,2.8688,1.8329,0.63891
KKT!,Q25FV47,0.61329,122.5,199.74
Schur!,QADLITTL,1.1536,0.20813,0.18042
Schur!,QAFIRO,1.2125,0.020329,0.016767
Schur,QBANDM,1.0598,2.2201,2.0948
KKT,QBEACONF,0.91107,2.9682,3.2579
KKT,QBORE3D,0.91868,0.97043,1.0563
KKT,QBRANDY,0.90074,2.2325,2.4785
KKT!,QCAPRI,0.87028,4.8312,5.5514
KKT,QE226,0.92064,2.3361,2.5375
Schur,QETAMACR,1.0041,14.525,14.465
KKT!,QFFFFF80,0.86286,14.085,16.324
KKT,QFORPLAN,0.94826,7.082,7.4684
Schur!,QGFRDXPN,1.2362,9.5665,7.7385
Schur!,QGROW15,1.2472,6.1944,4.9665
Schur,QGROW22,1.0285,9.4412,9.1796
Schur!,QGROW7,1.1501,2.6927,2.3412
KKT!,QISRAEL,0.83699,1.9296,2.3054
Schur!,QPCBLEND,1.1053,0.11544,0.10444
Schur!,QPCBOEI1,1.3367,0.98634,0.73787
Schur!,QPCBOEI2,1.3514,0.77754,0.57534
Schur,QPCSTAIR,1.0928,1.0748,0.98351
Schur!,QPILOTNO,1.1414,45.294,39.683
Schur!,QPTEST,1.7618,0.0076337,0.0043329
Schur!,QRECIPE,1.6606,0.25574,0.15401
Schur!,QSC205,1.5319,0.29326,0.19143
KKT!,QSCAGR25,0.77884,3.0148,3.8709
KKT!,QSCAGR7,0.40456,0.37355,0.92335
KKT,QSCFXM1,0.97865,5.8515,5.9791
Schur,QSCFXM2,1.0645,13.338,12.53
KKT,QSCFXM3,0.98713,19.472,19.726
Schur!,QSCORPIO,1.8165,2.0344,1.1199
Schur!,QSCRS8,1.1571,9.1686,7.9236
Schur,QSCSD1,1.0594,0.82716,0.7808
Schur!,QSCSD6,1.1363,2.75,2.4202
Schur,QSCSD8,1.0001,10.628,10.628
Schur!,QSCTAP1,1.128,1.896,1.6809
Schur,QSCTAP2,1.0439,7.4542,7.1405
Schur,QSCTAP3,1.0823,11.491,10.617
KKT!,QSEBA,0.2117,10.836,51.185
Schur!,QSHARE1B,1.2275,2.0574,1.6761
Schur!,QSHARE2B,1.202,0.86851,0.72258
KKT!,QSHELL,0.64385,52.508,81.554
Schur!,QSHIP04L,1.3129,17.78,13.543
Schur!,QSHIP04S,1.2278,10.359,8.4374
Schur!,QSHIP08L,1.4213,130.95,92.136
KKT,QSHIP08S,0.90703,31.37,34.585
Schur!,QSHIP12L,1.1206,190.75,170.22
KKT,QSHIP12S,0.95338,39.1,41.012
Schur!,QSIERRA,1.268,16.822,13.266
KKT!,QSTAIR,0.77317,6.4033,8.2818
Schur!,QSTANDAT,1.1407,2.9693,2.603
Schur!,S268,1.7742,0.0040213,0.0022665
Schur!,STADAT1,1.1377,47.446,41.705
Schur!,STADAT2,1.172,14.224,12.136
Schur!,STADAT3,1.2457,30.284,24.311
KKT!,STCQP1,0.013262,23.218,1750.7
KKT!,STCQP2,0.083225,37.557,451.27
KKT!,TAME,0.86005,0.0040793,0.0047431
Schur!,UBH1,1.2066,80.597,66.798
Schur!,VALUES,1.2815,0.31238,0.24376
Schur!,YAO,1.133,10.356,9.1405
Schur!,ZECEVIC2,1.6233,0.006613,0.0040737
