System,agree,opt_status,diverged,name,abs_err,rel_err,obj_val,PMM_iter,SSN_iter,PMM_tol_achieved,SSN_tol_achieved,solving_time_sec
S,1,0,0,AUG2D,2520.57,0.00149375,1.68489e+06,43,173,0.000639162,9.45627e-07,29.1403
S,1,0,0,AUG2DC,2174.94,0.0011961,1.81619e+06,39,165,0.000611962,1.13422e-06,25.0356
S,1,0,0,AUG2DCQP,5475.18,0.000842578,6.49266e+06,61,254,0.000746138,1.5306e-06,55.5642
S,1,0,0,AUG2DQP,4573.27,0.000733247,6.23244e+06,61,263,0.000655151,1.46481e-06,55.731
S,1,0,0,AUG3D,0.000904307,1.63212e-06,554.069,5,4,0.000133343,0.0028341,0.106033
S,1,0,0,AUG3DC,0.656422,0.000851101,771.919,3,3,0.000578195,0.0050722,0.0799041
S,1,0,0,AUG3DCQP,0.103774,0.000104467,993.466,12,15,0.000972595,0.000637214,0.388359
S,1,0,0,AUG3DQP,0.00497449,7.36702e-06,675.233,11,12,0.000108177,0.000534967,0.347477
K,0,0,0,BOYD2,112.315,5.28372,133.572,25,208,0.000620007,0.0383506,391.918
S,0,0,0,CONT-050,1.07517,0.235584,-3.48868,37,213,0.000605634,7.28341e-06,13.251
S,0,0,0,CONT-100,1.63986,0.353083,-3.00454,44,252,0.000912838,1.63987e-06,116.743
S,0,0,0,CONT-101,0.25119,1.28468,-0.0556626,46,202,0.000908151,6.39049e-06,101.965
S,1,0,0,CVXQP1S,4.02522,0.00034728,11586.7,71,949,0.000542463,1.79243e-05,5.1677
S,1,0,0,CVXQP2S,0.39169,4.82322e-05,8120.55,43,252,0.000592733,4.78754e-06,1.00263
S,1,0,0,CVXQP3S,4.99122,0.000417905,11938.4,97,1124,0.000990178,1.89895e-05,6.86472
S,1,0,0,DPKLO1,0.000626785,0.00169357,0.369469,10,6,0.000726941,0.00100179,0.0296382
S,0,2,1,DTOC3,117.254,0.498397,118.008,77,2008,284.122,295.728,379.723
S,1,0,0,DUAL1,3.74445e-06,0.000106945,0.0350167,13,11,0.00078416,0.000219355,0.108426
S,1,0,0,DUAL2,4.20918e-06,0.000124777,0.0337379,5,3,0.000832171,0.00299333,0.0350197
S,1,0,0,DUAL3,0.000106083,0.000781425,0.135862,11,4,0.000876944,0.000518713,0.0737419
S,1,0,0,DUAL4,0.000823448,0.00110368,0.745267,11,5,0.000408933,0.00346048,0.0437585
K,0,2,0,DUALC1,627898,102.01,-621743,159,2012,0.207111,7.64603e-06,1.68025
K,0,3,0,DUALC2,38301.4,10.7852,-34750.1,140,1466,0.165519,0.000708861,1.36848
K,1,1,0,DUALC5,0.424474,0.000993544,426.808,200,1108,0.00110523,7.38012e-06,0.916925
K,0,1,0,DUALC8,7578.48,0.413913,10730.9,200,788,0.0760606,0.000686251,1.1364
S,1,0,0,GENHS28,0.000129301,0.000139457,0.927044,10,5,0.000631523,0.000868722,0.0041052
S,1,0,0,GOULDQP2,5.91685e-05,0.321087,0.000243444,11,6,0.000240645,0.000531052,0.0954371
S,1,0,0,GOULDQP3,0.000193536,9.38226e-05,2.06298,28,43,0.000962803,8.41605e-06,0.668698
S,1,0,0,HS118,1.15043e-06,1.73043e-09,664.82,32,125,0.00047509,0.00134598,0.0391661
S,1,0,0,HS21,2.28365e-06,2.28456e-08,-99.96,19,9,0.000116038,0.00020138,0.0028361
K,0,0,0,HS268,1.09585,1.91212e+06,1.09585,1,3,0.000110031,0.00570953,0.0016069
S,1,0,0,HS35,0.008997,0.080973,0.120108,9,4,0.000809235,0.000785306,0.0017543
S,1,0,0,HS35MOD,0.00492475,0.019699,0.254925,4,3,0.000957271,0.0221385,0.0014129
S,1,0,0,HS51,0.00250317,2.81832e+12,-0.00250317,4,3,0.000475583,0.00308466,0.0015343
S,1,0,0,HS52,0.0102571,0.00192562,5.31639,9,6,0.000723863,0.00136961,0.0023956
S,1,0,0,HS53,0.00154164,0.000376652,4.09456,9,6,0.000243346,0.00122607,0.0020652
K,1,0,0,HS76,1.26208e-06,2.69571e-07,-4.68182,32,200,0.000218517,0.00192478,0.0712079
S,1,0,0,HUES-MOD,227.229,6.52494e-06,3.48245e+07,9,15,0.000423929,0.00079401,0.612691
S,1,3,1,HUESTIS,3.37089e+09,0.00967959,3.44876e+11,57,148,32.1768,0.0007365,5.58898
S,1,0,0,KSIP,5.9447e-05,0.000103243,0.575738,22,14,8.44339e-05,0.00203457,3.96791
K,1,0,0,LASER,0.0518325,2.15108e-08,2.4096e+06,20,65,0.000604149,0.00501877,1.44633
K,0,0,0,LISWET1,11.1341,0.308234,24.9883,13,10,0.000667179,0.0509216,0.862566
S,0,0,0,LISWET10,24.4971,0.495033,24.9887,13,10,0.000685875,0.0498295,0.700939
S,0,0,0,LISWET11,24.5378,0.495473,24.9862,13,10,0.000661119,0.0499321,0.69846
S,0,0,0,LISWET12,1711.94,0.985615,24.9859,13,10,0.000640748,0.0462045,0.713449
S,1,0,0,LISWET2,0.0138744,0.000555019,24.9842,13,10,0.000667239,0.0497627,0.908999
S,1,0,0,LISWET3,0.0137306,0.000549195,24.9875,13,10,0.000674625,0.0494875,0.714385
S,1,0,0,LISWET4,0.0137343,0.00054937,24.9864,13,10,0.000671939,0.0493387,0.716008
S,1,1,0,LISWET5,0.00101843,4.06813e-05,25.0332,200,39,0.00734077,0.0800864,6.56478
S,1,0,0,LISWET6,0.013779,0.000551253,24.982,13,10,0.000675256,0.0496795,0.729379
S,0,0,0,LISWET7,473.852,0.949906,24.9891,13,10,0.000674175,0.0507484,0.710194
S,0,0,0,LISWET8,7119.71,0.996502,24.9891,13,10,0.00067471,0.0500437,0.694083
S,0,0,0,LISWET9,1938.26,0.987272,24.9891,13,10,0.000675979,0.0473113,0.726168
S,1,0,0,LOTSCHD,0.000357483,1.4905e-07,2398.42,19,24,0.000603457,0.000937122,0.0080447
K,1,0,0,MOSARQP1,0.00392422,4.1183e-06,-952.872,27,23,0.000959919,0.00110739,0.669871
S,1,0,0,MOSARQP2,0.0229892,1.43909e-05,-1597.51,14,16,0.000610145,0.00152787,0.282622
K,0,1,1,POWELL20,9.4459e+09,0.181339,4.26437e+10,200,1107,7491.62,0.00912612,83.369
S,1,0,0,PRIMAL1,1.83024e-06,5.22731e-05,-0.0350111,21,16,4.95322e-05,0.00331143,0.189816
S,1,0,0,PRIMAL2,1.54847e-05,0.000459028,-0.0337182,3,5,0.000500584,0.0111423,0.0727025
S,1,0,0,PRIMAL3,2.82722e-06,2.08258e-05,-0.135753,25,8,0.000122822,0.00248288,0.248089
S,1,0,0,PRIMAL4,8.99899e-07,1.20615e-06,-0.74609,24,8,8.63005e-06,0.0011482,0.192146
S,1,0,0,PRIMALC1,0.0188033,3.05485e-06,-6155.23,71,1029,0.000434929,0.00291825,1.05658
S,1,0,0,PRIMALC2,0.0109264,3.07673e-06,-3551.32,80,1028,0.000225986,0.0149323,1.00217
S,1,0,0,PRIMALC5,0.0833626,0.000195122,-427.149,58,454,0.000747332,4.54871e-06,0.826528
S,1,0,0,PRIMALC8,0.111071,6.06633e-06,-18309.5,88,1404,0.000679603,0.095418,2.94429
K,1,0,0,QADLITTL,0.590509,1.22941e-06,480318,21,131,0.000186041,0.0831721,0.234464
S,1,0,0,QAFIRO,1.80363e-06,1.1338e-06,-1.59078,29,29,0.00035167,0.00192392,0.0239306
S,1,0,0,QBANDM,0.412408,2.52201e-05,16352.8,30,127,0.000889923,1.92427e-06,2.45646
S,1,0,0,QBEACONF,32.3725,0.00019654,164744,94,1679,0.000656991,4.48901e-06,7.08414
S,1,0,0,QBORE3D,29.015,0.00935906,3129.22,29,146,0.000663876,0.0593504,2.25914
S,1,0,0,QBRANDY,0.0205614,7.24628e-07,28375.1,28,176,0.000609593,0.0298822,2.50505
K,0,2,1,QCAPRI,1.29329e+07,0.193626,5.38604e+07,109,2026,148285,0.87203,18.6302
S,1,0,0,QE226,0.12743,0.000599238,212.781,26,204,0.000853176,0.0850877,3.68862
S,0,1,0,QETAMACR,15178,0.174941,71582.4,200,1151,0.035338,0.221242,29.6956
S,0,1,0,QFFFFF80,34154.2,0.0391161,838993,200,1767,0.0887508,0.135819,61.4708
S,0,2,1,QFORPLAN,8.23284e+08,0.11041,6.63335e+09,161,2006,4701.84,0.201099,20.2145
S,1,1,1,QGFRDXPN,3.41486e+08,0.00338807,1.00449e+11,200,1232,27.4947,0.413026,30.3625
S,0,2,0,QGROW15,1.18525e+07,0.116551,-8.98411e+07,109,2025,0.337898,3.63418e-05,35.8999
S,0,2,0,QGROW22,1.63852e+07,0.109505,-1.33244e+08,106,2016,0.329717,7.77802e-05,60.5058
S,0,2,0,QGROW7,3.54908e+06,0.082925,-3.92496e+07,175,2003,0.214801,5.93616e-06,17.252
K,1,1,1,QISRAEL,128049,0.00505168,2.52198e+07,200,925,11.717,0.5968,3.96848
S,1,0,0,QPCBLEND,1.39735e-05,0.00178175,-0.00785651,42,55,0.000549287,5.04673e-05,0.0907569
K,0,1,1,QPCBOEI1,150224,0.0130585,1.13537e+07,200,639,5443.55,0.00259673,2.31361
S,0,1,1,QPCBOEI2,735303,0.0899787,7.43666e+06,200,1480,2.09769,0.132826,1.84724
K,1,0,0,QPCSTAIR,5.77568,9.30903e-07,6.20438e+06,36,139,0.000616761,0.0012205,0.927413
K,1,0,0,QPTEST,3.00065e-05,6.86353e-06,4.37191,13,7,0.000369885,0.00101227,0.0049463
K,1,0,0,QRECIPE,0.486863,0.00182608,-266.129,11,15,0.000775753,0.00137648,0.0561296
K,1,0,0,QSC205,5.04199e-07,8.67223e-05,-0.00581446,29,49,3.78322e-05,0.00124638,0.257648
K,1,1,1,QSCAGR25,15549.7,7.70785e-05,2.01722e+08,200,494,20.0659,0.272565,5.5424
S,1,1,1,QSCAGR7,39314.8,0.00146337,2.68266e+07,200,904,21.3612,44.6757,1.66935
K,0,2,1,QSCFXM1,1.49995e+06,0.0888452,1.53827e+07,123,2010,2357.59,0.398795,20.5831
