System,agree,opt_status,diverged,name,abs_err,rel_err,obj_val,PMM_iter,SSN_iter,PMM_tol_achieved,SSN_tol_achieved,solving_time_sec
S,1,0,0,AUG2D,3.91684,2.32121e-06,1.68741e+06,137,197,9.80904e-07,1.09815e-08,30.4896
S,1,0,0,AUG2DC,3.91729,2.15429e-06,1.81836e+06,127,128,9.10284e-07,5.43918e-11,20.4948
S,1,0,0,AUG2DCQP,11.1266,1.71227e-06,6.49812e+06,62,106,6.97206e-07,1.22541e-08,30.657
S,1,0,0,AUG2DQP,10.5854,1.69719e-06,6.237e+06,65,110,6.89655e-07,1.56124e-08,27.8394
S,1,0,0,AUG3D,0.000274509,4.95443e-07,554.067,11,12,2.73435e-07,2.53055e-09,0.278943
S,1,0,0,AUG3DC,0.000591525,7.66956e-07,771.262,13,14,4.52476e-07,9.44238e-14,0.322636
S,1,0,0,AUG3DCQP,0.00219428,2.20894e-06,993.36,51,68,9.80806e-07,4.99598e-09,2.02563
S,1,0,0,AUG3DQP,0.0013638,2.01974e-06,675.236,46,55,8.94905e-07,2.82518e-13,1.7199
S,1,2,0,BOYD1,108595,0.00175905,-6.16266e+07,212,6011,0.000299569,0.000488625,3279.24
K,0,2,0,BOYD2,45.6262,2.14643,66.8829,204,6011,4.48576e-05,0.000170721,4351.28
S,1,0,0,CONT-050,1.63364e-06,3.57952e-07,-4.56385,137,313,9.58698e-07,4.1105e-08,20.4831
S,1,0,0,CONT-100,2.26152e-05,4.86936e-06,-4.64438,173,640,9.29531e-07,1.67108e-08,294.771
S,1,0,0,CONT-101,6.20403e-05,0.000317297,0.195589,300,2081,9.71487e-07,1.35035e-09,822.685
S,1,0,0,CONT-200,0.000393804,8.40586e-05,-4.68448,200,970,9.99367e-07,2.17311e-09,2757.64
S,1,2,0,CONT-201,0.00100883,0.00524114,0.191475,403,6027,1.19237e-06,2.95406e-09,14895.8

S,0,4,0,CONT-300,0.192281,1.00401,-0.000768717,80,265,0.000962385,1.25555e-06,2029.01
S,0,3,0,CVXQP1L,1.08705e+08,0.999999,70.5582,1,103,0.998117,0,91.7994
S,0,4,0,CVXQP1M,53635.8,0.0493198,1.03388e+06,113,1866,0.0219103,0.000734969,2059.13
S,1,2,0,CVXQP1S,0.304066,2.62336e-05,11590.4,302,6000,1.83283e-05,3.57516e-07,27.0023
S,0,3,0,CVXQP2L,8.18424e+07,1,11.3348,1,95,0.991277,233.534,90.9299
S,1,4,0,CVXQP2M,7.0679,8.61775e-06,820148,207,5264,0.000125232,0.000210976,2014.6
S,1,0,0,CVXQP2S,0.00902956,1.11189e-06,8120.93,135,269,9.5744e-07,6.75786e-08,1.42826
S,0,3,0,CVXQP3L,1.15711e+08,0.999999,135.977,2,228,0.999001,4.55624,301.301
S,0,4,0,CVXQP3M,271210,0.199005,1.09162e+06,113,1622,0.019542,0.000723539,2048.06
S,1,2,0,CVXQP3S,1.46006,0.000122248,11942,248,6016,0.000158496,3.40459e-06,36.0933
S,1,0,0,DPKLO1,3.8269e-06,1.03403e-05,0.370092,13,14,9.73223e-07,6.67921e-08,0.0580233
S,1,2,0,DTOC3,0.0349527,0.000148569,235.297,213,6001,6.36081e-06,3.32041e-06,509.391
S,1,0,0,DUAL1,1.21597e-07,3.47291e-06,0.0350128,43,59,8.47712e-07,7.48796e-10,0.578213
S,1,0,0,DUAL2,3.72226e-08,1.10343e-06,0.0337336,39,52,9.31218e-07,1.02233e-09,0.512163
S,1,0,0,DUAL3,1.48968e-07,1.09732e-06,0.135756,81,118,9.18647e-07,2.80751e-10,2.19073
S,1,0,0,DUAL4,9.2577e-07,1.24083e-06,0.74609,90,158,9.03805e-07,7.53614e-09,1.08685
K,1,0,0,DUALC1,5.97795,0.000971195,6149.27,170,674,9.93502e-07,1.32373e-08,0.355859
K,1,0,0,DUALC2,0.0186404,5.24889e-06,3551.33,50,131,7.58561e-08,1.31263e-07,0.0708636
K,1,0,0,DUALC5,0.000162551,3.80475e-07,427.232,93,180,8.9413e-07,5.08315e-08,0.110364
K,1,0,0,DUALC8,0.309276,1.68917e-05,18309,127,2541,9.88876e-07,1.36351e-07,2.08822
K,1,0,0,EXDATA,3.6111e-07,2.54584e-09,-141.843,106,353,8.99898e-07,1.99675e-08,1897.38
S,1,0,0,GENHS28,7.48982e-07,8.07812e-07,0.927174,7,8,5.0191e-07,1.17292e-08,0.0463823
S,1,0,0,GOULDQP2,4.13699e-06,0.02245,0.000188412,104,158,9.09346e-07,4.87857e-09,1.48304
S,1,0,0,GOULDQP3,2.89994e-06,1.40584e-06,2.06279,24,39,6.6007e-07,3.48454e-09,0.581241
K,1,0,0,HS118,1.7135e-07,2.57738e-10,664.82,31,238,2.69074e-08,8.78102e-08,0.0332655
S,1,0,0,HS21,4.86808e-09,4.87003e-11,-99.96,7,9,5.7271e-07,1.16785e-15,0.0021873
S,1,0,0,HS268,1.74795e-06,3.04995,-1.17484e-06,108,280,9.75513e-07,3.3636e-08,0.0181096
S,1,0,0,HS35,7.26335e-08,6.53702e-07,0.111111,8,9,7.94082e-08,5.71601e-10,0.0021598
S,1,0,0,HS35MOD,2.10757e-06,8.43028e-06,0.249998,14,32,8.81316e-07,2.07917e-09,0.0056228
S,1,0,0,HS51,4.10529e-06,4.62215e+09,-4.10529e-06,13,14,5.96905e-07,1.61867e-08,0.0037404
S,1,0,0,HS52,1.17524e-05,2.20634e-06,5.32664,26,27,8.38535e-07,7.35982e-09,0.0057584
S,1,0,0,HS53,8.79484e-06,2.14874e-06,4.09301,19,20,9.00959e-07,6.11259e-09,0.004941
S,1,0,0,HS76,4.89634e-08,1.04582e-08,-4.68182,9,13,4.54856e-07,2.25688e-09,0.0033298
S,1,3,0,HUES-MOD,226.127,6.49329e-06,3.48245e+07,243,1602,5.67087e-06,7.16713e-09,36.9153
S,1,0,0,HUESTIS,2.27933e+06,6.54517e-06,3.48245e+11,15,63,7.29889e-07,4.6365e-08,1.72514
K,1,0,0,KSIP,1.4148e-06,2.45712e-06,0.575797,356,1391,7.36421e-07,9.64613e-10,4.02689
S,1,0,0,LASER,0.106667,4.42674e-08,2.4096e+06,54,79,7.67332e-07,5.27497e-08,1.26939
S,0,1,0,LISWET1,11.1174,0.307771,25.005,1000,3288,1.73789e-06,1.37369e-10,138.575
S,0,0,0,LISWET10,24.4838,0.494764,25.002,406,1378,9.98548e-07,5.84124e-11,77.1557
S,0,0,0,LISWET11,24.5245,0.495204,24.9995,434,1430,9.97036e-07,3.75604e-11,115.379
S,0,1,0,LISWET12,1711.93,0.985607,24.9995,1000,3179,1.26061e-06,2.76177e-10,156.79
S,1,0,0,LISWET2,0.000516369,2.06564e-05,24.9976,401,1448,9.97565e-07,4.58555e-10,82.6831
S,1,0,0,LISWET3,0.000380528,1.52204e-05,25.0008,401,1321,9.96263e-07,7.29497e-11,74.4137
S,1,0,0,LISWET4,0.000387941,1.55176e-05,24.9997,401,1323,9.98972e-07,7.52608e-11,73.9963
S,1,0,0,LISWET5,0.000386816,1.54515e-05,25.0339,400,1322,9.95187e-07,7.27881e-11,73.3527
S,1,0,0,LISWET6,0.000423402,1.6939e-05,24.9953,402,1326,9.95209e-07,6.93488e-11,73.7103
S,0,0,0,LISWET7,473.839,0.949879,25.0024,401,1372,9.98549e-07,5.44489e-11,85.0315
S,0,0,0,LISWET8,7119.7,0.996501,25.0023,402,1333,9.91562e-07,3.67846e-11,75.2246
S,0,1,0,LISWET9,1938.25,0.987265,25.0021,1000,3141,1.09292e-06,9.90137e-10,135.44
S,1,0,0,LOTSCHD,0.00633906,2.64302e-06,2398.41,44,77,9.66892e-07,4.2592e-08,0.0160178
S,1,0,0,MOSARQP1,5.04074e-06,5.29003e-09,-952.875,102,182,9.8996e-07,3.87197e-08,4.99706
S,1,0,0,MOSARQP2,3.69246e-05,2.31143e-08,-1597.48,70,96,8.87037e-07,9.89234e-09,1.23465
S,0,2,0,POWELL20,4.77738e+09,0.0917148,4.73122e+10,345,6036,4.77967e-05,4.0756e-08,186.937
S,1,0,0,PRIMAL1,2.54579e-08,7.271e-07,-0.035013,7,11,1.34968e-07,1.58329e-08,0.0658087
S,1,0,0,PRIMAL2,1.88696e-08,5.5937e-07,-0.0337337,5,11,4.82745e-07,8.43707e-09,0.0891582
