System,agree,opt_status,diverged,name,abs_err,rel_err,obj_val,PMM_iter,SSN_iter,PMM_tol_achieved,SSN_tol_achieved,solving_time_sec
S,0,3,0,CVXQP1S,280.07,0.0241633,11310.6,595,4687,0.0129729,1.27351e-05,37.3726
S,1,3,0,CVXQP3S,68.0319,0.00569618,11875.4,453,4513,0.00469454,1.02897e-05,38.9857
K,0,2,0,DUALC2,119110,33.5397,-115559,508,10002,0.569623,7.56297e-07,5.18056
K,1,1,0,DUALC5,0.0416553,9.75004e-05,427.191,1000,4383,0.000110827,8.70961e-06,3.91876
K,1,0,0,PRIMALC1,2.68326,0.00043593,-6152.57,180,4556,1.97847e-05,8.96474e-06,5.51456
S,1,0,0,PRIMALC8,17.8978,0.000977516,-18291.5,234,4635,6.85375e-05,0.000353808,5.67718
S,1,0,0,QBRANDY,0.689038,2.42832e-05,28374.4,132,5011,7.28543e-05,0.000285331,17.614
S,1,2,0,QGROW7,854.229,1.99592e-05,-4.27979e+07,509,10024,0.0124682,2.18201e-06,97.0914
K,1,2,0,QISRAEL,2536.7,0.000100076,2.53453e+07,210,10018,0.14592,0.067764,29.2284
S,1,2,0,QPCBLEND,5.88395e-05,0.0075026,-0.00790138,206,10018,0.0277192,0.148208,7.42982
K,1,2,1,QSHARE2B,98.082,0.00838043,11605.6,202,10005,34.914,532.628,13.8489
S,1,3,0,S268,0.00103258,1801.72,-0.001032,29,293,0.00086439,1.26804e-05,0.0183462

S,0,3,0,CVXQP1S,280.07,0.0241633,11310.6,595,4687,0.0129729,1.27351e-05,37.8549
S,1,3,0,CVXQP3S,68.0319,0.00569618,11875.4,453,4513,0.00469454,1.02897e-05,40.0879
K,0,2,0,DUALC2,117011,32.9487,-113459,1184,30033,0.503383,1.17131e-05,15.4258
K,1,0,0,DUALC5,0.0375257,8.78345e-05,427.195,1031,4451,9.97359e-05,1.00178e-05,4.11214
K,1,0,0,PRIMALC1,2.68326,0.00043593,-6152.57,180,4556,1.97847e-05,8.96474e-06,5.68174
S,1,0,0,PRIMALC8,17.8978,0.000977516,-18291.5,234,4635,6.85375e-05,0.000353808,5.79101
S,1,0,0,QBRANDY,0.689038,2.42832e-05,28374.4,132,5011,7.28543e-05,0.000285331,18.0862
S,1,2,0,QGROW7,855.071,1.99789e-05,-4.27979e+07,915,30030,0.0120485,1.90615e-06,273.178
K,1,2,0,QISRAEL,148.677,5.86548e-06,2.53477e+07,610,30018,0.0195972,382.599,85.5665
S,1,2,1,QPCBLEND,1.88019e-06,0.000239742,-0.00784442,606,30018,1.31492,86.5008,16.8326
K,1,2,1,QSHARE2B,44.3305,0.00378774,11659.4,602,30005,2862.47,65685.8,39.7452
S,1,3,0,S268,0.00103258,1801.72,-0.001032,29,293,0.00086439,1.26804e-05,0.0183232

K,1,0,0,S268,0.00010669,186.16,-0.000106117,36,273,8.66649e-05,3.64229e-07,0.0634877

K,1,0,0,S268,0.00010669,186.16,-0.000106117,36,273,8.66649e-05,3.64229e-07,0.0513212

K,1,0,0,S268,9.44713e-05,164.841,-9.38982e-05,12,146,7.65841e-05,5.01623e-07,0.0242699


S,1,0,0,CVXQP1S,1.63524,0.000141082,11589.1,486,14520,9.95385e-05,2.32795e-07,59.9284

S,0,3,0,CVXQP1S,3257.16,0.281015,8333.55,35,194,0.385096,1.46647e-08,1.65631
S,0,3,0,CVXQP3S,2013.03,0.168547,9930.4,34,230,0.299823,2.21353e-08,2.19361

S,1,0,0,CVXQP1S,1.63524,0.000141082,11589.1,486,14520,9.95385e-05,2.32795e-07,59.4518
S,1,2,0,CVXQP3S,1.69225,0.000141689,11941.7,1467,30030,0.000204541,2.71799e-07,172.508
K,0,3,0,DUALC2,16735,4.71236,-13183.7,330,14550,0.0623254,0.0023414,6.12244
