System,agree,opt_status,diverged,name,abs_err,rel_err,obj_val,PMM_iter,SSN_iter,PMM_tol_achieved,SSN_tol_achieved,solving_time_sec
S,1,0,0,AUG2D,376.01,0.000222832,1.68704e+06,52,85,9.53011e-05,1.16341e-07,11.6179
S,1,0,0,AUG2DC,372.192,0.000204685,1.818e+06,53,54,8.7252e-05,3.54914e-10,7.58287
S,1,0,0,AUG2DCQP,670.815,0.000103232,6.49746e+06,88,259,8.45925e-05,6.90529e-06,58.5014
S,1,0,0,AUG2DQP,535.009,8.57797e-05,6.23648e+06,88,231,7.02333e-05,1.04379e-07,53.6813
S,1,0,0,AUG3D,0.0268305,4.84246e-05,554.041,5,6,2.56345e-05,5.9646e-07,0.146228
S,1,0,0,AUG3DC,0.07235,9.38072e-05,771.19,5,6,5.56525e-05,2.14967e-08,0.14855
S,1,0,0,AUG3DCQP,0.0956714,9.63107e-05,993.266,12,35,9.35734e-05,7.73197e-06,0.818016
S,1,0,0,AUG3DQP,0.0301541,4.46571e-05,675.208,12,29,4.30191e-05,1.43459e-10,0.753626
S,1,1,0,BOYD1,155599,0.00252042,-6.15796e+07,1000,5936,0.000407816,6.43729e-07,3275.44
S,1,0,0,CONT-050,0.0367777,0.00805848,-4.52707,38,87,9.3974e-05,4.37077e-06,4.88369
S,0,0,0,CONT-100,0.382263,0.0823063,-4.26213,51,102,9.49397e-05,5.57116e-07,44.495
S,1,0,0,CONT-101,0.00407673,0.0208499,0.199604,75,326,5.06489e-05,7.53579e-08,160.492
S,0,0,0,CONT-200,1.28469,0.27422,-3.40019,65,116,8.98016e-05,2.14227e-06,334.624
S,0,0,0,CONT-201,0.20907,1.08617,0.401553,87,688,4.4479e-05,2.34146e-06,2153.16
S,0,2,0,CVXQP1M,65043,0.059809,1.02247e+06,808,10010,0.033828,0.000151935,12204.9
S,1,2,0,CVXQP1S,5.83695,0.000503589,11584.9,318,10013,0.000372459,1.3194e-05,41.2276
S,1,2,0,CVXQP2M,36.1797,4.41133e-05,820119,319,10026,0.00112341,0.000619634,3700.28
S,1,0,0,CVXQP2S,0.226124,2.78446e-05,8120.71,46,169,9.66522e-05,8.19684e-06,0.770696


S,1,1,0,CVXQP3S,2.53991,0.000212661,11940.9,1000,7584,0.000368862,1.58485e-06,50.8148
S,1,0,0,DPKLO1,0.0016095,0.00434887,0.368487,3,5,7.5391e-05,1.84266e-07,0.0258239
S,1,0,0,DTOC3,0.0358111,0.000152217,235.227,66,2025,8.20689e-05,8.20689e-05,159.204
S,1,0,0,DUAL1,9.73589e-06,0.000278065,0.0350032,7,15,5.78952e-05,2.85322e-08,0.123983
S,1,0,0,DUAL2,4.85022e-06,0.00014378,0.0337288,6,13,6.22651e-05,5.83291e-07,0.124028
S,1,0,0,DUAL3,2.03185e-05,0.000149669,0.135736,11,20,9.55137e-05,3.07935e-07,0.310301
S,1,0,0,DUAL4,0.000148802,0.000199442,0.745942,18,54,7.86034e-05,2.02036e-06,0.319456
K,0,2,1,DUALC1,463341,75.2758,-457186,254,10005,25.6781,3.56372e+07,4.86868
K,0,2,0,DUALC2,1950.2,0.549151,1601.1,723,10000,0.0125445,1.11667e-05,4.17533
K,1,1,0,DUALC5,0.933929,0.002186,426.298,1000,3010,0.001626,5.67836e-06,2.28634
K,0,1,0,DUALC8,16626.3,0.908075,1683.08,1000,8237,0.318349,0.0011405,7.67896
S,1,0,0,GENHS28,0.000461038,0.000497251,0.926713,3,4,6.06929e-05,1.68628e-06,0.0046291
S,1,0,0,GOULDQP2,4.49708e-05,0.244041,0.000229246,4,7,3.26785e-05,9.83047e-14,0.0760878
S,1,0,0,GOULDQP3,8.19891e-06,3.97468e-06,2.06278,12,31,4.64958e-05,3.10462e-06,0.420593
S,1,0,0,HS118,0.000132407,1.99162e-07,664.82,16,637,6.95607e-05,0.00527529,0.0557004
S,1,0,0,HS21,1.58364e-07,1.58427e-09,-99.96,5,87,5.34564e-06,8.80934e-07,0.0042585
K,1,0,0,HS268,8.51794e-05,148.627,-8.46063e-05,7,55,5.92589e-05,1.25849e-05,0.0085077
S,1,0,0,HS35,0.000348777,0.003139,0.11146,3,48,8.6173e-05,1.12497e-05,0.0043936
S,1,0,0,HS35MOD,1.19868e-05,4.79473e-05,0.250012,4,19,2.71231e-05,1.09173e-06,0.0032702
