System,agree,opt_status,diverged,name,abs_err,rel_err,obj_val,PMM_iter,SSN_iter,PMM_tol_achieved,SSN_tol_achieved,solving_time_sec
K,0,2,0,BOYD2,114.399,5.38175,135.655,248,6004,0.000776311,8.7811e-06,4944.42
K,0,2,0,DUALC1,1.40059e+06,227.544,-1.39443e+06,180,6026,0.455015,0.00384993,2.87836
K,0,2,0,DUALC2,116542,32.8166,-112990,187,6002,0.449006,0.00432784,2.61159
K,1,0,0,DUALC5,0.0369669,8.65265e-05,427.195,184,858,9.82353e-05,1.3162e-05,0.709729
K,0,2,0,DUALC8,9291.34,0.507464,9018.02,271,6034,0.0937279,0.0116535,5.3169
K,1,0,0,HS118,6.96853e-05,1.04818e-07,664.82,41,988,8.51059e-05,0.00172824,0.113609
K,1,0,0,KSIP,5.65956e-05,9.82908e-05,0.575741,27,393,9.47709e-05,1.54588e-05,3.02572
K,1,2,0,QISRAEL,47.6478,1.87976e-06,2.53479e+07,283,6035,0.00187306,0.011654,15.2967
K,0,2,1,QPCBOEI2,916201,0.112115,7.25576e+06,187,6005,4.00823,4.64368,6.63634
K,1,0,0,QSC205,0.000217175,0.0373542,-0.00559678,107,792,9.30244e-05,1.58053e-05,1.97756
K,0,2,0,QSCORPIO,43.051,0.0228933,1837.46,210,6019,0.0100351,0.00902184,29.0989
K,0,2,0,QSHARE2B,131.39,0.0112264,11572.3,229,6035,0.00102618,0.00171982,7.14359
K,1,2,0,STADAT1,120867,0.00423694,-2.86477e+07,161,6027,0.0640291,0.00380818,118.058
K,0,2,0,STADAT2,8.96064,0.274642,-23.666,159,6022,0.00580799,0.0321088,103.582
K,0,2,0,STADAT3,16.9243,0.473016,-18.8552,163,6033,0.0290333,0.00978528,204.72


