System,agree,opt_status,diverged,name,abs_err,rel_err,obj_val,PMM_iter,SSN_iter,PMM_tol_achieved,SSN_tol_achieved,solving_time_sec
K,1,0,0,AUG2D,172.395,0.000102165,1.68724e+06,89,123,8.74247e-05,4.69784e-07,21.5482
K,1,0,0,AUG2DC,185.488,0.000102008,1.81818e+06,91,92,8.69565e-05,4.62474e-10,15.3903
K,1,0,0,AUG2DCQP,556.656,8.56639e-05,6.49758e+06,53,102,7.01965e-05,7.48534e-06,16.6578
K,1,0,0,AUG2DQP,694.157,0.000111296,6.23632e+06,48,98,9.1129e-05,7.49893e-06,15.9731
K,1,0,0,AUG3D,0.0236,4.25941e-05,554.091,5,6,4.64323e-05,1.16221e-06,0.17675
K,1,0,0,AUG3DC,0.00903047,1.17087e-05,771.253,5,6,1.5983e-05,2.3588e-08,0.1766
K,1,0,0,AUG3DCQP,0.0833855,8.39427e-05,993.279,19,31,8.12871e-05,2.27615e-07,0.857069
K,1,0,0,AUG3DQP,0.0531598,7.87275e-05,675.185,17,26,7.61508e-05,4.29698e-13,0.720929

K,1,0,0,CONT-050,0.0446732,0.00978848,-4.51918,111,207,9.93021e-05,7.56175e-06,11.455
K,0,0,0,CONT-100,0.912529,0.19648,-3.73187,96,182,9.95163e-05,1.60211e-05,66.9118
K,0,0,0,CONT-101,0.0794336,0.406253,0.274961,222,424,7.18749e-05,8.6079e-11,158.879
K,0,0,0,CONT-200,0.793616,0.1694,-3.89126,254,431,8.41239e-05,1.27919e-05,1250.99
K,0,0,0,CONT-201,0.377216,1.95973,0.569699,297,798,8.34888e-05,1.66885e-10,2333.61
K,0,1,0,CVXQP1M,14665.4,0.0134853,1.07285e+06,500,3057,0.0192182,0.00010433,316.633
K,1,0,0,CVXQP1S,0.359089,3.09807e-05,11590.4,143,347,9.60082e-05,1.23895e-05,0.885292
K,1,1,0,CVXQP2M,1.22345,1.49173e-06,820154,500,3706,0.000112865,1.60412e-05,316.749
K,1,0,0,CVXQP2S,0.151699,1.868e-05,8120.79,105,227,9.70263e-05,6.12211e-06,0.568326
K,0,1,0,CVXQP3M,231795,0.170084,1.13103e+06,500,2726,0.0441675,0.00207464,304.889
K,1,0,0,CVXQP3S,0.237877,1.9917e-05,11943.2,492,2156,9.98952e-05,7.29829e-06,6.09275
K,1,0,0,DPKLO1,2.65842e-05,7.18305e-05,0.37007,7,8,5.10197e-05,4.44966e-06,0.0297058
K,1,2,0,DTOC3,2.06712,0.00878643,237.33,260,6024,0.000149586,2.11442e-05,510.082
K,1,0,0,DUAL1,1.31902e-05,0.000376723,0.0349998,8,15,7.19295e-05,9.917e-13,0.0900675
K,1,0,0,DUAL2,6.54677e-06,0.000194072,0.0337271,6,12,9.26963e-05,3.17006e-07,0.0869848
K,1,0,0,DUAL3,1.97307e-05,0.00014534,0.135736,16,18,9.56152e-05,3.01862e-06,0.175812
K,1,0,0,DUAL4,0.000184949,0.000247891,0.745906,34,54,9.76527e-05,1.27243e-06,0.263634
K,1,0,0,GENHS28,8.10885e-05,8.74577e-05,0.927255,4,5,4.36968e-05,9.1213e-07,0.0048389
K,1,0,0,GOULDQP2,4.58893e-05,0.249026,0.000230165,27,40,9.83487e-05,1.03066e-13,0.341202
K,1,0,0,GOULDQP3,4.51114e-05,2.18692e-05,2.06274,20,34,6.90222e-05,2.12349e-07,0.311356
K,1,0,0,HS21,5.47247e-07,5.47466e-09,-99.96,7,48,1.36811e-05,3.74617e-09,0.0056062
K,1,0,0,HS268,2.67018e-05,46.5912,-2.61287e-05,18,43,7.32237e-05,1.40239e-05,0.0086101
K,1,0,0,HS35,9.27751e-05,0.000834976,0.111018,5,14,3.57929e-05,1.63555e-05,0.0046202
K,1,0,0,HS35MOD,4.91034e-05,0.000196414,0.249951,5,120,3.62327e-05,3.67663e-05,0.0103093
K,1,0,0,HS51,9.77294e-05,1.10033e+11,9.77294e-05,7,8,6.40824e-05,6.04617e-07,0.0055131
K,1,0,0,HS52,0.00106115,0.000199216,5.32559,12,13,7.52498e-05,9.32475e-07,0.0054351
K,1,0,0,HS53,0.000752424,0.000183831,4.09227,9,10,7.72043e-05,7.45656e-07,0.0044138
K,1,0,0,HS76,2.86105e-05,6.11097e-06,-4.68185,5,56,4.12333e-05,5.08933e-07,0.0082886
K,1,0,0,HUES-MOD,226.829,6.51345e-06,3.48245e+07,10,22,2.96802e-05,1.59913e-05,4.23037
K,1,0,0,HUESTIS,2.28289e+06,6.55537e-06,3.48245e+11,324,1228,9.40234e-05,3.79854e-06,234.592
K,1,0,0,LASER,2.7765,1.15227e-06,2.4096e+06,62,684,9.91268e-05,1.79092e-05,10.7082
K,0,0,0,LISWET1,11.1223,0.307906,25.0001,93,555,9.91641e-05,1.47464e-05,42.8871
K,0,0,0,LISWET10,24.486,0.494809,24.9998,77,447,9.86394e-05,1.21115e-05,33.6754
K,0,0,0,LISWET11,24.5267,0.495249,24.9973,77,445,9.91156e-05,1.21612e-05,34.4792
K,0,0,0,LISWET12,1711.93,0.985609,24.9968,77,451,9.9844e-05,1.59163e-05,35.3053
K,1,0,0,LISWET2,0.00277412,0.000110973,24.9953,77,453,9.86945e-05,1.21057e-05,32.8285
K,1,0,0,LISWET3,0.00263368,0.000105342,24.9986,77,457,9.86986e-05,1.21103e-05,33.7816
K,1,0,0,LISWET4,0.00263927,0.00010557,24.9975,77,460,9.86647e-05,1.21066e-05,38.4078
K,1,0,0,LISWET5,0.00264,0.000105455,25.0316,77,432,9.86862e-05,1.21117e-05,32.9871
K,1,0,0,LISWET6,0.00267957,0.000107201,24.9931,77,449,9.86762e-05,1.20994e-05,31.9925
K,0,0,0,LISWET7,473.841,0.949883,25.0002,77,447,9.86904e-05,1.21099e-05,31.6262
K,0,0,0,LISWET8,7119.7,0.996501,25.0002,77,447,9.86857e-05,1.21061e-05,33.4411
K,0,0,0,LISWET9,1938.25,0.987266,24.9999,77,445,9.87763e-05,1.18692e-05,38.472
K,1,0,0,LOTSCHD,0.00837258,3.49088e-06,2398.41,23,31,8.03472e-05,5.18112e-07,0.0107958
K,1,0,0,MOSARQP1,0.000381661,4.00536e-07,-952.876,35,173,9.81047e-05,9.8458e-06,4.05522
K,1,0,0,MOSARQP2,0.011,6.88581e-06,-1597.49,23,75,8.98514e-05,1.12168e-05,0.769289
K,0,2,1,POWELL20,1.002e+10,0.192362,4.20695e+10,160,6000,13.9538,0.00266404,284.101
K,1,0,0,PRIMAL1,3.07867e-05,0.000879295,-0.0350438,2,88,7.09283e-05,0.00733248,0.681991
K,1,0,0,PRIMAL2,1.81424e-05,0.000537813,-0.0337518,2,87,7.248e-05,0.00911647,1.23391
K,1,0,0,PRIMAL3,9.66579e-07,7.11998e-06,-0.135757,2,120,2.35974e-05,0.000246853,5.17324
K,1,0,0,PRIMAL4,8.10969e-07,1.08696e-06,-0.746092,3,90,4.6854e-05,6.29413e-05,2.72176
K,1,0,0,PRIMALC1,6.78554,0.0011024,-6148.47,129,2152,5.00148e-05,3.35893e-05,2.31866
K,1,0,0,PRIMALC2,7.27607,0.00204884,-3544.03,177,1820,5.52556e-05,0.000190147,2.11918
K,1,0,0,PRIMALC5,3.67371,0.00859885,-430.906,141,1349,9.39254e-05,8.50506e-05,2.33197
K,1,0,0,PRIMALC8,0.664385,3.62865e-05,-18310.1,141,1847,9.84821e-05,0.000210799,5.24061
K,0,2,1,Q25FV47,467233,0.0339943,1.32772e+07,174,6005,1.85648,0.000342639,1231.12
K,1,2,0,QADLITTL,0.0781177,1.62637e-07,480319,250,6013,0.000477133,7.29705e-05,7.97264
K,1,0,0,QAFIRO,0.000333627,0.000209725,-1.59045,33,224,5.08302e-05,2.34155e-05,0.0942736
K,1,0,0,QBANDM,1.8193e-05,1.11256e-09,16352.3,180,359,9.6834e-05,3.05127e-05,3.29237
K,1,1,0,QBEACONF,0.666055,4.04375e-06,164713,500,825,0.000110486,4.86493e-07,5.92496
K,1,1,0,QBORE3D,5.13286,0.00165565,3105.33,500,1387,0.000396835,1.13957e-06,8.60565
K,1,0,0,QBRANDY,0.0129439,4.56172e-07,28375.1,379,2372,3.4747e-05,3.47469e-05,12.2757
K,0,2,1,QCAPRI,1.44876e+07,0.216903,5.23056e+07,185,6009,19.096,0.0959848,37.1012
K,1,0,0,QE226,0.000423282,1.99048e-06,212.653,222,3820,8.64462e-05,3.86565e-05,24.8246
K,0,2,0,QETAMACR,16611.1,0.191459,70149.3,248,6008,0.232045,0.00656561,156.842
K,0,2,0,QFFFFF80,32150.4,0.0368213,840997,224,6033,0.809676,1.34779e-05,126.458
K,0,2,1,QFORPLAN,8.23321e+08,0.110415,6.63331e+09,208,6035,7.46311,5.03887e-05,70.6707
