System,agree,opt_status,diverged,name,abs_err,rel_err,obj_val,PMM_iter,SSN_iter,PMM_tol_achieved,SSN_tol_achieved,solving_time_sec
S,1,0,0,AUG2D,368.98,0.000218666,1.68704e+06,84,116,0.000187087,3.39127e-05,16.4669
S,1,0,0,AUG2DC,391.374,0.000215234,1.81798e+06,86,87,0.000183499,5.67026e-11,12.4847
S,1,0,0,AUG2DCQP,1265.95,0.000194818,6.49687e+06,51,98,0.000159655,6.94221e-06,28.6997
S,1,0,0,AUG2DQP,1089.05,0.000174611,6.23592e+06,47,96,0.000142978,7.21528e-06,25.717
S,1,0,0,AUG3D,0.0236,4.25941e-05,554.091,5,6,4.64323e-05,1.16221e-06,0.150415
S,1,0,0,AUG3DC,0.110409,0.000143153,771.152,4,5,0.00016727,5.0604e-14,0.130747
S,1,0,0,AUG3DCQP,0.2112,0.000212611,993.151,17,27,0.000208682,2.02581e-07,0.770074
S,1,0,0,AUG3DQP,0.147295,0.000218138,675.09,15,24,0.000211006,1.93155e-13,0.709737
S,1,2,0,BOYD1,347007,0.00562089,-6.13882e+07,252,6028,0.149776,1.58323e-05,3348.59
K,0,0,0,BOYD2,128.472,6.04382,149.729,126,1071,0.0324493,5.35523e-05,1589.14
S,1,0,0,CONT-050,0.0446732,0.00978848,-4.51918,111,207,9.93021e-05,7.56174e-06,12.5763
S,0,0,0,CONT-100,0.912529,0.19648,-3.73187,96,182,9.95163e-05,1.60211e-05,86.7728
S,0,0,0,CONT-101,0.0794337,0.406253,0.274961,222,430,7.18749e-05,4.55415e-09,217.405
S,0,0,0,CONT-200,0.793616,0.1694,-3.89126,254,431,8.57713e-05,1.27859e-05,1368.1
S,0,0,0,CONT-201,0.37715,1.95939,0.569633,297,805,8.33942e-05,7.39779e-08,2530.91
S,0,0,0,CONT-300,0.0241851,0.126285,0.215697,284,1158,0.000105623,1.02439e-06,12885.9
S,0,2,0,CVXQP1M,31785.2,0.0292275,1.05573e+06,249,6001,0.0516314,0.00143868,6603.41
S,1,0,0,CVXQP1S,1.62501,0.000140199,11589.1,128,285,0.00044275,4.94054e-05,2.11891
S,1,0,0,CVXQP2M,4.77941,5.82744e-06,820151,154,2047,0.000440325,0.000124657,796.299
S,1,0,0,CVXQP2S,0.631234,7.77292e-05,8120.31,96,197,0.000401827,2.53596e-05,1.25435
S,0,2,0,CVXQP3M,245871,0.180412,1.11696e+06,342,6009,0.0624555,0.00498884,6675.84
S,1,0,0,CVXQP3S,0.961978,8.05445e-05,11942.5,171,615,0.000441018,7.36709e-05,4.88258
S,1,0,0,DPKLO1,2.65842e-05,7.18305e-05,0.37007,7,8,5.10197e-05,4.44966e-06,0.0413551
S,0,0,0,DTOC3,5.557,0.0236204,229.705,194,4341,0.000333269,0.00015249,342.82
S,1,0,0,DUAL1,1.89146e-05,0.000540216,0.0349941,7,14,0.000104508,1.42728e-11,0.136286
S,1,0,0,DUAL2,6.54677e-06,0.000194072,0.0337271,6,12,9.26963e-05,3.17006e-07,0.118149
S,1,0,0,DUAL3,2.31863e-05,0.000170794,0.135733,15,17,0.000107222,1.33292e-10,0.269224
S,1,0,0,DUAL4,0.000236615,0.000317139,0.745854,32,50,0.00012007,1.24765e-06,0.330043
K,0,3,1,DUALC1,2.60311e+06,422.91,-2.59696e+06,109,3464,1.6374,0.00129364,1.84699
