name,n,m,l,nz,qn,qnz
AUG2D,20200,10000,0,40000,19800,0
AUG2DC,20200,10000,0,40000,20200,0
AUG2DCQP,20200,10000,0,40000,20200,0
AUG2DQP,20200,10000,0,40000,19800,0
AUG3D,3873,1000,0,6546,2673,0
AUG3DC,3873,1000,0,6546,3873,0
AUG3DCQP,3873,1000,0,6546,3873,0
AUG3DQP,3873,1000,0,6546,2673,0
BOYD1,93261,18,0,802156,93261,0
BOYD2,93263,9,186522,423784,2,0
CONT-050,2597,2401,0,12005,2597,0
CONT-100,10197,9801,0,49005,10197,0
CONT-101,10197,10098,0,49599,2700,0
CONT-200,40397,39601,0,198005,40397,0
CONT-201,40397,40198,0,199199,10400,0
CONT-300,90597,90298,0,448799,23100,0
CVXQP1L,10000,5000,0,14998,10000,29984
CVXQP1M,1000,500,0,1498,1000,2984
CVXQP1S,100,50,0,148,100,286
CVXQP2L,10000,2500,0,7499,10000,29984
CVXQP2M,1000,250,0,749,1000,2984
CVXQP2S,100,25,0,74,100,286
CVXQP3L,10000,7500,0,22497,10000,29984
CVXQP3M,1000,750,0,2247,1000,2984
CVXQP3S,100,75,0,222,100,286
DPKLO1,133,77,0,1575,77,0
DTOC3,14999,9998,0,34993,14997,0
DUAL1,85,1,0,85,85,3473
DUAL2,96,1,0,96,96,4412
DUAL3,111,1,0,111,111,5997
DUAL4,75,1,0,75,75,2724
DUALC1,9,1,214,1935,9,36
DUALC2,7,1,228,1603,7,21
DUALC5,8,1,277,2224,8,28
DUALC8,8,1,502,4024,8,28
EXDATA,3000,1,3000,7500,1500,1124250
GENHS28,10,8,0,24,10,9
GOULDQP2,699,349,0,1047,349,348
GOULDQP3,699,349,0,1047,698,697
HS118,15,0,17,39,15,0
HS21,2,0,1,2,2,0
HS268,5,0,5,25,5,10
HS35,3,0,1,3,3,2
HS35MOD,3,0,1,3,3,2
HS51,5,3,0,7,5,2
HS52,5,3,0,7,5,2
HS53,5,3,0,7,5,2
HS76,4,0,3,10,4,2
HUES-MOD,10000,2,0,20000,10000,0
HUESTIS,10000,2,0,20000,10000,0
KSIP,20,0,1001,19898,20,0
LASER,1002,0,1000,3000,1002,3000
LISWET1,10002,0,10000,30000,10002,0
LISWET10,10002,0,10000,30000,10002,0
LISWET11,10002,0,10000,30000,10002,0
LISWET12,10002,0,10000,30000,10002,0
LISWET2,10002,0,10000,30000,10002,0
LISWET3,10002,0,10000,30000,10002,0
LISWET4,10002,0,10000,30000,10002,0
LISWET5,10002,0,10000,30000,10002,0
LISWET6,10002,0,10000,30000,10002,0
LISWET7,10002,0,10000,30000,10002,0
LISWET8,10002,0,10000,30000,10002,0
LISWET9,10002,0,10000,30000,10002,0
LOTSCHD,12,7,0,54,6,0
MOSARQP1,2500,0,700,3422,2500,45
MOSARQP2,900,0,600,2930,900,45
POWELL20,10000,0,10000,20000,10000,0
PRIMAL1,325,0,85,5815,324,0
PRIMAL2,649,0,96,8042,648,0
PRIMAL3,745,0,111,21547,744,0
PRIMAL4,1489,0,75,16031,1488,0
PRIMALC1,230,0,9,2070,229,0
PRIMALC2,231,0,7,1617,230,0
PRIMALC5,287,0,8,2296,286,0
PRIMALC8,520,0,8,4160,519,0
Q25FV47,1571,515,305,10400,446,59053
QADLITTL,97,15,41,383,17,70
QAFIRO,32,8,19,83,3,3
QBANDM,472,305,0,2494,25,16
QBEACONF,262,140,33,3375,18,9
QBORE3D,315,214,19,1429,28,50
QBRANDY,249,166,54,2148,16,49
QCAPRI,353,142,129,1767,56,838
QE226,282,33,190,2578,67,897
QETAMACR,688,272,128,2409,378,4069
QFFFFF80,854,350,174,6227,278,1638
QFORPLAN,421,90,71,4563,36,546
QGFRDXPN,1092,548,68,2377,54,108
QGROW15,645,300,0,5620,38,462
QGROW22,946,440,0,8252,65,787
QGROW7,301,140,0,2612,30,327
QISRAEL,142,0,174,2269,42,656
QPCBLEND,83,43,31,491,83,0
QPCBOEI1,384,9,342,3485,384,0
QPCBOEI2,143,4,162,1196,143,0
QPCSTAIR,467,209,147,3856,467,0
QPILOTNO,2172,701,274,13057,94,391
QPTEST,2,0,2,4,2,1
QRECIPE,180,67,24,663,20,30
QSC205,203,91,114,551,11,10
QSCAGR25,500,300,171,1554,28,100
QSCAGR7,140,84,45,420,8,17
QSCFXM1,457,187,143,2589,56,677
QSCFXM2,914,374,286,5183,74,1057
QSCFXM3,1371,561,429,7777,89,1132
QSCORPIO,358,280,108,1426,22,18
QSCRS8,1169,384,106,3182,33,88
QSCSD1,760,77,0,2388,54,691
QSCSD6,1350,147,0,4316,96,1308
QSCSD8,2750,397,0,8584,140,2370
QSCTAP1,480,120,180,1692,36,117
QSCTAP2,1880,470,620,6714,141,636
QSCTAP3,2480,620,860,8874,186,861
QSEBA,1028,507,8,4352,96,550
QSHARE1B,225,89,28,1151,18,21
QSHARE2B,79,13,83,694,10,45
QSHELL,1775,534,2,3556,405,34385
QSHIP04L,2118,354,48,6332,14,42
QSHIP04S,1458,354,48,4352,14,42
QSHIP08L,4283,698,80,12802,940,34025
QSHIP08S,2387,698,80,7114,538,11139
QSHIP12L,5427,1045,106,16170,2023,60205
QSHIP12S,2763,1045,106,8178,1042,16361
QSIERRA,2036,528,699,7302,122,61
QSTAIR,467,209,147,3856,66,952
QSTANDAT,1075,160,199,3031,138,666
S268,5,0,5,25,5,10
STADAT1,2001,0,3999,9997,2000,0
STADAT2,2001,0,3999,9997,2000,0
STADAT3,4001,0,7999,19997,4000,0
STCQP1,4097,2052,0,13338,4097,22506
STCQP2,4097,2052,0,13338,4097,22506
TAME,2,1,0,2,2,1
UBH1,18009,12000,0,48000,6003,0
VALUES,202,1,0,202,202,3620
YAO,2002,0,2000,6000,2002,0
ZECEVIC2,2,0,2,4,1,0
