System,agree,opt_status,diverged,name,abs_err,rel_err,obj_val,PMM_iter,SSN_iter,PMM_tol_achieved,SSN_tol_achieved,solving_time_sec
S,1,0,0,AUG2D,2970.23,0.00176023,1.68444e+06,37,102,0.000844455,7.67768e-06,13.2592
S,1,0,0,AUG2DC,2215.33,0.0012183,1.81615e+06,38,104,0.000625722,4.79312e-06,13.3594
S,1,0,0,AUG2DCQP,5987.66,0.000921443,6.49215e+06,59,231,0.000755319,1.4556e-06,46.6424
S,1,0,0,AUG2DQP,4867.18,0.000780371,6.23214e+06,53,255,0.000786454,5.58592e-06,49.0075
S,1,0,0,AUG3D,0.00500723,9.03722e-06,554.073,4,5,0.000131188,0.000113327,0.122806
S,1,0,0,AUG3DC,1.01302,0.00131346,772.275,3,4,0.000896284,0.000172777,0.105487
S,1,0,0,AUG3DCQP,0.170492,0.000171631,993.192,10,16,0.00089224,0.000225356,0.403277
S,1,0,0,AUG3DQP,0.396772,0.000587604,674.841,8,14,0.000569933,0.000715948,0.382438
S,0,-2,1,BOYD1,1e+20,1.61982e+12,1e+20,34,324,1e+20,1e+20,505.018
K,0,0,0,BOYD2,111.672,5.25346,132.928,40,285,0.00066188,0.213267,866.41
S,0,0,0,CONT-050,1.08489,0.237713,-3.47896,42,133,0.000939692,5.59873e-06,8.51004
S,0,0,0,CONT-100,1.4173,0.305163,-3.2271,51,232,0.000868672,3.94299e-06,107.553
S,0,0,0,CONT-101,0.251583,1.28669,-0.0560557,45,196,0.000909566,3.47065e-06,100.546
S,0,0,0,CONT-200,4.68487,0.999998,-7.41099e-06,0,1,0.000607161,0.000549961,0.696176
S,0,0,0,CONT-201,0.252495,1.31177,-0.0600113,59,493,0.000333959,5.49056e-06,1517.43
