System,infeas_detected,opt_status,name,PMM_iter,SSN_iter,PMM_res,SSN_res,solving_time_sec
S,0,3,BGDBG1,336,2170,0.552948,4.74482e-08,7.57684
S,0,2,BGETAM,639,20003,0.969163,0.00221497,46.2982
S,0,3,BGDBG1,336,2170,0.552948,4.74482e-08,7.51111
S,0,2,BGETAM,639,20003,0.969163,0.00221497,46.5627
S,0,4,BGINDY,178,1713,0.107884,1.08868e-06,100.615
S,0,3,BGPRTR,260,2384,0.0163146,1.06454e-07,0.4347
S,0,3,BOX1,325,2515,0.109554,0,5.299
K,1,-2,CERIA3D,43,80,1e+20,1e+20,2.0178
S,0,3,CHEMCOM,173,1527,0.93501,0.000434094,4.739
S,0,4,CPLEX1,27,97,0.00303134,0.000107071,100.443
K,0,2,CPLEX2,848,20032,9.60165e-08,1.67245e-11,39.7343
S,0,2,EX72A,867,20007,0.0179489,5.03533e-08,25.6471
S,0,3,EX73A,317,2844,0.0404155,3.43225e-08,4.34322
S,0,3,GALENET,664,16505,0.823529,7.07805e-08,1.04706
S,0,3,GOSH,57,362,0.0258286,0.00803197,97.8413
K,0,4,GRAN,200,1738,7.60033e-05,1.38252e-08,100.211
S,0,4,GREENBEA,47,805,0.927683,0.0341862,102.12
K,1,-2,ITEST2,9,11,1e+20,1e+20,0.0076246
K,0,3,ITEST6,244,811,0.883841,1.93035e-05,0.196605
S,0,2,KLEIN1,840,20033,0.00295465,6.28418e-06,12.2422
K,1,-2,KLEIN2,392,8510,1e+20,1e+20,21.6641
K,0,4,KLEIN3,622,17989,6.03057e-05,3.60677e-05,100.159
S,0,3,MONDOU2,182,1336,0.000933427,5.49316e-08,5.24859
S,0,3,PANG,474,7446,0.000133944,3.69951e-11,29.5429
