System,agree,opt_status,diverged,name,abs_err,rel_err,obj_val,PMM_iter,SSN_iter,PMM_tol_achieved,SSN_tol_achieved,solving_time_sec
S,0,0,0,25FV47,124.64,0.0226542,5626.49,19,440,0.00099579,0.0594669,20.6077
K,1,2,1,80BAU3B,371.054,0.000375853,987603,69,2010,1310.89,1.69029e+06,231.733
S,1,0,0,ADLITTLE,0.475678,2.10949e-06,225494,25,113,0.000434007,0.0171161,0.121877
S,1,0,0,AFIRO,0.000574914,1.23703e-06,-464.753,27,36,0.000722793,0.0183089,0.0277188
K,1,1,0,AGG,341262,0.00948167,-3.6333e+07,200,639,3.90545,0.0742852,1.98957
K,1,0,0,AGG2,32951.3,0.00162809,-2.02063e+07,25,188,0.000870378,3.5628e-05,0.761591
K,1,0,0,AGG3,32166.1,0.00311925,1.03443e+07,30,191,0.000745446,0.00023486,0.752619
S,1,0,0,BANDM,0.422309,0.00266226,-158.206,43,200,0.000875233,1.13654e-06,1.84399
S,1,0,0,BEACONFD,313.499,0.0093324,33906,19,74,0.000930647,0.000239668,0.329425
S,1,0,0,BLEND,0.000514405,1.66949e-05,-30.8127,25,74,0.000441006,8.24143e-06,0.115759
K,1,2,1,BNL1,1.36248,0.000688948,1976.27,74,2025,2293.02,33074.2,28.2035
K,0,2,0,BNL2,49.8866,0.0275428,1861.12,70,2000,86.6129,6307.64,90.1202
S,0,0,0,BOEING1,5.87192,0.017517,-329.342,36,604,0.000605022,0.208848,4.50934
S,1,0,0,BOEING2,1.52708,0.00484758,-313.492,47,313,0.00062374,0.0311934,1.00771
S,0,0,0,BORE3D,30.1641,0.0219682,1403.24,32,144,0.000639247,0.025962,1.00836
S,1,0,0,BRANDY,0.448654,0.000295457,1518.96,35,328,0.000903807,0.000175775,1.72832
K,1,0,0,CAPRI,0.0019528,7.25946e-07,2690.01,34,300,0.000665048,0.000166724,1.36511
K,0,0,0,CYCLE,0.926776,0.177326,-4.29962,45,481,0.000514355,0.00332506,38.4664
S,0,2,1,CZPROB,28984,0.0132638,2.15621e+06,72,2019,545.02,125400,42.2369
S,0,2,1,D2Q06C,3646.67,0.0296998,126431,70,2015,509.581,646443,204.352
S,1,0,0,D6CUBE,0.000611714,1.93892e-06,315.492,77,458,0.00047031,6.45419e-06,40.1182
S,1,0,0,DEGEN2,1.87923e-05,1.30941e-08,-1435.18,31,93,0.000827963,0.00185321,1.98328
K,1,0,0,DEGEN3,6.22889e-08,6.30905e-11,-987.294,42,158,0.000151554,0.00163101,13.1912
S,0,3,0,DFL001,1.53006e+11,13580.7,1.53017e+11,40,241,312.45,4.32331e-05,71.4911
S,0,0,0,E226,7.2399,0.386088,-11.512,23,227,0.000660908,0.189122,1.71037
S,1,0,0,ETAMACRO,0.491819,0.0006508,-755.223,24,228,0.000124029,0.0068929,3.4924
S,0,2,1,FFFFF800,22082,0.0397387,533598,72,2029,232211,489022,35.1987
S,1,0,0,FINNIS,0.0800614,4.63343e-07,172791,136,596,0.000768111,0.359684,5.69323
S,1,0,0,FIT1D,4.16489,0.00045536,-9142.21,20,370,0.000987121,0.016523,4.5831
