agree,opt_status,diverged,name,abs_err,rel_err,PMM_iter,SSN_iter,PMM_tol_achieved,SSN_tol_achieved,solving_time_sec
0,2,0,25FV47,74.9441,0.0136216,22,512,0.00164569,0.38521,12.0631
0,2,1,80BAU3B,12042.6,0.0121984,19,527,12.6823,396339,81.0977
1,0,0,ADLITTLE,0.0567863,2.5183e-07,24,107,5.0464e-05,0.018126,0.0857724
1,0,0,AFIRO,5.63464e-06,1.21239e-08,35,61,8.92619e-05,0.0022963,0.022699
1,2,0,AGG,4478.33,0.000124426,46,509,0.000114581,0.00116464,0.802206
1,3,0,AGG2,21003,0.00103773,100,433,0.00030698,3.83521e-05,0.947093
1,3,0,AGG3,23578.2,0.00228646,100,426,0.000296755,3.68805e-05,0.976838
1,0,0,BANDM,0.0547046,0.000344861,48,242,9.60843e-05,8.57267e-09,1.68624
1,0,0,BEACONFD,91.854,0.00273436,65,191,8.18733e-05,6.84739e-07,1.05002
1,0,0,BLEND,1.96877e-06,6.38958e-08,26,71,4.91896e-05,1.49013e-06,0.0725014
1,2,0,BNL1,1.34728,0.000681259,21,509,3.39138,117.743,6.2372
0,2,0,BNL2,96.4394,0.0532451,19,502,3.64151,1025.79,26.9062
0,2,0,BOEING1,11.5769,0.034536,28,508,0.00245925,0.000177868,1.98062
1,0,0,BOEING2,1.8829e-07,5.97711e-10,47,300,1.27981e-05,7.79172e-05,0.473169
0,0,0,BORE3D,24.4368,0.0177971,34,154,8.50771e-05,0.000519611,0.559201
1,0,0,BRANDY,1.7136e-05,1.12848e-08,81,466,2.31993e-05,7.46392e-06,1.88883
1,0,0,CAPRI,0.000790791,2.93973e-07,36,333,4.89178e-05,9.30855e-05,1.4968
0,2,0,CYCLE,1.17785,0.225365,51,508,0.00117647,0.000299969,38.8635
0,2,1,CZPROB,64399.4,0.0294708,20,521,27.0798,25144.9,13.573
0,2,1,D2Q06C,9102.86,0.0741371,19,517,67.3518,90030.4,78.415
1,0,0,D6CUBE,0.00064945,2.05853e-06,54,459,9.00143e-05,2.57628e-05,57.77
1,0,0,DEGEN2,1.73465e-05,1.20866e-08,23,78,8.84091e-05,0.0030012,1.00957
1,0,0,DEGEN3,0.000199564,2.02132e-07,21,98,4.70105e-05,0.00140806,10.1884
0,3,0,DFL001,2.24247e+09,199.04,100,400,27.5331,2.51753e-05,1704.68
0,0,0,E226,7.17963,0.382874,25,219,5.9452e-05,0.00221447,1.04065
1,0,0,ETAMACRO,0.545681,0.000722072,22,221,7.03252e-05,1.69039e-07,1.8102
0,2,1,FFFFF800,14177.1,0.0255131,21,522,24864.8,43153.8,8.26676
1,0,0,FINNIS,0.184477,1.06763e-06,30,260,7.1004e-05,0.043224,1.79499
1,0,0,FIT1D,0.489821,5.35536e-05,17,372,7.53786e-05,0.0606893,3.45711
1,0,0,FIT1P,0.029286,3.20192e-06,49,150,9.46556e-05,8.64469e-10,3.30404
1,2,0,FIT2D,564.877,0.00825068,18,527,0.947048,3124.1,173.224
1,0,0,FIT2P,0.117104,1.71043e-06,45,145,5.36728e-05,3.0188e-05,46.6323
0,2,0,FORPLAN,543.455,0.818186,73,502,0.00403606,9.41792e-05,4.16544
0,2,0,GANGES,12619.9,0.11516,42,508,0.0968319,1.17368e-05,10.4684
1,0,0,GFRD-PNC,10926.2,0.00158299,27,399,5.88639e-05,0.016815,2.60558
0,2,1,GREENBEA,4.00315e+07,0.552446,19,516,315.552,255702,88.5843
1,2,1,GREENBEB,8316.89,0.0019332,19,528,18.4921,11306.1,82.3456
0,3,0,GROW15,5.87003e+06,0.0549263,100,375,0.218826,9.97454e-05,4.20624
0,3,0,GROW22,9.88332e+06,0.0614503,100,360,0.231033,9.59122e-06,5.93395
0,3,0,GROW7,2.28422e+06,0.0477992,100,278,0.167012,6.61089e-05,1.41686
1,0,0,ISRAEL,2501.77,0.00279015,21,263,6.72821e-05,0.001378,0.720827
0,3,0,KB2,48.8372,0.0279086,100,467,0.00212022,0.000469264,0.173961
0,3,0,LOTFI,249.668,9.88209,100,393,0.000397798,6.28652e-05,0.62893
0,2,1,MAROS,31843.6,0.548425,19,521,316.334,925166,11.2865
0,2,0,MAROS-R7,111513,0.074482,39,514,195.836,246.793,912.849
0,3,0,MODSZK1,456045,1422.38,100,487,0.00018394,3.67139e-05,6.03549
1,2,0,NESM,5331.85,0.000378788,20,529,2.37567,9078.58,25.0485
0,2,0,PEROLD,3488.76,0.371906,22,503,963.02,2865.77,10.09
0,2,0,PILOT,133.292,0.239129,20,501,53.029,1213.81,112.798
0,2,0,PILOT.JA,6065.87,0.992268,47,529,78.918,12.8941,28.0104
0,2,1,PILOT.WE,1.19894e+06,0.440769,22,525,28.468,99471.2,15.701
0,2,0,PILOT4,2544.97,0.985987,48,517,39.5456,0.780178,7.29322
0,2,0,PILOT87,43.1235,0.14293,18,521,40.4421,2715.89,312.491
0,2,0,PILOTNOV,4214.73,0.937174,21,505,283.489,4289.9,25.5508
1,0,0,RECIPE,1.25075e-05,4.6912e-08,41,83,4.57717e-05,2.3683e-06,0.0662841
0,2,0,SC105,41.62,0.797286,44,509,4.34859,24.3615,0.316481
0,2,0,SC205,50.0781,0.959313,63,500,0.0762226,18.0661,0.638799
1,0,0,SC50A,3.56531e-07,5.52118e-09,44,111,5.45996e-05,4.6356e-09,0.0385852
1,0,0,SC50B,5.40826e-08,7.72608e-10,47,105,1.71265e-05,8.25587e-08,0.0405467
1,0,0,SCAGR25,25.6191,1.73648e-06,25,280,4.05795e-05,0.000246029,1.02575
1,0,0,SCAGR7,11.1004,4.76127e-06,30,135,7.60051e-05,4.54678e-05,0.134844
0,2,0,SCFXM1,269.034,0.0146081,29,522,1.36088,917.903,2.49958
0,2,0,SCFXM2,638.035,0.017404,19,511,2.39898,633.158,5.21427
0,2,1,SCFXM3,1309.33,0.0238488,19,514,45.9685,12537.6,8.7713
1,0,0,SCORPION,0.271676,0.000144653,48,175,9.56176e-05,9.69487e-05,0.614263
0,2,0,SCRS8,11.0723,0.012244,41,523,0.00578844,0.0255232,3.56211
1,0,0,SCSD1,0.00143184,0.000165213,30,98,4.57331e-05,2.69534e-09,0.320991
1,0,0,SCSD6,0.0316803,0.000627333,51,192,8.25234e-05,4.46888e-07,1.07349
1,0,0,SCSD8,0.000357856,3.95421e-07,35,191,9.57234e-05,4.16642e-08,3.00708
1,0,0,SCTAP1,0.00614364,4.35025e-06,35,198,5.69894e-06,8.38098e-05,0.666495
1,0,0,SCTAP2,0.00181333,1.05133e-06,19,92,9.93229e-05,0.00791641,3.62683
1,0,0,SCTAP3,0.000835201,5.86518e-07,18,95,2.01999e-05,0.000822202,5.63086
1,0,0,SEBA,0.629744,4.00815e-05,36,379,2.63309e-05,9.78072e-08,3.72855
0,2,0,SHARE1B,15939.8,0.20812,93,500,0.000378804,3.55667e-06,1.02402
1,0,0,SHARE2B,0.00780197,1.87668e-05,32,191,8.78704e-05,0.000197113,0.169499
1,2,0,SHELL,22120.7,1.82994e-05,100,501,0.000123276,1.33758e-05,3.94309
1,2,0,SHIP04L,329.542,0.00018376,70,501,0.0080304,7.5516e-05,4.74479
1,3,0,SHIP04S,19.9119,1.10701e-05,100,396,0.0235281,0.0416816,3.03336
1,2,1,SHIP08L,17720.5,0.00928235,26,502,30.5299,559075,13.6368
1,2,0,SHIP08S,3751.72,0.00195392,54,503,0.128862,0.42065,6.23961
0,2,1,SHIP12L,35449.8,0.0241124,23,515,10.03,102557,18.205
0,2,1,SHIP12S,17772.4,0.0119339,24,524,62.0082,18487,9.02115
1,0,0,SIERRA,0.0854057,5.54786e-09,43,432,3.37499e-05,0.0238216,5.34184
1,2,0,STAIR,0.825065,0.00328362,47,501,1.6921,6.8387,4.21902
1,0,0,STANDATA,0.0791313,6.29175e-05,20,149,9.80438e-05,3.86463e-07,1.393
1,0,0,STANDMPS,0.000434169,3.08794e-07,26,252,5.39772e-05,0.00927992,2.78746
1,0,0,STOCFOR1,0.219196,5.32909e-06,43,139,2.99937e-05,0.00719745,0.116942
0,2,0,STOCFOR2,2133.61,0.0546737,74,526,11.8453,1211.42,11.3511
0,0,0,TUFF,0.161874,0.554083,30,302,9.20177e-05,9.43187e-06,3.08469
0,2,0,VTP.BASE,26167.7,0.201551,45,503,7196.02,0.187023,0.943493
1,0,0,WOOD1P,2.75182e-05,1.90714e-05,29,92,9.09765e-05,1.8575e-08,16.5222
1,0,0,WOODW,0.000220103,0.000168729,28,261,8.1985e-05,1.14155e-08,48.2075
